id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg45643469,https://bitcointalk.org/index.php?topic=4730402.0,,2921,Announcements (Altcoins),2018-09-13 18:22:31,Erik_Smuel,Newbie,238,0,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],A shared ledger is a log of transactions in a business network identical to all participants in the network.,False
2,msg45643506,https://bitcointalk.org/index.php?topic=4730402.0,,2921,Announcements (Altcoins),2018-09-13 18:23:31,Erik_Smuel,Newbie,238,0,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],"A purchase/sale transaction of land can involve all of the following; a buyer/seller, real estate agency, surveyor, notary and government officials. Each maintains a separate, secure and central repository of their role in the purchase/sale of the land in interest.",False
3,msg45675601,https://bitcointalk.org/index.php?topic=4730402.0,,2921,Announcements (Altcoins),2018-09-14 12:03:40,trauchot,Member,686,10,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],"All information about the land will be available on your platform, which will give buyers and sellers the full information which they want to know, it will allow them to fully trust you. Very often it happens that official papers even come with mistakes or are connected with some problems, that's why your company will solve such problems so that everything will be clean and reliable.",False
4,msg45683888,https://bitcointalk.org/index.php?topic=4730402.0,,2921,Announcements (Altcoins),2018-09-14 15:12:00,AquaVitae,Newbie,308,0,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],"Blockchain allows us to handle difficult operations, like land ownership confirmation, with high amount of trust. Those companies, that refuse to use blockchain, will fall behind projects like Harambee token.",False
5,msg45684049,https://bitcointalk.org/index.php?topic=4730402.0,,2921,Announcements (Altcoins),2018-09-14 15:15:46,ivan376,Full Member,672,100,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],"It seems Land Disputes can only be settled in court. But, if this token will be used in purchasing land properties, then this project is a good one. What we only need is the trust of the company.",False
6,msg45730448,https://bitcointalk.org/index.php?topic=4730402.0,msg45684049,2921,Announcements (Altcoins),2018-09-15 15:33:18,Dump3er,Hero Member,868,502,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],   It doesn't mean that you don't have to settle disputes at local courts anymore. If you have a blockchain or not doesn't change the law that is in place where the piece of land is located.,False
7,msg45734593,https://bitcointalk.org/index.php?topic=4730402.0,,2921,Announcements (Altcoins),2018-09-15 17:10:25,AquaVitae,Newbie,308,0,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],"This project has many teams, in several countries. They are able to gain lot of local knowledge. This information can prove to be crucial for their successful launch.",False
8,msg45736790,https://bitcointalk.org/index.php?topic=4730402.0,msg45684049,2921,Announcements (Altcoins),2018-09-15 18:09:59,mrbanjo,Sr. Member,784,253,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],"   I think until there is a permission of states for such steps, then the token and the project will not give anything. In this case, the investment in the project is if you can say some option that states will eventually be allowed or will take this project for their business. Otherwise, technology is not looking at how good it is in fact except for speculators nobody needs and large investors who will give a price increase will not attract.",False
9,msg45768564,https://bitcointalk.org/index.php?topic=4730402.0,,2921,Announcements (Altcoins),2018-09-16 11:00:27,Halimo,Newbie,3,0,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],Hello. I would like to inform you that this is a shame and they have distinct rules from the latter. I benefited from it and you can follow all their news through social networking sites.,False
10,msg45769148,https://bitcointalk.org/index.php?topic=4730402.0,,2921,Announcements (Altcoins),2018-09-16 11:12:40,Halimo,Newbie,3,0,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],Hello. I would like to inform you that this is a shame and they have distinct rules from the latter. I benefited from it and you can follow all their news through social networking sites.  Onemice.      https://sobit.one/dist/web/255ca85818936947cd1ac6d218220c68.jpg   https://sobit.one/#/index?i=mmS78sh,False
11,msg45792936,https://bitcointalk.org/index.php?topic=4730402.0,,2921,Announcements (Altcoins),2018-09-16 18:27:48,AquaVitae,Newbie,308,0,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],"Hopefully Harambee token launch will go well. There is real demand for projects, which can solve difficult issues and bring blockchain closer to everyday life.",False
12,msg45837668,https://bitcointalk.org/index.php?topic=4730402.0,,2921,Announcements (Altcoins),2018-09-17 17:02:52,trauchot,Member,686,10,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],"It will be interesting for me to see the work of your company with the help of blockchain technologies and explore their possibilities, because the experience in real estate can help many people to develop in this area faster and more stable due to your company skills. Also, many investors will like the conditions of your company to purchase land without risks and through innovative products that will allow your company to focus on new heights",False
13,msg45877413,https://bitcointalk.org/index.php?topic=4730402.0,,2921,Announcements (Altcoins),2018-09-18 15:43:49,AquaVitae,Newbie,308,0,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],"Their whitepaper is quite detailed and well made. This alone can convince many persons to become supporters of this project. Some projects have no whitepaper at all. Quality documents show dedication, and that team is doing it's job.",False
14,msg46495344,https://bitcointalk.org/index.php?topic=4730402.0,,2921,Announcements (Altcoins),2018-10-04 10:34:49,smartcont,Copper Member,56,0,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],"A very ambitious project that wants to put blockchain technology into real-world usage. Real estate is another domain that will benefit from this technology and there already are several projects that cover this, however as far as I know, this is the first that mainly targets Africa.",False
15,msg45034290,https://bitcointalk.org/index.php?topic=4730402.0,,2921,Announcements (Altcoins),2018-09-01 16:13:33,AquaVitae,Newbie,308,0,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],"Team Harambee is doing good work. They have good number of followers in social medias, and their project is well thought out. Projects like this can bring crypto currencies closer to everyday life.",False
16,msg45191935,https://bitcointalk.org/index.php?topic=4730402.0,,2921,Announcements (Altcoins),2018-09-04 16:37:22,AquaVitae,Newbie,308,0,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],"The idea of using blockchain and connecting it to land ownership is clever. This way there is always undeniable record in blockchain, that cannot be tampered with.",False
17,msg45319170,https://bitcointalk.org/index.php?topic=4730402.0,,2921,Announcements (Altcoins),2018-09-07 06:56:43,munareal,Full Member,644,102,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],Land dispute is a situation that is made more complex by the fact that many smallholder farmers do not have the title deed to the land. They are illiterate that do not have access to the internet. What can you do in this situation?,False
18,msg45325829,https://bitcointalk.org/index.php?topic=4730402.0,msg45319170,2921,Announcements (Altcoins),2018-09-07 09:37:40,Camus,Hero Member,826,500,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],"   It looks good, but you should make an effort to implement the project, because you have a lot of competitors. I did not see the value of your coin, what is it equal to? Maybe there is a demo?",False
19,msg45326309,https://bitcointalk.org/index.php?topic=4730402.0,,2921,Announcements (Altcoins),2018-09-07 09:47:21,Quidigburcpe,Newbie,11,0,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],I like the idea that small and medium enterprises should also get the chance to participate in artificial intelligence innovation once the platform is developed. It creates a level playing field in the economy.,False
20,msg45342241,https://bitcointalk.org/index.php?topic=4730402.0,,2921,Announcements (Altcoins),2018-09-07 15:25:09,Erik_Smuel,Newbie,238,0,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],Land LayBy Listing on blockchain will contain up to date information about a particular land asset.,False
21,msg45342278,https://bitcointalk.org/index.php?topic=4730402.0,,2921,Announcements (Altcoins),2018-09-07 15:25:55,Erik_Smuel,Newbie,238,0,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],"When a buyer purchases a block of land, the completion date will require the buyer and the seller to exchange the settlement amount for completion documents. Several outcomes can be invoked and automatically enforced without the need for a middleman.",False
22,msg45348094,https://bitcointalk.org/index.php?topic=4730402.0,,2921,Announcements (Altcoins),2018-09-07 17:39:37,AquaVitae,Newbie,308,0,,[ANN] [HRBE TOKEN] [Resolving Land Disputes through Blockchain],"Smart projects have clear connection to real world, they are not just vague wishes and ideas. It is good to see, that Harambee token is trying to solve a real problem and improve quality of life.",False
