id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg50310501,https://bitcointalk.org/index.php?topic=3120217.0,,18312,Announcements (Altcoins),2019-03-25 14:35:13,qiwoman2,Legendary,1806,1014,,[ANN][ICO] ARBITRAGING: Crypto Profit Trading Platform | HOT ICO!,"Big things were just announced now on ARBITRAGING so I think this week will be the last week to collect cheap ARB TOKENS. In a week from now, the bank will reveal the ARB partnership it has to create a stablecoin and also debit gift cards that we can use like proper debit cards with the visa logo all around the world. Due to the fact you need to hold some arbs in the vault to get one of these cards, I think many arbs will be put in the vault and supply will shrink, meaning there will be fewer arbs around for the dumpers to finally dump as they will be scooped up organically from demand for those using the tradepro console and for those getting the debit card.  Check this live stream out made yesterday by DAVID PETERSON HIMSELF:    https://www.youtube.com/watch?v=e7_GH_vn1mM",False
2,msg50595949,https://bitcointalk.org/index.php?topic=3120217.0,,18312,Announcements (Altcoins),2019-04-14 07:37:22,qiwoman2,Legendary,1806,1014,,[ANN][ICO] ARBITRAGING: Crypto Profit Trading Platform | HOT ICO!,"I think price wise now we reached a bottom and will be consolidating heavily at this point, I am seeing more and more buying and volume is rising. Today we got a nice tank extra of FREE GAS to run our abots, which was a cute surprise. I posted about this in my abot diaries video: https://www.youtube.com/watch?v=AyiOFysDOD0&t=39s Also, we just got a big announcement come in that they are working out the kinks and tradepro shadow features, among others are being tested,. I believe tradepro shadow trading will be a huge asset to the platform as utilities grow for the ARB TOKEN.  Hi ARBNation,  Firstly, I would like to apologize for the lack of communication, I have been working hard and attending important meetings. The team here understands that times are tough and have not stopped working, nor has anyone ran for the hills . We still have one goal in our sights, get everything functioning and complete the advancement of use cases.  I have given all aBot users half tank free gas to give all of you some time while a solution is put in place to help improve the current gas structure. (As stated in the last stream)  Trade Pro: The Shadow feature is currently being beta tested. The Bot features are currently being beta tested. Beta testing has been going great we anticipate getting shadow features rolled out first, this will give a great new use case for ARB.  Debit Cards: Yes this is still happening, we are working hard to get this rolled out as soon as possible.  Fees: We will be working on restructuring the fees, we were asked by many to raise the fees, however we will restructure them to be more user friendly.  I would like to close this announcement by saying that the meetings I have been attending have been to help the future of the platform, we are not going away, we will keep working to advance.  I know that things have been up and down, but we will not give up on you.  Thanks, David",False
3,msg50679638,https://bitcointalk.org/index.php?topic=3120217.0,,18312,Announcements (Altcoins),2019-04-19 22:03:53,qiwoman2,Legendary,1806,1014,,[ANN][ICO] ARBITRAGING: Crypto Profit Trading Platform | HOT ICO!,"Today there was a pump and of course, within minutes of it ending the token dumped hard so in order to avoid a fast parabolic pump and dump, they have set new guidelines as to how the retracement will take place so it can happen more gradually in the future, which I think is a great idea in order to safeguard the token price.  I also made a video about this and other stuff going on and another video about the markets in ARB for today: https://www.youtube.com/watch?v=WJ7w-qgAMbY&t=427s  Here is the announcement: Hi ARBNation,  We will be making Platform login inactive for 1hr @ 1PM UTC to enable us to implement the below changes.  We have made 2 changes to the exchange to help bring stability.  Due to the majority of arbitraging users not changing passwords for an extended period we are making a password change compulsory on login.  Exchange Changes: 1️⃣ The Exchange will reject any sell order that is 3% under the lowest ask.  2️⃣ If the highest Buy Order is 20% under the current Market Price you will be unable to sell to that order.  Thanks, Community Manager Ozi",False
4,msg50689274,https://bitcointalk.org/index.php?topic=3120217.0,,18312,Announcements (Altcoins),2019-04-20 14:16:40,Phinnaeus Gage,Legendary,1750,1094,,[ANN][ICO] ARBITRAGING: Crypto Profit Trading Platform | HOT ICO!,"Quick aside:  Odd!  Just visited my watchlist and saw that a new reply was posted here so I came here and read the last post. Then I wen to telegram and read ARBITRAGING's latest announcement. Then came back to this forum and was met with with two new messages. Both messages relaid that that two of my posts on this thread were deleted, both penned ~1 month ago.  Again, odd!",False
5,msg50859644,https://bitcointalk.org/index.php?topic=3120217.0,,18312,Announcements (Altcoins),2019-05-02 01:00:11,onyabike,Newbie,108,0,,[ANN][ICO] ARBITRAGING: Crypto Profit Trading Platform | HOT ICO!,"This is pure erc20 ico trash scam coin followed by pump and dump lol let me summarise it for some of you naive people.  https://deadcoins.com/entry/2422/?gvid=1308 lol ponzi scheme arb haha  https://github.com/forkdelta/tokenbase/issues/954 Here's a possible name and email address to the arb scammers as left when trying to get listed on forkdelta george.chikviladze1995@gmail.com     Last update August 2018 and all repositories are all forked lol nothing original here - 1st flag  https://github.com/ARBtoken?tab=overview&from=2019-05-01&to=2019-05-02  If you think this crypto project are run by blockchain professionals think again, they had to hire a smart contractor from fiverr lol so much for putting faith in these guys to build a complex arb trading bot yet can't create there own smart contractor! but hey who needs common sense lol - 2nd flag  https://www.fiverr.com/hurricane247 https://github.com/Hurricane247/Arbitrage-Token-ICO   Top 10 wallets hold more than 70% of the token cap, top 3 hold more than 50% token cap. Before the dump going back months ago the ratio was even more - 3rd flag  https://ethplorer.io/address/0xafbec4d65bc7b116d85107fd05d912491029bf46#tab=tab-holders   Moral of the story ico + erc20 = high chance of scam 90% of scams are ico and erc20 tokens - 4th flag  I called this scam out months ago while price was still high if you got out nice if you didn't well I feel for ya.",False
6,msg50866302,https://bitcointalk.org/index.php?topic=3120217.0,msg50859644,18312,Announcements (Altcoins),2019-05-02 13:41:13,Phinnaeus Gage,Legendary,1750,1094,,[ANN][ICO] ARBITRAGING: Crypto Profit Trading Platform | HOT ICO!,    I called it directly after they won the Token Tank contest.,False
7,msg50866742,https://bitcointalk.org/index.php?topic=3120217.0,,18312,Announcements (Altcoins),2019-05-02 14:16:25,rippar,Full Member,602,105,,[ANN][ICO] ARBITRAGING: Crypto Profit Trading Platform | HOT ICO!,Why this ICO is hot? Why should I put my money in it?,False
8,msg50867747,https://bitcointalk.org/index.php?topic=3120217.0,msg50866742,18312,Announcements (Altcoins),2019-05-02 15:35:49,Phinnaeus Gage,Legendary,1750,1094,,[ANN][ICO] ARBITRAGING: Crypto Profit Trading Platform | HOT ICO!,"   You should put money in the endeavor so that you, too, can be recognized as a bona fide Investardz.",False
9,msg51629460,https://bitcointalk.org/index.php?topic=3120217.0,,18312,Announcements (Altcoins),2019-06-27 22:41:24,Theone101,Full Member,185,100,,[ANN][ICO] ARBITRAGING: Crypto Profit Trading Platform | HOT ICO!,"is this corn bullish AF or what now ,next 100$ or more ",False
10,msg51629613,https://bitcointalk.org/index.php?topic=3120217.0,,18312,Announcements (Altcoins),2019-06-27 22:59:56,Phinnaeus Gage,Legendary,1750,1094,,[ANN][ICO] ARBITRAGING: Crypto Profit Trading Platform | HOT ICO!,"63,038 Trusted Users, none of which frequent this announcement thread to advance the cause. Even their Telegram account is deader than a doornail.",False
11,msg48878297,https://bitcointalk.org/index.php?topic=3120217.0,,18312,Announcements (Altcoins),2018-12-25 15:14:00,qiwoman2,Legendary,1806,1014,,[ANN][ICO] ARBITRAGING: Crypto Profit Trading Platform | HOT ICO!,"The exchange platform is down for maintenance OVER the Xmas period, while the DEVS upload important updates in the back end: Dear users, we would like to notify you that we will be taking the exchange offline shortly. Major updates and fixes are coming to ensure stability of the system and trading conditions. We have a string of updates to perform and they are best done with the exchange offline.  The downtime is expected to be approximately 48 hours. This will allow our community to have time to enjoy the holiday while we work on the updates.  Thank you for your patience and Merry Christmas !   That was the last message in the main telegram rooms but Devs and Admins are very active and still helping people over the Holidays.",False
12,msg48949725,https://bitcointalk.org/index.php?topic=3120217.0,,18312,Announcements (Altcoins),2018-12-29 15:37:43,NightDream,Full Member,644,103,,[ANN][ICO] ARBITRAGING: Crypto Profit Trading Platform | HOT ICO!,Platform maintenance has been successfully completed! aBOT and the Internal Exchange are both up and running! All updates and fixes have successfully applied and tested https://twitter.com/arbitragingco/status/1079026178986467328,False
13,msg49111145,https://bitcointalk.org/index.php?topic=3120217.0,,18312,Announcements (Altcoins),2019-01-08 06:35:21,lucag74,Newbie,12,0,,[ANN][ICO] ARBITRAGING: Crypto Profit Trading Platform | HOT ICO!,"People wake-up The problem it's not the exchange it's the money. The bot exists ? Sure there is a lot of bot from convergenge , triangular, classic with hedge on short. you can buy some for about 2K $. The business is real and exists but i don't hink he have all liquidity that people invested in abot like real pool liquidity, because people gaming the system in past. I'm very curious about the solutions, because i'm sure he will find something.",False
