id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg35978945,https://bitcointalk.org/index.php?topic=2699474.0,,1174,Announcements (Altcoins),2018-04-30 18:59:31,ctrlAlt,Newbie,8,0,,[ANN][ICO] Alttex - Consortium That Unites a Decentralized Exchange,Here you can watch a video about Alttex Global team.  https://www.youtube.com/watch?v=FiTi3Kgszfc,False
2,msg36050871,https://bitcointalk.org/index.php?topic=2699474.0,,1174,Announcements (Altcoins),2018-05-01 17:45:59,kumahadewek,Newbie,91,0,,[ANN][ICO] Alttex - Consortium That Unites a Decentralized Exchange,Proyek Alttex adalah proyek yang sangat menjanjikan sangat luar biasa👍,False
3,msg36335831,https://bitcointalk.org/index.php?topic=2699474.0,,1174,Announcements (Altcoins),2018-05-04 21:51:10,dadosmrado,Newbie,1,0,,[ANN][ICO] Alttex - Consortium That Unites a Decentralized Exchange,"Take care with this ICO, something pretty fishy is going on  https://imgur.com/a/C8TvYhF?",False
4,msg36554718,https://bitcointalk.org/index.php?topic=2699474.0,,1174,Announcements (Altcoins),2018-05-07 07:13:39,ctrlAlt,Newbie,8,0,,[ANN][ICO] Alttex - Consortium That Unites a Decentralized Exchange,FINAL round of Alttex ICO has started. You will get 10% bonus.,False
5,msg36806210,https://bitcointalk.org/index.php?topic=2699474.0,,1174,Announcements (Altcoins),2018-05-09 19:27:16,toninho29,Newbie,74,0,,[ANN][ICO] Alttex - Consortium That Unites a Decentralized Exchange,#Proof of ownership Username telegram: @toninho292 Username twitter:Igor  @toninho515 Link to profile twitter: https://twitter.com/toninho515 Username Facebook:    Antonio Paulino Link to Profile Facebook: https://www.facebook.com/antonio.paulino.35,False
6,msg36881757,https://bitcointalk.org/index.php?topic=2699474.0,,1174,Announcements (Altcoins),2018-05-10 14:45:28,KotiKo,Full Member,420,103,,[ANN][ICO] Alttex - Consortium That Unites a Decentralized Exchange,"Alttex is a decentralized exchange of crypto-currencies, an instant messenger and even a smart safe. If you want everything on the platform, then, perhaps, Alttex is a great option for you.",False
7,msg39971393,https://bitcointalk.org/index.php?topic=2699474.0,,1174,Announcements (Altcoins),2018-06-12 17:08:39,findico,Newbie,28,0,,[ANN][ICO] Alttex - Consortium That Unites a Decentralized Exchange,"Hi everyone! Just added this incredible ICO to my website   https://findico.io/ico/alttex   Findico.io is a leading cryptocurrency and ICOs portal. Whether you are already involved with ICO or other cryptocurrencies or just want to get into it, Findico.io is a resource to keep updated. ICO rating platform supported by investors and financial experts and users. Findico.io mission is to make it easy for users to find the best ICOs to join. We strive to provide useful and transparent information on ICOs, helping users find projects that have a great potential for success. We also offer a whitelabel platform for ICO projects (Wallet, tokensale system, smart contract, audit and etc) to present themselves to potential users. We have steadily increased the quantity and the quality of information required from ICO projects and we will continue to do so to help this new industry flourish.",False
8,msg41838982,https://bitcointalk.org/index.php?topic=2699474.0,,1174,Announcements (Altcoins),2018-07-09 13:24:39,blockchainben777,Copper Member,112,0,,[ANN][ICO] Alttex - Consortium That Unites a Decentralized Exchange,ALTX has been added to #ExToke FEE FREE DEX! Get trading here: https://trade.extoke.com ,False
9,msg42549051,https://bitcointalk.org/index.php?topic=2699474.0,,1174,Announcements (Altcoins),2018-07-20 15:25:04,opium,Sr. Member,756,265,,[ANN][ICO] Alttex - Consortium That Unites a Decentralized Exchange,"Good afternoon, comrades. The ALTX token was added to the IDEX stock exchange. Congratulations to the holders. The truth is nothing special. Volumes are zero, the price is at the bottom",False
10,msg42559742,https://bitcointalk.org/index.php?topic=2699474.0,,1174,Announcements (Altcoins),2018-07-20 19:06:24,EOS_ext,Newbie,17,0,,[ANN][ICO] Alttex - Consortium That Unites a Decentralized Exchange,eth down all the tokens go into the dungeon most likely the turn is not coming soon,False
