id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg20079206,https://bitcointalk.org/index.php?topic=2008134.0,msg20077473,2749,Announcements (Altcoins),2017-07-12 01:01:19,Porfirii,Sr. Member,546,258,,[ANN][XRJ][Pre-ICO] RadJav:Decentralized Datacenter and GUI/3D/Server JS Lang,"   Reserving translations into Spanish, when needed. Please, send PM.",False
2,msg19994562,https://bitcointalk.org/index.php?topic=2008134.0,,2749,Announcements (Altcoins),2017-07-07 14:16:22,ncoonrod,Newbie,15,0,,[ANN][XRJ][Pre-ICO] RadJav:Decentralized Datacenter and GUI/3D/Server JS Lang,"NEW THREAD IS HERE!   RadJav General purpose programming language and Decentralized Datacenter, bringing apps and dapps together  Website | Whitepaper | Video | Roadmap | FAQ | GitHub | Join Our Slack Channel  What’s RadJav? RadJav is not just another blockchain technology, RadJav is a general purpose JavaScript programming language and Decentralized Blockchain Datacenter. It is designed for creating apps and dapps as quickly as possible. It is currently available for Windows, and HTML5. Linux and Mac will be supported sometime in August 2017. Android, iOS, and Windows Universal App support will come in future versions. RadJav allows developers to rapidly create and deploy GUI, server applications, make blockchain transactions, and execute decentralized applications. Dapp, side-chains, custom tokens, and smart contract support is coming in the future. Currently, GUI and 3D Engine applications run with nearly the same performance and look across all platforms. There’s 4 main sections to RadJav: GUI       Currently supported          Create desktop and HTML5 applications using the same code. Custom themes, this is only available in the HTML5 version currently. Desktop support should be coming later 2017.                Supported features coming soon          Create responsive native desktop and mobile applications using the same code. Think of this as Bootstrap and jQuery coming to native desktop applications.             3D Engine       Coming soon in August 2017. Quickly create video games or simulations that run on multiple platforms.    Server       Supported features coming soon          HTTP/HTTPS Web Server and client support. It can currently make HTTP/HTTPS GET requests. Web socket server and web socket client functionality. Raw TCP/UDP socket communications over IPv4 and IPv6. Light database to be added. WebSocket Server/Database hybrid allowing GUI objects to be updated as the database is updated.             Decentralized Blockchain Datacenter       Blockchain V1             Currently supported                Securely mine and transfer XRJ coins over a blockchain, it is a slightly customized version of Bitcoin.                         Blockchain V2             Will give developers the ability to create smart contracts, sidechains, and their own coins.          Blockchain V3             A decentralized datacenter where mining is completed by the amount of time the application has been running for, the amount of storage that has been used, and the amount of bandwidth used. Detailed roadmap will come Q3 2017.              Is this an ICO? Why yes it is, we want RadJav to be a community driven project, and we need help raising funds so we can hire people to help develop this programming language and blockchain.  The date of the Pre-ICO and ICO will be announced at a later time.  Introductory Video https://www.youtube.com/watch?v=yYv45mGwUQo  GitHub Repository RadJav 0.11 has been released, you can run a blockchain node or try your hand coding at: https://github.com/HigherEdgeSoftware/RadJav/releases  Javascript API Reference http://www.radjav.com/en_us/api-reference/  Slack Come join our public Slack channel at radjav.slack.com or be automatically invited using: https://radjav-slack-invite.herokuapp.com/  FAQ https://github.com/HigherEdgeSoftware/RadJav/wiki/FAQ  How do I start mining Blockchain V1 (XRJV1)? Do not start mining yet, we are releasing a new version that will be on a different chain soon.  Where do I view the block explorer for Blockchain V1 (XRJV1)? You can view it at http://xrjv1explorer.radjav.com/  RadJav Blockchain V1 (XRJV1) Specifications Premined coins: 110,000,000 Developer’s Premined Coins Share: 20,000,000 Pre-ICO Coins available for purchase: 9,000,000 ICO Coins available for purchase: 60,000,000 Number of XRJ distributed per block: 16 Block Time: 3 minutes Ticker Symbol: XRJ Mining Algorithm: SHA-256 Max coins: 21,000,000,000 Uses Bitcoin’s tried and tested source code, including CSV and Segwit activated by default The following BIPs are activated: Bip34, Bip65, Bip66, Bip68, Bip112, Bip113, Bip141, Bip143, Bip147 Currently built straight into the programming language, separate Linux nodes are available.  RadJav Blockchain V2 (XRJV2) Would allow developers to create their own smart contracts for the network to execute. Eventually will give developers the ability to create a sidechain along with their own coins/tokens.  RadJav Blockchain V3 (XRJV3) Each computer has the option to host RadJav applications. Computers hosting RadJav applications would earn coins from the application being ran. These computers would be known as “nodes”. Every application would have an address associated with it, that would deduct funds while the application is in use. All storage and memory associated with the application will be encrypted. A system must be developed where hostile applications or applications hosting illegal activities can be reported and removed. Same for any hostile nodes. Once in place, I would like to eliminate all coin transfer fees, and have nodes earn coins from hosting RadJav applications only. We are open to all suggestions.  Who's Running the Show? Higher Edge Software, LLC    Nathanael Coonrod – Managing Member and Lead Developer     Isn’t this a large project? Why yes, it is! Thanks for noticing! In all reality, it’s not that large, it uses existing open source developer kits to help speed up development. As of right now it uses a few too many, so I’d like to try and cut down on that significantly. The most noticeable kits I’d like to get rid of would be: Dojo       This will be removed as soon as possible, as it causes way too many issues, and is far too large in file size and number of files.    wxWidgets       This may or may not remain in the project, depends on how many people I’m able to hire.    Ogre 3D       Again, this may or may not remain in the project.    cURL       This will be removed in the future.    Bitcoin Source Code       Obviously when Blockchain V2 arrives, the Bitcoin source code will be completely removed. This is when RadJav WILL hard fork.     How will the money from the ICO be used? The money will be used pretty much entirely on just hiring people, maintaining their salary, and creating marketing materials. Should we be lucky enough to get enough funding, we will also try to attend Blockchain related conventions and presentations.  How will coins from the ICO be distributed? You can purchase coins directly through the Higher Edge Software website, can pay using either Bitcoin, Ethereum, Ripple, or numerous different cryptocurrencies. Once you purchase your coins, you can either have them stored using our online wallet, or have them transferred to your personal wallet on your machine. We will strongly encourage exchanges NOT to allowing trading until the ICO is complete.   What happens to the ICO coins that are not sold during the 30 day ICO? They will be locked in multi-signature account with a public address for everyone to see, and offered for sale again February 8th 2018.  Note for Developers Please keep in mind RadJav is still under major development, so many parts of the API will change heavily.  Website https://www.radjav.com/",False
3,msg19994789,https://bitcointalk.org/index.php?topic=2008134.0,,2749,Announcements (Altcoins),2017-07-07 14:29:14,ncoonrod,Newbie,15,0,,[ANN][XRJ][Pre-ICO] RadJav:Decentralized Datacenter and GUI/3D/Server JS Lang,"We do have plans on adding general locale support. I wasn't able to get that into the initial release, but it is coming. I obviously wont be able to do the translations, so I'd have to recruit some help for that one.",False
4,msg19994827,https://bitcointalk.org/index.php?topic=2008134.0,msg19994789,2749,Announcements (Altcoins),2017-07-07 14:31:22,Cean,Hero Member,767,521,,[ANN][XRJ][Pre-ICO] RadJav:Decentralized Datacenter and GUI/3D/Server JS Lang,  Alright then I am up for Turkish translations if you will need. Reference work available in my profile.,False
5,msg19994854,https://bitcointalk.org/index.php?topic=2008134.0,msg19994789,2749,Announcements (Altcoins),2017-07-07 14:33:01,kaneki007,Sr. Member,770,251,,[ANN][XRJ][Pre-ICO] RadJav:Decentralized Datacenter and GUI/3D/Server JS Lang,  oke sir i'll wait,False
6,msg19995293,https://bitcointalk.org/index.php?topic=2008134.0,msg19994827,2749,Announcements (Altcoins),2017-07-07 14:56:54,ncoonrod,Newbie,15,0,,[ANN][XRJ][Pre-ICO] RadJav:Decentralized Datacenter and GUI/3D/Server JS Lang,"   I will let you know when the time comes. Thanks!  Also, this is a bit embarrassing, but if anyone knows how to setup a DNS Seeder on a VPS, please PM me.",False
7,msg19995307,https://bitcointalk.org/index.php?topic=2008134.0,,2749,Announcements (Altcoins),2017-07-07 14:57:33,KingsDS,Member,84,10,,[ANN][XRJ][Pre-ICO] RadJav:Decentralized Datacenter and GUI/3D/Server JS Lang,"I have some questions about RadJav:  What is the purpose of the coin? What can it be spent on?  It appears you are using standard hashes to mine coins, but it also says application nodes earn coins.  Is it both? What is the relation between the two?",False
8,msg19995370,https://bitcointalk.org/index.php?topic=2008134.0,,2749,Announcements (Altcoins),2017-07-07 15:01:27,AmoreJaz,Legendary,1400,1024,,[ANN][XRJ][Pre-ICO] RadJav:Decentralized Datacenter and GUI/3D/Server JS Lang,this is an interesting project! i will certainly keep an eye on this. im not sure what the end scope is but time will certainly tell!,False
9,msg19995447,https://bitcointalk.org/index.php?topic=2008134.0,msg19995307,2749,Announcements (Altcoins),2017-07-07 15:05:36,ncoonrod,Newbie,15,0,,[ANN][XRJ][Pre-ICO] RadJav:Decentralized Datacenter and GUI/3D/Server JS Lang,"   As of today, Blockchain V1 (XRJV1) was launched, which is your standard SHA-256 POW coin. This is simply for new Javascript developers to learn how blockchains work, how to create wallets, send transactions, etc. XRJV1 is built into the programming language.  When Blockchain V3 (XRJV3) launches, the application nodes will be earning and minting coins. There's no release date for XRJV3 yet.  Sorry if this wasn't clear enough.",False
10,msg19996209,https://bitcointalk.org/index.php?topic=2008134.0,,2749,Announcements (Altcoins),2017-07-07 15:48:17,Affilate User,Sr. Member,588,250,,[ANN][XRJ][Pre-ICO] RadJav:Decentralized Datacenter and GUI/3D/Server JS Lang,"The month of July is so full of ICO, to the extent that we do not know where to invest in the project, can you delay your ICO, and make better preparation? Because so many ICOs are sprinkled this month of july, and it is unlikely that investors will invest all their money into all projects, they will choose projects that have long-term vision and mission",False
