id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg30518405,https://bitcointalk.org/index.php?topic=2970410.0,,287,Announcements (Altcoins),2018-02-18 05:37:12,TripBit,Newbie,12,0,,[ANN][ICO] 🔵 TRIPBIT 🔵 - THE GLOBAL CURRENCY FOR TRAVEL & TOURISM,"https://imgur.com/7yVYU4L  WEBSITE | TWITTER | FACEBOOK | TELEGRAM | BOUNTY | WHITEPAPER  TAKING OVER THE $7.6 TRILLION DOLLAR TRAVEL INDUSTRY  https://imgur.com/JC3tJ0M  Core Business - Global Travel Online payments and bookings platform for flights, hotels and events/activities Allows consumers to purchase tickets with both cryptocurrencies (TBT, BTC, ETH, LTC, etc) and fiat currency (USD, EUR, AUD, GBP, etc) This disruption of the travel industry creates a massive target market Facilitates the mass-adoption of cryptocurrency with the general public We are stealing market share from a $7.6 trillion dollar industry Travellers will save time and money by not having to navigate through a plethora of different websites to find the best deals, which can all be found on TripBit  https://imgur.com/xxFMlYL  Secondary Business - P2P Marketplace Dapp TripBit will also develop a secondary peer-to-peer marketplace for consumers to buy and sell tickets that would otherwise be non-refundable For example, consumers will be able to resell their tickets to a concert that they can no longer attend, rather than forfeit its value The purpose of the Dapp marketplace is to empower consumers, and may be used by consumers for the transaction of discounted tickets There is also opportunity for consumers to create a business out of reselling their tickets via the TripBit Dapp Marketplace The Dapp is a decentralised platform, and as such, relies on no third party intermediaries, producing low fees, instantaneous transactions and anonymity  PRE-SALE Start: 21st March 2018 (UTC 00:00) End:  24th April 2018 (UTC 00:00)  MAIN-SALE Start: 1st May 2018 (UTC 00:00) End: 3rd July 2018 (UTC 00:00)   www.tripbit.info WHITEPAPER   BONUS STRUCTURE Early contributors will receive the most tokens  Pre-Sale: +35% BONUS  Main Sale: Stage 1: +30% BONUS Stage 2: +25% BONUS Stage 3: +20% BONUS Stage 4: +10% BONUS  People who contribute >10 ETH will receive an extra +5% BONUS!  TOKEN DATA Name: TRIPBIT Symbol: TBT Type: ERC-20 Max Supply: 700,000,000 Price: 1 ETH = 10,000 TBT Hard Cap: $40,000,000 Soft Cap: $4,000,000 Emissions: No new coins will ever be created  BENEFITS https://imgur.com/RehcN49  ROADMAP https://imgur.com/7vgz5Cd  CONTACT US WEBSITE | TWITTER | FACEBOOK | TELEGRAM | BOUNTY | WHITEPAPER",False
2,msg30518595,https://bitcointalk.org/index.php?topic=2970410.0,,287,Announcements (Altcoins),2018-02-18 05:43:42,TripBit,Newbie,12,0,,[ANN][ICO] 🔵 TRIPBIT 🔵 - THE GLOBAL CURRENCY FOR TRAVEL & TOURISM,Reserved,False
3,msg35701563,https://bitcointalk.org/index.php?topic=2970410.0,,287,Announcements (Altcoins),2018-04-27 08:58:05,ICOSECA,Newbie,6,0,,[ANN][ICO] 🔵 TRIPBIT 🔵 - THE GLOBAL CURRENCY FOR TRAVEL & TOURISM,"We spent some time analyzing this ICO, if anybody is interested: https://medium.com/icoseca-ico-insights/icoseca-tripbit-ico-insights-aafe50f181f5",False
4,msg37871644,https://bitcointalk.org/index.php?topic=2970410.0,,287,Announcements (Altcoins),2018-05-20 04:10:34,karanj,Full Member,448,100,,[ANN][ICO] 🔵 TRIPBIT 🔵 - THE GLOBAL CURRENCY FOR TRAVEL & TOURISM,Content creation bounty  Username:karanj Btalk profile:https://bitcointalk.org/index.php?action=profile;u=1030341 Link to content:https://steemit.com/cryptocurrency/@karankj/tripbit-your-decentralized-partner-in-travel,False
5,msg37875368,https://bitcointalk.org/index.php?topic=2970410.0,,287,Announcements (Altcoins),2018-05-20 05:01:28,ramiltez,Newbie,2,0,,[ANN][ICO] 🔵 TRIPBIT 🔵 - THE GLOBAL CURRENCY FOR TRAVEL & TOURISM,"Guys, ICO live? Publish here the address of your smart contract.",False
6,msg37877137,https://bitcointalk.org/index.php?topic=2970410.0,,287,Announcements (Altcoins),2018-05-20 05:24:14,leonard_amc,Newbie,32,0,,[ANN][ICO] 🔵 TRIPBIT 🔵 - THE GLOBAL CURRENCY FOR TRAVEL & TOURISM,What is your progress now? Have you reached the soft cap goal?,False
7,msg38064947,https://bitcointalk.org/index.php?topic=2970410.0,,287,Announcements (Altcoins),2018-05-21 16:47:57,LoveCryptoAll,Sr. Member,574,253,,[ANN][ICO] 🔵 TRIPBIT 🔵 - THE GLOBAL CURRENCY FOR TRAVEL & TOURISM,"Crypto currency for travelers is definitely needed. But, it is very important that this crypto currency becomes solvent and that it is possible to buy tourist services for these coins.",False
8,msg38498524,https://bitcointalk.org/index.php?topic=2970410.0,msg37877137,287,Announcements (Altcoins),2018-05-25 11:26:16,block observer,Newbie,27,0,,[ANN][ICO] 🔵 TRIPBIT 🔵 - THE GLOBAL CURRENCY FOR TRAVEL & TOURISM,"   You can look at some details about progress here (growth of number of token holders, statistics): http://bloxy.info/token_holders/0x8fd41a78ab84d3f9eba301942d4d24303fab41fc/?utm_source=bitcointalk",False
9,msg41025404,https://bitcointalk.org/index.php?topic=2970410.0,,287,Announcements (Altcoins),2018-06-27 16:33:35,bitcoinner786,Newbie,196,0,,[ANN][ICO] 🔵 TRIPBIT 🔵 - THE GLOBAL CURRENCY FOR TRAVEL & TOURISM,TBT is becoming one of the top coins in the world they have to listing on Binance or Bittrex,False
10,msg42674490,https://bitcointalk.org/index.php?topic=2970410.0,,287,Announcements (Altcoins),2018-07-22 15:59:17,Pirlolrip2018,Newbie,98,0,,[ANN][ICO] 🔵 TRIPBIT 🔵 - THE GLOBAL CURRENCY FOR TRAVEL & TOURISM,"TripBit bridges the gap between blockchain technology and the travel industry with an all-in-one solution that is extremely effective. TripBit not only integrates its three core elements - flights, hotels and events, under a single platform, but it will also allow travelers the option to pay in cryptocurrency or fiat.",False
