id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg23557159,https://bitcointalk.org/index.php?topic=2319863.0,,849,Announcements (Altcoins),2017-10-26 08:33:07,qimon,Newbie,6,0,,Bopti the first dedicated token to the construction industry #airdrop alert,"Following the success of Domraider's ICO, the French startup H-EQUITIES launched its pre ICO on october 27, 2017, in order to create the first Crypto-currency dedicated to the construction industry, a worldwide market valued at 15,5 trillion dollars in 2030.  BOPTI is a reward token for the users of BATOPTi App , this App is currently using by 30 000 peoples to help them to manage their constructions sites .  The company was founded 4 years ago and complete a first round seed investment of 100k euros at the beginning of 2017     Bopti will issue 200,000,000 token (crypto coin) during this ICO. The token need was estimated by the company at a level of 1.5 billion in 2021 (BATOPTI targets 3,000,000 users by this date), which suggests a sharp increase in the value of the token.  It will be possible to subscribe to the ICO by Credit Card, Transfer, or payment in Bitcoin or Ethereum.  These funds will allow the international development of the company . The business model is similar as facebook , the Apps is free and we sell targeted advertisement to companies.   For further check please our website www.bopti.eu whitepaper : http://www.bopti-ico.org/documents/WPBOPTIV111en.pdf  Stay tunes we will have a airdrop soon that we will post here .  Apps on apple store :   https://itunes.apple.com/fr/app/batopti/id1199479930?l=fr&mt=8 Apps on google play :  https://play.google.com/store/apps/details?id=com.hiapps.batopti&hl=fr",False
2,msg23607995,https://bitcointalk.org/index.php?topic=2319863.0,,849,Announcements (Altcoins),2017-10-27 07:41:19,qimon,Newbie,6,0,,Bopti the first dedicated token to the construction industry #airdrop alert,"the airdrop will arrive later today , also the pre ico will start in 3 hours .  stay tune",False
3,msg23619918,https://bitcointalk.org/index.php?topic=2319863.0,,849,Announcements (Altcoins),2017-10-27 12:17:17,qimon,Newbie,6,0,,Bopti the first dedicated token to the construction industry #airdrop alert,Here is the link for the airdrop  https://docs.google.com/forms/d/e/1FAIpQLSdE8RRTZA8bZa0_KB_8TfgYGSbej6QX_ERMc558HO3qezSsPg/viewform?usp=sf_link  here is the link for the pre-ico www.bopti-ico.org,False
4,msg23625385,https://bitcointalk.org/index.php?topic=2319863.0,,849,Announcements (Altcoins),2017-10-27 14:11:35,ImHash,Hero Member,812,505,,Bopti the first dedicated token to the construction industry #airdrop alert,"You sure it's a trillion dollars business? Because my 4 years old cousin could post this thread with better pictures I thought Social was the next FaceBook, But you are apparently. More power. We need a rest room and toilet, How much would those cost us? I think we're dead by the time we could actually use your application.",False
5,msg23657711,https://bitcointalk.org/index.php?topic=2319863.0,,849,Announcements (Altcoins),2017-10-28 07:17:52,qimon,Newbie,6,0,,Bopti the first dedicated token to the construction industry #airdrop alert,this have been updated . thank you,False
6,msg23666662,https://bitcointalk.org/index.php?topic=2319863.0,msg23627194,849,Announcements (Altcoins),2017-10-28 11:17:42,qimon,Newbie,6,0,,Bopti the first dedicated token to the construction industry #airdrop alert,    WE are a french company,False
7,msg24312510,https://bitcointalk.org/index.php?topic=2319863.0,,849,Announcements (Altcoins),2017-11-09 20:34:41,rom8569,Newbie,8,0,,Bopti the first dedicated token to the construction industry #airdrop alert,Hello all !  Own new website is online : http://www.bopti.eu/  Ask all you queries !,False
8,msg24339634,https://bitcointalk.org/index.php?topic=2319863.0,,849,Announcements (Altcoins),2017-11-10 10:09:56,thobo,Newbie,1,0,,Bopti the first dedicated token to the construction industry #airdrop alert,Bonjour J'aurai aimé savoir le nombre maximal de coin que vous envisager de mettre en circulation ?,False
9,msg24355443,https://bitcointalk.org/index.php?topic=2319863.0,,849,Announcements (Altcoins),2017-11-10 15:21:04,kenzawak,Hero Member,658,851,,Bopti the first dedicated token to the construction industry #airdrop alert,"J'ai entendu parler de votre projet sur le journal du coin, d'où mon passage sur ce topic. Tout cela m'intéresse et j'ai donc participé au airdrop. Je n'ai pas de lien linkedin à fournir, j'espère que ce n'est pas trop grave. Bonne chance en tout cas.",False
10,msg24493236,https://bitcointalk.org/index.php?topic=2319863.0,,849,Announcements (Altcoins),2017-11-13 07:29:38,execidris,Newbie,45,0,,Bopti the first dedicated token to the construction industry #airdrop alert,Where can I buy tokens?,False
11,msg25970375,https://bitcointalk.org/index.php?topic=2319863.0,,849,Announcements (Altcoins),2017-12-08 12:20:46,rom8569,Newbie,8,0,,Bopti the first dedicated token to the construction industry #airdrop alert,"Hello everyone,  I give you some news of our ICO: - We have to pass our Soft Cap - We found many important investors and very interested in the idea - A house building company will adopt Bopti and a training organization - We are negotiating with several exchange platform for our introduction.  You have a few days left to participate in our ICO, enjoy:  ICO website : http://www.bopti.eu/ ICO website : https://bopti-ico.org White Paper : https://www.bopti-ico.org/documents/WPBOPTIV111fr.pdf",False
12,msg25971247,https://bitcointalk.org/index.php?topic=2319863.0,msg24493236,849,Announcements (Altcoins),2017-12-08 12:48:38,rom8569,Newbie,8,0,,Bopti the first dedicated token to the construction industry #airdrop alert,  On the ICO website : www.bopti-ico.org,False
13,msg29412937,https://bitcointalk.org/index.php?topic=2319863.0,,849,Announcements (Altcoins),2018-02-01 21:27:23,albermaze,Member,182,10,,Bopti the first dedicated token to the construction industry #airdrop alert,"Hello, it has already passed some time since ICO is finished. Do you have any information when BOPTI will be listed on exchages? What exchanges are expected?",False
14,msg30375088,https://bitcointalk.org/index.php?topic=2319863.0,,849,Announcements (Altcoins),2018-02-15 23:09:17,gslgroup,Member,434,17,,Bopti the first dedicated token to the construction industry #airdrop alert,I would like to ask if someone can provide information abount BOPTI token listing on some exchanges. Any updates on project progress according to roadmap?,False
15,msg37263040,https://bitcointalk.org/index.php?topic=2319863.0,,849,Announcements (Altcoins),2018-05-14 15:37:45,gslgroup,Member,434,17,,Bopti the first dedicated token to the construction industry #airdrop alert,Is anyone from team support active here? I would like to ask if someone can provide information abount BOPTI token listing on some exchanges. Any updates on project progress according to roadmap?,False
