id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg40719224,https://bitcointalk.org/index.php?topic=4521993.0,,324,Announcements (Altcoins),2018-06-23 10:06:46,BarbieCasino,Sr. Member,610,250,,[ANN] [POT] 🚀PONICS TECHNOLOGIES🚀ICO,"PONICS TECHNOLOGIES ICO is already underway   Official Website   ||   WhiteBook       Ponics Technologies is engaged in developing of the aeroponics technologies of plants cultivation in a commercial scale. We are planning to change completely the market of agricultural technologies and provide the farmers with the possibility to grow high quality product with the maximum economic effect. Contribute to become co-owner and change the world!      About our technology  Currently, our technology has no competitor in the market of industrial cultivation systems.   Aeroponics is a form of hydroponics. It is a growin practice, in which there is no need to use such substrates like turf, soil or mineral wool, and the plants are grown by suspending their roots  in a closed air environment. The plants are fed by special solutions, which are sprayed to the roots by a fine aerosol.  Having such type of feeding , the plants can more efficiently absorb the nutrients required for it growing.   We can reduce the cycle of plants growing by several times, thus using our equipment the basil has grown in 20-22 days from planting to harvesting, lettuce can be grown for less than 16 days. Indeterminate plants, such as tomatoes, cucumbers, can start to produce fruits after just 1.5-2 months from the moment of planting (in comparison with 3 and more months, when using the method of drip irrigation). These parameters let us multiply the income of the company, which uses our technologies, compared to the competitors.   Therefore, we are in Ponics Tech planning to change completely the market of agricultural technologies and provide the farmers with the possibility to grow high quality product with the maximum economic effect, and simultaneously not to depend on climate conditions of districts they operate in.    MVP    More info and photos are available on products page  H-type Aaeroponic System is the unique development of Ponics Technologies. These systems are designed to create optimal conditions for growing plants. Pre-designed flexibility allows to grow greens, variety of determinant plants and micro-greens. The number of tiers can vary from 1 to 6 with the standard height of 2 m (maximum height is up to 6 m) for growing greens and herbs, in the result giving 504 seats for plants per 1sqm of the space footprint.   Our systems are equipped with high-strength water mains and customly designed injectors (patents pending), which makes the service life unlimited and significantly reduces maintenance costs. We also use the best agronomic lighting systems from Osram and Philips.   Nowadays we have already successfully started up one greenhouse complex in Moscow area and reached the yield of basil in 1.5 tone in 20 days out of 500 sq.m. of the greenhose. Our technology is fully ready for market entry.   The payback of such equipment varies from 2 to 6 months depending on the regional market and the crop being grown    Benefits for investors    Because of our limited capacities and enormous plans, we have decided to attract investments into our project by means of ICO. Thus, we  are planning to raise funds needed to set-up full-size production of aeroponics equipment, establishment of  research and trial facilities for further improvement of the technology and capture of the international market of agrarian technologies.   Our offer to investors:   • Share in the multimillion-dollar high-tech business of the proﬁtable industry. • The share of the proﬁt of all projects and developments of Ponics Technologies. • Guarantee of protection of property rights on the basis of their mass publication in the system of Ethereum blockchain and the guarantee obligations of the CEO (listed on the website in the form of the public contract). • Completely open and transparent business with full de-anonymization of the working team. • The right to manage business through general voting on strategic issues. • The ability to offer own ideas on development and manufacture of the modern agronomic equipment and take part in the complete process of research and development. • The ability to purchase equipment at cost price and to get a free support to start your own agronomic business. • Ability to manage the property right to transfer tokens to other users. • Employment opportunities. • Participation in corporate events.   We see a great future potential  in this business, as I have already mentioned before, our product shall allow farmers to produce food products of outstanding quality with the phenomenal economic effect. Our technology will be applied not only in big-size greenhouses, but also in city farming, HoReCa sector, and even in ordinary residential premises.      Funds distribution     Team            Token info    • Token name: Ponics Technologies Token • Token symbol: POT   • Token function: Security, share of the Ponics Technologies   • Total emission: 200 000 000 POT • Price: 5000 POT per 1 ETH (or 0.0002 ETH per 1 POT) • SoftCap in ETH: 1 000 ETH • HardCap in ETH: 40 000 ETH • ICO period: 18 jun 2018 - 20 jul 2018   Bonus program:   • first 20 000 000 POT - 20% bonus • next 50 000 000 POT - 15% bonus • next 80 000 000 POT - 10% bonus         Official Website   ||   WhiteBook    ",False
2,msg40722255,https://bitcointalk.org/index.php?topic=4521993.0,,324,Announcements (Altcoins),2018-06-23 11:00:47,Atect90,Newbie,65,0,,[ANN] [POT] 🚀PONICS TECHNOLOGIES🚀ICO,it's nice project can you tell me the ICO start and end date.,False
3,msg40722389,https://bitcointalk.org/index.php?topic=4521993.0,msg40722255,324,Announcements (Altcoins),2018-06-23 11:02:56,BarbieCasino,Sr. Member,610,250,,[ANN] [POT] 🚀PONICS TECHNOLOGIES🚀ICO,  if you read the thread with detail you will be fined the date of ICO thanks for interest ICO period: 18 jun 2018 - 20 jul 2018,False
4,msg40740909,https://bitcointalk.org/index.php?topic=4521993.0,,324,Announcements (Altcoins),2018-06-23 16:05:52,user0000001,Sr. Member,938,261,,[ANN] [POT] 🚀PONICS TECHNOLOGIES🚀ICO,very interesting project .. I would like to participate in the bounty? when to expect the announcement of the bounty,False
5,msg40795273,https://bitcointalk.org/index.php?topic=4521993.0,msg40740909,324,Announcements (Altcoins),2018-06-24 11:48:08,BarbieCasino,Sr. Member,610,250,,[ANN] [POT] 🚀PONICS TECHNOLOGIES🚀ICO,  bounty will be announce in two days,False
6,msg40977279,https://bitcointalk.org/index.php?topic=4521993.0,,324,Announcements (Altcoins),2018-06-26 22:30:53,fjptgackj1,Newbie,70,0,,[ANN] [POT] 🚀PONICS TECHNOLOGIES🚀ICO,https://bitcointalk.org/index.php?topic=4548712.new#new Is this your Air Drop?,False
7,msg41185131,https://bitcointalk.org/index.php?topic=4521993.0,,324,Announcements (Altcoins),2018-06-30 01:35:40,MandexTer,Jr. Member,434,7,,[ANN] [POT] 🚀PONICS TECHNOLOGIES🚀ICO,Пoчeмy бы Baм пpocтo нe coздaть aкциoнepнoe oбщecтвo? тaм xoтя бы интepecы инвecтopoв зaщищaeт кaкoй-никaкoй зaкoн...  why not just set up a joint-stock company? at least the law protects the interests of investors there...,False
8,msg41188629,https://bitcointalk.org/index.php?topic=4521993.0,,324,Announcements (Altcoins),2018-06-30 03:43:14,kalong428,Member,228,11,,[ANN] [POT] 🚀PONICS TECHNOLOGIES🚀ICO,"a good plan hopes many investors join here to launch a plan to regulate the full production of aeroponic equipment, the establishment of research facilities and trials for further technological improvements and capture the international market of agricultural technology.",False
9,msg41259035,https://bitcointalk.org/index.php?topic=4521993.0,,324,Announcements (Altcoins),2018-07-01 06:23:52,siofok,Newbie,39,0,,[ANN] [POT] 🚀PONICS TECHNOLOGIES🚀ICO,Hungarian translation reserved,False
10,msg41555186,https://bitcointalk.org/index.php?topic=4521993.0,,324,Announcements (Altcoins),2018-07-05 09:18:09,brokens,Sr. Member,728,251,,[ANN] [POT] 🚀PONICS TECHNOLOGIES🚀ICO,"very amazing, i like the concept and roadmap on this projects. i am very sure that this project can giving the profit for the participants in here. hopefully many investors invest here and get a lot of support. ",False
