id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg26566033,https://bitcointalk.org/index.php?topic=2398178.0,,5572,Announcements (Altcoins),2017-12-18 20:06:10,Soyab khan,Newbie,42,0,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business",a awesome ico in bitcoin org. this is very easy and comfortable and so useful i find..i am in love with it.,False
2,msg26584559,https://bitcointalk.org/index.php?topic=2398178.0,,5572,Announcements (Altcoins),2017-12-19 05:51:23,xetorkaiba,Newbie,28,0,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business","once everything is functioning and working, is there a possibility that one can propose a project or a business and ask a budget without putting out of cash in the registration phase?",False
3,msg26596186,https://bitcointalk.org/index.php?topic=2398178.0,msg26529631,5572,Announcements (Altcoins),2017-12-19 10:30:51,mariah.sadio,Full Member,308,101,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business",   Yes. Thank you for further explaining what Popultrade really means specially its functions. Hope that all of us read this.,False
4,msg26640359,https://bitcointalk.org/index.php?topic=2398178.0,msg26596186,5572,Announcements (Altcoins),2017-12-20 04:50:41,Lilianaser,Member,308,10,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business",  a growing number of ico so the more that scam and the results are less satisfying. but this may populate with the project smoothly her results satisfy.,False
5,msg26651767,https://bitcointalk.org/index.php?topic=2398178.0,,5572,Announcements (Altcoins),2017-12-20 09:25:37,Soyab khan,Newbie,42,0,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business",awesome thing..i find here.that people can published there feeling and there idea about any thing whats imporntat or about what he is interest...and can earn a good figure in a month..,False
6,msg26654358,https://bitcointalk.org/index.php?topic=2398178.0,,5572,Announcements (Altcoins),2017-12-20 10:18:36,xetorkaiba,Newbie,28,0,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business","in proposing a business, is there a limitation or restriction on what business should be propose? or any kind of business should do like gambling perhaps.",False
7,msg26660282,https://bitcointalk.org/index.php?topic=2398178.0,msg26654358,5572,Announcements (Altcoins),2017-12-20 12:18:42,mariah.sadio,Full Member,308,101,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business","   I don’t think gambling can be done as business here. There is no limitation if what kind of business you want to make up with using Popultrade, as long as you can offer any kind of service. If you don’t have any business in mind, you can also be part of others’ business by investing to them.",False
8,msg26684809,https://bitcointalk.org/index.php?topic=2398178.0,,5572,Announcements (Altcoins),2017-12-20 19:57:39,Soyab khan,Newbie,42,0,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business",popular trade is going more popular and..favorite thing....bcz it has some good legits and payment transaction on post....,False
9,msg26706206,https://bitcointalk.org/index.php?topic=2398178.0,msg26660282,5572,Announcements (Altcoins),2017-12-21 07:19:29,xetorkaiba,Newbie,28,0,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business","  i see, so every proposed business is okay except for those that includes gambling or anything that's immoral .",False
10,msg26706431,https://bitcointalk.org/index.php?topic=2398178.0,,5572,Announcements (Altcoins),2017-12-21 07:26:06,xetorkaiba,Newbie,28,0,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business","In proposing a business here in PT , is there a validation process for it to be funded?",False
11,msg26706988,https://bitcointalk.org/index.php?topic=2398178.0,msg26706206,5572,Announcements (Altcoins),2017-12-21 07:40:36,mariah.sadio,Full Member,308,101,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business","     Yeah, you are right with that. If you want to invest, invest with them through joining businesses of others who also invested money from them. If you want to start your own business, do you already have business in your mind ?",False
12,msg26734342,https://bitcointalk.org/index.php?topic=2398178.0,,5572,Announcements (Altcoins),2017-12-21 16:43:20,Soyab khan,Newbie,42,0,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business",passing a good time with popular tradenico.hope it reach at top.....and do well,False
13,msg26734708,https://bitcointalk.org/index.php?topic=2398178.0,,5572,Announcements (Altcoins),2017-12-21 16:50:18,Tremt200,Full Member,392,100,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business","Something is not very actively updated news in social networks. How are things with the project, what does the team work on, answer who is in the course of events ...",False
14,msg26786543,https://bitcointalk.org/index.php?topic=2398178.0,,5572,Announcements (Altcoins),2017-12-22 15:02:37,Soyab khan,Newbie,42,0,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business",developmemt of poplar trade is not explainable.its doing some awesome job....hope it foes well...,False
15,msg26819140,https://bitcointalk.org/index.php?topic=2398178.0,msg26786543,5572,Announcements (Altcoins),2017-12-23 07:08:14,rezakurnia66,Full Member,546,100,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business","  project PopulTrade, has a fresh and exciting ideas to follow, the team that's been a reliable support will surely be many investors who joined to invest. success for his future.  ",False
16,msg26840511,https://bitcointalk.org/index.php?topic=2398178.0,,5572,Announcements (Altcoins),2017-12-23 15:58:42,Soyab khan,Newbie,42,0,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business",popular trade has some fresh and straight legit..i like it too much.u will also find love for it,False
17,msg26902006,https://bitcointalk.org/index.php?topic=2398178.0,,5572,Announcements (Altcoins),2017-12-24 20:04:54,Soyab khan,Newbie,42,0,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business",i wish it reach on his goal very soon and do somome more better thing for bitcoin..org users.,False
18,msg26946065,https://bitcointalk.org/index.php?topic=2398178.0,,5572,Announcements (Altcoins),2017-12-25 17:58:08,Soyab khan,Newbie,42,0,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business",mind blowing ico...hope it raised very soon,False
19,msg27221593,https://bitcointalk.org/index.php?topic=2398178.0,,5572,Announcements (Altcoins),2017-12-30 18:53:52,Vorteqs,Full Member,434,100,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business","Interesting project, does a user of the platform need to fill a KYC to be considered to access funds in the pool for investment and also how can one access other investors in the PT platform.",False
20,msg27378421,https://bitcointalk.org/index.php?topic=2398178.0,msg27221593,5572,Announcements (Altcoins),2018-01-03 02:24:29,bestpikka,Full Member,574,102,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business","   a good project and have a good idea. the project aims to develop a high-tech system that allows an individual or group of individuals to realize their ideas and business, offers them the environment/ infrastructure where ideas and the business that could be developed into a product and can be marketed. This system will allow the accumulation of capital for business ideas and purchase activity through daily top product that is already made and marketed, and also earn commissions as income derived from the use of ideas and business already realized in the system, hopefully, successful ICO and smoothly",False
21,msg26455284,https://bitcointalk.org/index.php?topic=2398178.0,,5572,Announcements (Altcoins),2017-12-16 21:47:44,Mikwik,Member,518,10,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business","Just like this enriched PopulTrade platform. I would like to join in PopulTrade business but it seems only the ETH currency is accepted to join in Crowd sale, I am seriously invested to join in the project. However i had certain BTC but if i wish to join in the PoplTrade with BTC it is like I must pay double time transactions charges as i am from a country where i have to purchase a bitcoin so now again to convert Bitcoin to coin , we need to pay again Transaction fee..",False
22,msg26467928,https://bitcointalk.org/index.php?topic=2398178.0,,5572,Announcements (Altcoins),2017-12-17 05:59:45,dinos69,Newbie,28,0,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business",is there an announcement for the exchanges this icon will be listed?,False
23,msg26474385,https://bitcointalk.org/index.php?topic=2398178.0,,5572,Announcements (Altcoins),2017-12-17 09:14:46,BranZolt,Full Member,196,100,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business",I think that there should to more languages to be added in the whitepapers . Therefore it will help to get more clients and traders to the project. What is your opinion?,False
24,msg26479303,https://bitcointalk.org/index.php?topic=2398178.0,msg26474385,5572,Announcements (Altcoins),2017-12-17 11:09:45,jhenzdelacruz,Member,195,10,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business","  Maybe its part of their plan. As we all know,for every iCO,there's always language translation. Maybe their focusing right now in the devt of their project so they'll be more confident to get more investors.",False
25,msg26487667,https://bitcointalk.org/index.php?topic=2398178.0,msg26474385,5572,Announcements (Altcoins),2017-12-17 13:54:21,velosepur,Full Member,787,100,,"[ANN][ICO] PopulTrade - Create, join, or invest in any business",   Agree about this.,False
