id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg48853152,https://bitcointalk.org/index.php?topic=2897398.0,msg48569265,8333,Announcements (Altcoins),2018-12-24 01:35:47,NDX-AKA,Member,476,10,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,"  the project that will last a long time for the ICO, hopefully everything will run smoothly and will be able to achieve the targeted results, whatever the team plans will have been carefully thought through to achieve the success of this project.",False
2,msg48924255,https://bitcointalk.org/index.php?topic=2897398.0,msg48853152,8333,Announcements (Altcoins),2018-12-28 05:56:37,Yaiko08,Member,490,10,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,"  I hope all the teams prepare all this carefully so that this project will run as expected and achieve maximum results, and hope the team will always work together in a compact and passionate manner for this project.",False
3,msg49096743,https://bitcointalk.org/index.php?topic=2897398.0,,8333,Announcements (Altcoins),2019-01-07 10:25:31,mbiticles200,Newbie,19,0,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,"When I came across this project somewhere july last year I thought it was brilliant. I went unto the website and looked at the team and ambassadors and instantly, I was sold. Its about time the unreliable and opportunistic banking ways was thwarted. Having a bank right in my pocket is exactly what I need. Having access to my funds on the go is what is needed. Also the ability to change currency at any time is simply unbelievable. Can't think of a project that will easily beat this. I'm absolutely sold on this. Will do my utmost best to spread the word. Its also very interesting some football players are going to be paid through this. Truely innovational.",False
4,msg49097035,https://bitcointalk.org/index.php?topic=2897398.0,,8333,Announcements (Altcoins),2019-01-07 10:44:55,mbiticles200,Newbie,19,0,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,"With so much belief in this team, I expect nothing but a successful DTO. Should easily end before the stipulated time frame. Can't wait till its globally accepted.",False
5,msg49098586,https://bitcointalk.org/index.php?topic=2897398.0,,8333,Announcements (Altcoins),2019-01-07 12:30:10,CryptQuest,Newbie,26,0,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,hmm its a good idea if it makes the whole process of exchanging altcoins to cash more seemless else its a waste to add another layer,False
6,msg49115423,https://bitcointalk.org/index.php?topic=2897398.0,,8333,Announcements (Altcoins),2019-01-08 11:47:20,UstadSoleh,Member,448,10,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,"I see that this project gets a lot of support for success, but when will ICO take place here? And hope the team involved is always vigorous in promoting this project so that in the future there will be many investors who are interested in investing here and success will also be achieved with satisfying results.",False
7,msg49125104,https://bitcointalk.org/index.php?topic=2897398.0,,8333,Announcements (Altcoins),2019-01-08 22:14:27,mbiticles200,Newbie,19,0,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,"With Asia being the financial sectors of this world, I think its imperative that aggressive strategies are mapped out to dominate that region. It will only bode well for quantocoin.  I am sure the hard cap can easily be achieved . The use of social media is will help to promote this project to succeed and will many people know about this project.",False
8,msg49125181,https://bitcointalk.org/index.php?topic=2897398.0,,8333,Announcements (Altcoins),2019-01-08 22:22:55,mbiticles200,Newbie,19,0,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,"The concept of a good project and its rating is also very good but by looking at the roadmap for sure this project has been running very long but has not achieved hardcup whether this is due to too many similar projects, hopes that the teams will contribute more in taking their respective roles Because this team is very much losing time with projects that use a little team. Wink",False
9,msg49149243,https://bitcointalk.org/index.php?topic=2897398.0,,8333,Announcements (Altcoins),2019-01-10 06:44:57,nugrama,Full Member,560,100,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,"a lot of support is flowing for this project, I am sure with a lot of this support will make this project a success because more and more will be promoting this project to be successful for this project.",False
10,msg49297691,https://bitcointalk.org/index.php?topic=2897398.0,msg49149243,8333,Announcements (Altcoins),2019-01-18 13:44:09,Kuchiyose,Full Member,686,100,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,   I hope your words with this project go according to plan because many projects have not ended well for several months. Maybe this will change something good. Maybe !!!,False
11,msg49513391,https://bitcointalk.org/index.php?topic=2897398.0,,8333,Announcements (Altcoins),2019-01-31 10:36:58,Magriyya185,Newbie,1,0,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,Quantocoin will be a force to be reckoned with for sure,False
12,msg49592124,https://bitcointalk.org/index.php?topic=2897398.0,,8333,Announcements (Altcoins),2019-02-05 07:49:41,ATSgrowth,Full Member,644,104,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,"I have a bad feeling that this project is going to scam, there are no recent news, telegram is dead, they extended bounty campaign and ICO sale.",False
13,msg52051750,https://bitcointalk.org/index.php?topic=2897398.0,,8333,Announcements (Altcoins),2019-08-03 21:19:40,sorrros,Full Member,714,103,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,"Hello, I see that you are alive again. Will you pay bounty hunters from the campaign that was managed in 2018: https://bitcointalk.org/index.php?topic=4956093? I do not see updated spreadsheets, that is why I am asking. ",False
14,msg52052104,https://bitcointalk.org/index.php?topic=2897398.0,msg52051750,8333,Announcements (Altcoins),2019-08-03 22:27:01,mr_random,Legendary,1092,1001,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,"  This project is dead and the forum account of team representative is inacitve for more than 7 months. Telegram account is not online for many months, looks like a scam project. Smells fishy, to be honest.",False
15,msg47136508,https://bitcointalk.org/index.php?topic=2897398.0,,8333,Announcements (Altcoins),2018-10-21 23:05:06,MrSpasybo,Member,378,19,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,🔥BITEXPERT - new rating 9/10: https://bitexpert.io/rating-ico/quantocoin-qtct,False
16,msg47533330,https://bitcointalk.org/index.php?topic=2897398.0,,8333,Announcements (Altcoins),2018-11-03 00:03:31,MrSpasybo,Member,378,19,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,"Hope you can reach hardcap soon, Quantocoin is one of the best ICOs in 2018-2019. Can't wait for checking your App in real economy world to replace fiat!",False
17,msg47820592,https://bitcointalk.org/index.php?topic=2897398.0,msg47533330,8333,Announcements (Altcoins),2018-11-12 07:01:47,givary,Jr. Member,378,1,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,"  we just wait and we pray the best, hopefully what we hope can be achieved later, hardcap will be achieved with satisfactory results.",False
18,msg48011680,https://bitcointalk.org/index.php?topic=2897398.0,,8333,Announcements (Altcoins),2018-11-18 12:10:48,Gotenks,Jr. Member,203,1,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,"The concept of a good project and its rating is also very good but by looking at the roadmap for sure this project has been running very long but has not achieved hardcup whether this is due to too many similar projects, hopes that the teams will contribute more in taking their respective roles Because this team is very much losing time with projects that use a little team. Wink",False
19,msg48033426,https://bitcointalk.org/index.php?topic=2897398.0,,8333,Announcements (Altcoins),2018-11-19 04:37:31,nugrama,Full Member,560,100,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,must be sure and optimistic that this project will surely succeed later because all the teams involved here will always try to make the project successful. And this project will definitely be able to compete with other projects. Team enthusiasm and success for this project.,False
20,msg48047564,https://bitcointalk.org/index.php?topic=2897398.0,msg46506090,8333,Announcements (Altcoins),2018-11-19 16:05:27,princessjenyz,Full Member,546,100,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,"   I agree with you, the stability of the price on exchange depends on its community and also consider the current status of crypto market. QTC team should work more hard for the development of the project based on its roadmap. Overall I am very impressed with the rating of this project and the team seems very good in marketing as well.",False
21,msg48117985,https://bitcointalk.org/index.php?topic=2897398.0,,8333,Announcements (Altcoins),2018-11-22 05:05:43,fernadies,Newbie,112,0,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,"Show me your main advantages, please. What makes Quantocoin outstanding?",False
22,msg48188036,https://bitcointalk.org/index.php?topic=2897398.0,msg48047564,8333,Announcements (Altcoins),2018-11-24 15:42:49,Jaka.Sembuh,Full Member,448,100,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,"   yes, this project is indeed good in marketing. I also hope that in the future the development of this project can run according to the plan so that when it is listed on the price exchange the tokens can be of quality.",False
23,msg48280901,https://bitcointalk.org/index.php?topic=2897398.0,,8333,Announcements (Altcoins),2018-11-27 22:21:05,Meggie Diaz,Jr. Member,92,1,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,"As most members say here, Quantocoin is a promising project and has a good team performance behind it. But I don't know why you are interested in using the Waves blockchain, considering the tokens that come from there are always difficult to grow. Can you explain me about the reason?",False
24,msg48364295,https://bitcointalk.org/index.php?topic=2897398.0,,8333,Announcements (Altcoins),2018-12-01 07:12:33,durudara,Member,406,10,,[ANN][ICO]s QUANTOCOIN - FIRST REAL BLOCKCHAIN BANK,New main sales will last 5 days and I hope that in the future there will be many investors who join this project so that the target can be achieved.,False
