id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg34361181,https://bitcointalk.org/index.php?topic=3293200.0,,236,Announcements (Altcoins),2018-04-10 10:02:28,Fire Rabbit,Legendary,1232,1000,,[ANN][ICO] Unchainet - Decentralized Cloud Platform For Everyone,"Decentralized cloud platform for everyone  One Pager | White Paper  TELEGRAM | GITHUB | TWITTER | MEDIUM | FACEBOOK  HOME| MISSION | THE PLATFORM | TOKEN SALE | ROADMAP | DEMO | TEAM | FAQ | CONTACT   UNCHAINET is the decentralized cloud platform connecting providers with spare computing resources and clients who need them. Providers are existing cryptocurrency miners, small-medium hosting companies and enterprises with unutilized ""zombie servers"" (research shows that 30% of servers in private datacenters are consuming energy but not used). UNCHAINET clients can be any existing cloud users. Our platform's important differentiator from competing decentralized cloud platforms is familiar open source technology and bridging interfaces which completely removes friction associated with staff training and allows easy migration from existing platforms.  UNCHAINET first cloud niche is spot pricing infrastructure, which is growing in popularity on traditional cloud platforms. It's essentially a bidding platform where clients set the price they are willing to pay for resources - this allows them to save up to 90% of costs. We are uniquely positioned to provide this service in decentralized cloud space, with very short time to market. (prototype launched, full MVP by the end of May 2018)  UNCHAINET has partnered with experienced advisors and with several Cloud cost optimization companies, which utilize spot pricing infrastructure for their existing clients, giving UNCHAINET immediate clientele after integrating with them.  Using blockchain technology (QoS chain and UNET chain) brings trust and transparency between clients and providers and fast peer-to-peer contracts and transactions. It's just a backbone technology for platform users, but very important for the community to see the network size, volumes of contracts and tamper-proof quality of providers. Computing resources are traded in UNET cryptocurrency. All UNETs will be distributed during ICO, and new clients will need to purchase them from token holders through exchanges. Growing number of contracts on the platform will raise the value of the UNCHAINET network.  UNET starts as the ERC20 token, but our roadmap includes building custom blockchain based on modularity of Tendermint blockchain and fast speeds of Red Belly blockchain while achieving better decentralization on algorithm layer (Proof of Beneficial Work algorithm) and even geo distribution of voting nodes. This will allow us to migrate UNETs to our native blockchain and launch modular ""blockchain as a service"" offering for 3rd party dApps.    One Pager | White Paper  TELEGRAM | GITHUB | TWITTER | MEDIUM | FACEBOOK  HOME| MISSION | THE PLATFORM | TOKEN SALE | ROADMAP | DEMO | TEAM | FAQ | CONTACT",True
2,msg34367813,https://bitcointalk.org/index.php?topic=3293200.0,,236,Announcements (Altcoins),2018-04-10 11:30:06,r_victory,Sr. Member,854,258,,[ANN][ICO] Unchainet - Decentralized Cloud Platform For Everyone,"Do you have any bounty campaigns? I would like to reserve the Portuguese translation ...  Portfolio: https://docs.google.com/spreadsheets/d/1y08FOOIk3xoH7wKIsdUYv3vxaITzdePriG-k9oZWlqI/edit?usp=sharing  I can translate WP, Website...",True
3,msg34409117,https://bitcointalk.org/index.php?topic=3293200.0,,236,Announcements (Altcoins),2018-04-10 20:29:59,SeveralQ,Member,182,11,,[ANN][ICO] Unchainet - Decentralized Cloud Platform For Everyone,"Hi everyone! Just added the Unchainet ICO to my website https://concourseq.io/Q/Unchainet. ConcourseQ is a collaborative due diligence community that researches and reviews ICOs. Anyone with an account can submit information to your page, so we are reaching out to this community to get you all involved in the discussion. Thanks! PS: If you have any questions about filling in the info, feel free to ask us in our discord group: https://discord.gg/j8RBAwB",True
4,msg34412292,https://bitcointalk.org/index.php?topic=3293200.0,,236,Announcements (Altcoins),2018-04-10 21:30:38,LoveCryptoAll,Sr. Member,574,253,,[ANN][ICO] Unchainet - Decentralized Cloud Platform For Everyone,"I really liked that the developers can not mold their own token from the air or bitcoin, but go their own way. And it is right. If their system is more advanced, then they are threatened to become legislators.",True
5,msg36750852,https://bitcointalk.org/index.php?topic=3293200.0,,236,Announcements (Altcoins),2018-05-09 07:03:49,LinKxFr,Newbie,42,0,,[ANN][ICO] Unchainet - Decentralized Cloud Platform For Everyone,This ICO sounds quite interesting.... Can't wait to hear more about it,True
6,msg36752658,https://bitcointalk.org/index.php?topic=3293200.0,,236,Announcements (Altcoins),2018-05-09 07:28:41,oioioi,Jr. Member,294,1,,[ANN][ICO] Unchainet - Decentralized Cloud Platform For Everyone,"I think all decentralized Platform-based projects, whether there are other features of your project, so other investors interested in your project",True
7,msg44053351,https://bitcointalk.org/index.php?topic=3293200.0,,236,Announcements (Altcoins),2018-08-14 07:51:05,ihgazni2018,Newbie,31,0,,[ANN][ICO] Unchainet - Decentralized Cloud Platform For Everyone,"The concept with UNCHAINET is impressive, and the technologies could have the potential to change the way computing power is being distributed and monetized.",True
8,msg44762482,https://bitcointalk.org/index.php?topic=3293200.0,,236,Announcements (Altcoins),2018-08-27 10:32:18,scrivenorr,Full Member,224,105,,[ANN][ICO] Unchainet - Decentralized Cloud Platform For Everyone,BASE.INFO team has interviewed Joey Jones the VP Global Sales & Business Development of Unchainet project. We have asked the most topical questions to get acquainted with the project and to learn the future plans of the Unchainet team.  https://base.info/news/exclusive-interview-unchainet-decentralized-cloud-platform-for-everyone,True
9,msg44810442,https://bitcointalk.org/index.php?topic=3293200.0,,236,Announcements (Altcoins),2018-08-28 08:20:35,bebum,Newbie,154,0,,[ANN][ICO] Unchainet - Decentralized Cloud Platform For Everyone,"A great project, with enormous possibilities and incredible power. In addition to a strong and active community. I will invest with certainty, I believe very much in the future of this project.",True
10,msg44811000,https://bitcointalk.org/index.php?topic=3293200.0,,236,Announcements (Altcoins),2018-08-28 08:32:40,Morros,Member,287,10,,[ANN][ICO] Unchainet - Decentralized Cloud Platform For Everyone,"It is Funny. Just a couple of weeks ago, me with team began to make our own application. We are interested in Unchainet.",True
