id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg47653638,https://bitcointalk.org/index.php?topic=5051724.0,,314,Announcements (Altcoins),2018-11-06 20:04:51,LifeCharity,Copper Member,19,0,,[ANN] [ICO] LIFE CHARITY - Global blockchain charity platform, Quick sneak-peak from our internal testings of lifecharity.io blockchain donation platform!           ,False
2,msg47741090,https://bitcointalk.org/index.php?topic=5051724.0,,314,Announcements (Altcoins),2018-11-09 16:05:30,LifeCharity,Copper Member,19,0,,[ANN] [ICO] LIFE CHARITY - Global blockchain charity platform,Have a local charitable foundation that need help? Contact us now: info@lifecharity.io,False
3,msg47969958,https://bitcointalk.org/index.php?topic=5051724.0,,314,Announcements (Altcoins),2018-11-16 22:03:11,LifeCharity,Copper Member,19,0,,[ANN] [ICO] LIFE CHARITY - Global blockchain charity platform,Today is the day! Life Charity ICO is live! Join to charity world revolution now: lifecharity.io       [url],False
4,msg46962542,https://bitcointalk.org/index.php?topic=5051724.0,,314,Announcements (Altcoins),2018-10-16 21:03:18,LifeCharity,Copper Member,19,0,,[ANN] [ICO] LIFE CHARITY - Global blockchain charity platform,,False
5,msg46964070,https://bitcointalk.org/index.php?topic=5051724.0,,314,Announcements (Altcoins),2018-10-16 22:22:57,ArmanShirinyan,Newbie,32,0,,[ANN] [ICO] LIFE CHARITY - Global blockchain charity platform,So glad to be part of this awesome team and project !,False
6,msg46964285,https://bitcointalk.org/index.php?topic=5051724.0,,314,Announcements (Altcoins),2018-10-16 22:35:00,AmoreJaz,Legendary,1400,1024,,[ANN] [ICO] LIFE CHARITY - Global blockchain charity platform,"hold your horses! i havent seen any charity-related platform attain their success in crypto. because in reality, either the project is a scam or a crap one. they are using the face of charity for their personal gain. now, you have to prove the community your authenticity and it would take time to do that. but anyway, you have all the time in the world to show what youve got.",False
7,msg46972895,https://bitcointalk.org/index.php?topic=5051724.0,msg46964285,314,Announcements (Altcoins),2018-10-17 07:29:04,LifeCharity,Copper Member,19,0,,[ANN] [ICO] LIFE CHARITY - Global blockchain charity platform,   Thank you for your attention. At the beginning of developement of Life Charity we have analyzed the whole market of charity platforms or charity-related projects that have blockchain technology in their system. And you are absolutely right - most of them using blockchain only because it was a tranding technology and it helped to collect money or it just has been used it in wrong direction. We figured out how to use it right and make donations much easier and more transparent. Our team is not looking forward to collect money from this ICO for pernosal gains since we are not starting this ICO at the period of time when 90% of the ICOs were successfull only because of the market saturation and we will appreciate any help that we will get just to create reputation of technology that helps people for blockchain.,False
8,msg46975564,https://bitcointalk.org/index.php?topic=5051724.0,msg46975039,314,Announcements (Altcoins),2018-10-17 09:05:40,LifeCharity,Copper Member,19,0,,[ANN] [ICO] LIFE CHARITY - Global blockchain charity platform,   Thank you. Our mass media director will verify our team members and update some information about ICO.,False
9,msg46987089,https://bitcointalk.org/index.php?topic=5051724.0,,314,Announcements (Altcoins),2018-10-17 15:28:43,LifeCharity,Copper Member,19,0,,[ANN] [ICO] LIFE CHARITY - Global blockchain charity platform,Life Charity bounty programm annouced in this thread : https://bitcointalk.org/index.php?topic=5052223,False
10,msg47022556,https://bitcointalk.org/index.php?topic=5051724.0,,314,Announcements (Altcoins),2018-10-18 15:46:25,Cholidm,Member,218,10,,[ANN] [ICO] LIFE CHARITY - Global blockchain charity platform,Hopefully this project will truly achieve its goals. I see this project is very good with a very noble goal of a place to channel charity donations. I hope that the existence of a platform project like this will make the distribution of charity donations easier and faster and truly channeled,False
11,msg47023495,https://bitcointalk.org/index.php?topic=5051724.0,msg47022556,314,Announcements (Altcoins),2018-10-18 16:13:57,LifeCharity,Copper Member,19,0,,[ANN] [ICO] LIFE CHARITY - Global blockchain charity platform,   Thank you sir. We are working very hard to make world a better place and make blockchain part of it.,False
12,msg47024694,https://bitcointalk.org/index.php?topic=5051724.0,,314,Announcements (Altcoins),2018-10-18 16:50:07,dzkrb,Sr. Member,672,250,,[ANN] [ICO] LIFE CHARITY - Global blockchain charity platform,"You wrote. ""Our platform wants to be the first and highest quality product developed on the market. cryptocurrency market. With the help of the Charity Platform LIFE, consumers want to be able to select any available non-profit foundation and donate any amount of Ethereum tokens to it. As a reward, each participant wants to receive ""LFT"" - tokens that can be sold on any available stock exchange or stored on the ERC-20 wallet. ""But to become an advanced and high-quality platform, you need to change the engine. ERC-20 is outdated, everyone is switching to ERC-223.",False
13,msg47025171,https://bitcointalk.org/index.php?topic=5051724.0,msg47024694,314,Announcements (Altcoins),2018-10-18 17:04:01,LifeCharity,Copper Member,19,0,,[ANN] [ICO] LIFE CHARITY - Global blockchain charity platform,"   Our team has been looking forward to change our token format, but at this moment, since we are only at the ICO stage, there is no need in ERC-223 format. After release of our platform format of tokens will be changed. Thank you for your attention",False
14,msg47055407,https://bitcointalk.org/index.php?topic=5051724.0,,314,Announcements (Altcoins),2018-10-19 15:39:01,LifeCharity,Copper Member,19,0,,[ANN] [ICO] LIFE CHARITY - Global blockchain charity platform,"Checkout our first medium article by co-founder of Life Charity!  ""5 reasons to implement blockchain for your charity.""",False
15,msg47087466,https://bitcointalk.org/index.php?topic=5051724.0,,314,Announcements (Altcoins),2018-10-20 16:14:53,LifeCharity,Copper Member,19,0,,[ANN] [ICO] LIFE CHARITY - Global blockchain charity platform,,False
16,msg47164316,https://bitcointalk.org/index.php?topic=5051724.0,,314,Announcements (Altcoins),2018-10-22 18:27:22,LifeCharity,Copper Member,19,0,,[ANN] [ICO] LIFE CHARITY - Global blockchain charity platform,Bounty campaign updated,False
17,msg47232870,https://bitcointalk.org/index.php?topic=5051724.0,,314,Announcements (Altcoins),2018-10-24 20:38:22,LifeCharity,Copper Member,19,0,,[ANN] [ICO] LIFE CHARITY - Global blockchain charity platform,"Life Charity platform prototype will be open for public in a few weeks!  If you want to become a beta-tester, write us on our e-mail: info@lifecharity.io",False
