id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg49126847,https://bitcointalk.org/index.php?topic=5027699.0,msg47925340,26932,Marketplace (Altcoins),2019-01-09 01:57:23,bey85,Member,686,10,,💥💥💥[BOUNTY] AEN - Get free porn for life! 3M AEN Token for Bounty Rewards 🔥,   Why i can't get stakes?,False
2,msg49311464,https://bitcointalk.org/index.php?topic=5027699.0,,26932,Marketplace (Altcoins),2019-01-19 11:05:26,fannyaslam9,Newbie,252,0,,💥💥💥[BOUNTY] AEN - Get free porn for life! 3M AEN Token for Bounty Rewards 🔥,Week #5( 14jan- 20 jan ) Twitter Campaign,False
3,msg47896217,https://bitcointalk.org/index.php?topic=5027699.0,,26932,Marketplace (Altcoins),2018-11-14 14:49:05,symwofl125,Newbie,336,0,,💥💥💥[BOUNTY] AEN - Get free porn for life! 3M AEN Token for Bounty Rewards 🔥,Facebook campaign Week 09: Nov 08 - Nov 14 share: 1. https://www.facebook.com/hoangquansymwofl/posts/287572028755210 2. https://www.facebook.com/hoangquansymwofl/posts/287969705382109 3. https://www.facebook.com/hoangquansymwofl/posts/288813188631094 4. https://www.facebook.com/hoangquansymwofl/posts/289083931937353 5. https://www.facebook.com/hoangquansymwofl/posts/289707428541670 Linkedin campaign Week 09: Nov 08 - Nov 14 Share & like: 1. https://www.linkedin.com/feed/update/urn:li:activity:6466226515263754240 2. https://www.linkedin.com/feed/update/urn:li:activity:6466480979224731648 3. https://www.linkedin.com/feed/update/urn:li:activity:6467032790037815296 4. https://www.linkedin.com/feed/update/urn:li:activity:6467207856499322880 Post: https://www.linkedin.com/feed/update/urn:li:activity:6466226593068089344 Medium campaign Week 09: Nov 08 - Nov 14 Link to claps: 1. https://medium.com/@aentoken/interview-with-aen-token-brand-ambassador-sabrina-deep-ef11fb8acda5 2. https://medium.com/@aentoken/12-new-porn-sites-joined-aen-48e3224665f9 3. https://medium.com/@aentoken/interview-with-industry-advisor-diego-castles-1bb1ad6d2a26 4. https://medium.com/@aentoken/meet-jolie-the-first-transgender-brand-ambassador-of-the-blockchain-industry-72cb025fcf50 5. https://medium.com/@aentoken/interview-with-industry-advisor-john-medendorp-6f0f8ed80228,False
4,msg47898109,https://bitcointalk.org/index.php?topic=5027699.0,,26932,Marketplace (Altcoins),2018-11-14 15:54:12,Harrsionrangers10383,Newbie,238,0,,💥💥💥[BOUNTY] AEN - Get free porn for life! 3M AEN Token for Bounty Rewards 🔥,Week 9: 8/11 - 14/11  Facebook campaign:  Share: 1   https://www.facebook.com/ncoitran/posts/258886941643892 2   https://www.facebook.com/ncoitran/posts/259400861592500 3   https://www.facebook.com/ncoitran/posts/259984668200786 4   https://www.facebook.com/ncoitran/posts/261001681432418 5   https://www.facebook.com/ncoitran/posts/261979878001265 ------------------------------------------  LinkedIn campaign:  Share: 1   https://www.linkedin.com/feed/update/urn:li:activity:6466277184670662656/ 2   https://www.linkedin.com/feed/update/urn:li:activity:6466661527771545600/ 3   https://www.linkedin.com/feed/update/urn:li:activity:6467077658864914432/ 4   https://www.linkedin.com/feed/update/urn:li:activity:6467842299236876288/ Post: 1 https://www.linkedin.com/feed/update/urn:li:activity:6468500838397644800,False
5,msg47903080,https://bitcointalk.org/index.php?topic=5027699.0,,26932,Marketplace (Altcoins),2018-11-14 18:56:18,Boiktird,Newbie,196,0,,💥💥💥[BOUNTY] AEN - Get free porn for life! 3M AEN Token for Bounty Rewards 🔥,Week 9: 8 November - 14 November 2018  Twitter Campaign Bitcointalk username: Boiktird Twitter Profile Link : https://twitter.com/Boiktird Follower Count: 5388 ETH wallet address : 0xa58802b1d932b227654d96f8145e3cfa34c97a99      Likes & Retweets:    https://twitter.com/aentoken/status/1054046519639400449 https://twitter.com/aentoken/status/1054054668756836352 https://twitter.com/aentoken/status/1055155574541824001 https://twitter.com/aentoken/status/1056258682139357185 https://twitter.com/aentoken/status/1058057671595749383  Tweeet https://twitter.com/Boiktird/status/1060100541689212929      Week 9: 8 November - 14 November 2018  facebook Campaign Bitcointalk username: Boiktird facebook Profile Link : https://www.facebook.com/Boiktird ETH wallet address : 0xa58802b1d932b227654d96f8145e3cfa34c97a99 Friend Count: 5302   facebook share and like:       https://www.facebook.com/Boiktird/posts/2072506399728315 https://www.facebook.com/Boiktird/posts/2072506339728321 https://www.facebook.com/Boiktird/posts/2072506229728332 https://www.facebook.com/Boiktird/posts/2072506183061670 https://www.facebook.com/Boiktird/posts/2072506153061673      Week 9: 8 November - 14 November 2018  LinkedIn Campaign Bitcointalk username: Boiktird LinkedIn Profile Link :https://www.linkedin.com/in/Boiktird  share and like: https://www.linkedin.com/feed/update/urn:li:activity:6465865123394256896 https://www.linkedin.com/feed/update/urn:li:activity:6465865104591187968 https://www.linkedin.com/feed/update/urn:li:activity:6465865082168442880 https://www.linkedin.com/feed/update/urn:li:activity:6465865063692537856  post: https://www.linkedin.com/feed/update/urn:li:activity:6465865932764901376,False
6,msg47904252,https://bitcointalk.org/index.php?topic=5027699.0,,26932,Marketplace (Altcoins),2018-11-14 19:44:48,nikvitebsk,Copper Member,434,0,,💥💥💥[BOUNTY] AEN - Get free porn for life! 3M AEN Token for Bounty Rewards 🔥,Week 09: Nov 08 - Nov 14 Facebook campaign Facebook link: https://www.facebook.com/ybrjkfccc Likes & Shares: 1. https://www.facebook.com/ybrjkfccc/posts/557742617986343 2. https://www.facebook.com/ybrjkfccc/posts/556235454803726 3. https://www.facebook.com/ybrjkfccc/posts/556686031425335 4. https://www.facebook.com/ybrjkfccc/posts/557226374704634 5. https://www.facebook.com/ybrjkfccc/posts/558772331216705  Week 09: Nov 08 - Nov 14 Twitter Campaing Twitter link: https://twitter.com/ybrjkfccc Likes & Retweets: 1. https://twitter.com/aentoken/status/1061672566316847104 2. https://twitter.com/ybrjkfccc/status/1060606037655478274 3. https://twitter.com/ybrjkfccc/status/1060936592343384065 4. https://twitter.com/ybrjkfccc/status/1061319595854848001 5. https://twitter.com/ybrjkfccc/status/1062400497359953926 Tweet Link : 1. https://twitter.com/ybrjkfccc/status/1062792181851795457,False
7,msg47910921,https://bitcointalk.org/index.php?topic=5027699.0,,26932,Marketplace (Altcoins),2018-11-15 01:46:56,stf1k,Newbie,546,0,,💥💥💥[BOUNTY] AEN - Get free porn for life! 3M AEN Token for Bounty Rewards 🔥,week 9 retweet: 1. https://twitter.com/aentoken/status/1049317762324201472 2. https://twitter.com/aentoken/status/1049298235041505282 3. https://twitter.com/aentoken/status/1061672566316847104 4. https://twitter.com/aentoken/status/1047874633389752321 5. https://twitter.com/aentoken/status/1047459654089945088 https://twitter.com/stf1k/status/1061827988310749184,False
8,msg47925340,https://bitcointalk.org/index.php?topic=5027699.0,msg47728117,26932,Marketplace (Altcoins),2018-11-15 12:55:21,bey85,Member,686,10,,💥💥💥[BOUNTY] AEN - Get free porn for life! 3M AEN Token for Bounty Rewards 🔥,  Linkedin campaign week #10 15-21 november  Like and repost  1. https://www.linkedin.com/feed/update/activity:6468818710894350336 2. https://www.linkedin.com/feed/update/activity:6469931517656305664 3. 4. 5. Own post  1.,False
9,msg47931806,https://bitcointalk.org/index.php?topic=5027699.0,msg47661426,26932,Marketplace (Altcoins),2018-11-15 16:21:12,anhhungxadieu0402,Newbie,140,0,,💥💥💥[BOUNTY] AEN - Get free porn for life! 3M AEN Token for Bounty Rewards 🔥,    WEEK 10 (15.11 - 21.11)  Twitter Campain Like & Retweet: 1. https://twitter.com/aentoken/status/1051129502661861377 2. https://twitter.com/aentoken/status/1051067293638242304 3. https://twitter.com/aentoken/status/1049733881509892097 4. https://twitter.com/aentoken/status/1064642865471635456 5. https://twitter.com/aentoken/status/1049317762324201472  Tweet: 1. https://twitter.com/tranquoctien08/status/1064165661704773632  Facebook Campaign Like & Share: 1. https://www.facebook.com/chutieuvotinh97/posts/526591727815540 2. https://www.facebook.com/chutieuvotinh97/posts/528109740997072 3. https://www.facebook.com/chutieuvotinh97/posts/528755520932494 4. https://www.facebook.com/chutieuvotinh97/posts/529264004214979 5. https://www.facebook.com/chutieuvotinh97/posts/529752177499495  Post:   1. https://www.facebook.com/chutieuvotinh97/posts/528109840997062,False
10,msg47941119,https://bitcointalk.org/index.php?topic=5027699.0,,26932,Marketplace (Altcoins),2018-11-15 22:34:53,ivanleon,Jr. Member,280,1,,💥💥💥[BOUNTY] AEN - Get free porn for life! 3M AEN Token for Bounty Rewards 🔥,Facebook Campaign Facebook link: https://www.facebook.com/profile.php?id=100000738209103 Week 10: Nov 15 - Nov 21 share: 1. https://www.facebook.com/permalink.php?story_fbid=2194818620552723&id=100000738209103 2. https://www.facebook.com/permalink.php?story_fbid=2195842760450309&id=100000738209103 3. end 4. 5.  LinkedIn Campaign LinkedIn link: https://www.linkedin.com/in/ivan-leonov-882270109/ Week 10: Nov 15 - Nov 21 Repost: 1. https://www.linkedin.com/feed/update/urn:li:activity:6468964060879683584/ 2. https://www.linkedin.com/feed/update/urn:li:activity:6469241730527952896/ 3. end 4.   Post 1.,False
