id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg36047412,https://bitcointalk.org/index.php?topic=2028383.0,msg35802314,16503,Announcements (Altcoins),2018-05-01 16:54:17,cryptobits3,Full Member,658,100,,ANN [XUC] Exchange Union Coin: Bridging Digital Currency Exchanges Globally,"  I would not say that the XUK token falls in price, like it stably holds in the area of 75k sat, I'm sure soon to the moon without recurrence - so the team of this project is working quietly and not noticeably)",True
2,msg36099908,https://bitcointalk.org/index.php?topic=2028383.0,,16503,Announcements (Altcoins),2018-05-02 10:39:38,haithomocduong,Newbie,111,0,,ANN [XUC] Exchange Union Coin: Bridging Digital Currency Exchanges Globally,"For me personally, the airdrops do not make sense. You get a crumb from the table as a result. It is much more interesting to participate in bounty campaigns.",True
3,msg38506819,https://bitcointalk.org/index.php?topic=2028383.0,,16503,Announcements (Altcoins),2018-05-25 12:56:12,kenobius,Legendary,1650,1033,,ANN [XUC] Exchange Union Coin: Bridging Digital Currency Exchanges Globally,"Exchange Union went up north to Boston for the L2 Summit. This was all about scaling on Layer 2, with a large focus on payment channels and the lightning network. We even participated in the Hackathon on the second day, and Daniel created a slick (and fully functional) Lightning app with the help of his team. Check out the video below: Lightning Network Developer, Daniel McNally and his team are demonstrating their lightning network creation at the L2 Summit Hackathon. https://www.youtube.com/watch?v=k2HMazPGYJY&feature=youtu.be",True
4,msg39864956,https://bitcointalk.org/index.php?topic=2028383.0,,16503,Announcements (Altcoins),2018-06-11 09:29:45,Kuala Lumpur,Member,420,69,,ANN [XUC] Exchange Union Coin: Bridging Digital Currency Exchanges Globally,"The latest interesting news from their twitter:  We just did our #Lightning BTC/LTC swap! Instant, trustless, decentralized - that's how exchanges will work in future! We are also launching early stage testing of our XUD node with selected exchanges next month. Stay tuned! Wanna try the swap? Check: https://blog.exchangeunion.com/product-update-4-atomic-swaps-on-lightning-diy-follow-our-swap-guide-185401a06a2d",True
5,msg41533346,https://bitcointalk.org/index.php?topic=2028383.0,,16503,Announcements (Altcoins),2018-07-04 23:36:17,Tokenista,Jr. Member,252,1,,ANN [XUC] Exchange Union Coin: Bridging Digital Currency Exchanges Globally,aura has launched the beta zero youstock platform these platforms are going to be the next stage of crypto because everyone can make a token currency easily then trade it easily and could be melded with social media platforms https://github.com/YouStock/beta/releases/tag/0.0.0  https://bitcointalk.org/index.php?topic=2818598.0,True
6,msg42316173,https://bitcointalk.org/index.php?topic=2028383.0,,16503,Announcements (Altcoins),2018-07-16 21:56:12,ANDREW 555,Jr. Member,182,7,,ANN [XUC] Exchange Union Coin: Bridging Digital Currency Exchanges Globally,Open-source Campaign & Developer Rewards Program https://coindar.org/en/event/exchange-union-xuc-opensource-campaign-developer-rewards-program-11678,True
7,msg42645573,https://bitcointalk.org/index.php?topic=2028383.0,,16503,Announcements (Altcoins),2018-07-22 09:24:20,hoangtubia,Newbie,168,0,,ANN [XUC] Exchange Union Coin: Bridging Digital Currency Exchanges Globally,"XUC rewards participants for providing services whilst participants using the services pay with XUC. There is also an incentive system for developing and maintaining the Exchange Union software and keeping the network up and running which will be paid in XUC.  Rewards All parties participating in the Exchange Union network are rewarded with XUC: Exchanges: for joining Exchange Union Users: for achieving trading volume goals via Exchange Union Developers: for successfully merged pull-requests, reviewing code, and testing changes Functionaries: for providing services in the union Running XU Nodes as lightning/raiden hubs Order book forwarding Watchtower service Total Supply: 3,000,000,000Circulating Supply: 65,000,000ERC20 token, no ICO, not classified as security.Contract Address: 0xc324a2f6b05880503444451b8b27e6f9e63287cb",True
8,msg44021067,https://bitcointalk.org/index.php?topic=2028383.0,,16503,Announcements (Altcoins),2018-08-13 15:53:19,kingstarblack,Newbie,34,0,,ANN [XUC] Exchange Union Coin: Bridging Digital Currency Exchanges Globally,"I hope to immediately pay the rest of the total that I should have received. Lack of 31,173 ETH  https://bitcointalk.org/index.php?topic=4886441.0",True
9,msg45664048,https://bitcointalk.org/index.php?topic=2028383.0,,16503,Announcements (Altcoins),2018-09-14 07:19:00,kingstarblack,Newbie,34,0,,ANN [XUC] Exchange Union Coin: Bridging Digital Currency Exchanges Globally,"I hope to immediately pay the rest of the total that I should have received. Lack of 31,173 ETH    https://bitcointalk.org/index.php?topic=5028539.0",True
10,msg48123803,https://bitcointalk.org/index.php?topic=2028383.0,,16503,Announcements (Altcoins),2018-11-22 09:59:23,danipay,Hero Member,910,512,,ANN [XUC] Exchange Union Coin: Bridging Digital Currency Exchanges Globally,youtube video : https://youtu.be/J6ti4cE_6XQ,True
11,msg26761909,https://bitcointalk.org/index.php?topic=2028383.0,,16503,Announcements (Altcoins),2017-12-22 05:54:37,herma,Full Member,182,100,,ANN [XUC] Exchange Union Coin: Bridging Digital Currency Exchanges Globally,XUC list on the new exchange Cex.com  https://twitter.com/exchange_union/status/944082876512976896  Congratulation !,True
12,msg26761956,https://bitcointalk.org/index.php?topic=2028383.0,,16503,Announcements (Altcoins),2017-12-22 05:56:27,jerry3k5jamiso1,Full Member,434,100,,ANN [XUC] Exchange Union Coin: Bridging Digital Currency Exchanges Globally,"Hi dev, what are your long-term plans, you can tell us to know",True
13,msg27018258,https://bitcointalk.org/index.php?topic=2028383.0,msg26761956,16503,Announcements (Altcoins),2017-12-27 03:38:17,B.,Copper Member,238,10,,ANN [XUC] Exchange Union Coin: Bridging Digital Currency Exchanges Globally,"   Xuc just have an update about roadmap. go to official website, so there you go.",True
14,msg27374357,https://bitcointalk.org/index.php?topic=2028383.0,,16503,Announcements (Altcoins),2018-01-02 23:56:46,Byzantium.,Newbie,7,0,,ANN [XUC] Exchange Union Coin: Bridging Digital Currency Exchanges Globally,"Hoping that all the plans in the whitepaper can match so I get what I expect, XUC is a very profitable coin if we are patient.",True
15,msg27378311,https://bitcointalk.org/index.php?topic=2028383.0,msg26706784,16503,Announcements (Altcoins),2018-01-03 02:19:59,Kriptos,Member,532,10,,ANN [XUC] Exchange Union Coin: Bridging Digital Currency Exchanges Globally,  all who participated in this project certainly expect the same thing. Hopefully the price will soar and become a project that gives a bright future.,True
16,msg27397801,https://bitcointalk.org/index.php?topic=2028383.0,msg27018258,16503,Announcements (Altcoins),2018-01-03 11:01:05,peloso,Legendary,1778,1089,,ANN [XUC] Exchange Union Coin: Bridging Digital Currency Exchanges Globally,   why you ignore me ?,True
17,msg27540262,https://bitcointalk.org/index.php?topic=2028383.0,,16503,Announcements (Altcoins),2018-01-05 16:01:24,l0uisStanley,Member,182,10,,ANN [XUC] Exchange Union Coin: Bridging Digital Currency Exchanges Globally,"What's benefit for exchange to use XUC? Now Okex will seems to use XCU system ,Okex will get advantage by using XCU?",True
