id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg48425012,https://bitcointalk.org/index.php?topic=3167842.0,msg48424977,467,Announcements (Altcoins),2018-12-03 17:54:29,Jackl87,Full Member,630,117,,[ANN][ICO] DirectHome: Successful and profitable business plans to go Global!,   Looks pretty dead to me and i doubt they collected anything in the ICO the 3 Mill are just fake numbers to get some poor guys to invest.,False
2,msg32756951,https://bitcointalk.org/index.php?topic=3167842.0,,467,Announcements (Altcoins),2018-03-20 14:08:29,directhome,Newbie,24,0,,[ANN][ICO] DirectHome: Successful and profitable business plans to go Global!,"Who are we? DirectHome Pte Ltd (‘DH’) is a Singapore incorporated company founded by Kiegan Chia. As an online property platform (www.directhome.com.sg), DH allows buyers and sellers of resale properties to transact without the necessity of real estate agents, at no or extremely low-costs. Notably, DH also facilitates lawful cash-backs to buyers (as reviewed by relevant authorities) who buy primary properties via DH. The cash-back arrangement is a novel and valuable feature that sets DH apart from its competitors.  In a short span of 2 years, DH boasts a user-base of approximately 125,000 people. More than S$350,000,000 of real estate has been transacted to date, with more than S$7,000,000 in savings gained by sellers, buyers, landlords and tenants (compared to incumbent fees charged elsewhere).  Why Cryptocurrency? As part of its expansion plans, DH intends to issue DIREC tokens, a non-securitised cryptocurrency through an initial coin offering (‘ICO’). DIREC tokens are ERC20 compliant and managed by a token smart contract that is deployed on the Ethereum blockchain. DIREC tokens are a form of utility cryptocurrency that can be used to pay for services on DH’s web platform.  Why invest in DirectHome? Because we are the real deal! DH’s ICO is unlike many other ICOs because it is based on an already successful and profitable business model. Unlike many blockchain startups, DH already has an established business which goes beyond a vision and a roadmap. DH has succeeded because it reduces transaction and search costs for buyers and sellers and allows buyers of primary property to share some of the profits property developers earn.  While traditional property web-portals are agent and developercentric, DH is disruptive to existing incumbents because it puts ordinary buyers first, significantly reducing search-costs.  Our Investors and Advisors who will ensure we are a success! DH’s success has not gone unnoticed. Our investors and advisors include:  1. Daniel Teo (Chairman, Hong How Group & former President of FIABCI and REDAS) https://www.linkedin.com/in/daniel-teo-94664a8/ 2. Michael Chan (former MD, Bank of New York Mellon) https://www.linkedin.com/in/michael-chan-5ab06b15/ 3. Wang Shuang (Vice Chairman and CEO of HNA Group (International) Company Limited) https://www.bloomberg.com/research/stocks/private/person.asp?personId=308881987&privcapId=182732149 4. John Gaw (CEO, LandConsult & former Deputy Commissioner of Lands, Singapore Land Authority) https://www.linkedin.com/in/john-gaw-957428103/ 5. Jin Chensu (MD, Cyrius International Pte Ltd) https://www.linkedin.com/in/chensu-jin-46a59bb3/  Featured On DH’s disruptive business model has been featured in nearly a dozen different news outlets. These include all of Singapore’s main newspapers, established regional news platforms and several business magazines and periodicals. These include Channel NewsAsia, Money Week, The Straits Times, CEAnergy, Asian Property Review, Berita Harian, Mediacorp - Suria and Lianhe Zaobao.  Why ICO? DH’s business model is easily transportable globally and it sees its market as global, with immediate plans to facilitate low-cost, efficient transactions in Southeast Asia and Australasia before branching to the United States, the United Kingdom then to the rest of the world. DH will use the ICO proceeds to expand its scope of services via three milestones. Find out more in the ICO site (https://www.directhome.co) or Whitepaper (https://s3-ap-southeast-1.amazonaws.com/directhome/DIRECTHOME+WHITEPAPER+V1.0.pdf).  Current Status of ICO Private Sale: Ongoing Public Sale:    ⛥ Start on 15 May 2018, 1200 hrs (UTC +08:00) Singapore Time    ⛥ End on 15 Jul 2018, 1159 hrs (UTC +08:00) Singapore Time * Bonuses up to 30%! WOW!  Check us out! ICO site: https://www.directhome.co Whitepaper: https://s3-ap-southeast-1.amazonaws.com/directhome/DIRECTHOME+WHITEPAPER+V1.0.pdf Facebook: https://www.facebook.com/DirectHomeSG Telegram: https://t.me/joinchat/GFuo2kSlsXKPwGJVaR7zLA Twitter: https://twitter.com/DirectHomeICO Youtube: https://www.youtube.com/channel/UCU0NgN9QiPH9ML2xnYTiOLg Linkedin: https://www.linkedin.com/company/directhome Medium: https://medium.com/@directhome Bounty Campaign: https://medium.com/@directhome/directhome-bounty-campaign-ff7565592e38",False
3,msg32769588,https://bitcointalk.org/index.php?topic=3167842.0,,467,Announcements (Altcoins),2018-03-20 17:08:58,SeveralQ,Member,182,11,,[ANN][ICO] DirectHome: Successful and profitable business plans to go Global!,"Hi everyone! Just added Directhome ICO to my website https://concourseq.io/Q/Directhome. ConcourseQ is a collaborative due diligence community that researches and reviews ICOs. Anyone with an account can submit information to your page, so we are reaching out to this community to get you all involved in the discussion. Thanks! PS: If you have any questions about filling in the info, feel free to ask us in our discord group: https://discord.gg/j8RBAwB",False
4,msg35976164,https://bitcointalk.org/index.php?topic=3167842.0,,467,Announcements (Altcoins),2018-04-30 18:18:01,Vladdirescu87,Sr. Member,966,264,,[ANN][ICO] DirectHome: Successful and profitable business plans to go Global!,"Fintech Startup DirectHome to Offer Cash Back and Token Rewards  Leading real estate service provider DirectHome enables its platform users to buy, sell and rent properties without the need or cost for an agent. The platform is the world's first to offer cash back and rewards to contributors via Tokenomics, thus integrating blockchain technology with real estate transactions. DirectHome has recently increased its profile with the launch of the token generation event for their token DIREC.  The global business is a decentralized, crowd-sourced, transactional platform, designed to provide the complete real estate database while facilitating property transactions between all existing stakeholders. The company are presenting the public with an ecosystem, via the ERC20 blockchain, with smart contract implementation within the tokenomics infrastructure.  Read the details in the article of Coinidol dot com, the world blockchain news outlet: https://coinidol.com/directhome-to-offer-cash-back-and-token-rewards/",False
5,msg36592114,https://bitcointalk.org/index.php?topic=3167842.0,,467,Announcements (Altcoins),2018-05-07 15:00:42,konstantin777,Newbie,49,0,,[ANN][ICO] DirectHome: Successful and profitable business plans to go Global!,It is unclear how this project differs from similar?,False
6,msg36609548,https://bitcointalk.org/index.php?topic=3167842.0,,467,Announcements (Altcoins),2018-05-07 18:30:45,Urenru,Newbie,63,0,,[ANN][ICO] DirectHome: Successful and profitable business plans to go Global!,I can’t understand of this project 😌,False
7,msg36610615,https://bitcointalk.org/index.php?topic=3167842.0,,467,Announcements (Altcoins),2018-05-07 18:44:14,Investmon,Newbie,45,0,,[ANN][ICO] DirectHome: Successful and profitable business plans to go Global!,"""That's it!"" That's what i need was my first think when i found DirectHome ICO. I'll hope your project will collect a lot of feedback and will collect a good amount! I wish good luck to developers and if you need RUSSIAN translator or Telegram moderator, you can pm me, i'll be happy to help you. ",False
8,msg36614765,https://bitcointalk.org/index.php?topic=3167842.0,,467,Announcements (Altcoins),2018-05-07 19:36:43,KAPOOR786,Newbie,32,0,,[ANN][ICO] DirectHome: Successful and profitable business plans to go Global!,Good Work.....,False
9,msg36627576,https://bitcointalk.org/index.php?topic=3167842.0,,467,Announcements (Altcoins),2018-05-07 23:00:19,woocheol,Newbie,8,0,,[ANN][ICO] DirectHome: Successful and profitable business plans to go Global!,  good~~~~,False
10,msg36630416,https://bitcointalk.org/index.php?topic=3167842.0,,467,Announcements (Altcoins),2018-05-07 23:56:32,Rahulranjan1706,Newbie,28,0,,[ANN][ICO] DirectHome: Successful and profitable business plans to go Global!,Good,False
