id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg30800576,https://bitcointalk.org/index.php?topic=1935171.0,,21368,Announcements (Altcoins),2018-02-22 02:36:17,Karitra1,Sr. Member,644,251,,[Bounties] [ANN] [ preICO ] [ HONESTIS.NETWORK ],Hello sir I have not received any token I my wallet Num spreadsheet: 44 https://docs.google.com/spreadsheets/d/1rof5qZwlGa5ZT5ft3dhbmUEUxwtQtwmumYl18ifKaSU/edit#gid=0 Myether adress: 0xCDbf91f5447b17744273A8bAae8D40d06b5d0a0d Give me my payment plz,False
2,msg30867286,https://bitcointalk.org/index.php?topic=1935171.0,,21368,Announcements (Altcoins),2018-02-23 00:56:42,honestis.network,Member,95,10,,[Bounties] [ANN] [ preICO ] [ HONESTIS.NETWORK ],"5 simple tasks to see tokens on 1st Wire:  •  add custom token 0x97ae70613d8329207ce5756c62162b305ed34041 •  connect to node http://77.55.221.164 port 8583 •  check your address all here or locally from harddrive if you dowload mew from git http://wallet.honestis.network/beta/ •  just one first click + email should create account and give answer to poll or rating question, this is our aim for nearest future, and present current status of wallet like hnt possession / amount •  most of this info is on facebook https://www.facebook.com/honestis.network/posts/916007705233520 and twit and so on https://www.facebook.com/honestis.network/posts/924174381083519  To transfer tokens check EIP 155 and CHAIN id  is : 8377738  check this out  SIDE chain like many projects will start to do, due to transactions limitations on ETH",False
3,msg31018458,https://bitcointalk.org/index.php?topic=1935171.0,,21368,Announcements (Altcoins),2018-02-25 08:11:50,X-Files,Full Member,321,100,,[Bounties] [ANN] [ preICO ] [ HONESTIS.NETWORK ],"Hey, where is my bounty payment ? it's been a long time, from the start of joining until today has not received payment ",False
4,msg31122885,https://bitcointalk.org/index.php?topic=1935171.0,msg30800576,21368,Announcements (Altcoins),2018-02-26 16:14:46,Karitra1,Sr. Member,644,251,,[Bounties] [ANN] [ preICO ] [ HONESTIS.NETWORK ],  This bounty not distributed yet? Answer plz,False
5,msg32323386,https://bitcointalk.org/index.php?topic=1935171.0,msg30867286,21368,Announcements (Altcoins),2018-03-14 20:32:12,zauna35,Sr. Member,812,287,,[Bounties] [ANN] [ preICO ] [ HONESTIS.NETWORK ],  is this a joke? you offer us fishing wallet?when coins to be paid?it's been a long time!it begins to resemble fraud!,False
6,msg32323458,https://bitcointalk.org/index.php?topic=1935171.0,,21368,Announcements (Altcoins),2018-03-14 20:33:31,Vyrtyx,Newbie,126,0,,[Bounties] [ANN] [ preICO ] [ HONESTIS.NETWORK ],nice work,False
7,msg33251062,https://bitcointalk.org/index.php?topic=1935171.0,,21368,Announcements (Altcoins),2018-03-27 00:14:16,junmisakiro,Full Member,308,106,,[Bounties] [ANN] [ preICO ] [ HONESTIS.NETWORK ],still waiting the next this project hopefull dev is seriously to make this project to be succesfull,False
8,msg27480720,https://bitcointalk.org/index.php?topic=1935171.0,,21368,Announcements (Altcoins),2018-01-04 17:01:04,Karitra1,Sr. Member,644,251,,[Bounties] [ANN] [ preICO ] [ HONESTIS.NETWORK ],nice news  one week our bounty be destributed BTCBTCBTC thanks and goog chance  HONESTIS.NETWORK,False
9,msg27788243,https://bitcointalk.org/index.php?topic=1935171.0,msg24765585,21368,Announcements (Altcoins),2018-01-09 17:02:49,dnrmix,Member,180,10,,[Bounties] [ANN] [ preICO ] [ HONESTIS.NETWORK ],        PLS! How take coin after bounty? I accept with yhis mail and twitter - @MihailTsukanov in form i have ~37 coin?  my twitter https://twitter.com/MihailTsukanov,False
10,msg27804449,https://bitcointalk.org/index.php?topic=1935171.0,,21368,Announcements (Altcoins),2018-01-09 22:09:28,Ryan Dugan,Hero Member,770,501,,[Bounties] [ANN] [ preICO ] [ HONESTIS.NETWORK ],How do we get paid? I don't understand.,False
