id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg21552089,https://bitcointalk.org/index.php?topic=2154316.0,,823,Announcements (Altcoins),2017-09-06 01:12:47,CryptoContrib,Newbie,19,0,,[ANN] CTB Contribution Platform Token Sale,"The Contrib (CTB) Platform crypto.contrib.com  A Transparent Contribution Platform Backed by Premium Digital Assets on the Blockchain TOTAL CIRCULATION : 300M CTB TOKENS DOWNLOAD WHITEPAPER ROADMAP AIRDROP     CONTRIB has created a leading cryptocurrency, chain based, value mechanism called the CTB Token.  CTB is a multi-purpose, ASSET BACKED token with usage properties for voting, depositing and participating into the CONTRIB ecosystem. The value, utility and role of the CONTRIB token (CTB) represents a unique link between value and functionality.  The goal of CONTRIB is to leverage its powerful operating platform, VNOC, to fully support successful projects in a measurable, collaborative and distributed model with global liquidity on the currency exchanges. We can now accurately and transparently reward contributors for value creation with liquidity and create a game changing Value Distribution System.  Contribs Decentralized “stakeholdership” in premium digital assets (URL’s) inside an intelligent network offers anyone in the world, from the 8 year old game designer to the 74 year old fashion designer, the ability to contribute and earn CTB tokens LINKED to the entities growing value and worth.  CONTRIB'S CRYPTO CURRENCY (CTB) CROWDSALE WILL START PRIVATE SALE ON AUGUST 30 2017 AND WILL PUBLICLY START ON SEPTEMBER 30, 2017      Referral Program We also have a referral program and give away free CTB tokens for every referral you invite and signed up!",False
2,msg21552520,https://bitcointalk.org/index.php?topic=2154316.0,,823,Announcements (Altcoins),2017-09-06 01:43:26,maskeffec,Sr. Member,532,250,,[ANN] CTB Contribution Platform Token Sale,totalcoin ? roadmap ? bounty please ? https://crypto.contrib.com/login not register waiting sir ,False
3,msg21552618,https://bitcointalk.org/index.php?topic=2154316.0,,823,Announcements (Altcoins),2017-09-06 01:50:42,Retired,Sr. Member,490,250,,[ANN] CTB Contribution Platform Token Sale,Is there a whitepaper? It would help potential investors decide whether they will invest or not.,False
4,msg21553837,https://bitcointalk.org/index.php?topic=2154316.0,,823,Announcements (Altcoins),2017-09-06 03:07:38,nofuture,Full Member,200,100,,[ANN] CTB Contribution Platform Token Sale,:/ Why many people so hungry publish their project with poor content like this,False
5,msg21553851,https://bitcointalk.org/index.php?topic=2154316.0,msg21553837,823,Announcements (Altcoins),2017-09-06 03:08:42,pikatju,Full Member,336,100,,[ANN] CTB Contribution Platform Token Sale,   People hungry for that ICO money,False
6,msg21554178,https://bitcointalk.org/index.php?topic=2154316.0,,823,Announcements (Altcoins),2017-09-06 03:26:11,hirokazu,Sr. Member,672,251,,[ANN] CTB Contribution Platform Token Sale,"I just see nothing on your ANN, it looks so terrible. ANN should be created as attractive as possible so that people are interested to read it. So Greedy ",False
7,msg21554500,https://bitcointalk.org/index.php?topic=2154316.0,,823,Announcements (Altcoins),2017-09-06 03:43:28,mrongoz22,Sr. Member,350,250,,[ANN] CTB Contribution Platform Token Sale,"please if make a good and complete announcement with details, if you do intend to make a serious project if just like this you are not serious and people will not be interested in your project",False
8,msg21555615,https://bitcointalk.org/index.php?topic=2154316.0,msg21552520,823,Announcements (Altcoins),2017-09-06 04:48:36,CryptoContrib,Newbie,19,0,,[ANN] CTB Contribution Platform Token Sale,   You can register with a valid email.,False
9,msg21559506,https://bitcointalk.org/index.php?topic=2154316.0,,823,Announcements (Altcoins),2017-09-06 07:41:53,mroth7684,Full Member,196,100,,[ANN] CTB Contribution Platform Token Sale,does my refferal need to buy ? or just register I will receive coin,False
10,msg21627001,https://bitcointalk.org/index.php?topic=2154316.0,msg21559506,823,Announcements (Altcoins),2017-09-08 07:33:46,CryptoContrib,Newbie,19,0,,[ANN] CTB Contribution Platform Token Sale,   They need to register completely,False
11,msg23877570,https://bitcointalk.org/index.php?topic=2154316.0,,823,Announcements (Altcoins),2017-11-01 14:51:23,CryptoContrib,Newbie,19,0,,[ANN] CTB Contribution Platform Token Sale,We have just activated Airdrop release for 1M CTB tokens https://crypto.contrib.com/airdrop Get free CTB tokens if you click the link today!,False
