id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg23614558,https://bitcointalk.org/index.php?topic=2324123.0,,481,Announcements (Altcoins),2017-10-27 10:15:49,alexfap,Newbie,15,0,,[ANN][PRE-ICO] FUELDApp - Global automated service for car refuels (charging),"Please welcome FUELDApp – the first global solution introducing crypto and blockchain to the fueling station industry and allowing instant car fill-ups/charging using single app worldwide! Now it becomes possible to make life much easier for drivers and much more efficient for fuel marketers around the globe.  WHITE PAPER (English) WHITE PAPER (Russian) WEBSITE  BOUNTY  The idea is to let any driver in any developed country fuel their car instantly without waiting in queues using their mobile device. The app will incorporate blockchain technology offering crypto payment among other traditional methods and will use wireless tricks of internet-of-things to create a perfect experience. Stations will now receive a most efficient channel for communicating with customers and also an analytic tool based on Big Data. It is important that the service will work worldwide to create a flawless long-distance travel for anyone.  VIDEO  A car will be automatically identified by the station via its driver’s phone GPS. Bluetooth will allow to automatically detect the adjacent fuel pump. Alternatively it can be chosen by scanning QR-code on it. Pre-ordering feature will allow timely purchase of snacks, merchandise or services before your arrival since the station will know when to expect you. This will make it possible to refuel and have your coffee / merchandise brought to you without you having to get out of your car.  The app will also have various payment methods (crypto, banking cards, Apple Pay, PayPal, etc.) linked to the app wallet. Motorists can be credited on the spot when short of funds. Proven customer will not have to wait for payment confirmation and drive on immediately after the pumping of fuel is completed.   FUELDApp – SOLUTIONS:  For drivers: 1.   Easy finding and navigating to open stations (with price info). 2.   Auto-detection of car arrival via GPS. 3.   Instant auto-linking of car to the required fuel pump via Bluetooth or scanning QR-code. 4.   Wide choice of payment means including crypto. 5.   Easy help request in one tap (e.g. having attendant do the fuel pumping). 6.   Quick audio/video feedback messages. 7.   Pre-ordering in-store items (hot snacks, drinks, merchandise, services) before arrival. 8.   Using car onboard displays. 9.   Keeping track of history and important stats. 10.   Future integration with car auto-pilot feature.  For operators: 1.   Means of accepting crypto payments (instantly received as fiat money by the station). 2.   Means of accepting all other traditional payment methods (banking cards, Apple Pay, PayPal, pre-paid balance, etc.) that can be used using single app interface. 3.   An opportunity to eliminate queues and, as a result, reduce staff expenses due to automation and optimization of procedures. 4.   Boost in sales of merchandise and services thanks to pre-ordering app feature. 5.   Convenient and easy-to-use- for-customer feedback feature + direct information channel improving B2C communication. 6.   Detailed reports on customer fleets and their preferences + Big Data analytics. 7.   No need to invest in adding infrastructure for the system to work.   FUELDApp – UNIQUE ADVANTAGES:  1.   There is no single solution offering this perfect sort of experience worldwide without limiting to certain station chains or countries. Now you can travel without worrying you need 5 more apps for every possible operator on your way. 2.   Now you can pay with crypto! It will offer financial benefits for those who use it over traditional payment means. 3.   Easy one-tap payments using pre-configured settings and convenient fuel amount setting will reduce the time spending to a minimum. The app will remember your favorite parameters so that you won’t have to enter them again and again. 4.   No need to carry banking or loyalty cards and cash with you. 5.   No solution can auto-detect the fuel pump using Bluetooth trickery. FUELDApp can. Thanks to iBeacon/Eddystone. Alternative pump selection via QR-code scanning is another option you have now. 6.   Unbeatable rich combination of extra useful functions including pre-ordering (for snacks, merchandise and station services) prior to your arrival. Now you can have your coffee hot and waiting for you right there on time when you need it without having to wait. 7.   On-the-spot overdraft credits and no requirement to wait for payment confirmation (for proven customers). 8.   Easy methods of getting help (instant walkie-talkie calls, one-tap attendant invitation, etc.). 9.   No need to say a word to anyone thanks to all operations being carried out using the app in your driver’s native language. All foreign prices auto-converted to user’s native currency. 10.   Rich stats and history. 11.   User-friendly interface. 12.   Big Data services based on accumulated information for industry players.  WHITE PAPER (English) WHITE PAPER (Russian) WEBSITE  BOUNTY  ICO INFORMATION:  Pre-ICO start: 2017/11/23 06:00:00 UTC Pre-ICO finish: 2017/12/23 05:59:59 UTC  Total emission of tokens: 200,000,000 Including: •   pre-sale: 10,000,000 + 3,000,000 as free bonus; •   main ICO sale: 137,000,000. •   team, advisors, bounty: 50,000,000  Token price: 0.000456 ETH   Bonuses & benefits for investors: •   Pre-sale: get 30% free tokens added to the purchased amount •   Pre-sale only: Investors will receive discount for fuel they purchase using the app in the amount equivalent to their Pre-ICO investments. In other words, over time they will return their investments back by getting the discounts in the amount of their investments. •   ICO Week 1:  -15% •   ICO Week 2:  -10% •   ICO Week 3:  -5%  Hard cap: 67,000 ETH Soft cap: 6,700 ETH  The raised investments will affect the speed of service deployment worldwide.  The funds attracted during the ICO will be used in the following way: 1)   10% - mobile app & cloud service development (with analytic tools for operators). 2)   50% - marketing & product promotion. Required for creation of mass awareness and customer engagement. 3)   20% - legal and financial preparation in the regions of deployment. 4)   20% - technical integration with stations, including installation of Bluetooth locators, linking FUELDApp with operators infrastructures, teaching personnel. Creating support desk.   Token value protection: 1)   FUELDApp will use 30% of its annual profit for buying out tokens at a market rate from the ICO participants until the complete buy-out or until the moment the company goes public in an IPO. When the service announces an IPO token holders will be offered favorable conditions to convert their tokens into company shares. 2)   After the ICO finish the token will be traded on the main exchanges listed in Top-15 according to CoinMarketCap. 3)   Potential possibility to receive profitable company shares on favorable conditions during planned IPO should raise interest towards the token. Therefore, some investors may prefer not to sell their tokens back to FUELDApp. 4)   Since the operational token will be the only crypto payment means within the app giving its users certain advantages it is going to be in demand. As a result, the investment token’s price will be positively affected. 5)   Half of team’s tokens will be frozen for 6 months after the ICO to protect value.   ‘At the beginning Bitcoin, Youtube or Facebook could seem to many as something insignificant, but today they are giants that have turned from something beyond hot imagination into a cold fact. Likewise, a self-consistent service appealing to motorists globally and having no equivalents can seem incredible, but tomorrow it is going to become reality. Blockchain in this project is not a goal in itself, but a powerful multiplier of efficiency and a firm foundation for flexible business models.’ Nicolay Buslaev (CEO)   Follow us:  FACEBOOK TWITTER TELEGRAM YOUTUBE VKontakte  BOUNTY",False
2,msg23744917,https://bitcointalk.org/index.php?topic=2324123.0,,481,Announcements (Altcoins),2017-10-30 02:52:56,AshleyAshes,Copper Member,378,100,,[ANN][PRE-ICO] FUELDApp - Global automated service for car refuels (charging),Most of all I like the idea that you don't need to carry banking or loyalty cards and cash with you.,False
3,msg23756368,https://bitcointalk.org/index.php?topic=2324123.0,msg23744917,481,Announcements (Altcoins),2017-10-30 09:27:55,alexfap,Newbie,15,0,,[ANN][PRE-ICO] FUELDApp - Global automated service for car refuels (charging),"   Thanks! Yes, indeed, it is so logical with so much technology at hand nowadays!",False
4,msg23819303,https://bitcointalk.org/index.php?topic=2324123.0,,481,Announcements (Altcoins),2017-10-31 13:37:14,glorybtc,Member,166,10,,[ANN][PRE-ICO] FUELDApp - Global automated service for car refuels (charging),no plan for launching airdrop or bounty program on the next time sir?? i think it's needed to share about this project's information.,False
5,msg23836662,https://bitcointalk.org/index.php?topic=2324123.0,msg23818521,481,Announcements (Altcoins),2017-10-31 19:20:52,alexfap,Newbie,15,0,,[ANN][PRE-ICO] FUELDApp - Global automated service for car refuels (charging),   Thank you so much!,False
6,msg23849964,https://bitcointalk.org/index.php?topic=2324123.0,,481,Announcements (Altcoins),2017-11-01 02:48:51,AshleyAshes,Copper Member,378,100,,[ANN][PRE-ICO] FUELDApp - Global automated service for car refuels (charging),"I would like to participate in airdrop or bounty too, if you're going to launch it",False
7,msg23856647,https://bitcointalk.org/index.php?topic=2324123.0,msg23849964,481,Announcements (Altcoins),2017-11-01 07:00:36,alexfap,Newbie,15,0,,[ANN][PRE-ICO] FUELDApp - Global automated service for car refuels (charging),"   Yes, indeed. We're planning to announce bounty program soon! Stay tuned!",False
8,msg24067780,https://bitcointalk.org/index.php?topic=2324123.0,msg23819303,481,Announcements (Altcoins),2017-11-05 11:22:44,alexfap,Newbie,15,0,,[ANN][PRE-ICO] FUELDApp - Global automated service for car refuels (charging),   Hello! We've posted our BOUNTY campaign here. We invite everyone to participate!,False
9,msg24068516,https://bitcointalk.org/index.php?topic=2324123.0,,481,Announcements (Altcoins),2017-11-05 11:41:04,addicto,Legendary,1470,1012,,[ANN][PRE-ICO] FUELDApp - Global automated service for car refuels (charging),No doubt this is amazing concept but how you implement this tech globally to make this useful for all. At the start of project in which countries you will provide this service where people will be able to make refuel their cars by using this dapp.,False
10,msg24086326,https://bitcointalk.org/index.php?topic=2324123.0,msg24068516,481,Announcements (Altcoins),2017-11-05 18:42:28,alexfap,Newbie,15,0,,[ANN][PRE-ICO] FUELDApp - Global automated service for car refuels (charging),"   Thanks for your opinion, Addicto! The implementing will start from the local market (Russia, Belarus) and EU (Baltic States, Poland). Once the system has been launched we will not stop and move on to European Union & UK, then on to North America, China, South Korea, Australia, Japan. Finally, the rest of the world (developed countries) will follow. We are fully aware of the technical challenges that we will face, but our team is capable of dealing with them and if it's not us, then someone else will deal with them anyway. On the other hand, we will be most grateful for your constructive criticism and concerns that we should be aware of. This will help us to make sure we are fully prepared for all scenarios. Thank you!",False
