id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg20355028,https://bitcointalk.org/index.php?topic=2023625.0,msg20351286,7103,Announcements (Altcoins),2017-07-24 18:27:29,spngebob,Sr. Member,742,254,,[ANN][ICO] STUFFGOGO | MOBILE eCOMMERCE PLATFORM WITH NO FEES OR RESTRICTIONS,"  Oh, ok. Can you tell me more about this: Quote Smart algorithms protect you from fraud. What if I buy something, send bitcoin(for example) to seller and never receive item? How will you protect me?",False
2,msg20355305,https://bitcointalk.org/index.php?topic=2023625.0,msg20355028,7103,Announcements (Altcoins),2017-07-24 18:41:17,systemv,Member,84,10,,[ANN][ICO] STUFFGOGO | MOBILE eCOMMERCE PLATFORM WITH NO FEES OR RESTRICTIONS,"   Every transaction is risk scored. Risk score calculated from variety of factors, including reputation, trading volume, responsiveness to questions, type of goods sold /etc. Depending on the risk score a number of options to protect transaction would be available (no protection, moderation with escrow with SGG fee, dual-side security deposits of SGG tokens - similar to double deposit concept on BitBay, but only with SGG tokens independently from which crypto/fiat transaction is handled). ",False
3,msg20358953,https://bitcointalk.org/index.php?topic=2023625.0,,7103,Announcements (Altcoins),2017-07-24 22:25:09,systemv,Member,84,10,,[ANN][ICO] STUFFGOGO | MOBILE eCOMMERCE PLATFORM WITH NO FEES OR RESTRICTIONS,More listings are coming:  http://www.kryptobank.co.uk/ico  https://www.tokendata.io/upcoming,False
4,msg20359132,https://bitcointalk.org/index.php?topic=2023625.0,,7103,Announcements (Altcoins),2017-07-24 22:37:24,Heacygg,Member,99,10,,[ANN][ICO] STUFFGOGO | MOBILE eCOMMERCE PLATFORM WITH NO FEES OR RESTRICTIONS,"Wow, the first ICO I loved. The concept is good, I would love to participate in ICO and bounty campaigns",False
5,msg20370978,https://bitcointalk.org/index.php?topic=2023625.0,,7103,Announcements (Altcoins),2017-07-25 11:42:03,silvestar,Legendary,1134,1002,,[ANN][ICO] STUFFGOGO | MOBILE eCOMMERCE PLATFORM WITH NO FEES OR RESTRICTIONS,"It is a beautiful project. It's been a long time since the last time when such a strong and rational project had come. I love such projects that are integrated to real markets. MobileGo had also done it for mobile games. They, themselves, also couldn't believe the investment they collected.",False
6,msg20371717,https://bitcointalk.org/index.php?topic=2023625.0,,7103,Announcements (Altcoins),2017-07-25 12:19:18,n00b3rt,Sr. Member,559,250,,[ANN][ICO] STUFFGOGO | MOBILE eCOMMERCE PLATFORM WITH NO FEES OR RESTRICTIONS,Bulgarian translations:  ANN Thread Whitepaper,False
7,msg20372369,https://bitcointalk.org/index.php?topic=2023625.0,msg20370978,7103,Announcements (Altcoins),2017-07-25 12:49:39,systemv,Member,84,10,,[ANN][ICO] STUFFGOGO | MOBILE eCOMMERCE PLATFORM WITH NO FEES OR RESTRICTIONS,"   Thank you! We will bootstrap on OB1 network (it's MIT licensed) and will have way more then 41,100 listings at day 1.  Yearly chart (courtesy of bazaarbay - shows a lot of momentum in the right direction):",False
8,msg20372991,https://bitcointalk.org/index.php?topic=2023625.0,,7103,Announcements (Altcoins),2017-07-25 13:17:03,tazmantasik,Hero Member,784,506,,[ANN][ICO] STUFFGOGO | MOBILE eCOMMERCE PLATFORM WITH NO FEES OR RESTRICTIONS,"Nice logo dev, hope you succeed with your project",False
9,msg20374871,https://bitcointalk.org/index.php?topic=2023625.0,msg20371717,7103,Announcements (Altcoins),2017-07-25 14:41:08,systemv,Member,84,10,,[ANN][ICO] STUFFGOGO | MOBILE eCOMMERCE PLATFORM WITH NO FEES OR RESTRICTIONS,   Thank you! WP added to a website.,False
10,msg20379460,https://bitcointalk.org/index.php?topic=2023625.0,msg20372991,7103,Announcements (Altcoins),2017-07-25 17:58:04,systemv,Member,84,10,,[ANN][ICO] STUFFGOGO | MOBILE eCOMMERCE PLATFORM WITH NO FEES OR RESTRICTIONS,   Thank you,False
