id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg52346765,https://bitcointalk.org/index.php?topic=2567416.0,,34927,Announcements (Altcoins),2019-09-03 13:05:33,Enzo05,Full Member,714,102,,💠 DIW 💠 [ANN] [ICO] 💠 DIWtoken.com 💠 Decentralize Security,This make trends compare to other ICO that also has the same month to launch. Apparently the team is not updating or giving full information about whats happening on their project. I hope this will stay and be more active.,False
2,msg52347375,https://bitcointalk.org/index.php?topic=2567416.0,msg52346765,34927,Announcements (Altcoins),2019-09-03 14:05:59,monineklutak,Sr. Member,840,250,,💠 DIW 💠 [ANN] [ICO] 💠 DIWtoken.com 💠 Decentralize Security,"  True however it is unfortunate that the team did not update information about their project, I hope the team hears suggestions or criticisms from us so that in the future better",False
3,msg51151427,https://bitcointalk.org/index.php?topic=2567416.0,msg51151216,34927,Announcements (Altcoins),2019-05-21 11:18:52,Wedhus123,Member,186,10,,💠 DIW 💠 [ANN] [ICO] 💠 DIWtoken.com 💠 Decentralize Security,  When will the team release the product because I think we all also question that and I hope that hopefully the team can provide information about the release let's just wait patiently,False
4,msg51152241,https://bitcointalk.org/index.php?topic=2567416.0,msg51151216,34927,Announcements (Altcoins),2019-05-21 12:25:19,Lunar Crank,Full Member,686,103,,💠 DIW 💠 [ANN] [ICO] 💠 DIWtoken.com 💠 Decentralize Security,"   It's nice to know that team is working, and there is some probability that we will see results of their work. Current situation with price of DIW token is bad. They need some positive information background at least.",False
5,msg51152493,https://bitcointalk.org/index.php?topic=2567416.0,msg51152241,34927,Announcements (Altcoins),2019-05-21 12:42:44,superstarbtc,Jr. Member,378,3,,💠 DIW 💠 [ANN] [ICO] 💠 DIWtoken.com 💠 Decentralize Security,"   There is no positive feedback from this coin, every coin before says before we are the most trusted project and has the strong ability to raise the fund. After raising enough fund they will not bother much about the community and they don't want to develop the project and value of the coin decreasing in the market.",False
6,msg51542018,https://bitcointalk.org/index.php?topic=2567416.0,,34927,Announcements (Altcoins),2019-06-20 23:18:41,Lydian,Hero Member,1106,624,,💠 DIW 💠 [ANN] [ICO] 💠 DIWtoken.com 💠 Decentralize Security,"Can someone tell me where to get rid of my DIWs? OK, they are not worth anything, but I do not want to see them in my wallet anymore. The project is dead anyway! Or can the DIW tell me that they are developing? Go on!",False
7,msg51544222,https://bitcointalk.org/index.php?topic=2567416.0,msg51542018,34927,Announcements (Altcoins),2019-06-21 06:06:28,Btc_1856,Sr. Member,924,250,,💠 DIW 💠 [ANN] [ICO] 💠 DIWtoken.com 💠 Decentralize Security,"   Many people forget about this project because the community is not getting any updates and progress about their developments. They are very slow in developing the product and one more thing is they are not responding at all, so we have to move on, instead of wasting our time here.",False
8,msg51544289,https://bitcointalk.org/index.php?topic=2567416.0,msg51152493,34927,Announcements (Altcoins),2019-06-21 06:13:53,Oneandpure,Sr. Member,630,250,,💠 DIW 💠 [ANN] [ICO] 💠 DIWtoken.com 💠 Decentralize Security,"  all fraud projects must have said something like that before but somehow, whether this project is dead or indeed the development of the project is slow what is clear is that many people are disappointed that they have not received news from this project for a long time",False
9,msg51546287,https://bitcointalk.org/index.php?topic=2567416.0,msg51544222,34927,Announcements (Altcoins),2019-06-21 09:34:47,DIW,Full Member,476,131,,💠 DIW 💠 [ANN] [ICO] 💠 DIWtoken.com 💠 Decentralize Security,"   Hello,  Just because we cannot make a development update yet, does not mean that we are not responsive. We are keeping all our communication channels open.",False
10,msg51552210,https://bitcointalk.org/index.php?topic=2567416.0,msg51546287,34927,Announcements (Altcoins),2019-06-21 18:54:26,dr.cheema,Full Member,742,105,,💠 DIW 💠 [ANN] [ICO] 💠 DIWtoken.com 💠 Decentralize Security,"  That's great DIW just responding here but team should drop updates on social platforms, in this way investors will be happy to see DIW progress. DIW last updated on 22 march on TG DIW announcement channel, DIW TG group is closed or in future DIW will open TG group ??",False
