id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg50175847,https://bitcointalk.org/index.php?topic=4980100.0,msg50175543,960,Announcements (Altcoins),2019-03-15 17:45:54,TheLoser,Member,462,10,,[ANN] MoonX,"  Yes, you can transfer your coins from the MOONX platform directly to your wallet and from there to exchange and trade . Instructions on how to do this has been sent to your email . I've already put my tokens on the exchange .  Everything works fine . You can still ask in the telegram chat .",False
2,msg50176796,https://bitcointalk.org/index.php?topic=4980100.0,msg50175847,960,Announcements (Altcoins),2019-03-15 19:11:36,examplens,Legendary,1596,1044,,[ANN] MoonX,   I succeeded. First time I use Cointiger and can't say that's not working but I do not like this trading platform. Thanks again for the info about MM.,False
3,msg51104218,https://bitcointalk.org/index.php?topic=4980100.0,,960,Announcements (Altcoins),2019-05-18 06:00:13,kudil,Member,700,29,,[ANN] MoonX,"Wow, the price has increase on both exchange, Cointiger and P2PB2B. So nice to see this after waiting for long time, now we will waiting for exchange launch and we can see the demand of MM will increase, but before that I hope MM will be list on CMC. Really, the demand of MM at Cointiger is so high  Check it out!",False
4,msg44968561,https://bitcointalk.org/index.php?topic=4980100.0,msg44945892,960,Announcements (Altcoins),2018-08-31 10:34:59,Zoel,Hero Member,647,501,,[ANN] MoonX,"  Domain with family that's unique one. But could you explain what are you trying point out? do you mean you get some bug at offcial website? If yes, you can get a ticket support, may that can help the project grow then supposed.",False
5,msg45025185,https://bitcointalk.org/index.php?topic=4980100.0,,960,Announcements (Altcoins),2018-09-01 12:57:35,siddartha1492,Sr. Member,812,280,,[ANN] MoonX,"That sounds like an exchange of dreams! Low fees and that too is paid back in tokens, fast, decentralized, multiple pair trading and secure. But I wonder how can you provide decentralized exchange with speeds faster than NASDAQ?",False
6,msg45031403,https://bitcointalk.org/index.php?topic=4980100.0,,960,Announcements (Altcoins),2018-09-01 15:10:20,Tlaxaxa,Newbie,64,0,,[ANN] MoonX,A good project. I participated in the signature campaign and I will invest in this ICO,False
7,msg45031992,https://bitcointalk.org/index.php?topic=4980100.0,,960,Announcements (Altcoins),2018-09-01 15:23:08,BTC-BTC-BTC,Legendary,1498,1001,,[ANN] MoonX,Does the bounties need to complete the KYC to receive the bounties? I know there are a lot of bounties require do to it nowadays.  The project appears very interesting and great feature ahead of it.,False
8,msg45032414,https://bitcointalk.org/index.php?topic=4980100.0,msg45031992,960,Announcements (Altcoins),2018-09-01 15:32:20,rababo,Sr. Member,490,250,,[ANN] MoonX,   bounty what do you mean? if I look for a signature they pay a fix with bitcoin weekly moderate manager by yahoo62278 but for social media bounty its yes (KYC Required to collect payment) read the topic name https://bitcointalk.org/index.php?topic=4979988.msg44912399#msg44912399  legendary ask for easy questions  ,False
9,msg45032736,https://bitcointalk.org/index.php?topic=4980100.0,msg45032414,960,Announcements (Altcoins),2018-09-01 15:39:30,BTC-BTC-BTC,Legendary,1498,1001,,[ANN] MoonX,   What a smart ass you are. I do see the other media after required to collect payment.,False
10,msg45032880,https://bitcointalk.org/index.php?topic=4980100.0,,960,Announcements (Altcoins),2018-09-01 15:42:37,marufnang,Sr. Member,728,250,,[ANN] MoonX,"Other than used for trading, is there any other possibilities of this coins to be used for another kind of things? Such as paying some bills or anything like that?",False
11,msg45123672,https://bitcointalk.org/index.php?topic=4980100.0,,960,Announcements (Altcoins),2018-09-03 09:22:54,examplens,Legendary,1596,1044,,[ANN] MoonX,"Few questions for the team  will there be some interest to MoonX coins holders?  ""No listing fees for an ICO"" Does that mean that each ICO will be listed immediately?  also, no transaction fee. I guess you have a clear plan on how to make a profit, but I can't find them on whitepaper.",False
12,msg45259955,https://bitcointalk.org/index.php?topic=4980100.0,msg45032880,960,Announcements (Altcoins),2018-09-06 03:20:53,Zoel,Hero Member,647,501,,[ANN] MoonX,"  So for those who are investor / holder of Moon Money, becomes a Moon Family member with potential profit dividend, decision making and voting rights included. and early users with Moon Money and transaction fee shall be reimbursed with Moon Money. MoonX would enable coin holders to make decision based on their own willingness via smart contract which would be built in the future. So are you waiting for? get for your.",False
13,msg45260289,https://bitcointalk.org/index.php?topic=4980100.0,msg45123672,960,Announcements (Altcoins),2018-09-06 03:36:11,Zoel,Hero Member,647,501,,[ANN] MoonX,"   You can read in part "" (ii) Empowering rights by holding MM. ""  MoonX would enable every family member (Moon Money holders) to make decision and vote based on smart contract which would be developed in the future. Family members can really decide their own fate and future of the ecosystem based on their own willingness instead of being controlled by centralized exchange owner. Issuing a smart contract to each registered family member limiting them to one vote could lay the groundwork to provide a reliable and virtually flawless decision-making voting system.  That is simple, If I am not wrong in part concluding. So for those project have interested for listed in market MoonX, they should do a ""Vote thought/via Moon Money""...  #CMIIW",False
14,msg45260442,https://bitcointalk.org/index.php?topic=4980100.0,msg45032880,960,Announcements (Altcoins),2018-09-06 03:43:10,Zoel,Hero Member,647,501,,[ANN] MoonX,"  I thought that's still possible to using MoonX as other payment in future. But currently MoonX want to build big community as platform for listing those project without fee ""Pure Free System Trading"".",False
15,msg45829677,https://bitcointalk.org/index.php?topic=4980100.0,msg45260442,960,Announcements (Altcoins),2018-09-17 13:48:01,examplens,Legendary,1596,1044,,[ANN] MoonX,"   Zoel, I see you are answering instead of someone from Moonx team. Are you a part of the team, adviser or just supporter?",False
16,msg45974018,https://bitcointalk.org/index.php?topic=4980100.0,,960,Announcements (Altcoins),2018-09-21 07:22:26,andreijoaquin,Jr. Member,171,4,,[ANN] MoonX,"This is a good project although there are actually many trading sites that offer almost same features still, the market just getting wider and surely more people will like to have different platform sites that they can explore. Good Luck to the Team!",False
17,msg46286415,https://bitcointalk.org/index.php?topic=4980100.0,msg44914252,960,Announcements (Altcoins),2018-09-28 20:59:15,wwzsocki,Hero Member,1064,904,,[ANN] MoonX,"      Quoted to make this thread properly visible.  I don't understand why nobody did on the first page of this thread, just after the starting post? Would be better visible are more useful.  Anyways, hope this helps to the OP a little.",False
18,msg46870159,https://bitcointalk.org/index.php?topic=4980100.0,,960,Announcements (Altcoins),2018-10-14 11:16:35,joniboini,Hero Member,700,1109,,[ANN] MoonX,"I'm reposting again my question on telegram group which leads to me being blocked on their group (I can't provide any screenshot, sadly).  How can you process KYC under 30 minutes? I don't find information on your whitepaper about that.  Anybody can try to ask that question and I'd be very happy if there's a response about that.",False
19,msg47072315,https://bitcointalk.org/index.php?topic=4980100.0,,960,Announcements (Altcoins),2018-10-20 06:35:25,yuvadeep,Member,472,12,,[ANN] MoonX,"MoonX is a platform which helps to solve all the existing solutions, MoonX family create highly secure, useful and easy-to-use products which will be available on a private blockchain.  MoonX aim is to bring all the companies, employees and business assets into a unified blockchain ecosystem, which will support business truly efficient, clear and trustworthy. Moonx is a decentralized crypto exchange. Therefore the unique decentralized ownership of exchanges depends with brothers and sister of Moonx Family. As a result, investors, contributors, Moonx angles and traders who are on this platform will be rewarded with Moon money and then they are considered as brother and sister of MoonX family. Moonx allows family members who are the coin holders has the right to make decisions that are based on the smart contract that helps for the development of the future.",False
20,msg48825710,https://bitcointalk.org/index.php?topic=4980100.0,,960,Announcements (Altcoins),2018-12-22 19:05:16,traveler007,Member,686,10,,[ANN] MoonX,You didnt create a temporary ERC tokens? When your own blockchain and native coins launch? And when your exchange launch?,False
21,msg48931307,https://bitcointalk.org/index.php?topic=4980100.0,,960,Announcements (Altcoins),2018-12-28 14:12:07,inc0gnito73,Member,630,10,,[ANN] MoonX,The MOON team offers a decentralized exchange built by real stock exchange veterans. The team is active in South Asia and is ready to run SuperNode . MoonX-EOS plans to adopt a holistic approach to EOS development globally . I think all investors will get a good profit by participating in this project .,False
22,msg50167789,https://bitcointalk.org/index.php?topic=4980100.0,msg48825710,960,Announcements (Altcoins),2019-03-15 05:51:34,UmerIdrees,Member,560,43,,[ANN] MoonX,   I am not sure if they will launch any exchange in future. MoonX is avaible at  https://mm-allocation.moonx.pro/ and can be transferred to ERC20 Wallet. This token MM is today avaible for trading at https://www.cointiger.com/ .,False
23,msg50175543,https://bitcointalk.org/index.php?topic=4980100.0,msg50167789,960,Announcements (Altcoins),2019-03-15 17:17:50,examplens,Legendary,1596,1044,,[ANN] MoonX,"    Thanks for info So, we can directly transfer MM token from moonx platform to cointiger exchange? No need to do any swap or something? still, it is ERC20 token?",False
