id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg46753649,https://bitcointalk.org/index.php?topic=2832614.0,msg46643668,1848,Announcements (Altcoins),2018-10-11 10:06:39,Dvd1989,Sr. Member,616,252,,"[ANN]Capdax Exchange - Sophisticated Trading, Simplified.","   A little birdie told me that CapDax is also planning to offer margin trading on the platform. Very cool! Unfortunately Q4 still lasts for 2,5 months, but it will be worth the wait!",False
2,msg46942429,https://bitcointalk.org/index.php?topic=2832614.0,msg46753649,1848,Announcements (Altcoins),2018-10-16 09:59:45,MartinMonero,Newbie,8,0,,"[ANN]Capdax Exchange - Sophisticated Trading, Simplified.",   @dvd1989 can you tell me when CapDax will go live?,False
3,msg48262311,https://bitcointalk.org/index.php?topic=2832614.0,,1848,Announcements (Altcoins),2018-11-27 08:23:17,codemanX,Full Member,616,128,,"[ANN]Capdax Exchange - Sophisticated Trading, Simplified.","Last post on Bitcointalk from Capdax around 4 months ago. It would be really nice if you post an update here, Telegram is not the only channel that matters.",False
4,msg48462558,https://bitcointalk.org/index.php?topic=2832614.0,msg46942429,1848,Announcements (Altcoins),2018-12-05 11:01:54,Dvd1989,Sr. Member,616,252,,"[ANN]Capdax Exchange - Sophisticated Trading, Simplified.","   On the backend we have made further progress and strides with an eye on our Q4 launch, however we also faced initial challenges in our last tests that has set us back in terms of timing. Our sprint goal is still a Q4 2018 launch, but we want to share a reality of launching in the first weeks of Q1 2019. We are evaluating our product and launch time on an ongoing basis and can only confirm the exact date at a later stage in December 2018. As mentioned in our last road map update, we will still release the open Beta on go live where we welcome the community to give feedback for further user experience enhancements.",False
5,msg48737926,https://bitcointalk.org/index.php?topic=2832614.0,msg48462558,1848,Announcements (Altcoins),2018-12-18 10:40:30,jeroberto,Newbie,1,0,,"[ANN]Capdax Exchange - Sophisticated Trading, Simplified.",   Dvd1989 vertegenwoordig jij capdax bij afwezigheid van capdax?,False
6,msg48738187,https://bitcointalk.org/index.php?topic=2832614.0,,1848,Announcements (Altcoins),2018-12-18 10:57:48,desi_translator2018,Copper Member,322,0,,"[ANN]Capdax Exchange - Sophisticated Trading, Simplified.",RESERVED for HINDI translation....  helloo admin.... can i translate ANN page / WHITE paper  to HINDI(INDIA) language ??  here is my portfolio..... https://drive.google.com/drive/folders/1TTRWTdF-VC71_TgP4dcsy6wH4BoL9cxB  PM me if you need HINDI translation..... thank you....,False
7,msg49258238,https://bitcointalk.org/index.php?topic=2832614.0,,1848,Announcements (Altcoins),2019-01-16 09:39:31,digitalcoins,Member,281,12,,"[ANN]Capdax Exchange - Sophisticated Trading, Simplified.",Hello! Is it possible to list our ERC20 token on your exchange? Whom can we contact?,False
8,msg39360638,https://bitcointalk.org/index.php?topic=2832614.0,,1848,Announcements (Altcoins),2018-06-04 13:18:00,codemanX,Full Member,616,128,,"[ANN]Capdax Exchange - Sophisticated Trading, Simplified.","If somebody missed this information, the launch date of the exchange is postponed until Q4 2018. Check out their Medium post:  https://medium.com/capdax-exchange/launch-date-delay-and-partnerships-c27c9516db7b",False
9,msg39368248,https://bitcointalk.org/index.php?topic=2832614.0,msg39360638,1848,Announcements (Altcoins),2018-06-04 15:10:34,Dvd1989,Sr. Member,616,252,,"[ANN]Capdax Exchange - Sophisticated Trading, Simplified.","   Yep unfortunately.  I've seen this on IDEX: 24hr Volume: 8696.71706688472524003 XCD / 0.13862567004615264 ETH  Come on people, we can do better! Fill your bags before it's too late.",False
10,msg40162864,https://bitcointalk.org/index.php?topic=2832614.0,msg39346821,1848,Announcements (Altcoins),2018-06-15 10:35:12,Capdax,Copper Member,37,0,,"[ANN]Capdax Exchange - Sophisticated Trading, Simplified.","As one of Beyond Blocks' main sponsors, our colleagues from Capdax will attend and answer all your questions at the Capdax booth at the Beyond Blocks summit on the 17th and 18th of July in Seoul.  Sign up if you haven't already and we hope to meet you there!  https://beyondblocks.com/summit/seoul/         Here you can find all the information regarding the XCD withdrawal, contract address etc. https://medium.com/capdax-exchange/the-xcd-token-withdrawal-is-live-b09734b2bb64",False
11,msg40558347,https://bitcointalk.org/index.php?topic=2832614.0,msg39368248,1848,Announcements (Altcoins),2018-06-21 02:10:47,mies_reed,Newbie,43,0,,"[ANN]Capdax Exchange - Sophisticated Trading, Simplified.","   Filling up as much as I can atm. Everyone, feel free to dump the tokens on idex. Or HODL on to them and have patience and enjoy your investment in a year.  Im confident this team will deliver an exchange never seem before 😊.  Great marketing team, also they are in the RAI next week if Im not mistaken. Amsterdam 27th june. See you guys there",False
12,msg40558491,https://bitcointalk.org/index.php?topic=2832614.0,,1848,Announcements (Altcoins),2018-06-21 02:15:57,mies_reed,Newbie,43,0,,"[ANN]Capdax Exchange - Sophisticated Trading, Simplified.","Btw, is there going to be a testphase/alpha pre release for a minor group? Or are you guys testing everything within your own team and will the release in Q4 2018 be the only and definite one?  Just curious 👍🏻😎  Cant wait to see what the Exchange is going to be like 👌",False
13,msg40648567,https://bitcointalk.org/index.php?topic=2832614.0,msg40558347,1848,Announcements (Altcoins),2018-06-22 09:23:07,Dvd1989,Sr. Member,616,252,,"[ANN]Capdax Exchange - Sophisticated Trading, Simplified.","   Beyond Blocks conference will be soon, from which CapDax is a large sponsor. Great exposure in Asia. Let's hope for some price action thereafter!",False
14,msg40858814,https://bitcointalk.org/index.php?topic=2832614.0,,1848,Announcements (Altcoins),2018-06-25 07:29:05,Dvd1989,Sr. Member,616,252,,"[ANN]Capdax Exchange - Sophisticated Trading, Simplified.",I've tweeted the following (@ducovd):  @CoinMarketCap please add @CapdaxExchange to coinmarketcap! 120+ eth 24-hours volume this weekend :-)  Please RT so CMC adds CapDax!,False
15,msg41978824,https://bitcointalk.org/index.php?topic=2832614.0,,1848,Announcements (Altcoins),2018-07-11 16:24:17,lasttime99,Newbie,210,0,,"[ANN]Capdax Exchange - Sophisticated Trading, Simplified.",I haven’t forgotten about this question. Currently waiting for a response and will post it once received,False
16,msg41987397,https://bitcointalk.org/index.php?topic=2832614.0,,1848,Announcements (Altcoins),2018-07-11 19:00:29,nits12,Newbie,70,0,,"[ANN]Capdax Exchange - Sophisticated Trading, Simplified.","besides a good exchange service, what other tools do this service supports?",False
17,msg41987708,https://bitcointalk.org/index.php?topic=2832614.0,,1848,Announcements (Altcoins),2018-07-11 19:06:12,Murile,Member,308,10,,"[ANN]Capdax Exchange - Sophisticated Trading, Simplified.",If viewed from the roadmap I think this project is prepared in such a way that the project is successful. and I think this is really a long-term project. good luck,False
18,msg41990755,https://bitcointalk.org/index.php?topic=2832614.0,,1848,Announcements (Altcoins),2018-07-11 20:12:20,Milcahh,Member,294,10,,"[ANN]Capdax Exchange - Sophisticated Trading, Simplified.",As a finance project... will you collaborate with financial authorities and banks? What is your vision on this collaboration?,False
19,msg42188010,https://bitcointalk.org/index.php?topic=2832614.0,,1848,Announcements (Altcoins),2018-07-15 00:47:34,lasttime99,Newbie,210,0,,"[ANN]Capdax Exchange - Sophisticated Trading, Simplified.",If you go to IDEX and fill in XCD you will see that Capdax is listed indeed. So far that is the only one as far as I know.,False
20,msg42188042,https://bitcointalk.org/index.php?topic=2832614.0,,1848,Announcements (Altcoins),2018-07-15 00:49:20,Manycoinslover,Jr. Member,150,6,,"[ANN]Capdax Exchange - Sophisticated Trading, Simplified.","Again, there are tooo many exchanges right now. What is your competitive edge? How can people trust you? How would i know you would not get hack?",False
