id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg41512296,https://bitcointalk.org/index.php?topic=4541373.0,,187,Announcements (Altcoins),2018-07-04 16:16:02,SQUAREX,Newbie,19,0,,[ANN][Pre-ICO] SQUAREX - Decentralized Real Estate Ecosystem,"SQUAREX Weekly Update #3  Good news everyone! For those who are unfamiliar with Sqaurex Ecosystem, let us tell you that we publish a Sqaurex Platform Update every single week on our Medium page. Here comes our 3rd update on the events of last week. As we previously said in our posts, last we week our team leaders Kirill Kotilevskii, Igor Vasilev and Maxim Levoshin went to Korea to take part in Global Complex Smart City and Blockchain Forums. Now let us share some more details with you.",False
2,msg41513286,https://bitcointalk.org/index.php?topic=4541373.0,msg41352313,187,Announcements (Altcoins),2018-07-04 16:30:54,kipoel,Sr. Member,826,258,,[ANN][Pre-ICO] SQUAREX - Decentralized Real Estate Ecosystem,"  This is a good news that the project will open some bounty campaign, and it started at august, what a perfect time. I could finish the current project before joining this project.",False
3,msg41557745,https://bitcointalk.org/index.php?topic=4541373.0,,187,Announcements (Altcoins),2018-07-05 10:01:59,newspeakenthusiast,Newbie,113,0,,[ANN][Pre-ICO] SQUAREX - Decentralized Real Estate Ecosystem,Hi dev! Where can I buy a flat using the platform? How many countries are you gonna integrate? Do you have a map or something?,False
4,msg41558254,https://bitcointalk.org/index.php?topic=4541373.0,,187,Announcements (Altcoins),2018-07-05 10:10:48,Kenely,Newbie,118,0,,[ANN][Pre-ICO] SQUAREX - Decentralized Real Estate Ecosystem,"Having an interesting concept and can maintain security, this application will be a big project and will become a thing for the future.",False
5,msg41560491,https://bitcointalk.org/index.php?topic=4541373.0,msg41513286,187,Announcements (Altcoins),2018-07-05 10:48:14,SQUAREX,Newbie,19,0,,[ANN][Pre-ICO] SQUAREX - Decentralized Real Estate Ecosystem,   Good luck then! We'll be waiting for you to join us,False
6,msg41561158,https://bitcointalk.org/index.php?topic=4541373.0,,187,Announcements (Altcoins),2018-07-05 10:59:19,MichelMacfly,Newbie,36,0,,[ANN][Pre-ICO] SQUAREX - Decentralized Real Estate Ecosystem,Which functions this alfa version has? can we already book the square meters?,False
7,msg41563955,https://bitcointalk.org/index.php?topic=4541373.0,msg41557745,187,Announcements (Altcoins),2018-07-05 11:47:59,SQUAREX,Newbie,19,0,,[ANN][Pre-ICO] SQUAREX - Decentralized Real Estate Ecosystem,"  Hi newspeakenthusiast! Right now it depends where you currently live. Right now the priority list is Germany, Austria, the UK, Spain, Portugal, Australia, Korea, Japan and the USA. CIS (SNG in Russian) is also included in accordance with changes in legislation. The final list of countries depends on the legislation of each country.",False
8,msg41575009,https://bitcointalk.org/index.php?topic=4541373.0,msg41561158,187,Announcements (Altcoins),2018-07-05 14:56:31,SQUAREX,Newbie,19,0,,[ANN][Pre-ICO] SQUAREX - Decentralized Real Estate Ecosystem,"  Hello, MichelMacfly! The alfa version was designed by our team to check the performance of the platform. The beta versiont, which is being tested right now, will be ready for members of Squarex Ecosystem in the nearest future.",False
9,msg41575383,https://bitcointalk.org/index.php?topic=4541373.0,msg41558254,187,Announcements (Altcoins),2018-07-05 15:02:37,SQUAREX,Newbie,19,0,,[ANN][Pre-ICO] SQUAREX - Decentralized Real Estate Ecosystem,"   Thank you for your feedback, Kenely! Trust us, it will not disappoint you",False
10,msg41575993,https://bitcointalk.org/index.php?topic=4541373.0,,187,Announcements (Altcoins),2018-07-05 15:12:43,SQUAREX,Newbie,19,0,,[ANN][Pre-ICO] SQUAREX - Decentralized Real Estate Ecosystem,"Medium - Square meters conversion in SQUAREX Ecosystem  Hello everyone! Since we have got some questions on our Bitcointalk thread regarding the square meters conversion in SQUAREX Ecosystem, we have decided to post a couple of articles, concerning this matter. Please, read our Medium article!",False
11,msg41576311,https://bitcointalk.org/index.php?topic=4541373.0,msg41363684,187,Announcements (Altcoins),2018-07-05 15:18:15,SQUAREX,Newbie,19,0,,[ANN][Pre-ICO] SQUAREX - Decentralized Real Estate Ecosystem,"     Hello, Megatrend! Since you were interested in tokenization of square metres in SQUAREX Platform, you might want to check out our latest article on Medium, that we posted above Thank you very much for your interest in our project, this kind of feedback encourages to improve our ongoing activities at large!",False
12,msg41577089,https://bitcointalk.org/index.php?topic=4541373.0,msg41352313,187,Announcements (Altcoins),2018-07-05 15:30:52,kipoel,Sr. Member,826,258,,[ANN][Pre-ICO] SQUAREX - Decentralized Real Estate Ecosystem,   Can't wait for the bounty campaign to be open for join. I believe it will be good project due to the demand for property is keep on increasing over the time.,False
13,msg41580283,https://bitcointalk.org/index.php?topic=4541373.0,msg41577089,187,Announcements (Altcoins),2018-07-05 16:23:59,SQUAREX,Newbie,19,0,,[ANN][Pre-ICO] SQUAREX - Decentralized Real Estate Ecosystem,"  Hello, kipoel! Believe it, we cannot wait for it too! Thank you for your kind words!  You are right, the demand for property is surely increasing over the time. You might want to check some infographics made by us on our Facebook page. Though, the industry as a whole experiences some problems and lacks of fresh solutions. We beleve that blockchain can be this kind of solution.",False
14,msg41877537,https://bitcointalk.org/index.php?topic=4541373.0,,187,Announcements (Altcoins),2018-07-10 03:58:12,neomortov,Newbie,84,0,,[ANN][Pre-ICO] SQUAREX - Decentralized Real Estate Ecosystem,Пoчeмy y кoмaнды нeт ccылoк нa coцceти нa caйтe? Кaк c вaми cвязaтьcя?,False
