id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg50199852,https://bitcointalk.org/index.php?topic=3022666.0,msg45503010,21663,Announcements (Altcoins),2019-03-17 13:18:37,ZeonNetwork,Copper Member,205,1,,"ZEON Network: decentralized financial services, crypto card, blockchain","   No, URL is https://idex.market/eth/zeon and https://idex.market/wbtc/zeon",False
2,msg50219471,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-03-18 21:11:53,ZezeErnesto,Newbie,39,0,,"ZEON Network: decentralized financial services, crypto card, blockchain","The Zeon network is on track for the future, it will be a great success.",False
3,msg50242261,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-03-20 14:37:31,ZeonNetwork,Copper Member,205,1,,"ZEON Network: decentralized financial services, crypto card, blockchain",ZEON Network has started Beta testing one of the main products - ZEON Wallet. In the nearest future all crypto-enthusiasts and users will be able to start using it and make transactions.  In Telegram chat write please features which you are waiting for.  We remind you that registration on HOTBIT exchange via referral url bit.ly/ze0nhotbitref is required to receive Airdrop tokens.,False
4,msg50276649,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-03-23 04:09:40,exp109,Newbie,1,0,,"ZEON Network: decentralized financial services, crypto card, blockchain",私は非常に興味があります,False
5,msg50286896,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-03-23 22:18:23,nemoawe,Copper Member,9,0,,"ZEON Network: decentralized financial services, crypto card, blockchain","Hello  I have sent you message through the intercom page your website has. Questions were regarding the ICO and release of tokens, as well the access to telegram chat. You have not replied non of it.  Kind regards",False
6,msg50364598,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-03-29 11:57:36,Shy Ronnie,Newbie,210,0,,"ZEON Network: decentralized financial services, crypto card, blockchain",Listing on Hotbit on March 30 https://coindar.org/en/event/zeon-zeon-listing-on-hotbit-19051,False
7,msg50376999,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-03-30 09:49:34,algonaiss,Newbie,1,0,,"ZEON Network: decentralized financial services, crypto card, blockchain","Hi community we have a customer who buy tokens long time a go in october 2018. he try contact zeon for get his token and they said they block his tokens. normally blockchain cannot be block and each transaction is written. How zeon network can erase transactions and block peoples ? also we try check , all communications with zeon are impossible , no telegram , no number , no discord ...  is there some one who are in same situation ? i think if ZEON want be an real actor , they need give all tokens to people who buy and also change the support strategy they have.  good luck for all people who are in same situation",False
8,msg50430113,https://bitcointalk.org/index.php?topic=3022666.0,msg50376999,21663,Announcements (Altcoins),2019-04-02 19:57:10,ZeonNetwork,Copper Member,205,1,,"ZEON Network: decentralized financial services, crypto card, blockchain",  Thank you for your support. Free tokens will be available soon. We do not want to copy the story of UBEX or Storiqa (-70% - 90%) of the price and users lost their investments. Our users saved their investments. If you are a real user - please email info@zeon.network,False
9,msg50656318,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-04-18 09:44:32,ZeonNetwork,Copper Member,205,1,,"ZEON Network: decentralized financial services, crypto card, blockchain","Monthly trading statistics  17.03.2019 - 17.04.2019 Total trading volume: 4 242 457, 00 USD 30 Day High: $0,002285 USD 30 Day Average price: $0,001620 USD Circulating supply: 25 112 124 908, 328 ZEON Main trading pair: ZEON/BTC Data: Coinmarketcap.com",False
10,msg50766961,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-04-25 11:45:40,ZeonNetwork,Copper Member,205,1,,"ZEON Network: decentralized financial services, crypto card, blockchain","ZEON is available in Blockfolio - the world's most popular Bitcoin & cryptocurrency portfolio tracker on iOS and Android. Now you can track the price and make investment decisions easily. Add ZEON to your portfolio now.  ZEON is available in Enjin Wallet - secure mobile crypto wallet for Bitcoin, Ethereum, Litecoin & ERC20 ERC721 ERC1155 Tokens. Enjin is focused on gaming blockchain and building and gaming community. ZEON has a huge gaming audience so it is easily now to make transfers for you.  ZEON is waiting a listing in MetaMask and we hope it will be done soon.  Next announcement will be about Q1 2019 report or trading competition on HOTBIT when you as a trader can earn bonuses.",False
11,msg51356758,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-06-05 09:27:42,ZeonNetwork,Copper Member,205,1,,"ZEON Network: decentralized financial services, crypto card, blockchain","ZEON is now available in MetaMask by default as top tokens after the audit. You can install the MetaMask add-on in Chrome, Firefox, Opera. MetaMask includes a secure identity vault, providing a user interface to manage your identities on different sites and sign blockchain transactions.",False
12,msg51356789,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-06-05 09:29:57,ZeonNetwork,Copper Member,205,1,,"ZEON Network: decentralized financial services, crypto card, blockchain","17.04.2019–17.05.2019 Total trading volume: 20 591 337,00 USD (+485.36%) 30 Day High: $0.001795 USD (-21,44%) 30 Day Average price: $0,001267 USD (-21,79%) Circulating supply: 24 112 520 288 ZEON Main trading pair: ZEON/BTC Data: Coinmarketcap.com Traders who buy/sell on IDEX get +2% rewards on their monthly volume.",False
13,msg51776113,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-07-10 15:31:16,gold969,Sr. Member,1078,251,,"ZEON Network: decentralized financial services, crypto card, blockchain","  Hello! help to understand, I found in my wallet ZEON Promo https://etherscan.io/token/0xbed451b9d7c1e0458a2e57888a001c20e3b65f44 , (ZEON Promo token is part of ZEON token 0xe5b826ca2ca02f09c1725e9bd98d9a8874c30532)   perhaps I missed a lot, what should I do with these tokens? the contract link shows the direction to this forum thread.",False
14,msg51844084,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-07-16 13:28:20,ZeonNetwork,Copper Member,205,1,,"ZEON Network: decentralized financial services, crypto card, blockchain","Team, advisor, coder wallets are locked until 2021 by community voting. In order to many users requests to increase the price of ZEON these wallets will be locked until 2021. ZEON Network’s team is not going to touch tokens.",False
15,msg51873103,https://bitcointalk.org/index.php?topic=3022666.0,msg51776113,21663,Announcements (Altcoins),2019-07-19 03:34:18,gold969,Sr. Member,1078,251,,"ZEON Network: decentralized financial services, crypto card, blockchain","          ZeonNetwork  is it difficult for you to answer the question?            if it does not take much time for you, you can give a link to the answer, I myself will study my question.",False
16,msg51965427,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-07-27 06:56:22,Chris21979,Newbie,1,0,,"ZEON Network: decentralized financial services, crypto card, blockchain",I think this is awesome. The future is now!!,False
17,msg52009446,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-07-30 20:26:16,fhw333,Newbie,5,0,,"ZEON Network: decentralized financial services, crypto card, blockchain",0xbfe9a48fb0bb872976865515c48b996230c24e62,False
18,msg48939728,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2018-12-29 01:41:38,batyi,Newbie,5,0,,"ZEON Network: decentralized financial services, crypto card, blockchain",nice pogect ZEON AirDrop,False
19,msg48947078,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2018-12-29 12:35:19,jeannot,Newbie,7,0,,"ZEON Network: decentralized financial services, crypto card, blockchain","#ZEON I like this platform, very well structure fluid, the project I like well, we wait for more",False
20,msg49048964,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-01-04 17:44:00,sayeed182,Newbie,27,0,,"ZEON Network: decentralized financial services, crypto card, blockchain",Please let me know how this coin will be  scaled.,False
21,msg49317915,https://bitcointalk.org/index.php?topic=3022666.0,msg31094159,21663,Announcements (Altcoins),2019-01-19 18:18:09,inzibat,Newbie,2,0,,"ZEON Network: decentralized financial services, crypto card, blockchain", ,False
22,msg49319438,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-01-19 20:33:13,WealthyClub,Newbie,5,0,,"ZEON Network: decentralized financial services, crypto card, blockchain",To less info. Need more information here!,False
23,msg49465867,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-01-28 11:52:02,ZeonNetwork,Copper Member,205,1,,"ZEON Network: decentralized financial services, crypto card, blockchain","ZEON Network signed a partnership about listing of the token on Hotbit.io  Hotbit is TOP30 crypto exchange in the world and our team did a great job to provide a qualified exchange to our users: * 1 million visitors per month * strong users’ community * 24/7 non-stop online support to our users * high-liquidity * mobile client for trading Do you want to trade or buy tokens? Attention: users who do not register on:   Hotbit by referral URL http://bit.ly/ze0nhotbitref  Binance by referral URL http://bit.ly/ze0nbinanceref   will not receive free tokens from the previous airdrops. Please, check your registration by referral links.",False
24,msg49739953,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-02-14 15:13:07,ZeonNetwork,Copper Member,205,1,,"ZEON Network: decentralized financial services, crypto card, blockchain","ZEON Network got listed on TOP20 exchanges by Coinmarketcap - P2PB2B.io  We appreciate users’ support who took part into our referral program on P2PB2B.io ZEON team officially announce that more than 2000 ZEON users made a registration by referral url on P2PB2B.io and more than 700 users passed KYC verification. Thank you for support.  Please, remember that a registration for users who got free tokens on P2PB2B.io, Hotbit.io, Binance by our referral urls is mandatory. More information: Medium blog «ZEON AirDrop Instruction».  Trading pairs:  https://p2pb2b.io/trade/ZEON_BTC https://p2pb2b.io/trade/ZEON_USD https://p2pb2b.io/trade/ZEON_ETH  To celebrate new listing we give free codes of ZEON tokens (you can trade on P2PB2B.io): P2Pfe2c9209-f110-49fb-a077-ecc74820e251ZEON P2Pb86ab431-d672-4853-aaec-d0442f25fcf5ZEON P2P14906b16-aa68-4551-b500-6cd64129c1eeZEON",False
25,msg49816893,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-02-19 10:17:08,differup,Newbie,70,0,,"ZEON Network: decentralized financial services, crypto card, blockchain","HI,  I am a zeon earlier investor participated in early sale back in 2018 but still not received my tokens can you please give me exact date when I will received my tokens?  I have locked in my account 130k+ zeon tokens!  waiting for your response back  Thank You!",False
26,msg49817267,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-02-19 10:46:04,automaticmoney,Member,420,18,,"ZEON Network: decentralized financial services, crypto card, blockchain",It looks a lot of time to list in exchangers but the team is developing the project even in slow pace good to see the development,False
27,msg49835759,https://bitcointalk.org/index.php?topic=3022666.0,msg49816893,21663,Announcements (Altcoins),2019-02-20 14:19:12,ZeonNetwork,Copper Member,205,1,,"ZEON Network: decentralized financial services, crypto card, blockchain",  We replied to you by email.,False
28,msg49835776,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-02-20 14:20:05,ZeonNetwork,Copper Member,205,1,,"ZEON Network: decentralized financial services, crypto card, blockchain","ZEON Network’s Airdrop  Get free Ethereum or tokens in one of the biggest crypto projects. 1 000 000 USD Fund - one of the biggest in the crypto industry.  ZEON token is tradable on TOP exchanges so every user gets tokens with a real value (only projects like BitTorrent (BTT) can provide it and ZEON has done it too even earlier)  Instruction > bit.ly/ZEONAirDrop < (use capital letters)  Receiving ZEON through airdrop program gives an access to our newest technology. With our latest partnerships, recipients already able to use our utility token to purchase goods or services or through Coinpayments merchant’s network. For general questions, please email info@zeon.network or bit.ly/ze0ntelegram",False
29,msg49931687,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-02-26 16:37:12,cryptoog7777,Newbie,1,0,,"ZEON Network: decentralized financial services, crypto card, blockchain",I am considering whether to invest. I am watching the future.,False
30,msg50071335,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-03-08 10:59:33,GrosWesh,Sr. Member,616,280,,"ZEON Network: decentralized financial services, crypto card, blockchain","I got a question, in this very active thread    Why is your site not responding anymore please ?  https://dashboard.zeon.network  I had some Znc on balance and now i'm not able to log in.  What is explanation to this",False
31,msg50142402,https://bitcointalk.org/index.php?topic=3022666.0,msg50071335,21663,Announcements (Altcoins),2019-03-13 10:03:06,ZeonNetwork,Copper Member,205,1,,"ZEON Network: decentralized financial services, crypto card, blockchain",  ask please via info@zeon.network,False
32,msg50142412,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2019-03-13 10:04:00,ZeonNetwork,Copper Member,205,1,,"ZEON Network: decentralized financial services, crypto card, blockchain","ZEON Network has listed on IDEX in the winter of 2018. Because of questions we need to make an official announcement of listing. IDEX has more users’ activity than several TOP50 crypto exchanges. As a community driven project we support decentralized exchanges like Waves (next announcement of listing), Kyber Network (our team is waiting a legal decision about listing), Switcheo (our team is waiting a decision about listing) and Binance DEX.  IDEX is an Ethereum and ERC20 token decentralized exchange offering real-time trading and high transaction throughput. IDEX allows users to manage their private keys and trade in a secure P2P environment. Metamask integration is supported which offers a safe alternative to centralized exchange.  Trading pairs:  https://idex.market/eth/zeon https://idex.market/wbtc/zeon  WBTC — the first ERC20 token backed 1:1 with Bitcoin. WBTC uses a transparent, 100% verifiable custodial, issuance and governance system to bring Bitcoin liquidity to the broader Ethereum-based decentralized ecosystem.  If you have no experience of trading on IDEX,please, follow instruction bit.ly/2XTO4TH  #trader #bitcoin #cryptocurrency #ethereum",False
33,msg50198538,https://bitcointalk.org/index.php?topic=3022666.0,msg45516100,21663,Announcements (Altcoins),2019-03-17 11:37:17,ZeonNetwork,Copper Member,205,1,,"ZEON Network: decentralized financial services, crypto card, blockchain",   Right Etherscan https://etherscan.io/token/0xe5b826ca2ca02f09c1725e9bd98d9a8874c30532,False
34,msg50199738,https://bitcointalk.org/index.php?topic=3022666.0,msg45495574,21663,Announcements (Altcoins),2019-03-17 13:10:40,ZeonNetwork,Copper Member,205,1,,"ZEON Network: decentralized financial services, crypto card, blockchain","  Yes, https://coinmarketcap.com/currencies/zeon/",False
35,msg50199807,https://bitcointalk.org/index.php?topic=3022666.0,msg45505182,21663,Announcements (Altcoins),2019-03-17 13:14:43,ZeonNetwork,Copper Member,205,1,,"ZEON Network: decentralized financial services, crypto card, blockchain",  The new whitepaper v.2.0 and only 13 pages.,False
36,msg50199816,https://bitcointalk.org/index.php?topic=3022666.0,msg45430406,21663,Announcements (Altcoins),2019-03-17 13:15:32,ZeonNetwork,Copper Member,205,1,,"ZEON Network: decentralized financial services, crypto card, blockchain","  No, https://idex.market/eth/zeon",False
37,msg50199835,https://bitcointalk.org/index.php?topic=3022666.0,msg45498299,21663,Announcements (Altcoins),2019-03-17 13:17:22,ZeonNetwork,Copper Member,205,1,,"ZEON Network: decentralized financial services, crypto card, blockchain",  Right IDEX's URL https://idex.market/eth/zeon,False
38,msg46364164,https://bitcointalk.org/index.php?topic=3022666.0,,21663,Announcements (Altcoins),2018-09-30 18:50:41,ZeonNetwork,Copper Member,205,1,,"ZEON Network: decentralized financial services, crypto card, blockchain",,False
