id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg28650182,https://bitcointalk.org/index.php?topic=2801240.0,,208,Announcements (Altcoins),2018-01-22 02:19:30,kprcoin,Jr. Member,39,1,,Joining the KPR Coin ICO!!!,"Hi everyone!  The Australian ICO for our KPR Coin has it's first and best value period open to purchase coins on the 1st of February 2018.  The dates for our ICO periods will be: 1-22 February - 1ETH:3000KPR 1-22 March - 1ETH:2000KPR 1-22 April - 1ETH:1000KPR  After setting 3 ICO periods we have had such a large demand that we expect to sell all of our coins in the first period, so get in fast!  The KPR Coin has been created by KPR Medical Solutions Pty Ltd, a 100% green energy medical cannabis farm, running off our own solar and wind energy.  The green energy will be used in mining for our partnership with Renewable Mining Australia who have been instrumental in the past year while developing a transparent, high performance platform for our coin.  The cofounders are all specialists in their fields:  - Alain d'Ombrille - Chief Executive Officer and Head of Farm Operations https://www.linkedin.com/in/alain-d-ombrille-8b7063145/  - Jason Tabrett CPA MBA - Chief Financial Officer https://www.linkedin.com/in/jasontabrettcpa/  - Matthew Young - Chief Technology Officer and Head KPR Coin Architect https://www.linkedin.com/in/matthew-young-017468a0/  We also have a number of public relations staff to assist with our media outreach and maintaining positive government connections around the medical cannabis industry.  Our coin will be able to be purchased in the form of an ERC-20 smart contract. We intend to have the coin available on multiple exchanges and have it readily accessible by anyone. These dates will vary dependent on how quickly our coins sell out during the ICO, but will be publicly announced.  Our website, Facebook and Twitter page provide our detailed white paper, with how we will be providing value for purchasing and holding our coins. Portions of company profits will be used to show our faith in our KPR Coin by purchasing our coins back off the market and holding supply which will increase the coins value and reduce the short-term trading fluctuations.  Website - https://www.kprms.com/ Facebook - https://www.facebook.com/kprms Twitter - https://twitter.com/KPRcoin Github - https://github.com/KPRToken/KPR-code-for-ICO Medium - https://medium.com/@kprcoin/ Telegram - https://t.me/kprcoin Discord - KPRcoin  We are receiving an increasing demand for our coins day after day and are very confident with the product we have to offer.  If you have any questions, we are accessible on all of the above mediums. Alternatively, please post a reply to this topic!  Regards,  Jason Tabrett CPA MBA Cofounder and Chief Financial Officer",False
2,msg28845460,https://bitcointalk.org/index.php?topic=2801240.0,,208,Announcements (Altcoins),2018-01-24 19:08:12,dorismak,Full Member,169,100,,Joining the KPR Coin ICO!!!,"I've seen at least 10 marijuana projects related to cannabis here, but they are almost unsuccessful. although it looks very profitable",False
3,msg28845692,https://bitcointalk.org/index.php?topic=2801240.0,,208,Announcements (Altcoins),2018-01-24 19:12:15,elramsy,Newbie,98,0,,Joining the KPR Coin ICO!!!,"The project looks promising, need detailed information about the project",False
4,msg28845746,https://bitcointalk.org/index.php?topic=2801240.0,,208,Announcements (Altcoins),2018-01-24 19:13:28,l10no,Full Member,518,101,,Joining the KPR Coin ICO!!!,"it would be better if you include the specifications of this kpr coin, total suplay, premine, roadmap and everything that should be in a thread announcement.Why? in order to make us believe KPR is one of the serious projects in its development",False
5,msg29152546,https://bitcointalk.org/index.php?topic=2801240.0,msg28845692,208,Announcements (Altcoins),2018-01-29 08:18:56,kprcoin,Jr. Member,39,1,,Joining the KPR Coin ICO!!!,   Please visit our website at https://www.kprms.com/whitepaper for a detailed view of our project,False
6,msg29153642,https://bitcointalk.org/index.php?topic=2801240.0,msg28845746,208,Announcements (Altcoins),2018-01-29 08:40:47,kprcoin,Jr. Member,39,1,,Joining the KPR Coin ICO!!!,"   Not a problem! Our coin's specifications are best viewed on our publicly available GitHub page, but if you have any specific technical questions from that our main developer Matthew Young will be more than happy to address those.  https://github.com/KPRToken/KPR-code-for-ICO  To address the other questions:  1. The coin total supply is 100,000,000 KPR Coins. 2. There will be no pre-mining, however the ICO periods do receive the greatest number of KPR Coins in the first ICO period commencing of February 1st. 3. Our roadmap is in our White Paper.  Roadmap: 1. The funding raised from the KPR Coin ICO is used for KPR Coins launch on a number of exchanges, collaborating with our development team working on integration across many platforms to expand it's functionality. The funding is also used the purchase mining equipment to cover short-term cashflow and for the setup of KPR Medical Solutions land, building, wind and solar energy generators to supply 100% of both the farm and mining's power needs. 2. Expansion for the production of the medical cannabis farm and KPR Coin integrations. 3. The exciting thing about our project is the reinvestment of KPR Medical Solutions's profits into KPR Coin and expansion. We have committed that we will make partial payments out of profits to buy KPR Coin off the exchanges at market prices. This is because we believe in the value of our coin as a currency for our business, to prevent the effect of market manipulation over time by any major investors and of course to increase value in the demand of our coin. 4. Our development team will be looking at collaboration with ATMs, credit card facilities, Paypal and other third-party providers. It is difficult to commit to this prior to the ICO in the roadmap due to the requirement for initial funding and which vendors are more cooperative for collaboration, but we have strong plans for our coin!  If you get the chance to look at my LinkedIn profile, you will see that I have a strong ambition for success and we have chosen a team who share the same passions, as well as really wanting to help society obtain the medicines they need. Renewable energy farming and mining and a desire to become an employer of choice through great workplace relations are key values of ours.  Cheers,  Jason Tabrett CPA MBA",False
7,msg29781183,https://bitcointalk.org/index.php?topic=2801240.0,,208,Announcements (Altcoins),2018-02-07 11:07:32,tolyasan,Newbie,60,0,,Joining the KPR Coin ICO!!!,"What type of token are you using? Utility or security, I mean. Also, is there any approximate ROI in %?",False
8,msg29972306,https://bitcointalk.org/index.php?topic=2801240.0,msg29781183,208,Announcements (Altcoins),2018-02-10 05:16:17,kprcoin,Jr. Member,39,1,,Joining the KPR Coin ICO!!!,"   Hi there!  KPR are using an ERC20 Token for utility and transparency more than security.  The purpose of using a transparent coin transacting in the medical cannabis industry is to be 100% open about the nature of our transactions which are easily able to be traced by the government and general public.  We are a law abiding company and wish to demonstrate that with the transparency of our blockchain.  The ROI in % of our coin will vary dependent on the number of coins sold.  If we sell out our minimum market price will be $0.33 and with lower period 2 and 3 contributions if you do not buy within our first ICO period, we expect the market price to be $0.49 is we sell out in period 2 and $0.99 if we sell out during period 3.  Most ICOs when they hit the market have a large increase and then fall back to the prices quoted above. We have strong varying plans to profit regardless of the capital raised and a portion of the profits goes into expansion with the other portion used to purchase our KPR Coins at market prices.  This will reduce the volatility of our coin on the market but also adding to demand, should increase the coins value by 2-10% p.a. solely from our profit buy backs. As we continue to partner with our strong connections and improve on the implementation of our blockchain across payment fucntions, the organic growth should be quite large.  KPR Coin is NOT a coin whereby the founders are after a short profit and all founders will be holding their coins for the long-term.  Value growth will be strongly administered to benefit everyone owning and those using KPR Coins.",False
9,msg29973159,https://bitcointalk.org/index.php?topic=2801240.0,,208,Announcements (Altcoins),2018-02-10 05:45:57,kprcoin,Jr. Member,39,1,,Joining the KPR Coin ICO!!!,"Thank you for the offer PanicRooms, however this is not a service we are looking for at this point in time.",False
10,msg30741530,https://bitcointalk.org/index.php?topic=2801240.0,,208,Announcements (Altcoins),2018-02-21 08:41:16,kprcoin,Jr. Member,39,1,,Joining the KPR Coin ICO!!!,"There is only 1 day left in the first ICO period where contributors will receive 3,000 KPR Coins per 1 ETH sent!  Don't miss out on the highest earning period!!!",False
