id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg51923216,https://bitcointalk.org/index.php?topic=3282122.0,,63877,Announcements (Altcoins),2019-07-23 12:59:20,Ishiro,Newbie,26,0,,Vexanium: The Next Generation Blockchain for Mass Adoption,"Vexanium has all the features, that Ethereum does, and even more, very high TPS, no fees, cooperation with KFC and other big retailers.",False
2,msg51932830,https://bitcointalk.org/index.php?topic=3282122.0,,63877,Announcements (Altcoins),2019-07-24 09:23:18,Graf,Newbie,40,0,,Vexanium: The Next Generation Blockchain for Mass Adoption,Vexanium will release a second version of its Whitepaper soon: https://blog.vexanium.com/vexanium-whitepaper-2-0-launch.html,False
3,msg51933282,https://bitcointalk.org/index.php?topic=3282122.0,msg51922571,63877,Announcements (Altcoins),2019-07-24 10:08:01,JeffBrad12,Hero Member,1190,500,,Vexanium: The Next Generation Blockchain for Mass Adoption,   like what already happened with a bunch of newbies accounts above you that being used to create a fake review and bump the thread. I thought that he has already got real evidence about how newbies accounts are being used to spam all over the places.,False
4,msg51933392,https://bitcointalk.org/index.php?topic=3282122.0,msg51922255,63877,Announcements (Altcoins),2019-07-24 10:20:23,surfboard,Newbie,28,0,,Vexanium: The Next Generation Blockchain for Mass Adoption,"  DApps can be very powerful tools in the right hands. Apparently, with strong and interested Dapps, the project will receive a second wind.",False
5,msg51933985,https://bitcointalk.org/index.php?topic=3282122.0,,63877,Announcements (Altcoins),2019-07-24 11:20:22,fomkon63,Newbie,23,0,,Vexanium: The Next Generation Blockchain for Mass Adoption,"I'm worried how it's going on with the Dapps competition. How many participants are there, if there really interesting Vexanium-based solutions?",False
6,msg51934612,https://bitcointalk.org/index.php?topic=3282122.0,,63877,Announcements (Altcoins),2019-07-24 12:17:22,ridel,Newbie,69,0,,Vexanium: The Next Generation Blockchain for Mass Adoption,I'm going to buy sone Vex and hold it for a few years. I'm sure it will succeed but just need the right moment to start growing,False
7,msg51935307,https://bitcointalk.org/index.php?topic=3282122.0,msg51921923,63877,Announcements (Altcoins),2019-07-24 13:12:15,vinirocket,Newbie,112,0,,Vexanium: The Next Generation Blockchain for Mass Adoption,"  So, this thread isn't official anymore? hy to make a new thread if you have this? I don't understand",False
8,msg51936099,https://bitcointalk.org/index.php?topic=3282122.0,,63877,Announcements (Altcoins),2019-07-24 14:10:04,Graf,Newbie,40,0,,Vexanium: The Next Generation Blockchain for Mass Adoption,"If Vexanium had launched their own blockchain 1-2 years ago, tgey would have been in top-10 right now, but now tgey have a lot of competititors and unstable market.",False
9,msg51936882,https://bitcointalk.org/index.php?topic=3282122.0,msg51921923,63877,Announcements (Altcoins),2019-07-24 15:06:17,surfboard,Newbie,28,0,,Vexanium: The Next Generation Blockchain for Mass Adoption,"  I understood about South East Asia, but what about India and China? Huge and fast growing markets as well.",False
10,msg51937645,https://bitcointalk.org/index.php?topic=3282122.0,,63877,Announcements (Altcoins),2019-07-24 16:06:11,supermarioxp,Newbie,25,0,,Vexanium: The Next Generation Blockchain for Mass Adoption,"It's never too late to make a really great coin, there is always a room for success",False
