id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg43503268,https://bitcointalk.org/index.php?topic=3079312.0,msg43465660,553,Announcements (Altcoins),2018-08-05 08:28:22,Jasuper,Newbie,103,0,,[ANN][ICO] ACA Network（ACA）Blockchain Ad Network System,"   Yes. besides, ACA Network uses the block chain technology to maximize ad revenue to optimize ad campaigns and provide accurate data transparency for users.",False
2,msg43511695,https://bitcointalk.org/index.php?topic=3079312.0,,553,Announcements (Altcoins),2018-08-05 10:55:45,brother3,Hero Member,980,500,,[ANN][ICO] ACA Network（ACA）Blockchain Ad Network System,ACA Network Public-sale stage1 is LIVE. https://medium.com/@acanetwork/aca-network-public-sale-stage1-is-live-847c5a79204a,False
3,msg43934452,https://bitcointalk.org/index.php?topic=3079312.0,,553,Announcements (Altcoins),2018-08-12 10:26:21,TwinBird23,Newbie,84,0,,[ANN][ICO] ACA Network（ACA）Blockchain Ad Network System,"ACA Network is a blockchain based advertising network platform. there are some benefits of this platform is maximizing ad revenue, optimizing ad campaigns, and data transparency.",False
4,msg44196465,https://bitcointalk.org/index.php?topic=3079312.0,,553,Announcements (Altcoins),2018-08-16 17:33:37,Audi-BMW1988,Member,140,11,,[ANN][ICO] ACA Network（ACA）Blockchain Ad Network System,This company is waiting for a great future ACA Network will create a fair and transparent online advertising exchange platform using blockchain technology. always good to being transparent for gain people trust.,False
5,msg46704881,https://bitcointalk.org/index.php?topic=3079312.0,,553,Announcements (Altcoins),2018-10-10 02:18:02,xi_vii,Newbie,56,0,,[ANN][ICO] ACA Network（ACA）Blockchain Ad Network System,ACA Network (ACA) is already rated by Cryptolaboratory. All facts are here. Don't miss it!,False
6,msg46777985,https://bitcointalk.org/index.php?topic=3079312.0,,553,Announcements (Altcoins),2018-10-11 23:26:30,xi_vii,Newbie,56,0,,[ANN][ICO] ACA Network（ACA）Blockchain Ad Network System,Its so interesting),False
7,msg38455386,https://bitcointalk.org/index.php?topic=3079312.0,msg38453939,553,Announcements (Altcoins),2018-05-25 02:37:09,Yaiko08,Member,490,10,,[ANN][ICO] ACA Network（ACA）Blockchain Ad Network System,"  competition project is indeed getting tougher because now a lot of new projects are created. but I believe any project certainly has its own advantages that do not exist in other projects, so I'm sure with the existing advantages in this project being able to attract the attention of many people to provide support for this project.",False
8,msg38467906,https://bitcointalk.org/index.php?topic=3079312.0,msg38455386,553,Announcements (Altcoins),2018-05-25 05:48:16,squrpan,Newbie,238,0,,[ANN][ICO] ACA Network（ACA）Blockchain Ad Network System,  Although currently many projects brings the same concept or theme but the team is in it's certainly different and I'm sure that the project team was able to convince investors to join in this project and hopefully in the future this project could become more developing.,False
9,msg39012035,https://bitcointalk.org/index.php?topic=3079312.0,msg38467906,553,Announcements (Altcoins),2018-05-31 01:13:58,Planton,Full Member,476,100,,[ANN][ICO] ACA Network（ACA）Blockchain Ad Network System,"  There is no doubt that indeed this project really does have a very good prospect. I am sure many people are interested in this project, and of course the project can evolve rapidly.",False
10,msg39013130,https://bitcointalk.org/index.php?topic=3079312.0,msg39012035,553,Announcements (Altcoins),2018-05-31 01:43:37,rezakurnia66,Full Member,546,100,,[ANN][ICO] ACA Network（ACA）Blockchain Ad Network System,  We see the development of this project to the fore like where just hopefully it is true can get a lot of support and growing because of course many are expecting that this project later can be successful.,False
