id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg32248878,https://bitcointalk.org/index.php?topic=2225992.0,,2772,Announcements (Altcoins),2018-03-13 21:06:58,Grebenko,Newbie,65,0,,[ANN][ICO] cryptopus – brokerage marketplace,"Meet out new advisor, Nathan Christian!  Nathan is a technical expert in Blockchain-based accounting and financial applications. He is a Serial entrepreneur with over 35 start-ups in his portfolio. https://medium.com/cryptopus/meet-out-new-advisor-nathan-christian-2fbf93b91ae0",False
2,msg32280067,https://bitcointalk.org/index.php?topic=2225992.0,,2772,Announcements (Altcoins),2018-03-14 09:55:44,Grebenko,Newbie,65,0,,[ANN][ICO] cryptopus – brokerage marketplace,"Meet our new advisor, Tyler Sanford!  Tyler has a deep understanding of the blockchain industry and is always searching for new and innovative ways to help improve the space as a whole.  https://medium.com/cryptopus/meet-our-new-advisor-tyler-sanford-df4c7435c028",False
3,msg32446099,https://bitcointalk.org/index.php?topic=2225992.0,,2772,Announcements (Altcoins),2018-03-16 13:17:47,Grebenko,Newbie,65,0,,[ANN][ICO] cryptopus – brokerage marketplace,"Meet our new advisor, Douglas Lyons!  Douglas’ experience and track record of high performance provide the depth and expertise required to elevate his clients’ businesses and execute a successful ICO / ITO launch. https://medium.com/cryptopus/meet-our-new-advisor-douglas-lyons-2a5be4a447ed",False
4,msg32783928,https://bitcointalk.org/index.php?topic=2225992.0,,2772,Announcements (Altcoins),2018-03-20 20:51:05,Grebenko,Newbie,65,0,,[ANN][ICO] cryptopus – brokerage marketplace,"How to buy?  In order to exchange ETH on our tokens, you have to participate in KYC process, which involves your personal data being proceeded to 3rd party organizations. 1. Participate in KYC (fill all fields and upload pictures of your documents). 2. Let us check the information provided 3. After getting approved you will receive notification via email, which will contain smart-contract's address. 4. Use any of ERC20-supportive wallets to send ETH to smart-contract's address. 5. Send as much ETH as you wish (make sure to send more than current token's price). 6. Set minimal Gas Limit to 55000. 7. Wait until your transaction gets approved by miners 8. Receive tokens!",False
5,msg33489180,https://bitcointalk.org/index.php?topic=2225992.0,,2772,Announcements (Altcoins),2018-03-30 02:46:49,Grebenko,Newbie,65,0,,[ANN][ICO] cryptopus – brokerage marketplace,"Ready for Moscow where we are going to meet very important crypto-investors that have made this possible. Some people ask us, what makes us unique? The Team is the answer. Stay Hungry Stay foolish.",False
6,msg33769343,https://bitcointalk.org/index.php?topic=2225992.0,,2772,Announcements (Altcoins),2018-04-02 15:24:29,Grebenko,Newbie,65,0,,[ANN][ICO] cryptopus – brokerage marketplace,"Are you an experienced trader, who is confident in the quality of own work? Open PAMM-account and engage investors! Earn own profit from the turnover of funds and get more form fees from the profits of investors! https://docs.google.com/forms/d/e/1FAIpQLSeszTUhJ7nzuBfjccT5NxPPn_1XVvCSKwDqp6zV1kG2qjhGOQ/viewform",False
7,msg34314162,https://bitcointalk.org/index.php?topic=2225992.0,,2772,Announcements (Altcoins),2018-04-09 17:07:58,Grebenko,Newbie,65,0,,[ANN][ICO] cryptopus – brokerage marketplace,Introducing Cryptopus: Decentralized Asset Management Platform. https://medium.com/@cryptopusco/introducing-cryptopus-decentralized-asset-management-platform-6eb50490e972,False
8,msg35132086,https://bitcointalk.org/index.php?topic=2225992.0,,2772,Announcements (Altcoins),2018-04-20 01:16:32,MrSpasybo,Member,378,19,,[ANN][ICO] cryptopus – brokerage marketplace,"You are a potential project when received rating 4.5/5.0 from ICObench, but why I can't hear about Cryptopus in ICO pools? Don't you have a effect marketing strategy? I know you don't have Softcap and will launch your project in all of cases, but how many $ did you raised?",False
9,msg37586696,https://bitcointalk.org/index.php?topic=2225992.0,,2772,Announcements (Altcoins),2018-05-17 16:09:55,cleante,Jr. Member,476,2,,[ANN][ICO] cryptopus – brokerage marketplace,What happened to Cryptopus ?  Nobody on telegram and no news on twitter or facebook. IS this a scam ico too ? Any admin write to me please.,False
10,msg38376949,https://bitcointalk.org/index.php?topic=2225992.0,,2772,Announcements (Altcoins),2018-05-24 09:20:34,cleante,Jr. Member,476,2,,[ANN][ICO] cryptopus – brokerage marketplace,Any member from team can write something please ? Did you stop working or what are you doing ? Last post on twitter in april and telegram channel totaly empty.,False
