id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg26703026,https://bitcointalk.org/index.php?topic=2051904.0,msg26685509,23101,Announcements (Altcoins),2017-12-21 05:47:13,dillpicklechips,Hero Member,910,502,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,"  It would be hard to enter a great exchange such as that. I think you don't know too well about Bittrex exchange, are you? You need a good volume to enter that trading platform. I think they should start entering small exchanges then climbed up to the top. ",False
2,msg26806275,https://bitcointalk.org/index.php?topic=2051904.0,,23101,Announcements (Altcoins),2017-12-22 22:35:54,dodgrad,Hero Member,894,501,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,"HashRush[CM] are there any video materials available with pre-alpha gameplay presentation? I would like to see it, show it is always a big promotion ... time is important",False
3,msg26847402,https://bitcointalk.org/index.php?topic=2051904.0,msg26806275,23101,Announcements (Altcoins),2017-12-23 18:28:54,HashRush[CM],Member,103,10,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,"  We have one video right now, it also explains what Hash Rush is. Check out our video here. For now that is the only one, but do check out our Youtube channel, currently, we're quite low on content there, but that's mostly because we're only just starting out with real game content.",False
4,msg26849545,https://bitcointalk.org/index.php?topic=2051904.0,,23101,Announcements (Altcoins),2017-12-23 19:17:15,dspencer,Member,126,10,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,"So basically this ore contains cryptocurrency, am I right?",False
5,msg26978880,https://bitcointalk.org/index.php?topic=2051904.0,msg26847402,23101,Announcements (Altcoins),2017-12-26 10:49:02,wgd,Legendary,1792,1005,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,"    I saw this video 10x, if you want to succeed, you have to put a lot of emphasis on wide promotions. Unless you're doing a game for 10 people like the Beyond the Void project.  https://bitcointalk.org/index.php?topic=1630816.0  Read what mistakes they made, I see here that you have similar concepts like them, they have made a big failure neglecting promotions, focusing only on the game",False
6,msg27125293,https://bitcointalk.org/index.php?topic=2051904.0,,23101,Announcements (Altcoins),2017-12-28 22:35:43,HashRush[CM],Member,103,10,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,"Hope everyone is enjoying the festive season!  I've got some news for the community and feedback!  Firstly, on the 22nd of December, we updated the pre-alpha server with the first round of major bug fixes! We're currently listening to the communities feedback on gameplay and squashing more bugs!  Secondly, Hash Rush has started its own forums! We are using Discourse as our forum software, and whilst it's currently mainly aimed at the pre-alpha squad, fans of the game can register accounts already. We are still working to make it look fancier and work better so we're open to suggestions. Check out the forums here.   Feedback time: @dspencer, that's one way of looking at it. But to give a better explanation. Every game round there is a pool of #crypto that is given to the game, this is based on how many players are playing. Players earn their share of the total crypto-pool based on how much in-game crystals they mine. You can read more about it in our project update entry  @wgd, thanks for bringing that up! We are totally aware of the need for more videos and a much wider marketing, quite a lot of the HR team have a really big background in gaming! The reason that there is nothing out there just yet is mainly because there is not much ready to show just yet. The ICO was the our fundraiser and that was completed successfully only 2 months ago (October). The pre-alpha is out now, but that was a fundraiser promise to the larger backers to really give them proof that we are giving life to this game. However, whilst our progress is really great and we're going ahead on schedule, we are not at a stage where we should start to involve the press/larger media outlets. If we did so now, we would burn the hype out far too quickly, so whilst people will be ultra excited 'now' by the time the game launches properly (Q3 2018) a lot of that hype and excitement would have died away. The entire Hash Rush team are working like mad to make this game succeed, and with that, we do know the importance of a proper marketing campaign. There will be one, that I can promise, but when the time is right",False
7,msg27484862,https://bitcointalk.org/index.php?topic=2051904.0,,23101,Announcements (Altcoins),2018-01-04 18:18:33,Orias67,Sr. Member,462,252,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,"Hello, thanks for the news, I can't wait to see this game ready to play  I have a little question about it : will the investors be able to participate to the beta test or something like that ?",False
8,msg27504750,https://bitcointalk.org/index.php?topic=2051904.0,,23101,Announcements (Altcoins),2018-01-05 03:07:43,WilderX,Hero Member,567,500,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,Awesome keep up the good works guys! I want to play HASH RUSH!  ,False
9,msg27506017,https://bitcointalk.org/index.php?topic=2051904.0,,23101,Announcements (Altcoins),2018-01-05 03:49:51,SweetSv,Full Member,364,100,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,When will you pay bounty hunters for social networks?,False
10,msg27507162,https://bitcointalk.org/index.php?topic=2051904.0,msg26703026,23101,Announcements (Altcoins),2018-01-05 04:25:35,Autumn,Member,102,10,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,"  In fact, in different countries, there are local mainstream exchanges that can open more crowds of exchanges",False
11,msg27507477,https://bitcointalk.org/index.php?topic=2051904.0,msg27484862,23101,Announcements (Altcoins),2018-01-05 04:36:26,siddartha1492,Sr. Member,812,280,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,"   Pre-ICO onvestors or the ones who invested during the first 3 days of the main ICO are already able to enjoy the Pre-Alpha version of the game. If you are one of them, then you can contact the Hashrush team on discord and they will grant you access to the pre-alpha game. As for the Beta version, it is still very far away. But maybe they will grant access for it also.",False
12,msg27553056,https://bitcointalk.org/index.php?topic=2051904.0,,23101,Announcements (Altcoins),2018-01-05 20:27:52,wgd,Legendary,1792,1005,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,"I am of the opinion that you must now add to echange. Investors are interested in tokens, this is the best advertisement. Devs team, it all costs unfortunately, but without this project a miserable fate awaits. There is too much competition on the crypto market, unfortunately only those with which there is a large capital are known",False
13,msg27796046,https://bitcointalk.org/index.php?topic=2051904.0,,23101,Announcements (Altcoins),2018-01-09 19:19:59,HashRush[CM],Member,103,10,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,"As the Hash Rush team is unable to edit the original post of this thread, we are closing up (or no longer going to be active) on posts that have not been started by the account HashRush[CM].  We have made a new thread here  To get in touch with the Hash Rush team, stay up to date with our latest news or just ask us random questions, please use that thread.  Once again, our new thread is located at this URL: https://bitcointalk.org/index.php?topic=2715792.msg27779890#msg27779890",False
14,msg52088431,https://bitcointalk.org/index.php?topic=2051904.0,,23101,Announcements (Altcoins),2019-08-07 11:08:50,sandrozc,Newbie,28,8,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,Hash Rush - Actually Good Blockchain Based RTS Game : https://www.publish0x.com/liteliger-blog/hash-rush-actually-good-blockchain-based-rts-game-xppvqd,False
15,msg25629729,https://bitcointalk.org/index.php?topic=2051904.0,msg25617347,23101,Announcements (Altcoins),2017-12-02 20:57:20,wgd,Legendary,1792,1005,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,"   I received my rewards for bounty, write in this thread or in PM to manager  https://bitcointalk.org/index.php?topic=2052496.760",False
16,msg25743364,https://bitcointalk.org/index.php?topic=2051904.0,,23101,Announcements (Altcoins),2017-12-04 20:11:20,adamvp,Hero Member,924,623,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,"I received my bounty, too. Now I am looking with hope into the future  of Hashrush :-) and as I said many times before can't wait to give it a try :-)",False
17,msg25756250,https://bitcointalk.org/index.php?topic=2051904.0,,23101,Announcements (Altcoins),2017-12-05 02:31:41,mentalmourn,Newbie,48,0,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,"Good project with interesting concept. I think it should be extremely popular and successful. So, good luck!!",False
18,msg25790449,https://bitcointalk.org/index.php?topic=2051904.0,,23101,Announcements (Altcoins),2017-12-05 14:55:56,siddartha1492,Sr. Member,812,280,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,"I am super excited for the Hash Rush Pre-Alpha access and also for the entries of the competition. I was also thinking of participating in the competition, but since I was already in the Pre-Alpha list, I lost the motivation!! Hopefully there would be lots of awesome entries for this competition.",False
19,msg25815036,https://bitcointalk.org/index.php?topic=2051904.0,,23101,Announcements (Altcoins),2017-12-05 22:50:46,wgd,Legendary,1792,1005,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,"How are the hasrush tokens included in game? What kind of task do they have, how does the game affect their value? ",False
20,msg25873190,https://bitcointalk.org/index.php?topic=2051904.0,msg25815036,23101,Announcements (Altcoins),2017-12-06 19:51:37,adamvp,Hero Member,924,623,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,   Before you ask such question you should read FAQ first Dude! https://www.hashrush.com/faq https://www.hashrush.com/faq#faq-15,False
21,msg25882936,https://bitcointalk.org/index.php?topic=2051904.0,msg25873190,23101,Announcements (Altcoins),2017-12-06 23:56:55,CjMapope,Legendary,1386,1037,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,"    i have WGD on ignore for months now, he's always post-whoring shit that has been answered already or dont make sense ;p I understand we have campaigns, but damn its like a third-world user sometimes tht guy haha   I can wait for this to launch, of many projects promising the world, hashrush looks like they have something actually USEABLE ;p",False
22,msg25988334,https://bitcointalk.org/index.php?topic=2051904.0,,23101,Announcements (Altcoins),2017-12-08 18:45:59,HashRush[CM],Member,103,10,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,"Glad you're looking forward to the game Cj!  Friday Update The last week has been rather quiet, but we are hard at work polishing up the pre-alpha content which launches in 10 days (18th of December). Also in the works is a full website redesign and a new Hash Rush forum!  We do have a new article out today, and it's crypto-related! As the price of BTC skyrockets, Eth going cat crazy, Litecoin and IOTA seeing great gains as well, we sat down with our co-founder 'Kris Vaivods' who knows a lot about the scene and is runs a mining far as well.  Check out the full article over on Steemit or Medium  Final Call to Win Pre-Alpha Entry The Creative Contest will end on the 11th of December. The top 10 entries will get pre-alpha access and top 5 will get a Hash Rush T-Shirt as well! If you are interested, all of the information can be found on our website.",False
23,msg26178016,https://bitcointalk.org/index.php?topic=2051904.0,,23101,Announcements (Altcoins),2017-12-12 04:59:21,siddartha1492,Sr. Member,812,280,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,Just one week left for the Pre-Alpha. I am so exited for it!! Hope everything is prepared and we can jump straight in. Between I was wondering when we will get our invitations?,False
24,msg26202049,https://bitcointalk.org/index.php?topic=2051904.0,msg25988334,23101,Announcements (Altcoins),2017-12-12 13:41:28,adamvp,Hero Member,924,623,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,"   I hope you will be still active on bitcointalk.org, too I am too lazy to register  again and again in new place :p  I am looking forward to read about pre-alpha launch or maybe it will be gameplay published?",False
25,msg26361663,https://bitcointalk.org/index.php?topic=2051904.0,,23101,Announcements (Altcoins),2017-12-15 08:59:53,dodgrad,Hero Member,894,501,,[ANN] [ICO-LIVE] Hash Rush —Official Game Trailer Live !,"HashRush [CM] or any of the alpha games will be some advertising campaign? The project is very little known, remember that marketing is a debt process. You can not get the effect in two months, I think you should be very active in this matter now. ",False
