id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg35171889,https://bitcointalk.org/index.php?topic=3337788.0,msg35147344,264,Announcements (Altcoins),2018-04-20 13:55:17,Netcheckr,Newbie,18,0,,[ANN][ICO] Netterium ICO - The World’s Influencer Marketing Platform,   thru netcheckr's smart algorithm,False
2,msg35424986,https://bitcointalk.org/index.php?topic=3337788.0,,264,Announcements (Altcoins),2018-04-23 21:44:14,french_andrey,Member,336,10,,[ANN][ICO] Netterium ICO - The World’s Influencer Marketing Platform,"Hello. If I buy your tokens at a discount, when can I sell them on the stock exchange? The passage of kyc is mandatory for buyers?",False
3,msg35435647,https://bitcointalk.org/index.php?topic=3337788.0,msg35424986,264,Announcements (Altcoins),2018-04-24 03:02:57,Netcheckr,Newbie,18,0,,[ANN][ICO] Netterium ICO - The World’s Influencer Marketing Platform,"   you can sell token after the main sale has ended with reservation we have been admitted to applied exchanges. no KYC required, we already have a working platform that you can try into.  http://netcheckr.com/",False
4,msg35436319,https://bitcointalk.org/index.php?topic=3337788.0,,264,Announcements (Altcoins),2018-04-24 03:23:23,Netcheckr,Newbie,18,0,,[ANN][ICO] Netterium ICO - The World’s Influencer Marketing Platform,our BOUNTY CAMPAIGN IS NOW LIVE !!  https://bitcointalk.org/index.php?topic=3376677,False
5,msg35464994,https://bitcointalk.org/index.php?topic=3337788.0,,264,Announcements (Altcoins),2018-04-24 11:39:29,Darya Avasapova,Newbie,110,0,,[ANN][ICO] Netterium ICO - The World’s Influencer Marketing Platform,Good day! We added your project to the organizer for bounty hunters - http://liquidico.com/campaign/401. We can hold your ann on first 2 pages. Is it intresting for you?,False
6,msg36820709,https://bitcointalk.org/index.php?topic=3337788.0,msg36490285,264,Announcements (Altcoins),2018-05-09 23:41:59,Netcheckr,Newbie,18,0,,[ANN][ICO] Netterium ICO - The World’s Influencer Marketing Platform,   thanks you. will look into this,False
7,msg39373762,https://bitcointalk.org/index.php?topic=3337788.0,,264,Announcements (Altcoins),2018-06-04 16:29:07,Piligrim80,Newbie,210,0,,[ANN][ICO] Netterium ICO - The World’s Influencer Marketing Platform,Hello! How good is Your ICO? Where can I find out how many percent of the investment is collected and how many tokens are sold?,False
8,msg39425914,https://bitcointalk.org/index.php?topic=3337788.0,,264,Announcements (Altcoins),2018-06-05 11:32:40,Ojooo,Copper Member,154,0,,[ANN][ICO] Netterium ICO - The World’s Influencer Marketing Platform,Good luck with your project! ,False
9,msg39428672,https://bitcointalk.org/index.php?topic=3337788.0,,264,Announcements (Altcoins),2018-06-05 12:15:17,freakontop,Newbie,27,0,,[ANN][ICO] Netterium ICO - The World’s Influencer Marketing Platform,"Good idea, like your whitepaper. I keep my fingers crossed for success!",False
10,msg34915894,https://bitcointalk.org/index.php?topic=3337788.0,,264,Announcements (Altcoins),2018-04-17 11:41:36,Netcheckr,Newbie,18,0,,[ANN][ICO] Netterium ICO - The World’s Influencer Marketing Platform,"Netterium ICO is Now LIVE !  The Netterium token will be the standard currency used for all transactions between influencers & advertisers on the Netcheckr platform.  Netterium ICO has finally gone LIVE ! We didn’t have any pre-sales or private-sales for whales. So the bonus we offer for the first phase of our ICO is 20%.   MainSale First Round Date: Start Date: April 1 2018 End Date: June 30 2018 Tokens Sold: 100000000 Netterium Price and Bonus: 0.02 + 20% Bonus USD   Checkout our Medium Announcement too https://medium.com/@NetCheckr/netterium-ico-is-now-live-7ce6f9de0e41  The Netterium ICO NETR is a 100% utility token and it will be used as an internal currency of NetCheckr Ecosystem. It will also be used to fund the project.  Token Supply : 750 Million Ticker Code: NETR Soft Cap: $1.5 Million Hard Cap: $15 Million Price per Token: $0.02 Token Blockchain: Ethereum Tokens to be Sold: 480 Million NETR   You can check out our website for more info: http://netterium.com/ You can also try out our LIVE PLATFORM NOW: http://netcheckr.com/  NetCheckr Platform  The Netcheckr platform uses Netterium, an Ethereum-based token, as the unified mode of payment between influencers and companies, in addition to Blockchain-based smart contracts. This will allow the safe and regulated interaction of all parties, preventing fraud and the need for third party intermediaries.  Netcheckr’s Smart Algorithms help brands select the best influencers based on various parameters including relevance, popularity and demographics. The user-friendly interface provides profile pages for all influencers and quantified marketing campaign projections, maximizing the return on advertising budgets. The platform also helps both small and large-scale influencers find new brands and monetise content more easily and profitably.  The NetCheckr platform calculates your social media popularity based on reach and activity. When you connect your social media accounts, the Netcheckr algorithm measures the value of all your social data and converts it into an online net worth.  Netterium tokens are used for our project Netcheckr.com. After launch, Influencers will be able to earn them by posting commerical messages for advertisers on their social media accounts. Netterium will also work as a payment medium, and will give Netterium holders the possibility to sell & trade their Netterium Token.   CONNECT WITH ADVERTISERS  An analysis of virtually every metric shows that the influencer marketing sector is experiencing exponential growth. Netcheckr is positing itself to be the sector’s future leader, thanks to its state-ofthe-art platform, effective marketing campaign tools and the security advantages of Blockchain-based technology.  In the last 5 years social media influencers have had an increasingly larger impact on the advertising and marketing industries. Influencer marketing is now the fastest growing niche in the digital marketing sector, with global spending expected to grow from $2 billion in 2017 to $10 billion by 2020  Influencer marketing strategy is available for all levels, beginners and advanced.  -Connect with Advertisers -Share Experiences With Your Network -Earn Revenue By Doing What You Love -Monitize On Your Online Activities    A 2015 survey by Tomoson highlighted how influencer marketing can significantly increase sales for brands who engage in it. Businesses are on average generating $6.50 in revenues for every $1 spent on influencer marketing, with the top 13% of businesses making more than $20. This compares to an average of only $2 in revenues generated by business for every $1 spent on Google Adwords.  The Challenge: Unleashing The Full Potential Of Influencer Marketing  The advantages of influencer marketing are clear:   Consumers believe in influencers and rate highly their opinions and recommendations on products. Consequently, an estimated 88% of marketing professionals consider influencer marketing either effective or very effective in raising brand awareness. It allows a tailor-made marketing approach depending on the influencer chosen, allowing virtually endless opportunities of making the marketing message specific and unique. Influencers have the freedom to carry out the promotion in a way that is most suitable to them, their reputation and their audience. It offers unprecedented growth potential, both within and across the economy. Although over two-thirds of advertising brands have implemented influencer marketing into their strategies, 41% of them are spending less than 5% of their budgets on Influencer campaigns. Also, 34.1% of influencer marketing campaign budgets remain below $5,000.  NetCheckr: The Solution Netcheckr aims to create the world’s largest, most effective and best rated influencer marketing ecosystem. The Netcheckr platform offers numerous features that solve all the existing problems of the sector, while creating new opportunities for profitable influencer marketing:  ‣ The Netterium Token The Netcheckr ecosystem revolves around Netterium, an ERC20 compatible token. The Netterium token will be the standard currency used for all transactions between influencers and advertisers on the Netcheckr platform. The use of a single token simplifies the process of payment and allows users from around the world to participate, while eliminating the money transfer and intermediary fees associated with fiat currency payments.  ‣ Netcheckr Smart Algorithms Netcheckr’s Smart Algorithms constitute a unique technological competitive advantage in the field of influencer selection, ROI calculation and marketing campaign management. Each influencer on Netcheckr has a continuously updated profile where his/her Online Net Worth and Message Value are displayed. Netcheckr’s algorithms measure different relevant elements including followers, visualisations, popularity, engagement, and content output, among others, to measure influencer value. Advertisers are recommended the influencers that best match their brand identity, target demographics and campaign goals. The algorithms then calculate a fair Message Value for each proposed campaign, ensuring that influencers are adequately paid and brands do not overpay.  NETCHECKR   DISCLAIMER  NETTERIUM will NEVER solicit payments via social media (Telegram, Twitter, Facebook, Instagram, Medium etc.) The address for all our TOKEN SALES will only be published on our WEBSITE. NEVER EVER SEND ANY ETH TO ADDRESSES ON SOCIAL MEDIA.  Please follow our OFFICIAL SOCIA MEDIA ACCOUNTS  Instagram — https://www.instagram.com/netcheckr/  Twitter — https://twitter.com/NetCheckr  Medium — https://medium.com/@NetCheckr  Website — http://netcheckr.com/  Website — http://netterium.com/  Youtube—https://www.youtube.com/channel/UCJXuRWaSS_zu4hReOBZ13sw  Whitepaper — http://netterium.com/assets/files/white-paper.pdf  Telegram Community Group — https://t.me/NetCheckrNetterium  Telegram Announcement Channel — https://t.me/NetCheckrNetteriumAnnouncement      AIRDROPS AND BOUNTIES?? COMING SOON !!!!! Stay TUNED",False
