id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg30815852,https://bitcointalk.org/index.php?topic=2996644.0,,304,Announcements (Altcoins),2018-02-22 08:54:26,Bitway_,Copper Member,65,0,,⭐✅ [ANN] BITWAY NETWORK - CRYPTOCURRENCY MINING NETWORK ✅⭐,"BITWAY NETWORK We are pleased to announce the best and most profitable crowdfunded crypto mining network, Bitway!  The ultimate goal is to inspire millions to join us, and build a self-supportive, decentralized ecosystem. We stand for the fair distribution of Bitway and our plan is to improve the ways individuals interact with crypto mining by leveraging Bitway to create a self-supportive global mining network.  https://bitway.network ✅",False
2,msg30818000,https://bitcointalk.org/index.php?topic=2996644.0,msg30816978,304,Announcements (Altcoins),2018-02-22 09:33:10,Bitway_,Copper Member,65,0,,⭐✅ [ANN] BITWAY NETWORK - CRYPTOCURRENCY MINING NETWORK ✅⭐, ,False
3,msg30818879,https://bitcointalk.org/index.php?topic=2996644.0,,304,Announcements (Altcoins),2018-02-22 09:49:00,Bitway_,Copper Member,65,0,,⭐✅ [ANN] BITWAY NETWORK - CRYPTOCURRENCY MINING NETWORK ✅⭐,"We would love to create a fancy bitcoin talk thread for you guys. Having a relative new account we are unfortunately not able to do that at the current moment. We hope the links in the thread will give you the information you need and if you still have any questions, feel free to post a reply here.  Join the live community on discord: https://discord.gg/ydChdUt",False
4,msg30820398,https://bitcointalk.org/index.php?topic=2996644.0,msg30818879,304,Announcements (Altcoins),2018-02-22 10:14:20,kalunomics,Full Member,588,103,,⭐✅ [ANN] BITWAY NETWORK - CRYPTOCURRENCY MINING NETWORK ✅⭐,"       Edit the ANN with the images so that a higher account owner can help you re-post it for the images to show.  By The Way, another project, BitcoinWhite has taken that ticker, BTW and is already listed in Coinmarketcap. You might want to consider changing the ticker to avoid confusions, especially in exchanges and when it gets listed in Coinmarketcap",False
5,msg30820606,https://bitcointalk.org/index.php?topic=2996644.0,,304,Announcements (Altcoins),2018-02-22 10:18:12,azvn,Jr. Member,182,6,,⭐✅ [ANN] BITWAY NETWORK - CRYPTOCURRENCY MINING NETWORK ✅⭐,any bounty programs ?,False
6,msg30824067,https://bitcointalk.org/index.php?topic=2996644.0,msg30820398,304,Announcements (Altcoins),2018-02-22 11:15:05,Bitway_,Copper Member,65,0,,⭐✅ [ANN] BITWAY NETWORK - CRYPTOCURRENCY MINING NETWORK ✅⭐,"    Thank you but I'm not sure if I understood correctly, add [Images] in the thread title? Also we are aware of the ticker symbol, we will be announcing the new symbol soon to avoid any confusion when listed on exchanges and further.",False
7,msg30824439,https://bitcointalk.org/index.php?topic=2996644.0,msg30820606,304,Announcements (Altcoins),2018-02-22 11:21:44,Bitway_,Copper Member,65,0,,⭐✅ [ANN] BITWAY NETWORK - CRYPTOCURRENCY MINING NETWORK ✅⭐,"   We don't have any bounty program, at least not at the current moment. However, we do have open spots for the affiliate program which will reward 22% of any conversions generated.  https://bitway.network/affiliate/",False
8,msg30828514,https://bitcointalk.org/index.php?topic=2996644.0,,304,Announcements (Altcoins),2018-02-22 12:28:29,pantherx12,Full Member,322,100,,⭐✅ [ANN] BITWAY NETWORK - CRYPTOCURRENCY MINING NETWORK ✅⭐,how you want to make popular your project? you have good advisors or you have great PR team?,False
9,msg30833055,https://bitcointalk.org/index.php?topic=2996644.0,msg30828514,304,Announcements (Altcoins),2018-02-22 13:41:24,Bitway_,Copper Member,65,0,,⭐✅ [ANN] BITWAY NETWORK - CRYPTOCURRENCY MINING NETWORK ✅⭐,"   We have a great team, wide access to social media marketing services and we are also experts in search engine optimization. We spend 20% of the raising capital on promotion campaigns with Coinmarketcap and retargeting all traffic on Bitway with advertisement across the web.  http://puu.sh/zteqD/c2b177f9e1.png",False
10,msg30833619,https://bitcointalk.org/index.php?topic=2996644.0,,304,Announcements (Altcoins),2018-02-22 13:50:17,goinmerry,Legendary,1288,1019,,⭐✅ [ANN] BITWAY NETWORK - CRYPTOCURRENCY MINING NETWORK ✅⭐,"Nice project!   If you need help making a simple yet elegant ANN thread, I can help you, free of charge. And if somehow in the future you are planning to do a bounty program, I can act as a bounty manager if needed. Details to follow in PM.",False
11,msg30834382,https://bitcointalk.org/index.php?topic=2996644.0,msg30833619,304,Announcements (Altcoins),2018-02-22 14:02:43,Bitway_,Copper Member,65,0,,⭐✅ [ANN] BITWAY NETWORK - CRYPTOCURRENCY MINING NETWORK ✅⭐,"   That would be awesome, the request about bounty will be discussed with the team as our community seem to be interested in such a feature.",False
