id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg27548476,https://bitcointalk.org/index.php?topic=2234122.0,,21700,Announcements (Altcoins),2018-01-05 18:43:13,Inspeer.io,Member,98,10,,INSPEER - A Peer-to-peer lending service that works with Cryptocurrency and Fiat,There are so many scammers these days that you need to be really careful and follow some simple steps that will prevent any trouble.  https://www.facebook.com/Inspeere/photos/a.873943702753315.1073741828.862718383875847/913761105438241/?type=3&theater,False
2,msg27589486,https://bitcointalk.org/index.php?topic=2234122.0,,21700,Announcements (Altcoins),2018-01-06 13:15:27,Inspeer.io,Member,98,10,,INSPEER - A Peer-to-peer lending service that works with Cryptocurrency and Fiat,"Dear friends, quick reminder: new payment options have been implemented to make your participation in the project even easier. Contribute now in Ethereum, Bitcoin, Litecoin, Bitcoin Cash, Waves and NEM. Visit https://inspeer.io/",False
3,msg27671570,https://bitcointalk.org/index.php?topic=2234122.0,,21700,Announcements (Altcoins),2018-01-07 20:41:46,Inspeer.io,Member,98,10,,INSPEER - A Peer-to-peer lending service that works with Cryptocurrency and Fiat,"Dear friends, we would like to draw your attention to the fact that if you pay in Waves or NEM please do not forget to indicate your address. Thank you very much for all your support!",False
4,msg28870317,https://bitcointalk.org/index.php?topic=2234122.0,msg27589486,21700,Announcements (Altcoins),2018-01-25 05:54:03,ronbilo,Newbie,46,0,,INSPEER - A Peer-to-peer lending service that works with Cryptocurrency and Fiat,"   Thanks for the heads up, I always seem to go to Bitcointalk first to do some research, I'll go check it out, and I wish you folks the best in your project.",False
5,msg29978950,https://bitcointalk.org/index.php?topic=2234122.0,,21700,Announcements (Altcoins),2018-02-10 08:13:40,MiniMountain,Full Member,616,101,,INSPEER - A Peer-to-peer lending service that works with Cryptocurrency and Fiat,"Any updates from this ICO? it seems your ICO takes longer although you've reached the softcap but the investor will not be happy if you stop posting updates for the platform. I visited your website and saw that the ICO will last for 9 more days, it is true? or you didn't update your website because I thought that ICO was ended.",False
6,msg30663038,https://bitcointalk.org/index.php?topic=2234122.0,msg29978950,21700,Announcements (Altcoins),2018-02-20 07:08:51,aleksus,Full Member,252,103,,INSPEER - A Peer-to-peer lending service that works with Cryptocurrency and Fiat,"   Indeed team is very silent for some time already, it's not clear is ICO over or not, when will it be possible transfer tokens to own wallets ?",False
7,msg32207865,https://bitcointalk.org/index.php?topic=2234122.0,,21700,Announcements (Altcoins),2018-03-13 11:01:42,aleksus,Full Member,252,103,,INSPEER - A Peer-to-peer lending service that works with Cryptocurrency and Fiat,"Any news about the project ? When the tokens will appear on exchanges, when there will be update of a roadmap ?",False
8,msg36440801,https://bitcointalk.org/index.php?topic=2234122.0,,21700,Announcements (Altcoins),2018-05-06 04:40:09,kriptokris,Newbie,1,0,,INSPEER - A Peer-to-peer lending service that works with Cryptocurrency and Fiat,"Zero new on their website, on Facebook or Twitter since the ICO.  The only place where there is discussion is their Telegram channel. https://web.telegram.org/#/im?p=@Inspeer_io  Denis Kabanets, is the channel ADMIN.  He's been offering to buy back INSP tokens at 0.001308 ETH per INSP  on token store : https://token.store/trade/INSP  He's been asking members to place sell order at that price.  So far he only bought 174 INSP.  For the past 2 days he's been telling on telegram that he's going buy our tokens then does nothing.  I have created this post as I am worried he might delete the telegram channel at any time  Might be too early to call him a scammer, but he certainly acts like one.  Does anyone in this forum live in Russia and is able to contact the local authorities?",False
9,msg36449774,https://bitcointalk.org/index.php?topic=2234122.0,,21700,Announcements (Altcoins),2018-05-06 07:06:58,padujadi,Newbie,4,0,,INSPEER - A Peer-to-peer lending service that works with Cryptocurrency and Fiat,SCAM network ... beware,False
10,msg40433956,https://bitcointalk.org/index.php?topic=2234122.0,msg36440801,21700,Announcements (Altcoins),2018-06-19 09:16:47,rebrik7,Sr. Member,840,258,,INSPEER - A Peer-to-peer lending service that works with Cryptocurrency and Fiat,"  I think for now (month later from your post) is not early to call this project scam. Still zero activity, cheating of user, no funds back to investors etc. I want to be wrong, because in this case many people will loose their money, but in general Inspeer looks like 100% scam. Pity.",False
