id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg25803704,https://bitcointalk.org/index.php?topic=2426383.0,msg25612067,2630,Announcements (Altcoins),2017-12-05 18:44:22,PlatinumToken,Newbie,56,0,,[ANN][ICO] PlatinumToken - 🔵 The Business backed token 🔵,  https://join.slack.com/t/platinumtoken/shared_invite/enQtMjY1NDk2OTk3MjIwLTZlMmFkNjFmY2VjN2U2ZTI2ZmRlNGJmYWVlYTQ4OGQ3ZDM5NzQzODgzYzY0ZDBlZTg0ODkzYTBhMDdlMTQ3N2Q,True
2,msg25821277,https://bitcointalk.org/index.php?topic=2426383.0,,2630,Announcements (Altcoins),2017-12-06 02:02:06,jonnytracker,Sr. Member,672,261,,[ANN][ICO] PlatinumToken - 🔵 The Business backed token 🔵,Dec 20 presale or ico ?,True
3,msg25870770,https://bitcointalk.org/index.php?topic=2426383.0,,2630,Announcements (Altcoins),2017-12-06 19:05:55,PlatinumToken,Newbie,56,0,,[ANN][ICO] PlatinumToken - 🔵 The Business backed token 🔵,Please check website for more info,True
4,msg25888746,https://bitcointalk.org/index.php?topic=2426383.0,,2630,Announcements (Altcoins),2017-12-07 03:36:37,PlatinumToken,Newbie,56,0,,[ANN][ICO] PlatinumToken - 🔵 The Business backed token 🔵,Submit it in the form please,True
5,msg25912227,https://bitcointalk.org/index.php?topic=2426383.0,msg25873477,2630,Announcements (Altcoins),2017-12-07 12:32:57,lvsca,Sr. Member,770,257,,[ANN][ICO] PlatinumToken - 🔵 The Business backed token 🔵,"     post it on bounty thread, and don't forget to join pre-sale at 20 dec",True
6,msg26138911,https://bitcointalk.org/index.php?topic=2426383.0,,2630,Announcements (Altcoins),2017-12-11 12:57:14,PlatinumToken,Newbie,56,0,,[ANN][ICO] PlatinumToken - 🔵 The Business backed token 🔵,10 days and counting down. Good luck everyone,True
7,msg26302955,https://bitcointalk.org/index.php?topic=2426383.0,,2630,Announcements (Altcoins),2017-12-14 10:36:59,kondou,Newbie,49,0,,[ANN][ICO] PlatinumToken - 🔵 The Business backed token 🔵,good luck,True
8,msg26377220,https://bitcointalk.org/index.php?topic=2426383.0,,2630,Announcements (Altcoins),2017-12-15 14:09:38,PlatinumToken,Newbie,56,0,,[ANN][ICO] PlatinumToken - 🔵 The Business backed token 🔵,Token Decrease to just 1 million supply,True
9,msg26426055,https://bitcointalk.org/index.php?topic=2426383.0,,2630,Announcements (Altcoins),2017-12-16 11:30:00,bankbit,Newbie,56,0,,[ANN][ICO] PlatinumToken - 🔵 The Business backed token 🔵,What is your ico price,True
10,msg26426087,https://bitcointalk.org/index.php?topic=2426383.0,,2630,Announcements (Altcoins),2017-12-16 11:30:46,PlatinumToken,Newbie,56,0,,[ANN][ICO] PlatinumToken - 🔵 The Business backed token 🔵,Check updated whitepaper and website,True
