id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg52099871,https://bitcointalk.org/index.php?topic=2620951.0,,13729,Announcements (Altcoins),2019-08-08 12:26:42,Arget07,Hero Member,812,501,,[ANN][ICO] GAMBLICA - The New Era of Online Gambling,where are my bounty company tokens?,False
2,msg52121390,https://bitcointalk.org/index.php?topic=2620951.0,,13729,Announcements (Altcoins),2019-08-10 15:53:17,kunkelast,Jr. Member,45,1,,[ANN][ICO] GAMBLICA - The New Era of Online Gambling,"Hi, I can't find the most popular exchanges on this project? Where is it being traded? Can I somehow replace it with fiat?",False
3,msg52158779,https://bitcointalk.org/index.php?topic=2620951.0,,13729,Announcements (Altcoins),2019-08-14 12:26:21,cuttie018,Jr. Member,56,1,,[ANN][ICO] GAMBLICA - The New Era of Online Gambling,Have you ever had similar project here at BCT? Seems like I've already seen such project here. Maybe i am mistaken though...,False
4,msg52158849,https://bitcointalk.org/index.php?topic=2620951.0,,13729,Announcements (Altcoins),2019-08-14 12:33:52,Enzo05,Full Member,714,102,,[ANN][ICO] GAMBLICA - The New Era of Online Gambling,I'm a fan gambling especially slots game and I like the interface its just that I don't know where exchange it is listed.,False
5,msg52277948,https://bitcointalk.org/index.php?topic=2620951.0,msg50620530,13729,Announcements (Altcoins),2019-08-27 03:57:26,Kedril,Newbie,11,0,,[ANN][ICO] GAMBLICA - The New Era of Online Gambling,"Hello. At the start of the projects I bought GMB coins by 1500 USD, now link doesn't work (https://crowdsale.gamblica.com/Investor/Dashboard)  How can I take my coins?  Thank you     ",False
6,msg44359090,https://bitcointalk.org/index.php?topic=2620951.0,,13729,Announcements (Altcoins),2018-08-19 16:04:36,thedrawnpotato,Newbie,29,0,,[ANN][ICO] GAMBLICA - The New Era of Online Gambling,Will it be possible for Gamblica to have live dealers or is it not possible because of the blockchain?,False
7,msg45223115,https://bitcointalk.org/index.php?topic=2620951.0,,13729,Announcements (Altcoins),2018-09-05 10:23:40,Great_Frosty,Newbie,4,0,,[ANN][ICO] GAMBLICA - The New Era of Online Gambling,"Hi, Everyone!   It?s autumn already, our product is steadily moving to completion, which means it?s time for us to hit the road again. If you?re an investor or just want to catch up, you will be able to find us at the following gigs:  September, 22 World Blockchain Conference (http://roadshow.io) 555 Shanghai St, Mong Kok, Hong Kong   October, 4-5 Global Blockchain Forum (https://gbforum.co/) Hyatt, 5 Embarcadero Center, San Francisco, CA 94111 USA   October, 21-24 Money 20/20 (https://us.money2020.com/) 3355 S Las Vegas Blvd, Las Vegas, NV 89109, USA  Fancy conferences, fancy speakers. See you there!",False
8,msg45560584,https://bitcointalk.org/index.php?topic=2620951.0,,13729,Announcements (Altcoins),2018-09-12 03:09:51,paperclipsuddenlyfe,Newbie,6,0,,[ANN][ICO] GAMBLICA - The New Era of Online Gambling,"I found Casino the transparency of the system random number generator, can guarantee to players about the fairness of the outcome of the game. Wish successful project",False
9,msg45560859,https://bitcointalk.org/index.php?topic=2620951.0,,13729,Announcements (Altcoins),2018-09-12 03:24:04,kisfoxs,Jr. Member,266,1,,[ANN][ICO] GAMBLICA - The New Era of Online Gambling,"This project is very good, Sales Gamblica has been going on at the moment, there are still some weeks to ICO over, and this time they have collected 2.9  million USD from their target 3,2 million USD, I believe from the remaining 18 days they can achieve it, and this project will develop well.",False
10,msg45896602,https://bitcointalk.org/index.php?topic=2620951.0,,13729,Announcements (Altcoins),2018-09-19 06:57:15,durudara,Member,406,10,,[ANN][ICO] GAMBLICA - The New Era of Online Gambling,"This project is a platform game developed by players and for the players, the casino games does not have access to our account until the funds that we have always been under player's control. In addition they have reached the target and also beyond it, there will be many investors who invest their assets here.",False
