id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg33530788,https://bitcointalk.org/index.php?topic=3164823.0,msg33526277,447,Announcements (Altcoins),2018-03-30 14:58:03,TokenSpeed,Newbie,20,0,,[ANN]PRE SALE - CROWDSALE TOKENSPEED - The Creative Innovation in Cryptocurrency,   thank you All ideas are born because we aim to do good,False
2,msg33531524,https://bitcointalk.org/index.php?topic=3164823.0,msg33527620,447,Announcements (Altcoins),2018-03-30 15:07:40,TokenSpeed,Newbie,20,0,,[ANN]PRE SALE - CROWDSALE TOKENSPEED - The Creative Innovation in Cryptocurrency,"    Thank you, we will work from this project for all communities and investors who believe in us",False
3,msg33532655,https://bitcointalk.org/index.php?topic=3164823.0,msg33530734,447,Announcements (Altcoins),2018-03-30 15:23:09,TokenSpeed,Newbie,20,0,,[ANN]PRE SALE - CROWDSALE TOKENSPEED - The Creative Innovation in Cryptocurrency,   yes there are many bounty programs links: https://bitcointalk.org/index.php?topic=3223104.  after the completion of our distribution will be on the exchange DEX (Waves Decentralized Exchange),False
4,msg33533999,https://bitcointalk.org/index.php?topic=3164823.0,msg33532655,447,Announcements (Altcoins),2018-03-30 15:42:05,KKH84,Full Member,602,100,,[ANN]PRE SALE - CROWDSALE TOKENSPEED - The Creative Innovation in Cryptocurrency,"   whether you have any exchange plans other than DEX, I think this is a good project, awaiting the progress of your project.",False
5,msg33534709,https://bitcointalk.org/index.php?topic=3164823.0,msg33533999,447,Announcements (Altcoins),2018-03-30 15:51:57,TokenSpeed,Newbie,20,0,,[ANN]PRE SALE - CROWDSALE TOKENSPEED - The Creative Innovation in Cryptocurrency,"   yes, there are some exchange besides DEX  while we focus on the crowdsale first.  thank you",False
6,msg33700962,https://bitcointalk.org/index.php?topic=3164823.0,msg33284655,447,Announcements (Altcoins),2018-04-01 18:06:36,ivantito,Newbie,266,0,,[ANN]PRE SALE - CROWDSALE TOKENSPEED - The Creative Innovation in Cryptocurrency,  Thank you for the information,False
7,msg33701785,https://bitcointalk.org/index.php?topic=3164823.0,,447,Announcements (Altcoins),2018-04-01 18:18:23,ivantito,Newbie,266,0,,[ANN]PRE SALE - CROWDSALE TOKENSPEED - The Creative Innovation in Cryptocurrency,"Excellent project and good team, i like it",False
8,msg33754953,https://bitcointalk.org/index.php?topic=3164823.0,,447,Announcements (Altcoins),2018-04-02 12:19:56,loverscrypto,Newbie,6,0,,[ANN]PRE SALE - CROWDSALE TOKENSPEED - The Creative Innovation in Cryptocurrency,I see this project is simple but has the right purpose.  1. why should do ICO? 2. how investors can benefit from your project? 3. Is your rental node running and where can I see it? thanks.,False
9,msg33962013,https://bitcointalk.org/index.php?topic=3164823.0,msg33754953,447,Announcements (Altcoins),2018-04-05 02:24:43,TokenSpeed,Newbie,20,0,,[ANN]PRE SALE - CROWDSALE TOKENSPEED - The Creative Innovation in Cryptocurrency,"    we have a project that will be built by giving them an advantage with their leasing waves in the TokenSpeedNode node. building great events and advertising. build a decentralized mastervote. that's why we do crowdsale tokens. there are so many benefits they will get regardless of their investment. his example may be the detailed information we will provide in advertising regarding his wavesplatform and his asset tokens. yes currently running, you can see all pool lease nodes http://dev.pywaves.org/lpos/ thank you",False
10,msg33962442,https://bitcointalk.org/index.php?topic=3164823.0,,447,Announcements (Altcoins),2018-04-05 02:40:08,bojoketikung,Newbie,266,0,,[ANN]PRE SALE - CROWDSALE TOKENSPEED - The Creative Innovation in Cryptocurrency,"Interesting projects and it seems to be able to grow well, the team is very enthusiastic to get support, hopefully smooth and successful for TSP.",False
11,msg33963291,https://bitcointalk.org/index.php?topic=3164823.0,msg33962442,447,Announcements (Altcoins),2018-04-05 03:09:07,TokenSpeed,Newbie,20,0,,[ANN]PRE SALE - CROWDSALE TOKENSPEED - The Creative Innovation in Cryptocurrency,   thanks. we will keep trying to get the support of the community to make our project work.,False
12,msg34497279,https://bitcointalk.org/index.php?topic=3164823.0,msg34474638,447,Announcements (Altcoins),2018-04-12 01:15:43,TokenSpeed,Newbie,20,0,,[ANN]PRE SALE - CROWDSALE TOKENSPEED - The Creative Innovation in Cryptocurrency,   thanks for the update ico list tokenspeed,False
13,msg34552252,https://bitcointalk.org/index.php?topic=3164823.0,msg33962013,447,Announcements (Altcoins),2018-04-12 17:10:13,loverscrypto,Newbie,6,0,,[ANN]PRE SALE - CROWDSALE TOKENSPEED - The Creative Innovation in Cryptocurrency,   interesting ... I will try to follow my little fund to crowdsale tokenspeed. Good luck,False
14,msg34679764,https://bitcointalk.org/index.php?topic=3164823.0,,447,Announcements (Altcoins),2018-04-14 12:05:48,sawsaw987jig,Newbie,98,0,,[ANN]PRE SALE - CROWDSALE TOKENSPEED - The Creative Innovation in Cryptocurrency,Interesting project but we would like to know more about the team who are behind this,False
15,msg34798955,https://bitcointalk.org/index.php?topic=3164823.0,msg34679764,447,Announcements (Altcoins),2018-04-15 23:56:30,TokenSpeed,Newbie,20,0,,[ANN]PRE SALE - CROWDSALE TOKENSPEED - The Creative Innovation in Cryptocurrency,"   all the teams we have are listed on all ico-ico lists. more details can go into tokenspeed telegram group,thanks",False
16,msg37276243,https://bitcointalk.org/index.php?topic=3164823.0,,447,Announcements (Altcoins),2018-05-14 18:06:54,TokenSpeed,Newbie,20,0,,[ANN]PRE SALE - CROWDSALE TOKENSPEED - The Creative Innovation in Cryptocurrency,"Tokenspeed, presale and crowdsale have been distributed.  please check the address now!  Bounty and bonuses distributed May 29th, 2018  thanks contribution TSP",False
17,msg37276860,https://bitcointalk.org/index.php?topic=3164823.0,,447,Announcements (Altcoins),2018-05-14 18:14:23,LumeenaThuwan,Full Member,264,100,,[ANN]PRE SALE - CROWDSALE TOKENSPEED - The Creative Innovation in Cryptocurrency,"Tokenspeed is an asset token that uses blockchain waves as a solution for internal payment of advertising platforms, trading systems, reward lease nodes with the aim that users can gain ease in making payments and transactions.",False
