id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg40649030,https://bitcointalk.org/index.php?topic=2443796.0,,3106,Announcements (Altcoins),2018-06-22 09:31:15,liamclark,Jr. Member,168,5,,[ANN] DARICO PREICO | Easy-access gateway to safer cryptocurrency investment,"Holders of Darico Coin will receive exclusive access to the entire Darico ecosystem, including the wallet, terminal, liquidity pool, Index Fund, debit card and exchange.",True
2,msg44311508,https://bitcointalk.org/index.php?topic=2443796.0,msg40649030,3106,Announcements (Altcoins),2018-08-18 21:24:51,capableuwa1,Copper Member,364,22,,[ANN] DARICO PREICO | Easy-access gateway to safer cryptocurrency investment,"  Yes i agree, holders will enjoy all these exclusive benefits and i must add that the DRX token will serve for the purpose of mining in the ecosystem and can be turn up to anytime as this token can be generated on daily basis. ICO have already been concluded as hardcap have been hit. Let's watch out as the darico platform unfold the rest benefits in the crypto space.",True
3,msg45226662,https://bitcointalk.org/index.php?topic=2443796.0,,3106,Announcements (Altcoins),2018-09-05 11:51:32,brokens,Sr. Member,728,251,,[ANN] DARICO PREICO | Easy-access gateway to safer cryptocurrency investment,"Are there no development or information latest on this project? why only a litle people here give a response on DARICO? I don't see this token listed on the good market, then is there a plan to register this token in a decent market?",True
4,msg45250958,https://bitcointalk.org/index.php?topic=2443796.0,msg45226662,3106,Announcements (Altcoins),2018-09-05 21:01:28,Veter2000,Full Member,644,103,,[ANN] DARICO PREICO | Easy-access gateway to safer cryptocurrency investment,    The withdrawal of Darico coins to crypto exchange is expected not earlier than the end of September. The project is developing successfully. You can try out the alpha version of the trading terminal NYUS https://darico.io/en/terminal/alpha#/dashboard and the wallet GNIUS from Darico is already working,True
5,msg46414737,https://bitcointalk.org/index.php?topic=2443796.0,,3106,Announcements (Altcoins),2018-10-02 05:58:45,Kuala Lumpur,Member,420,69,,[ANN] DARICO PREICO | Easy-access gateway to safer cryptocurrency investment,"Colleagues, good afternoon. Token DEC was added to the IDEX exchange. Who wants to sell below the price of pre-ICO 10 times. Here is the link - https://idex.market/eth/dec Well, if someone wants to buy below the price of pre-ICO 10 times, then welcome) Strangely, the project, which has collected more than $ 10 million at pre-ICO, is traded on the exchange 10 times cheaper.",True
6,msg46904289,https://bitcointalk.org/index.php?topic=2443796.0,,3106,Announcements (Altcoins),2018-10-15 07:29:50,bellaobella,Jr. Member,140,1,,[ANN] DARICO PREICO | Easy-access gateway to safer cryptocurrency investment,"This coin has been listed on @Coinmarketdaddy (CMD). For all the trading information, total Supply, current price,  1 hour change, 24 hour change, 7 days change,  historical data , graph, calculator, convertor, reviews, statistics, and comments check out CMD twitter page @Coinmarketdaddy (CMD) and visit  DEC Market & Trading Data  Volume (24h)    $ 15.53K    Total Supply   99,006,342 Price %(1h)    3.13% Price %(24h)        7.79%  https://coinmarketdaddy.com/currencies/token/darico-ecosystem-coin/dec/",True
7,msg46957246,https://bitcointalk.org/index.php?topic=2443796.0,msg46904289,3106,Announcements (Altcoins),2018-10-16 17:48:08,Veter2000,Full Member,644,103,,[ANN] DARICO PREICO | Easy-access gateway to safer cryptocurrency investment,"    If you, like me, have missed the information on burning DEC tokens, then you can find out more by reading the article https://news.darico.io/dec-token-burn-announcement-ecc2cb1c4c15. 21 million DEC was burned, decreasing the total supply from 120 million DEC to 99 million DEC.",True
8,msg47033756,https://bitcointalk.org/index.php?topic=2443796.0,,3106,Announcements (Altcoins),2018-10-18 22:47:29,Veter2000,Full Member,644,103,,[ANN] DARICO PREICO | Easy-access gateway to safer cryptocurrency investment,"Darico and Polymath have partnered together in order to create the DECS Security Token for DAREX the first community-owned hybrid digital asset exchange from Darico. DAREX will be airdropping special Equity Tokens called DECS (Darico Exchange Community Shares) to holders of DEC, the native token of the Darico Ecosystem.",True
9,msg48148235,https://bitcointalk.org/index.php?topic=2443796.0,msg46414737,3106,Announcements (Altcoins),2018-11-23 04:59:08,bongbong2014,Jr. Member,168,2,,[ANN] DARICO PREICO | Easy-access gateway to safer cryptocurrency investment,"  Perhaps it is being dump by bounty hunters, because hardly anyone buys the ICO that sells such losses including investors buying in private sale and pre-sale.",True
10,msg49127183,https://bitcointalk.org/index.php?topic=2443796.0,msg48148235,3106,Announcements (Altcoins),2019-01-09 02:44:16,kalunomics,Full Member,588,103,,[ANN] DARICO PREICO | Easy-access gateway to safer cryptocurrency investment,  I am DARekt by this dump. Went all in following the partnership with Polymath and the equity token sharing news,True
