id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg43662002,https://bitcointalk.org/index.php?topic=3256618.0,,851,Announcements (Altcoins),2018-08-07 16:33:06,PH08,Newbie,12,0,,Bitcoin,Proof of joined post Telegram username:  @PH082 twitter username:  @PH082 facebook url:  https://www.facebook.com/xit.bo.5015 ETH wallet address:  0x7797B967DbB8f2aDF515068304ba53178a2C1331,False
2,msg43741980,https://bitcointalk.org/index.php?topic=3256618.0,,851,Announcements (Altcoins),2018-08-09 02:42:28,Bziir,Member,322,10,,Bitcoin,Combining two markets - real assets and blockchain-based crypto currencies. Planex creates low-cost and fast transactions.,False
3,msg43742885,https://bitcointalk.org/index.php?topic=3256618.0,,851,Announcements (Altcoins),2018-08-09 03:16:31,Matilda,Full Member,288,100,,Bitcoin,It can convert all kinds of encrypted currencies and stock bonds in real time and conveniently. This is a great function. It seems to me that it will be loved by the trading enthusiasts.,False
4,msg43766888,https://bitcointalk.org/index.php?topic=3256618.0,,851,Announcements (Altcoins),2018-08-09 12:29:58,masteraccountcreator,Member,226,10,,Bitcoin,With the bear markets arriving what plans does PlanEX have after the ico is finished? Also are you planning on having mas masternode or pos reward system and token burn to achieve the right price of the token after some time? As most ico fail at even listing on a reputable exchange,False
5,msg43839330,https://bitcointalk.org/index.php?topic=3256618.0,,851,Announcements (Altcoins),2018-08-10 16:38:28,TusharMali99,Member,238,12,,Bitcoin,"PlanEx freely converts financial market assets into crypto-tokens (XPX standard) and vice versa, without any restrictions. Fast, cheap, safe and anywhere in the world.",False
6,msg43870573,https://bitcointalk.org/index.php?topic=3256618.0,,851,Announcements (Altcoins),2018-08-11 08:52:53,TusharMali99,Member,238,12,,Bitcoin,"Ensuring the requirements of cost, speed and security of transactions on leger it’s necessary to move on to side chain concept. That is why Planex will use Lightning Network for performing transactions of Bitcoin Network and Raiden Network, solution for working with Ethereum network.",False
7,msg43931736,https://bitcointalk.org/index.php?topic=3256618.0,,851,Announcements (Altcoins),2018-08-12 09:39:44,omar hashim,Jr. Member,266,1,,Bitcoin,"Platform represents a multilayered system that consolidates two markets – real assets and crypto-currencies. Side-chain approach gives an opportunity to use the benefits of classic blockchain bypassing the commonly-used but slow chain thereby scaling computing, that decreases the cost and speeds up transactions.",False
8,msg43947365,https://bitcointalk.org/index.php?topic=3256618.0,,851,Announcements (Altcoins),2018-08-12 13:45:42,TusharMali99,Member,238,12,,Bitcoin,"PlanEx lets all of the market participants to get an access to assets from all over the world that are being traded on market: assets, bonds, Eurobonds, ETF etc.",False
9,msg43983994,https://bitcointalk.org/index.php?topic=3256618.0,msg43947365,851,Announcements (Altcoins),2018-08-13 02:12:54,Bziir,Member,322,10,,Bitcoin,"    Yes. in addition, Planek provides PlanSwap services as an interface and gateway for payment of storage and crypto exchange services. Planex also provides the conversion of any assets for clients according to their choice.",False
10,msg44034364,https://bitcointalk.org/index.php?topic=3256618.0,,851,Announcements (Altcoins),2018-08-13 21:00:12,xjohnreese,Newbie,22,0,,Bitcoin,Proof of joined post Telegram username:  @xjohnreese twitter username:  @vatan1sagolsun facebook url:  www.facebook.com/davutd.davut ETH wallet address: 0x7962274B7917CA8069d5337171DD3f3f3641B06B,False
