id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg43316743,https://bitcointalk.org/index.php?topic=4802273.0,,135,Announcements (Altcoins),2018-08-02 06:51:25,Myart,Newbie,69,0,,[ANN]Myart: The global blockchain bases platform for culture and art industry.,"Myart: The global blockchain bases platform for culture and art industry.  ABOUT Myart blockchain project Myart is the global blockchain bases platform for culture and art industry and is a new distributed art circulation ecology.Revolutionizing culture and art industry with a sharing economy powered by blockchain technology,we offer one stop service fully integrated upstream and downstream industry culture art circulation system through track System ,appraise System ,bid System ,warehouse System,lending System,security System which can do make more realist and more effect for culture and art industry.Myart is based on blockchain technology to achieve rapid and effective circulation of cultural artwork.From the nature of the relationship between productivity and production, Myart promotes the harmonious development and sustainable prosperity of the culture and art industry.  Key Problems Ability to cash out quickly for various types and levels of cultural artworks;Promote development of the artist team healthly,principle of Open and transparent transactions,Resolving trust crisis,Feel comfortable buying products,Solve the problem of payment and geography,Cut middleman and Reduce intermediary expenses. Comparing with traditional in auction industry,our advantage  1ST generally speaking, as the platform is a P2P trading system, there is no intermediary fee and the transaction service fee is far lower than the current level of the auction industry; 2nd Fair and transparent, the transaction is true and reliable, there is no any greasy speace for middleman, users are relieved to buy and sell; 3th The original channels are not enoughand cannot meet the needs of buyers and sellers; 4th The platform has created a perfect service system which is more convenient, fast and guaranteed; 5th Global platform, the constant expansion of the community can ensure the continuous development of the market,enough users,enlarge the market.  Key competitiveness world'class blockchain and artificia lintelligence (AI) top talent, as well as technology application patents. The unique ecosystem design of the project provides a huge space for the industrial development after the project launch. Take the lead in the application of block chain technology, which can lead cutting-edge in the industry.With a wide range of art resources (artists, art institutions and artworks) around the world,political and commerical resources(government, groups, business partners)support, the project can be guaranteed launch.   RoadMap Otc 2017 Myart Fundamental Principles and Project Launch; May 2018 Private Sale Launch; Aug 2018 Token exchange listing ; End of 2018,Token list top 3-5 exchanges ; March 2019 Alpa Release ; Aug 2019 beta Release.  Team; R&D team: Two doctorates who computer artificial intelligence, distributed resource management system and blockchain system Five Computer engineer who Internet technology development Marketing & Managment more than 20 persons  investment organization Jiaozi investment management co. LTD,Winshare Publishing & Media Co., Ltd  Smart Contracts Audit And Security On July 26 2018,Myart get MYT VASS(Verification as a Service)by Slowmist.IO.Myart smart contract address 0xC711348Eb06F6918F8eAE66cE3fcF4747345D78E get approve,rigorous function, no significant risk.   Contact Us  Official email of Myart：info@myart.world  Official WeChat ID of Myart：Myart_2018  Our Facebook https://www.facebook.com/MYART.MYT  Our Twitter https://twitter.com/myart00434985  Our Medium https://medium.com/myartartblock  Our Youtube https://www.youtube.com/channel/UCxlawqwExnn5daR8K-pRfkA  Our Quora https://www.quora.com/profile/Myart-Point  Our Discord https://discord.gg/fjC9ZtZ  Important Links: Website https://myart.world/?lang=en#  Whitepaper: http://myart.world/white_paper.pdf   Remember time is of the essence be informed today!",False
2,msg43318418,https://bitcointalk.org/index.php?topic=4802273.0,,135,Announcements (Altcoins),2018-08-02 07:29:27,Kolobok_UA,Newbie,69,0,,[ANN]Myart: The global blockchain bases platform for culture and art industry.,Good luck with your project!,False
3,msg43319031,https://bitcointalk.org/index.php?topic=4802273.0,msg43318418,135,Announcements (Altcoins),2018-08-02 07:41:31,Myart,Newbie,69,0,,[ANN]Myart: The global blockchain bases platform for culture and art industry., ,False
4,msg43319668,https://bitcointalk.org/index.php?topic=4802273.0,,135,Announcements (Altcoins),2018-08-02 07:54:19,3dyx,Full Member,420,102,,[ANN]Myart: The global blockchain bases platform for culture and art industry.,waiting for private sale launching. need more information about the target exchange listed. thank you,False
5,msg43328001,https://bitcointalk.org/index.php?topic=4802273.0,,135,Announcements (Altcoins),2018-08-02 10:26:01,Kangheri,Newbie,115,0,,[ANN]Myart: The global blockchain bases platform for culture and art industry.,"a rather interesting approach, the main thing that in the future it has ensured the development of the project",False
6,msg43428691,https://bitcointalk.org/index.php?topic=4802273.0,msg43328001,135,Announcements (Altcoins),2018-08-04 01:37:42,Myart,Newbie,69,0,,[ANN]Myart: The global blockchain bases platform for culture and art industry.,   Thank Yuo,False
7,msg43429278,https://bitcointalk.org/index.php?topic=4802273.0,msg43398643,135,Announcements (Altcoins),2018-08-04 02:05:24,Myart,Newbie,69,0,,[ANN]Myart: The global blockchain bases platform for culture and art industry.,  Thanks for your add our projects on your website.do you more detail on your website.like more photo.,False
8,msg43749710,https://bitcointalk.org/index.php?topic=4802273.0,,135,Announcements (Altcoins),2018-08-09 06:42:24,minhdang2212,Jr. Member,182,2,,[ANN]Myart: The global blockchain bases platform for culture and art industry.,"Myart offer one stop service fully integrated upstream and downstream industry culture art circulation system through track System ,appraise System, bid System ,warehouse System,lending System,security System which can do make more realist and more effect for culture and art industry.Myart is based on blockchain technology to achieve rapid and effective circulation of cultural artwork.From the nature of the relationship between productivity and production, Myart promotes the harmonious development and sustainable prosperity of the culture and art industry.",False
9,msg43750156,https://bitcointalk.org/index.php?topic=4802273.0,,135,Announcements (Altcoins),2018-08-09 06:53:42,rashio,Newbie,70,0,,[ANN]Myart: The global blockchain bases platform for culture and art industry.,Have you did the token sale phase? I think it is needed to add more information about the token sale. I cannot see the detail information related when the Public sale will start or end. I just read info of private sale started on may.,False
10,msg43751621,https://bitcointalk.org/index.php?topic=4802273.0,msg43749710,135,Announcements (Altcoins),2018-08-09 07:25:29,Myart,Newbie,69,0,,[ANN]Myart: The global blockchain bases platform for culture and art industry., ,False
11,msg43751965,https://bitcointalk.org/index.php?topic=4802273.0,msg43328001,135,Announcements (Altcoins),2018-08-09 07:33:02,Myart,Newbie,69,0,,[ANN]Myart: The global blockchain bases platform for culture and art industry.,    private sale have end last month and we will on list soon  If you are interest .you can go to exchange or build MYT club for our team  we will offer some coin every month.,False
12,msg43753556,https://bitcointalk.org/index.php?topic=4802273.0,,135,Announcements (Altcoins),2018-08-09 08:04:00,dzkrb,Sr. Member,672,250,,[ANN]Myart: The global blockchain bases platform for culture and art industry.,"It seems to me that artists are so much in their world that they understand crypto currency very far. And it seems to me that there is no need to make special efforts in this area. Anyway, all the works of art are sold for Fiat.",False
13,msg43801428,https://bitcointalk.org/index.php?topic=4802273.0,msg43753556,135,Announcements (Altcoins),2018-08-10 01:58:43,Myart,Newbie,69,0,,[ANN]Myart: The global blockchain bases platform for culture and art industry.,"  Strong team, good and loyal, active community.",False
14,msg45111590,https://bitcointalk.org/index.php?topic=4802273.0,,135,Announcements (Altcoins),2018-09-03 02:35:24,Myart,Newbie,69,0,,[ANN]Myart: The global blockchain bases platform for culture and art industry.,https://postimg.cc/image/t2rndw9oh/[img][img]https://s8.postimg.cc/t2rndw9oh/logo.jp,False
15,msg45475232,https://bitcointalk.org/index.php?topic=4802273.0,,135,Announcements (Altcoins),2018-09-10 07:42:24,Myart,Newbie,69,0,,[ANN]Myart: The global blockchain bases platform for culture and art industry.,Hederu auction house to sell arts in Sep 28 2018.Myart Blockchain welcomes buyers and sellers this fair.,False
