id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg28155930,https://bitcointalk.org/index.php?topic=2284146.0,,5820,Announcements (Altcoins),2018-01-15 04:54:10,elwiswoodie,Member,364,16,,[ANN][ICO][ENJL] Crypto and fiat money in one wallet!,"whether the ICO period is over? if it is finished, does the ICO of ENJL succeed or fail? where can I buy ENJL token now?",False
2,msg28173193,https://bitcointalk.org/index.php?topic=2284146.0,msg28155930,5820,Announcements (Altcoins),2018-01-15 11:01:57,jorenpo,Sr. Member,546,250,,[ANN][ICO][ENJL] Crypto and fiat money in one wallet!,   not finish yet. AFAIK there's 5 round of ICO. the first round is jan.12 to jan.15 so only 1st round of it is finish. each round the price will increase so better buy on 1st or 2nd round.,False
3,msg29085758,https://bitcointalk.org/index.php?topic=2284146.0,msg28173193,5820,Announcements (Altcoins),2018-01-28 09:03:38,billy.ryoko,Full Member,602,104,,[ANN][ICO][ENJL] Crypto and fiat money in one wallet!,   Do you know when will the ICO ends in the future? I am wonder this project have not update any news in any social media channel for long time.,False
4,msg30012370,https://bitcointalk.org/index.php?topic=2284146.0,msg23179750,5820,Announcements (Altcoins),2018-02-10 18:00:01,crazenlita,Newbie,1,0,,[ANN][ICO][ENJL] Crypto and fiat money in one wallet!,Facebook banned the advertising of ICO projects. No problems. We know how to massively draw investors into your project. ROI for our services is 600-2000%. Check full list of our services here — https://tge.company/ Our telegrem profile — @hypebtc  ,False
5,msg31641173,https://bitcointalk.org/index.php?topic=2284146.0,,5820,Announcements (Altcoins),2018-03-05 16:15:55,Saoha,Full Member,742,100,,[ANN][ICO][ENJL] Crypto and fiat money in one wallet!,I participated in the ENJL bounty campaign; Do not have any updates or answers about it. Has it ended? Please give me the answer. thank you!!!!,False
6,msg31693306,https://bitcointalk.org/index.php?topic=2284146.0,,5820,Announcements (Altcoins),2018-03-06 10:34:09,Obduvan,Newbie,72,0,,[ANN][ICO][ENJL] Crypto and fiat money in one wallet!,Any updates ??,False
7,msg32349741,https://bitcointalk.org/index.php?topic=2284146.0,,5820,Announcements (Altcoins),2018-03-15 07:52:21,ladozhskiy1995,Newbie,112,0,,[ANN][ICO][ENJL] Crypto and fiat money in one wallet!," good project, although at  beginning is not good but  the running time of this project slowly this project began to show good results and i think this project will progress in the future.",False
8,msg33233850,https://bitcointalk.org/index.php?topic=2284146.0,,5820,Announcements (Altcoins),2018-03-26 18:33:35,cryptomup,Full Member,658,112,,[ANN][ICO][ENJL] Crypto and fiat money in one wallet!,"Hello! ICO as I understand it is stopped, I would really like feedback from the team, and the current news on the project",False
9,msg37303439,https://bitcointalk.org/index.php?topic=2284146.0,,5820,Announcements (Altcoins),2018-05-15 01:33:55,nurysan,Newbie,154,0,,[ANN][ICO][ENJL] Crypto and fiat money in one wallet!,"it looks like for the second half stay a few more hours will end, hopefully all goes well and successful.",False
10,msg37368299,https://bitcointalk.org/index.php?topic=2284146.0,,5820,Announcements (Altcoins),2018-05-15 16:14:16,Panrado,Jr. Member,159,1,,[ANN][ICO][ENJL] Crypto and fiat money in one wallet!,"When I read it the information above on this project, it looks like a comprehensive information, and I want to track it and maybe invest a little soon, hoping to make a good profit.",False
