id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg21209219,https://bitcointalk.org/index.php?topic=2086432.0,,3301,Announcements (Altcoins),2017-08-26 02:10:53,m_nief,Sr. Member,420,250,,[ANN][ICO][BOUNTY] ModoView - Innovative Mixed Reality framework for enterprises,"i can't download the wp sir, ",False
2,msg21270018,https://bitcointalk.org/index.php?topic=2086432.0,msg21209219,3301,Announcements (Altcoins),2017-08-28 06:03:16,ModoView,Newbie,27,0,,[ANN][ICO][BOUNTY] ModoView - Innovative Mixed Reality framework for enterprises,"   Hi,  We can help you, please PM us or try to join our Telegram group.  Best, MS.",False
3,msg21301485,https://bitcointalk.org/index.php?topic=2086432.0,,3301,Announcements (Altcoins),2017-08-29 06:29:53,ModoView,Newbie,27,0,,[ANN][ICO][BOUNTY] ModoView - Innovative Mixed Reality framework for enterprises,UPDATE  Our White Paper has been translated in Hindi: http://www.modoview.com/modoview_wp_hindi.pdf,False
4,msg21331083,https://bitcointalk.org/index.php?topic=2086432.0,,3301,Announcements (Altcoins),2017-08-30 02:45:50,m_nief,Sr. Member,420,250,,[ANN][ICO][BOUNTY] ModoView - Innovative Mixed Reality framework for enterprises,How to determine the winner of the logo design contest? Is there a voting system to determine it? And when the winner of this logo design contest will be announced?,False
5,msg21331484,https://bitcointalk.org/index.php?topic=2086432.0,,3301,Announcements (Altcoins),2017-08-30 03:12:20,teslag,Member,728,10,,[ANN][ICO][BOUNTY] ModoView - Innovative Mixed Reality framework for enterprises,dev are you open bounty for newbi?,False
6,msg21335105,https://bitcointalk.org/index.php?topic=2086432.0,msg21331083,3301,Announcements (Altcoins),2017-08-30 06:34:40,ModoView,Newbie,27,0,,[ANN][ICO][BOUNTY] ModoView - Innovative Mixed Reality framework for enterprises,"   The ModoView Team will choose the logo that fits better with our concept and vision.  The winner will be announced after the ICO (it ends on 1st November 2017). In case there is no logo that meets our requirements, there will be no winner and the contest will be extended after the ICO.  Best, MS.",False
7,msg21335256,https://bitcointalk.org/index.php?topic=2086432.0,msg21331484,3301,Announcements (Altcoins),2017-08-30 06:41:10,ModoView,Newbie,27,0,,[ANN][ICO][BOUNTY] ModoView - Innovative Mixed Reality framework for enterprises,"   Hi,  The bounty program is open to all people interested in our project, there aren't restrictions.  Best, MS.",False
8,msg21906973,https://bitcointalk.org/index.php?topic=2086432.0,,3301,Announcements (Altcoins),2017-09-16 18:53:01,jasindu36,Newbie,42,0,,[ANN][ICO][BOUNTY] ModoView - Innovative Mixed Reality framework for enterprises,Joined Telegram,False
9,msg22212402,https://bitcointalk.org/index.php?topic=2086432.0,,3301,Announcements (Altcoins),2017-09-25 16:55:10,m_nief,Sr. Member,420,250,,[ANN][ICO][BOUNTY] ModoView - Innovative Mixed Reality framework for enterprises,"how the progress of logo contest sir?? who is the winner?? if the winner isn't announced yet, when it will be announced??",False
10,msg22213514,https://bitcointalk.org/index.php?topic=2086432.0,msg22212402,3301,Announcements (Altcoins),2017-09-25 17:33:59,ModoView,Newbie,27,0,,[ANN][ICO][BOUNTY] ModoView - Innovative Mixed Reality framework for enterprises,"   Hi,  If there is a winner, it will be announced when the ICO ends.  Best, MS.",False
11,msg20947953,https://bitcointalk.org/index.php?topic=2086432.0,,3301,Announcements (Altcoins),2017-08-17 06:24:57,Dlugina23,Sr. Member,504,251,,[ANN][ICO][BOUNTY] ModoView - Innovative Mixed Reality framework for enterprises,When the ico start and end?,False
12,msg20948716,https://bitcointalk.org/index.php?topic=2086432.0,msg20947953,3301,Announcements (Altcoins),2017-08-17 06:52:45,ModoView,Newbie,27,0,,[ANN][ICO][BOUNTY] ModoView - Innovative Mixed Reality framework for enterprises,"   Hey,  the ICO starts on 1st October 2017 and ends on 1st November 2017.  Best, MS.",False
13,msg20952550,https://bitcointalk.org/index.php?topic=2086432.0,msg20948716,3301,Announcements (Altcoins),2017-08-17 09:26:49,bohizatuuu,Newbie,1,0,,[ANN][ICO][BOUNTY] ModoView - Innovative Mixed Reality framework for enterprises,   Good to know! I am new and I would join some ICOs... what currencies do you accept? Will it happen though your website? Thx,False
