id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg34439029,https://bitcointalk.org/index.php?topic=1696378.0,,9698,Announcements (Altcoins),2018-04-11 08:56:36,meomeo989,Newbie,98,0,,[ANN] FundRequest : Platform for rewarding open source contributions,When will the mainnet start?,False
2,msg35508028,https://bitcointalk.org/index.php?topic=1696378.0,,9698,Announcements (Altcoins),2018-04-24 20:59:08,z0n0,Legendary,1274,1006,,[ANN] FundRequest : Platform for rewarding open source contributions,"April 24th, 2018 - Development Update  Two weeks ago we communicated that our contracts were finalised and ready to be audited, but after a quick internal discussion we’ve decided to add a few extra changes before deploying our contracts to mainnet. One of which is the upgrade to Solidity version 0.4.23. The main reason we decided to immediately go to 0.4.23 is because it supports accessing dynamic data (such as strings) returned by function calls. Basically, this means that we could use the Eternal Storage pattern in our repository contracts.  What does this all mean exactly? It means that by upgrading to the latest solidity version, we are able to write our data to Eternal Storage and in doing so, separating our data from our logic. In turn making upgrades to existing contracts a lot easier for our developers and transparent to the end-users. Key points we worked on: Features:     Upgrade to Solidity version 0.4.23 (pull request #37).     Improve the upgradability of the smart contracts (pull request #38).     Implement a page where all the details of a request are visible (pull request #106).     Implement a page where you can browse all the request that are relevant to a certain user (pull request #92, #93).     Upgrade profile to match the structure of userprofile (pull request #105).     Refactor pieces of code to keep it maintainable, by making a separate functionality class from Callable (issue #30).     Finalised designing front-end screens using Sketch.  Bugfixes:     Pending request removed but not added to ‘my’ list (pull request #99).     Refactor filter for list (pull request #93).     CSS not loading properly after registering on the platform (issue #79).",False
3,msg35536945,https://bitcointalk.org/index.php?topic=1696378.0,,9698,Announcements (Altcoins),2018-04-25 08:44:52,CoinBed Representative,Newbie,11,0,,[ANN] FundRequest : Platform for rewarding open source contributions,"I am here to PERSONALLY invite this lovely ICO to join our clan and help your ICO to get the much NEEDED exposer. We have created Coinbed for ICO owners, as not only we have SIMPLE process to get the ICO listed, but also we have cheap price UNLIKE other exchange out there.  So, I am here to invite this lovely ICO to be part of the deal. It could really give your ICO the boost needed.  Visit http://www.coinbed.io/ for more info or email us at Support@coinbed.io  Best regards, Coinbed Representative",False
4,msg35711024,https://bitcointalk.org/index.php?topic=1696378.0,msg35508028,9698,Announcements (Altcoins),2018-04-27 11:29:11,agu3000,Member,274,21,,[ANN] FundRequest : Platform for rewarding open source contributions,    Thanks for the update. This project have an excellent idea and the team work hard!! Sure that will be huge!!,False
5,msg38205233,https://bitcointalk.org/index.php?topic=1696378.0,,9698,Announcements (Altcoins),2018-05-22 20:02:10,z0n0,Legendary,1274,1006,,[ANN] FundRequest : Platform for rewarding open source contributions,"Feature Freeze & Bug Fixing  The code of the first release on Mainnet, v1.0.0 — Boccaccio has been frozen, only bug fixes are now allowed, in parallel the scope for the follow up release v.1.1.0 — Balmoral has been defined. The focus will be on implementing corner stone features, like the notification system and the browser plugin.",False
6,msg38222003,https://bitcointalk.org/index.php?topic=1696378.0,,9698,Announcements (Altcoins),2018-05-22 23:43:56,evcarlowa,Full Member,196,100,,[ANN] FundRequest : Platform for rewarding open source contributions,"as I see the project still from 2016. Tell me, what is now with the project? What stage is it and is it still alive? the token is traded on exchanges?",False
7,msg42384904,https://bitcointalk.org/index.php?topic=1696378.0,msg17019226,9698,Announcements (Altcoins),2018-07-18 03:12:29,imandev,Newbie,46,0,,[ANN] FundRequest : Platform for rewarding open source contributions,     FundRequest (FND) may be free of listing on Aiodex if the number of votes is large enough. Let's vote for it ☞ https://aiodex.com/vote/coin/5b4eaff6fa90c70aeae0a161,False
8,msg44294746,https://bitcointalk.org/index.php?topic=1696378.0,,9698,Announcements (Altcoins),2018-08-18 14:56:17,bongbong2014,Jr. Member,168,2,,[ANN] FundRequest : Platform for rewarding open source contributions,FundRequest is a new platform that allows organizations to reward open-source contributors by sharing cryptocurrency as an extra incentive. I get the initial idea behind this that there are people with great ideas but they just don't know how to execute it. What a noble platform therefore.,False
9,msg47010479,https://bitcointalk.org/index.php?topic=1696378.0,msg17019226,9698,Announcements (Altcoins),2018-10-18 09:29:51,anwarman,Newbie,21,0,,[ANN] FundRequest : Platform for rewarding open source contributions,"     Dear FundRequest Team Your coin may be free of listing on Aiodex if the number of votes is large enough. Let's vote for it ☞ https://aiodex.com/vote Please, Don't hesitate to let us know if you have any questions. Sincerely, Aiodex Team Discord: https://discord.gg/RvhvdZq Facebook: https://www.facebook.com/aiodexofficial Twitter: https://twitter.com/aiodex_official Telegram: https://t.me/aiodex_official Website: https://aiodex.com",False
10,msg51235615,https://bitcointalk.org/index.php?topic=1696378.0,,9698,Announcements (Altcoins),2019-05-27 09:47:30,67semih,Jr. Member,518,1,,[ANN] FundRequest : Platform for rewarding open source contributions,A lot of platform has failed about fundraising. I hope you can be successful. Can you tell me what is the difference of this project?,False
