id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg45529220,https://bitcointalk.org/index.php?topic=3210474.0,,14242,Announcements (Altcoins),2018-09-11 11:01:27,morantis,Hero Member,868,500,,✳️✳️✳️[ANN][ICO][NEO]NETWORK GURU - NEO ICO✳️✳️,NEO Challenge - Tokyo | Cut | 2018.8.24-2018.8.26 https://www.youtube.com/watch?v=URYQGV14z5s,False
2,msg45563955,https://bitcointalk.org/index.php?topic=3210474.0,,14242,Announcements (Altcoins),2018-09-12 05:37:05,identifyuser,Hero Member,630,500,,✳️✳️✳️[ANN][ICO][NEO]NETWORK GURU - NEO ICO✳️✳️,The platform is going to become a full-fledged marketing tool that will allow you to create reports and analyze and integrate existing plug-ins for e-commerce. How are you going to fight with competitors?,False
3,msg46309476,https://bitcointalk.org/index.php?topic=3210474.0,,14242,Announcements (Altcoins),2018-09-29 14:11:09,mamoto,Member,415,10,,✳️✳️✳️[ANN][ICO][NEO]NETWORK GURU - NEO ICO✳️✳️,Last weekend our CEO had the chance to participate in the biggest & definitely most interesting bitcoin conference in Europe: Baltic Honeybadger It gathered many respected speakers Today we are in Tbilisi for NEO Black Sea Assembly  https://twitter.com/NetworkGURUapp/status/1045493487989190657?s=19,False
4,msg47153206,https://bitcointalk.org/index.php?topic=3210474.0,,14242,Announcements (Altcoins),2018-10-22 12:33:19,DeViL303,Full Member,588,103,,✳️✳️✳️[ANN][ICO][NEO]NETWORK GURU - NEO ICO✳️✳️,"KPN voted in as NEO MainNet consensus node to speed up decentralization further https://neo.org/blog/details/4117  NEO consensus node page released recently was a major step towards decentralization. Now, KPN has been officially voted in as a NEO MainNet consensus node, indicating a further step towards decentralization. Previously, 6 of the 7 mainnet consensus nodes were hosted by NEO Foundation while 1 was hosted by CoZ.  NEO MainNet officially launched on Oct 17, 2016 and has been running in a stable capacity for two years. Since the mainnet release, decentralization has been written in the project roadmap as a major goal and pursued unwaveringly by NEO in the past two years. On July 4, 2018, NEO Developer Community CoZ became the first entity other than NEO Foundation that hosted a consensus node on NEO MainNet, bringing NEO into the era of decentralization. As a key partner in NEO ecosystem, KPN began to act as a consensus node on NEO TestNet in July 2018 and has since maintained stable operation that has been widely acknowledged by the community. Therefore NEO Foundation determined to complete the MainNet election 3 months ahead of schedule.  In the latest NEO consensus node election, KPN was officially elected a consensus node running on NEO MainNet at 6:13:12 on October 20, 2018 (GMT+8). The number of consensus nodes controlled by NEO Foundation now decreased from 7 to 5, indicating a further stride towards NEO decentralization.  The NEO consensus node page updates the latest node status and votes with a visual display of applicant info for “on-chain governance” and “off-chain governance” respectively. In the future, NEO Foundation will further delegate the consensus nodes to reliable, trustworthy and qualified partners to fully realize decentralization.",False
5,msg47311276,https://bitcointalk.org/index.php?topic=3210474.0,,14242,Announcements (Altcoins),2018-10-27 06:19:33,Mrpumperitis,Legendary,1344,1070,,✳️✳️✳️[ANN][ICO][NEO]NETWORK GURU - NEO ICO✳️✳️,Vote for NEO to be added as collateral for Nexo's instant crypto-backed loans https://nexo.io/neo-loan,False
6,msg50424148,https://bitcointalk.org/index.php?topic=3210474.0,,14242,Announcements (Altcoins),2019-04-02 12:47:28,c0in_junkie,Sr. Member,528,251,,✳️✳️✳️[ANN][ICO][NEO]NETWORK GURU - NEO ICO✳️✳️,"Look's like gagapay / network guru are scammers... no social media activity since 11/2018, no updates, no login here since january...",False
7,msg41221601,https://bitcointalk.org/index.php?topic=3210474.0,,14242,Announcements (Altcoins),2018-06-30 14:57:53,brenson,Copper Member,181,10,,✳️✳️✳️[ANN][ICO][NEO]NETWORK GURU - NEO ICO✳️✳️,The announcement about GTA token use on http://Gagapay.com  crypto payment platform (which will grant major commission fee reductions to users) was covered by NEOnewstoday More information here  https://neonewstoday.com/general/gagapay-network-gta-payments-gagapay-com/,False
8,msg41221892,https://bitcointalk.org/index.php?topic=3210474.0,,14242,Announcements (Altcoins),2018-06-30 15:02:29,Kiriya,Full Member,476,100,,✳️✳️✳️[ANN][ICO][NEO]NETWORK GURU - NEO ICO✳️✳️,"Well, almost $1,2 million are already raised. Not bad, especially when we see what happens to the cryptocurrency market at the moment.",False
9,msg41285929,https://bitcointalk.org/index.php?topic=3210474.0,,14242,Announcements (Altcoins),2018-07-01 13:31:36,daviszayn,Newbie,140,0,,✳️✳️✳️[ANN][ICO][NEO]NETWORK GURU - NEO ICO✳️✳️,By implementing targeted offers businesses will be able to reach the right marketers faster and grow a world wide network of customers,False
10,msg41573363,https://bitcointalk.org/index.php?topic=3210474.0,msg41221601,14242,Announcements (Altcoins),2018-07-05 14:30:45,cryptothreads,Hero Member,910,500,,✳️✳️✳️[ANN][ICO][NEO]NETWORK GURU - NEO ICO✳️✳️,     Very interesting information about the project and I highly appreciate this project. There are very few NEO-based ICO projects and almost all NEO-based ICOs are quality projects and are of great interest to the community around the world. I am considering investing in this project because I believe in their development team and will probably build a good ecosystem in the future.,False
