id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg47159818,https://bitcointalk.org/index.php?topic=5033458.0,,517,Announcements (Altcoins),2018-10-22 15:56:27,Peter - Investx,Copper Member,32,0,,[ANN][Pre-ICO][UK] Investx - SME Equity Crowdfunding Platform [ETHICAL ICO],New article with insights into the Investx board and our experience and capabilities:  https://medium.com/investxltd/investx-board-experience-in-sme-businesses-and-software-platform-development-who-we-are-c417b336dd89,False
2,msg47244157,https://bitcointalk.org/index.php?topic=5033458.0,,517,Announcements (Altcoins),2018-10-25 07:51:29,Peter - Investx,Copper Member,32,0,,[ANN][Pre-ICO][UK] Investx - SME Equity Crowdfunding Platform [ETHICAL ICO],,False
3,msg47294877,https://bitcointalk.org/index.php?topic=5033458.0,msg47175845,517,Announcements (Altcoins),2018-10-26 15:38:33,Peter - Investx,Copper Member,32,0,,[ANN][Pre-ICO][UK] Investx - SME Equity Crowdfunding Platform [ETHICAL ICO],"   Nice site, useful analysis",False
4,msg47295005,https://bitcointalk.org/index.php?topic=5033458.0,,517,Announcements (Altcoins),2018-10-26 15:42:54,Peter - Investx,Copper Member,32,0,,[ANN][Pre-ICO][UK] Investx - SME Equity Crowdfunding Platform [ETHICAL ICO],Investx stabilizes Token by adopting Holo's Ethical ICO model  https://www.the-blockchain.com/2018/10/25/investx-stabilizes-token-by-adopting-holos-ethical-ico-model/,False
5,msg47429250,https://bitcointalk.org/index.php?topic=5033458.0,,517,Announcements (Altcoins),2018-10-30 16:37:19,Peter - Investx,Copper Member,32,0,,[ANN][Pre-ICO][UK] Investx - SME Equity Crowdfunding Platform [ETHICAL ICO],Bounty campaign will be announced in the next few days!  TWITTER | FACEBOOK | TELEGRAM | GITHUB | MEDIUM | LINKEDIN | ETHERSCAN,False
6,msg47455509,https://bitcointalk.org/index.php?topic=5033458.0,,517,Announcements (Altcoins),2018-10-31 13:52:08,Findicoico,Newbie,126,0,,[ANN][Pre-ICO][UK] Investx - SME Equity Crowdfunding Platform [ETHICAL ICO],"Hi everyone! Just added this incredible ICO to my website   https://findico.io/ico/investx   Findico.io is a free ICO listing and rating platform. Blockchain community supported by a wide range of experts. Airdrops, Bounties, Exchanges, ICO services and many more.",False
7,msg47492076,https://bitcointalk.org/index.php?topic=5033458.0,,517,Announcements (Altcoins),2018-11-01 16:20:00,Peter - Investx,Copper Member,32,0,,[ANN][Pre-ICO][UK] Investx - SME Equity Crowdfunding Platform [ETHICAL ICO],"Pre-ICO is open!!  5% discount on INX price - register and purchase INX tokens on www.investx.io  The Investx telegram group is https://t.me/investxtoken  We also still have some private sale allocation left, email ico@investx.io to request details.",False
8,msg47525295,https://bitcointalk.org/index.php?topic=5033458.0,,517,Announcements (Altcoins),2018-11-02 17:45:40,Peter - Investx,Copper Member,32,0,,[ANN][Pre-ICO][UK] Investx - SME Equity Crowdfunding Platform [ETHICAL ICO],New Investx video - explaining who we are and how we're changing the world.  Click for YouTube link:,False
9,msg47585132,https://bitcointalk.org/index.php?topic=5033458.0,,517,Announcements (Altcoins),2018-11-04 16:26:01,Peter - Investx,Copper Member,32,0,,[ANN][Pre-ICO][UK] Investx - SME Equity Crowdfunding Platform [ETHICAL ICO],How to buy INX tokens:  https://medium.com/investxltd/how-to-purchase-inx-tokens-111fa7cd20e8,False
10,msg47606231,https://bitcointalk.org/index.php?topic=5033458.0,,517,Announcements (Altcoins),2018-11-05 09:18:56,Peter - Investx,Copper Member,32,0,,[ANN][Pre-ICO][UK] Investx - SME Equity Crowdfunding Platform [ETHICAL ICO],"Great independent review of Investx by Joshua Larson of www.hacked.com - who is also known as the ""Bullshit Man"" for his ability to spot it a mile away.  ""This is basically #Ethereum for SME STOs. It has the potential to be massive""  ""Perhaps the most professional whitepaper I’ve ever reviewed""  Read the full review - https://hacked.com/ico-analysis-investx/  Join our telegram group - https://t.me/investxtoken",False
