id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg45774410,https://bitcointalk.org/index.php?topic=5029959.0,,273,Announcements (Altcoins),2018-09-16 12:53:52,murosu77,Copper Member,19,0,,[ANN]-THE STONE COIN:BEST OF BOTH WORLDS,"INTRODUCTION The net funds raised by the emission will be invested in the development of a substantial European REAL ESTATE PORTFOLIO - taking into account  international opportunities. This solid real estate investment constitutes the REAL SHIELD of THE STONE COIN. The objective of the REAL SHIELD is the permanence of the company and by that the ongoing operation of the acceptance point network for THE STONE COIN. This will be ensured in the long run with the returns of the real estate portfolio and their reinvestment.   THESTONECOIN is by concept and character a payment token. This means that he can be used as means of payment at the corresponding points of acceptance and for direct transfers from wallet to wallet. THE STONE COIN AG guarantees to assure the operations of the network of acceptance points on a continuing basis. Naturally, like many other cryptocurrencies, the STONE COIN will provide through the aspired listing on relevant crypto exchanges and crypto marketplaces the option to participate in the price and market developments of the STONE COIN.  The fix total amount of 1 billion tokens shall be sold as planned in five batches of 200,000,000 token each.  Batch 1: PRIVATE PRE-ICO batch aims at selected international major investors,  especially in  Switzerland and the Middle East (planned to start in July of 2018).  Batch 2: PUBLIC PRE-ICO batch: Token packages of at least 10,000 token are sold directly and  through the webpage of THE STONE COIN AG (planned to start in August of 2018).    Batch 3: ICO batch: Carrying out of the ICO by specialized service partners (planned to start in  October of 2018)                           Batch 4 and 5: Sales-partners bais planned international sales and  distribution network which is planned to distribute the batches 4+5 is currently being formed.        GERMAN:https://www.thestonecoin.com/index.html SPANISH:https://www.thestonecoin.com/home-spanish.html TURKISH:https://www.thestonecoin.com/home-turkish.html FRENCH:https://www.thestonecoin.com/home-french.html RUSSIAN:https://www.thestonecoin.com/home-russian.html",True
2,msg45778630,https://bitcointalk.org/index.php?topic=5029959.0,,273,Announcements (Altcoins),2018-09-16 14:07:51,Krezz2017,Full Member,560,128,,[ANN]-THE STONE COIN:BEST OF BOTH WORLDS,The project looks very advanced. A team of professionals with extensive experience in real estate trading. I hope they know what they're doing.,True
3,msg45792303,https://bitcointalk.org/index.php?topic=5029959.0,msg45778630,273,Announcements (Altcoins),2018-09-16 18:14:32,murosu77,Copper Member,19,0,,[ANN]-THE STONE COIN:BEST OF BOTH WORLDS,  Exactly this team have the spirit to reach the heights of market..having a good experience in Real Estate!!,True
4,msg45809814,https://bitcointalk.org/index.php?topic=5029959.0,,273,Announcements (Altcoins),2018-09-17 04:15:20,funiki65,Newbie,4,0,,[ANN]-THE STONE COIN:BEST OF BOTH WORLDS,Do they have their white paper in German ?,True
5,msg45810218,https://bitcointalk.org/index.php?topic=5029959.0,,273,Announcements (Altcoins),2018-09-17 04:35:11,trend@coin,Jr. Member,33,1,,[ANN]-THE STONE COIN:BEST OF BOTH WORLDS,An interesting project with the trust team and have a great idea. I like your project and I will join the project. Wish the project a success. Is there a social media bounty and blog?,True
6,msg45810227,https://bitcointalk.org/index.php?topic=5029959.0,,273,Announcements (Altcoins),2018-09-17 04:35:42,PiJellyPin,Member,280,11,,[ANN]-THE STONE COIN:BEST OF BOTH WORLDS,airdrop?,True
7,msg45814948,https://bitcointalk.org/index.php?topic=5029959.0,msg45809814,273,Announcements (Altcoins),2018-09-17 07:29:37,murosu77,Copper Member,19,0,,[ANN]-THE STONE COIN:BEST OF BOTH WORLDS,  Yes they have a german Translation for the Whitepaper,True
8,msg45817750,https://bitcointalk.org/index.php?topic=5029959.0,,273,Announcements (Altcoins),2018-09-17 08:44:29,funiki65,Newbie,4,0,,[ANN]-THE STONE COIN:BEST OF BOTH WORLDS,  Can you please share the german translation whitepaper link?,True
9,msg45818276,https://bitcointalk.org/index.php?topic=5029959.0,,273,Announcements (Altcoins),2018-09-17 08:59:21,murosu77,Copper Member,19,0,,[ANN]-THE STONE COIN:BEST OF BOTH WORLDS,Here is the link: https://www.thestonecoin.com/whitepaper.pdf,True
10,msg45818632,https://bitcointalk.org/index.php?topic=5029959.0,,273,Announcements (Altcoins),2018-09-17 09:09:10,olkah,Hero Member,1064,505,,[ANN]-THE STONE COIN:BEST OF BOTH WORLDS,Algo coin ,True
11,msg45819083,https://bitcointalk.org/index.php?topic=5029959.0,msg45810218,273,Announcements (Altcoins),2018-09-17 09:20:50,murosu77,Copper Member,19,0,,[ANN]-THE STONE COIN:BEST OF BOTH WORLDS,  Currently its at the pre-ico period.Maybe they launch some bounty program or something,True
12,msg45819127,https://bitcointalk.org/index.php?topic=5029959.0,,273,Announcements (Altcoins),2018-09-17 09:22:07,tvt.io,Jr. Member,250,3,,[ANN]-THE STONE COIN:BEST OF BOTH WORLDS,Algo coin,True
13,msg45820727,https://bitcointalk.org/index.php?topic=5029959.0,,273,Announcements (Altcoins),2018-09-17 10:06:15,arnegiske,Newbie,5,0,,[ANN]-THE STONE COIN:BEST OF BOTH WORLDS,"Hey, I have heard about the stone coin...you guys were the main sponsors of the Futurama summit 2018 held at Ibiza. Team members are professional and this gives a sure shot to this project. Great Concept guys",True
14,msg45823607,https://bitcointalk.org/index.php?topic=5029959.0,,273,Announcements (Altcoins),2018-09-17 11:20:19,TheRishabhAnand,Newbie,6,0,,[ANN]-THE STONE COIN:BEST OF BOTH WORLDS,A real estate project with a group of professionals.,True
15,msg45824650,https://bitcointalk.org/index.php?topic=5029959.0,,273,Announcements (Altcoins),2018-09-17 11:46:42,gobisirom,Sr. Member,448,250,,[ANN]-THE STONE COIN:BEST OF BOTH WORLDS,do you have a bounty program? and are there countries that are forbidden to join your project?,True
16,msg45828180,https://bitcointalk.org/index.php?topic=5029959.0,msg45824650,273,Announcements (Altcoins),2018-09-17 13:12:18,murosu77,Copper Member,19,0,,[ANN]-THE STONE COIN:BEST OF BOTH WORLDS,  They are working on the bounty program and the information will be released soon !! Every country can participate Except usa,True
17,msg45835322,https://bitcointalk.org/index.php?topic=5029959.0,msg45810227,273,Announcements (Altcoins),2018-09-17 16:06:00,funiki65,Newbie,4,0,,[ANN]-THE STONE COIN:BEST OF BOTH WORLDS,  Maybe they are planning for airdrop!!,True
