id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg32307983,https://bitcointalk.org/index.php?topic=3124220.0,,284,Announcements (Altcoins),2018-03-14 16:39:03,RateDate,Member,180,10,,[ANN] 🎲RATE DATE ICO🎉ONLINE DATING AUCTIONS❤️,TOKENSALE IS LIVE Rate Date ICO Rate Date beta Rate Date Bounty Page                                                                                                                                                                                                    Twitter Rate Date Facebook Rate Date Telegram Rate Date Medium Rate Date,False
2,msg32308196,https://bitcointalk.org/index.php?topic=3124220.0,,284,Announcements (Altcoins),2018-03-14 16:41:48,Bfljosh,Hero Member,714,500,,[ANN] 🎲RATE DATE ICO🎉ONLINE DATING AUCTIONS❤️,/yawn,False
3,msg32812262,https://bitcointalk.org/index.php?topic=3124220.0,,284,Announcements (Altcoins),2018-03-21 08:43:55,Nepara,Jr. Member,64,1,,[ANN] 🎲RATE DATE ICO🎉ONLINE DATING AUCTIONS❤️,I can't find the whitepaper. Do you have one?,False
4,msg32825057,https://bitcointalk.org/index.php?topic=3124220.0,msg32812262,284,Announcements (Altcoins),2018-03-21 12:03:17,RateDate,Member,180,10,,[ANN] 🎲RATE DATE ICO🎉ONLINE DATING AUCTIONS❤️,"   Hello! Of course have! This page is undergoing changes that will take effect in the next few days. but the link to white paper I'm ready to give now, the only thing you need to know is that it also changes in terms of dates design and concept  https://ico.ratedate.net/assets/white_paper_en_4_0.pdf",False
5,msg32919707,https://bitcointalk.org/index.php?topic=3124220.0,,284,Announcements (Altcoins),2018-03-22 16:27:46,RateDate,Member,180,10,,[ANN] 🎲RATE DATE ICO🎉ONLINE DATING AUCTIONS❤️,https://bitcointalk.org/index.php?topic=3152615 Bounty Page,False
6,msg32929450,https://bitcointalk.org/index.php?topic=3124220.0,,284,Announcements (Altcoins),2018-03-22 18:57:36,Samuiel,Newbie,224,0,,[ANN] 🎲RATE DATE ICO🎉ONLINE DATING AUCTIONS❤️,"This is an interesting project, soon I will be a full member and I will be able to participate in the rewards campaigns! It is rare to find good projects nowadays.",False
7,msg32958347,https://bitcointalk.org/index.php?topic=3124220.0,msg32929450,284,Announcements (Altcoins),2018-03-23 07:08:31,RateDate,Member,180,10,,[ANN] 🎲RATE DATE ICO🎉ONLINE DATING AUCTIONS❤️,   Thank you very much! You always may take part in ICO like bounty participant=),False
8,msg33233221,https://bitcointalk.org/index.php?topic=3124220.0,,284,Announcements (Altcoins),2018-03-26 18:24:29,DRVX,Hero Member,966,500,,[ANN] 🎲RATE DATE ICO🎉ONLINE DATING AUCTIONS❤️,"The project is beautifully decorated, but the competition in this area is too high. I would be interested in a similar project, if it were a popular platform for dating.   ",False
9,msg33235584,https://bitcointalk.org/index.php?topic=3124220.0,,284,Announcements (Altcoins),2018-03-26 18:59:45,Edgar9,Member,308,10,,[ANN] 🎲RATE DATE ICO🎉ONLINE DATING AUCTIONS❤️,It looks like an awesome project I like low supply coins very much.,False
10,msg34266650,https://bitcointalk.org/index.php?topic=3124220.0,,284,Announcements (Altcoins),2018-04-09 04:03:09,tsu97,Newbie,224,0,,[ANN] 🎲RATE DATE ICO🎉ONLINE DATING AUCTIONS❤️,Its look like an awesome project. I will support you   ,False
11,msg39417481,https://bitcointalk.org/index.php?topic=3124220.0,,284,Announcements (Altcoins),2018-06-05 09:09:11,RateDate,Member,180,10,,[ANN] 🎲RATE DATE ICO🎉ONLINE DATING AUCTIONS❤️,ICO IS LIVE,False
