id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg35372365,https://bitcointalk.org/index.php?topic=3269061.0,,398,Announcements (Altcoins),2018-04-23 08:11:34,Gozragore,Member,185,10,,Protect your crypto investment with the ODUWA platform,How can we exchange ODUWA coins for other cryptocurrencies? Any exchanges?,False
2,msg35374842,https://bitcointalk.org/index.php?topic=3269061.0,,398,Announcements (Altcoins),2018-04-23 08:54:22,macolde,Member,212,10,,Protect your crypto investment with the ODUWA platform,"To build a crypto-insurance platform is very challenging and labour-intensive, but I believe that ODUWACOIN team is able to do it!",False
3,msg35376177,https://bitcointalk.org/index.php?topic=3269061.0,,398,Announcements (Altcoins),2018-04-23 09:16:40,Grotilar,Newbie,139,0,,Protect your crypto investment with the ODUWA platform,ODUWA minimizes the risk of loss by creating insurance policies on the platform for their crypto-currency.,False
4,msg35377584,https://bitcointalk.org/index.php?topic=3269061.0,,398,Announcements (Altcoins),2018-04-23 09:40:01,recnapon,Member,222,10,,Protect your crypto investment with the ODUWA platform,I like ODUWACoin but I'm interested in anonymity and security of this platform?,False
5,msg35378747,https://bitcointalk.org/index.php?topic=3269061.0,,398,Announcements (Altcoins),2018-04-23 09:58:10,supernva,Newbie,140,0,,Protect your crypto investment with the ODUWA platform,What makes your project different between other similar projects? Where can we find more info?,False
6,msg35384564,https://bitcointalk.org/index.php?topic=3269061.0,,398,Announcements (Altcoins),2018-04-23 11:34:50,zossia,Member,152,19,,Protect your crypto investment with the ODUWA platform,Where can I get information about the team of this project? Do they have enough knowledge and experience for this kind of a project?,False
7,msg35419842,https://bitcointalk.org/index.php?topic=3269061.0,,398,Announcements (Altcoins),2018-04-23 20:09:04,Fidelmi,Newbie,133,0,,Protect your crypto investment with the ODUWA platform,So your platform is not only insurance platform but also an exchange? What currencies do you support?,False
8,msg35448798,https://bitcointalk.org/index.php?topic=3269061.0,,398,Announcements (Altcoins),2018-04-24 07:47:41,OBMemo,Member,193,11,,Protect your crypto investment with the ODUWA platform,"Really good project with a great idea, lets hope you guys can actually get it to work, I will be looking forward to the full implementation",False
9,msg35450625,https://bitcointalk.org/index.php?topic=3269061.0,,398,Announcements (Altcoins),2018-04-24 08:13:46,monscepal,Member,197,10,,Protect your crypto investment with the ODUWA platform,"I want to beta test your ODUWA App, how can I do this?",False
10,msg35512056,https://bitcointalk.org/index.php?topic=3269061.0,,398,Announcements (Altcoins),2018-04-24 22:31:51,zossia,Member,152,19,,Protect your crypto investment with the ODUWA platform,"I find it very strange to make ANN post and just to forget about it. 3 pages of questions and no response at all... Last Active: April 11, 2018, 08:51:10 AM",False
11,msg35542778,https://bitcointalk.org/index.php?topic=3269061.0,,398,Announcements (Altcoins),2018-04-25 10:08:14,TrePexen,Newbie,188,0,,Protect your crypto investment with the ODUWA platform,I personally really like how good Whitepaper is. I really like the way you explain everything - all is clear and easy to understand.,False
12,msg35545649,https://bitcointalk.org/index.php?topic=3269061.0,,398,Announcements (Altcoins),2018-04-25 10:52:53,Garrett-the-Thief,Newbie,31,0,,Protect your crypto investment with the ODUWA platform,Is it possible to use ODUWA COIN network anywhere in the world? Are there any restrictions?,False
13,msg35545847,https://bitcointalk.org/index.php?topic=3269061.0,,398,Announcements (Altcoins),2018-04-25 10:55:34,Mutanca,Member,203,10,,Protect your crypto investment with the ODUWA platform,"ODUWACOIN-Network is leading the way in innovation and will be changing the economic, social structure of the crypto industry by providing insurance protection",False
14,msg35546113,https://bitcointalk.org/index.php?topic=3269061.0,,398,Announcements (Altcoins),2018-04-25 10:59:40,ComSilver,Newbie,182,0,,Protect your crypto investment with the ODUWA platform,The cryptocurrency community still lacks an insurance so ODUWA can be a great solution for such problems,False
15,msg35546400,https://bitcointalk.org/index.php?topic=3269061.0,,398,Announcements (Altcoins),2018-04-25 11:03:38,Glen Thompson,Newbie,126,0,,Protect your crypto investment with the ODUWA platform,Very nice idea of the project. Hope it will be successful. Want to be a part of your strong community,False
