id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg44312839,https://bitcointalk.org/index.php?topic=3178591.0,msg44269449,3575,Announcements (Altcoins),2018-08-18 22:10:32,r_victory,Sr. Member,854,258,,ANN[ICO]GLOBAL RISK EXCHANGE(GRE) Token Launch 🎯 TARGET YOUR SUCCESS 🎯⭐️,"   Payments are being made, despite the delay, this time the deadline informed is being fulfilled!",False
2,msg44356630,https://bitcointalk.org/index.php?topic=3178591.0,,3575,Announcements (Altcoins),2018-08-19 15:26:09,maryanti,Sr. Member,455,250,,ANN[ICO]GLOBAL RISK EXCHANGE(GRE) Token Launch 🎯 TARGET YOUR SUCCESS 🎯⭐️,"Hello manager. May I know how many tokens have been sold, does that reach the hard cap? Thanks to the team and manager, I have received the RISK Token. Hopefully the price of tokens on the market exceeds ICO prices.",False
3,msg44392988,https://bitcointalk.org/index.php?topic=3178591.0,,3575,Announcements (Altcoins),2018-08-20 07:46:16,xsantana,Full Member,682,101,,ANN[ICO]GLOBAL RISK EXCHANGE(GRE) Token Launch 🎯 TARGET YOUR SUCCESS 🎯⭐️,distribution for campaign participants has been carried out. waiting for the latest news about exchanges.,False
4,msg44729937,https://bitcointalk.org/index.php?topic=3178591.0,,3575,Announcements (Altcoins),2018-08-26 18:40:58,ParRus,Full Member,490,104,,ANN[ICO]GLOBAL RISK EXCHANGE(GRE) Token Launch 🎯 TARGET YOUR SUCCESS 🎯⭐️,Who can say how much was raised during ICO time? What happened with unsold tokens? are they was Burned? and last question when token will be listed at exchange?,False
5,msg45560269,https://bitcointalk.org/index.php?topic=3178591.0,,3575,Announcements (Altcoins),2018-09-12 02:51:44,nugrama,Full Member,560,100,,ANN[ICO]GLOBAL RISK EXCHANGE(GRE) Token Launch 🎯 TARGET YOUR SUCCESS 🎯⭐️,has this project done pre ico and ico?hopefully the success will be given to this project the great team will give satisfying results.,False
6,msg45851389,https://bitcointalk.org/index.php?topic=3178591.0,msg45560269,3575,Announcements (Altcoins),2018-09-18 02:09:05,Jaka.Sembuh,Full Member,448,100,,ANN[ICO]GLOBAL RISK EXCHANGE(GRE) Token Launch 🎯 TARGET YOUR SUCCESS 🎯⭐️,"  as far as I know, this project has been completed and tokens are sold out, even for bounty participants have already received the distribution of tokens since August 17 yesterday and the bad news now the price of the GER token falls.",False
7,msg45851689,https://bitcointalk.org/index.php?topic=3178591.0,msg45851389,3575,Announcements (Altcoins),2018-09-18 02:27:06,rezakurnia66,Full Member,546,100,,ANN[ICO]GLOBAL RISK EXCHANGE(GRE) Token Launch 🎯 TARGET YOUR SUCCESS 🎯⭐️,"  This is a bit of an unpleasant news, as if the price token is now down, I hope that later it will be able to go back up and provide many benefits for participants who have joined.",False
8,msg45853393,https://bitcointalk.org/index.php?topic=3178591.0,msg45851689,3575,Announcements (Altcoins),2018-09-18 04:05:43,r_victory,Sr. Member,854,258,,ANN[ICO]GLOBAL RISK EXCHANGE(GRE) Token Launch 🎯 TARGET YOUR SUCCESS 🎯⭐️,"   The price was already falling, well before bounty hunters were paid!",False
9,msg48468748,https://bitcointalk.org/index.php?topic=3178591.0,,3575,Announcements (Altcoins),2018-12-05 16:03:34,xsantana,Full Member,682,101,,ANN[ICO]GLOBAL RISK EXCHANGE(GRE) Token Launch 🎯 TARGET YOUR SUCCESS 🎯⭐️,"if this project is successful, let me know where I can find exchanges for GRE tokens I look at the road map it's time to make a list of exchanges",False
10,msg48469249,https://bitcointalk.org/index.php?topic=3178591.0,msg48468748,3575,Announcements (Altcoins),2018-12-05 16:28:59,lkjhg,Full Member,630,100,,ANN[ICO]GLOBAL RISK EXCHANGE(GRE) Token Launch 🎯 TARGET YOUR SUCCESS 🎯⭐️,"  even though the Global Risk Exchange has entered Hotbit, and tokens for bounties have also been shared, for some reason the price is very ugly",False
11,msg48484368,https://bitcointalk.org/index.php?topic=3178591.0,msg48469249,3575,Announcements (Altcoins),2018-12-06 09:46:05,xsantana,Full Member,682,101,,ANN[ICO]GLOBAL RISK EXCHANGE(GRE) Token Launch 🎯 TARGET YOUR SUCCESS 🎯⭐️,"  what is the price of GRE per token registered on hotbit exchange. so you say the price is very bad, I will try to review it there",False
12,msg51398978,https://bitcointalk.org/index.php?topic=3178591.0,,3575,Announcements (Altcoins),2019-06-08 20:00:32,awazelal,Newbie,106,0,,ANN[ICO]GLOBAL RISK EXCHANGE(GRE) Token Launch 🎯 TARGET YOUR SUCCESS 🎯⭐️,Risk Coin Near Future x10000,False
13,msg51399008,https://bitcointalk.org/index.php?topic=3178591.0,,3575,Announcements (Altcoins),2019-06-08 20:03:31,awazelal,Newbie,106,0,,ANN[ICO]GLOBAL RISK EXCHANGE(GRE) Token Launch 🎯 TARGET YOUR SUCCESS 🎯⭐️,Global Risk Exchange Partner Houbi Group,False
14,msg51432156,https://bitcointalk.org/index.php?topic=3178591.0,,3575,Announcements (Altcoins),2019-06-11 17:57:56,awazelal,Newbie,106,0,,ANN[ICO]GLOBAL RISK EXCHANGE(GRE) Token Launch 🎯 TARGET YOUR SUCCESS 🎯⭐️,Huobi Global Ecosystem Fund Invests in Global Risk Exchange (GRE) Huobi Global Ekosistem Fonu Global Risk Borsasına Yatırım Yaptı (GRE) RISK COİN in Cointiger and Hotbit Exchange @GRE_RISK  https:/[Suspicious link removed]/cbFBUjI65r,False
15,msg51432187,https://bitcointalk.org/index.php?topic=3178591.0,,3575,Announcements (Altcoins),2019-06-11 18:00:45,awazelal,Newbie,106,0,,ANN[ICO]GLOBAL RISK EXCHANGE(GRE) Token Launch 🎯 TARGET YOUR SUCCESS 🎯⭐️,https://coinfrenzy.io/huobi-invests-in-gre/  🚀🚀🚀😎😎😎,False
16,msg52472430,https://bitcointalk.org/index.php?topic=3178591.0,,3575,Announcements (Altcoins),2019-09-16 16:13:30,MeBender,Newbie,31,0,,ANN[ICO]GLOBAL RISK EXCHANGE(GRE) Token Launch 🎯 TARGET YOUR SUCCESS 🎯⭐️,boop I just bought some GRE hoping to sell at $1,False
17,msg52472523,https://bitcointalk.org/index.php?topic=3178591.0,,3575,Announcements (Altcoins),2019-09-16 16:22:20,MeBender,Newbie,31,0,,ANN[ICO]GLOBAL RISK EXCHANGE(GRE) Token Launch 🎯 TARGET YOUR SUCCESS 🎯⭐️,"Welp I didn't check dates on this, seems the team hasn't updated anything since 2018..",False
