id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg43657577,https://bitcointalk.org/index.php?topic=3331502.0,,839,Announcements (Altcoins),2018-08-07 15:17:35,erzascalet,Newbie,168,0,,🚀[ANN] 🎹RECORD FOUNDATION 🎹 - REWARD-BASED MUSIC PLATFORM 🚀,"The plan is very interesting and if you really thrive in actualizing your visions, then I think it will be nice.",True
2,msg44606984,https://bitcointalk.org/index.php?topic=3331502.0,,839,Announcements (Altcoins),2018-08-24 13:18:52,NightDream,Full Member,644,103,,🚀[ANN] 🎹RECORD FOUNDATION 🎹 - REWARD-BASED MUSIC PLATFORM 🚀,"Updates on RECORD Project — # 1 Hi all! This is the RECORD Foundation Team (“RECORD Team”). To communicate more actively with you who support the vision of our team, we share the latest team activities! We are always very eager to improve along the way we accomplish our mission below. https://medium.com/recordfoundation/updates-on-record-project-1-354adf1bb4b2",True
3,msg45060548,https://bitcointalk.org/index.php?topic=3331502.0,,839,Announcements (Altcoins),2018-09-02 07:25:26,Anivika,Newbie,154,0,,🚀[ANN] 🎹RECORD FOUNDATION 🎹 - REWARD-BASED MUSIC PLATFORM 🚀,"Good project interesting concept. I thing it should be extremely popular and successful. So, good luck with everything and special good luck for team",True
4,msg45065606,https://bitcointalk.org/index.php?topic=3331502.0,,839,Announcements (Altcoins),2018-09-02 09:20:21,groverconstructions,Newbie,11,0,,🚀[ANN] 🎹RECORD FOUNDATION 🎹 - REWARD-BASED MUSIC PLATFORM 🚀,"As i understand it, This is a interesting project. They focus on the growth of community, deliver us a path to earn through there signs of digital revolution and this project can overtake and achieve a great destination. I believe in it.",True
5,msg45066084,https://bitcointalk.org/index.php?topic=3331502.0,msg43419611,839,Announcements (Altcoins),2018-09-02 09:31:01,Margary,Sr. Member,854,252,,🚀[ANN] 🎹RECORD FOUNDATION 🎹 - REWARD-BASED MUSIC PLATFORM 🚀,"   If a coin appeared on this stock exchange, then it means that everything is developing and does not stand still. the team is working on the project. this is great news. it is worth taking into account these updates.",True
6,msg45329004,https://bitcointalk.org/index.php?topic=3331502.0,,839,Announcements (Altcoins),2018-09-07 10:48:19,Tonisim,Full Member,532,103,,🚀[ANN] 🎹RECORD FOUNDATION 🎹 - REWARD-BASED MUSIC PLATFORM 🚀,"Updates on RECORD Project — #3 Currently, we are in the process of developing ‘RecordFarm 2.0’, the world’s best blockchain-based music data platform. Please note that since this project is in progress, some items can be duplicated from the previous report. (e.g., Policy model for the verification is continuously to be updated) https://medium.com/recordfoundation/updates-on-record-project-3-b8b68d510c55",True
7,msg35370419,https://bitcointalk.org/index.php?topic=3331502.0,,839,Announcements (Altcoins),2018-04-23 07:39:04,Official Recordfoundation,Newbie,57,0,,🚀[ANN] 🎹RECORD FOUNDATION 🎹 - REWARD-BASED MUSIC PLATFORM 🚀,"Meet our advisor Denzyl Feigelson!  ""I applaud RECORD Foundation for taking this bold leap of faith in the pursuit of economic freedom for independent artists.”  https://i.imgur.com/u9MMPDw.jpg?1  WEBSITE | TELEGRAM | FACEBOOK | MEDIUM | TWITTER | WHITEPAPER | BOUNTY THREAD",True
8,msg35443789,https://bitcointalk.org/index.php?topic=3331502.0,,839,Announcements (Altcoins),2018-04-24 06:20:34,huyhoang2210,Newbie,45,0,,🚀[ANN] 🎹RECORD FOUNDATION 🎹 - REWARD-BASED MUSIC PLATFORM 🚀,What makes your project different between other similar projects? Thank you,True
9,msg35445670,https://bitcointalk.org/index.php?topic=3331502.0,,839,Announcements (Altcoins),2018-04-24 06:55:00,cipluk,Newbie,154,0,,🚀[ANN] 🎹RECORD FOUNDATION 🎹 - REWARD-BASED MUSIC PLATFORM 🚀,good project. this project is a reward based music service and direct transactions between artists and listeners,True
10,msg35600551,https://bitcointalk.org/index.php?topic=3331502.0,msg35539892,839,Announcements (Altcoins),2018-04-26 02:26:35,Official Recordfoundation,Newbie,57,0,,🚀[ANN] 🎹RECORD FOUNDATION 🎹 - REWARD-BASED MUSIC PLATFORM 🚀,   Thanks for the supportive message! Appreciated!,True
11,msg35600981,https://bitcointalk.org/index.php?topic=3331502.0,,839,Announcements (Altcoins),2018-04-26 02:41:11,BoyWilliam,Newbie,154,0,,🚀[ANN] 🎹RECORD FOUNDATION 🎹 - REWARD-BASED MUSIC PLATFORM 🚀,"Projects that are worth to be supported, hopefully in the future can develop well",True
12,msg35602617,https://bitcointalk.org/index.php?topic=3331502.0,,839,Announcements (Altcoins),2018-04-26 03:29:56,oioioi,Jr. Member,294,1,,🚀[ANN] 🎹RECORD FOUNDATION 🎹 - REWARD-BASED MUSIC PLATFORM 🚀,this concept will help the workings of artists or musicians whether to buy a new RCD token can use this I think this still gives them trouble,True
13,msg36416994,https://bitcointalk.org/index.php?topic=3331502.0,,839,Announcements (Altcoins),2018-05-05 20:45:29,egetrorx,Full Member,658,108,,🚀[ANN] 🎹RECORD FOUNDATION 🎹 - REWARD-BASED MUSIC PLATFORM 🚀,ico review https://icoshrimp.com/recordfarm-to-provide-a-unique-block-chain-approach-to-the-music-industry/,True
