id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg38845277,https://bitcointalk.org/index.php?topic=3384346.0,,365,Marketplace (Altcoins),2018-05-29 07:19:43,Ellawow,Member,266,12,,[ANN] RocatiLimited: A Brick For The Future,I will refer some people to follow this project and I really support this project because it can be seen from its development very well and hopefully many like this project and good luck!,False
2,msg39424498,https://bitcointalk.org/index.php?topic=3384346.0,,365,Marketplace (Altcoins),2018-06-05 11:09:51,Weezenhofnar,Copper Member,392,12,,[ANN] RocatiLimited: A Brick For The Future,why is this thread on the wrong section??  should be on Announcements\Tokens....  and why there aren t any updates?,False
3,msg39621498,https://bitcointalk.org/index.php?topic=3384346.0,,365,Marketplace (Altcoins),2018-06-08 05:23:04,Ketaminn,Newbie,217,0,,[ANN] RocatiLimited: A Brick For The Future,"This site is very much suitable and trustable ,And our admin (Sir) is very much sincere to handle this site .",False
4,msg39774114,https://bitcointalk.org/index.php?topic=3384346.0,msg35698171,365,Marketplace (Altcoins),2018-06-10 08:09:27,Bziir,Member,322,10,,[ANN] RocatiLimited: A Brick For The Future,"   Rocati is a plaform that will bridge the use of cryptocurrency with real estate. I think this is a tough challenge for your platform, as many platforms are moving in this field and the conditions are great. What do you think? What if there is inflation?",False
5,msg39878429,https://bitcointalk.org/index.php?topic=3384346.0,,365,Marketplace (Altcoins),2018-06-11 12:50:58,aidit45@gmail.com,Sr. Member,882,251,,[ANN] RocatiLimited: A Brick For The Future,"Hello dev, I am not seen how many token are sold till right kmow, how to see the fund was rised from the private sales. Please add the information in the website",False
6,msg40441070,https://bitcointalk.org/index.php?topic=3384346.0,,365,Marketplace (Altcoins),2018-06-19 11:10:44,Lenzie,Sr. Member,630,254,,[ANN] RocatiLimited: A Brick For The Future,"ANNOUNCEMENT: Good day RocatiLimited participants. The Rocati team has decided to extend the campaign until December 31, 2018. All the payment for all the efforts will be paid after that. Thank you. Those that have been wearing the signature can remove it already after 3 weeks of joining.  -RocatiTeam",False
7,msg40505907,https://bitcointalk.org/index.php?topic=3384346.0,,365,Marketplace (Altcoins),2018-06-20 09:00:52,usercryptomany,Full Member,462,104,,[ANN] RocatiLimited: A Brick For The Future,I am skeptical about projects related to real estate .On my memory there were no projects that quickly collected capitalization . Investors want super profits right after the ICO . Maybe you can do it . Good luck,False
8,msg40809172,https://bitcointalk.org/index.php?topic=3384346.0,,365,Marketplace (Altcoins),2018-06-24 14:45:50,Hafwen124,Newbie,103,0,,[ANN] RocatiLimited: A Brick For The Future,Good day RocatiLimited participants. The Rocati team has decided to extend the campaign until December 31st 2018. All the payment for all the efforts will be paid after that.,False
9,msg41360491,https://bitcointalk.org/index.php?topic=3384346.0,,365,Marketplace (Altcoins),2018-07-02 13:39:57,sufcrop11,Newbie,135,0,,[ANN] RocatiLimited: A Brick For The Future,i have came for something interesting to see and when i see this project and try to read all about it i find this project  very interesting its very usufull for people like us.and love to work on this project further and can you plz help me understand this more bye decribing it .it will be very helpful . thank you..,False
10,msg41668726,https://bitcointalk.org/index.php?topic=3384346.0,,365,Marketplace (Altcoins),2018-07-07 02:08:14,bagas79,Newbie,224,0,,[ANN] RocatiLimited: A Brick For The Future,"The real estate industry is very profitable and has a bright prospect. I think the ROCATI platform has its own mission apart from business, but also to provide a sense of comfort and security to the consumer. good luck",False
