id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg36628224,https://bitcointalk.org/index.php?topic=3630306.0,,376,Announcements (Altcoins),2018-05-07 23:13:29,Maizie,Newbie,33,0,,"💥💥💥[Airdrop][ANN]$50,000.00 Airdrop & Bounty💰💰💰Join DxChain Get Bonus!!","$50,000.00 will be distributed to the DxChain community!! Airdrop & Bounty Period: 05/07/2018  PST/ 12PM -- 05/17/2018  PST/ 2PM  Join DxChain Telegram Community to earn FREE rewards!!https://t.me/DxChainBot?start=eph5fs  1. Join telegram group, and get 500 points for FREE!  2. Invite your friends to join the DxChain group, and get 1,000 points!     (Maximum: 50,000 points)  3. Get 5,000 points - Follow DxChain on Twitter and retweet DxChain Airdrop & Bounty Program announcement.  Please find more information here: https://medium.com/@dxchainnetwork/dxchain-airdrop-bounty-program-a4d3358d58ec   About DxChain: DxChain - the world's first decentralized big data and machine learning network powered by a computing-centric blockchain.  With a unique chains-on-chain architecture design and several major innovations, DxChain provides a comprehensive solution for running machine learning algorithms and businesses intelligence on big data and keeping data privacy with security.",False
2,msg36629681,https://bitcointalk.org/index.php?topic=3630306.0,,376,Announcements (Altcoins),2018-05-07 23:42:23,ycyh425,Newbie,21,0,,"💥💥💥[Airdrop][ANN]$50,000.00 Airdrop & Bounty💰💰💰Join DxChain Get Bonus!!",  COOL!!!,False
3,msg36629783,https://bitcointalk.org/index.php?topic=3630306.0,,376,Announcements (Altcoins),2018-05-07 23:44:22,Maizie,Newbie,33,0,,"💥💥💥[Airdrop][ANN]$50,000.00 Airdrop & Bounty💰💰💰Join DxChain Get Bonus!!",Thank you for your support!! ,False
4,msg36630100,https://bitcointalk.org/index.php?topic=3630306.0,,376,Announcements (Altcoins),2018-05-07 23:50:34,ycyh425,Newbie,21,0,,"💥💥💥[Airdrop][ANN]$50,000.00 Airdrop & Bounty💰💰💰Join DxChain Get Bonus!!",Get it!!!,False
5,msg36630596,https://bitcointalk.org/index.php?topic=3630306.0,,376,Announcements (Altcoins),2018-05-07 23:59:59,Maizie,Newbie,33,0,,"💥💥💥[Airdrop][ANN]$50,000.00 Airdrop & Bounty💰💰💰Join DxChain Get Bonus!!",How to earn the Twitter Bounty rewards: https://cdn-images-1.medium.com/max/1600/1*0x88oLkruSdz23tp98nQgQ.jpeg,False
6,msg36631349,https://bitcointalk.org/index.php?topic=3630306.0,,376,Announcements (Altcoins),2018-05-08 00:20:05,ycyh425,Newbie,21,0,,"💥💥💥[Airdrop][ANN]$50,000.00 Airdrop & Bounty💰💰💰Join DxChain Get Bonus!!",DxChain !!!!! DxChain !!!!! DxChain !!!!!,False
7,msg36631676,https://bitcointalk.org/index.php?topic=3630306.0,,376,Announcements (Altcoins),2018-05-08 00:28:42,Maizie,Newbie,33,0,,"💥💥💥[Airdrop][ANN]$50,000.00 Airdrop & Bounty💰💰💰Join DxChain Get Bonus!!",Find more info here: https://medium.com/@dxchainnetwork/dxchain-airdrop-bounty-program-a4d3358d58ec   ,False
8,msg36702402,https://bitcointalk.org/index.php?topic=3630306.0,,376,Announcements (Altcoins),2018-05-08 17:29:55,Maizie,Newbie,33,0,,"💥💥💥[Airdrop][ANN]$50,000.00 Airdrop & Bounty💰💰💰Join DxChain Get Bonus!!",You can only get the Twitter Bounty rewards by following and retweeting the ANN on Twitter. Please follow the instructions provided by the DxChainbot to complete this process!,False
9,msg36718974,https://bitcointalk.org/index.php?topic=3630306.0,msg36628224,376,Announcements (Altcoins),2018-05-08 21:06:11,Maizie,Newbie,33,0,,"💥💥💥[Airdrop][ANN]$50,000.00 Airdrop & Bounty💰💰💰Join DxChain Get Bonus!!",       It's on live!!,False
10,msg36800783,https://bitcointalk.org/index.php?topic=3630306.0,,376,Announcements (Altcoins),2018-05-09 18:08:17,Maizie,Newbie,33,0,,"💥💥💥[Airdrop][ANN]$50,000.00 Airdrop & Bounty💰💰💰Join DxChain Get Bonus!!",Thanks Olivia for creating such a lovely video:  https://www.youtube.com/watch?v=6nQmHDONpEQ&feature=youtu.be,False
