id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg50413429,https://bitcointalk.org/index.php?topic=5083418.0,msg50351668,1238,Announcements (Altcoins),2019-04-01 18:34:05,Bitcoinsummoner,Hero Member,854,501,,✅ ⚡️⚡️[ANN][STO] BOLTON COIN - Bolton first credit limited⚡️⚡️,  In this case project owner or core team or ceo should make clear those question. Otherwise how investor or supporter will believe about the project.,False
2,msg50455505,https://bitcointalk.org/index.php?topic=5083418.0,msg50413429,1238,Announcements (Altcoins),2019-04-04 11:36:42,ivanovmoscow,Sr. Member,756,256,,✅ ⚡️⚡️[ANN][STO] BOLTON COIN - Bolton first credit limited⚡️⚡️,"   Already many people raised the question and not scam this project. Dont know whether this is true but the facts remain facts. Very muddy ownership and registration scheme in gray jurisdiction. Bounty not paid fully, reduced by hundreds of times. Strange developers who go away from direct answers. This is only part of the most important questions.",False
3,msg50464462,https://bitcointalk.org/index.php?topic=5083418.0,msg50455505,1238,Announcements (Altcoins),2019-04-04 23:39:40,r_victory,Sr. Member,854,258,,✅ ⚡️⚡️[ANN][STO] BOLTON COIN - Bolton first credit limited⚡️⚡️,"   I believe that those who have nothing to hide, must defend themselves, especially when there is suspicion of scam, it is strange not to do this...",False
4,msg50563158,https://bitcointalk.org/index.php?topic=5083418.0,msg50455505,1238,Announcements (Altcoins),2019-04-11 19:46:03,Bitcoinsummoner,Hero Member,854,501,,✅ ⚡️⚡️[ANN][STO] BOLTON COIN - Bolton first credit limited⚡️⚡️,  Yes they have a lots of lack and they are almost unresponsive and few others problem they should solve these issues otherwise the project will loss a lot in the long run.,False
5,msg51956519,https://bitcointalk.org/index.php?topic=5083418.0,,1238,Announcements (Altcoins),2019-07-26 10:18:10,b1k4ng,Full Member,490,100,,✅ ⚡️⚡️[ANN][STO] BOLTON COIN - Bolton first credit limited⚡️⚡️,"maybe this project is really SCAM because I saw no news on telegram and I also saw their social media dead, we recommend that OP account immediately tag because it has deceived many people and has wasted time bounty hunter",False
6,msg51987365,https://bitcointalk.org/index.php?topic=5083418.0,msg51956519,1238,Announcements (Altcoins),2019-07-28 20:44:57,r_victory,Sr. Member,854,258,,✅ ⚡️⚡️[ANN][STO] BOLTON COIN - Bolton first credit limited⚡️⚡️,"   The silence in these cases is always suspicious, I read that Stefano Cionini, who leads Bolton in South America, is the target of criminal and civil action in Brazil for alleged fraud. One more reason to be concerned...",False
7,msg49905082,https://bitcointalk.org/index.php?topic=5083418.0,,1238,Announcements (Altcoins),2019-02-24 21:47:45,DutchFinity,Full Member,588,102,,✅ ⚡️⚡️[ANN][STO] BOLTON COIN - Bolton first credit limited⚡️⚡️,Read more about this scam project at https://bitcointalk.org/index.php?topic=5106824,False
8,msg49906505,https://bitcointalk.org/index.php?topic=5083418.0,msg49895170,1238,Announcements (Altcoins),2019-02-25 00:54:13,Henrobakkara,Full Member,630,100,,✅ ⚡️⚡️[ANN][STO] BOLTON COIN - Bolton first credit limited⚡️⚡️,"  And bounty participants have to wait 6 months to sell it If it reaches ico prices, if it's not possible they will have to wait $ 1 for 6 months.. better leave and leave this project out there are still many more promising projects",False
9,msg49907406,https://bitcointalk.org/index.php?topic=5083418.0,msg49906505,1238,Announcements (Altcoins),2019-02-25 03:32:46,coin_1122,Full Member,826,101,,✅ ⚡️⚡️[ANN][STO] BOLTON COIN - Bolton first credit limited⚡️⚡️,"   Yes, you are right bounty people are facing lot of problem with the verification process because through their website people are not getting confirmation link, in order to receive their bounty they need to verify their KYC procedure. How can a company do like this because there are not getting any confirmation emails to people who are registering on their website.",False
10,msg49911619,https://bitcointalk.org/index.php?topic=5083418.0,msg49907406,1238,Announcements (Altcoins),2019-02-25 11:14:17,kudil,Member,700,29,,✅ ⚡️⚡️[ANN][STO] BOLTON COIN - Bolton first credit limited⚡️⚡️,"  It was solved now, you can register again with same email but different username. I just tried it and got the email in a few second",False
