id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg34503752,https://bitcointalk.org/index.php?topic=2234738.0,,1932,Announcements (Altcoins),2018-04-12 04:47:42,Dwi Winarto69,Newbie,210,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,"An interesting and great project, with CRYPTOPY we can benefit later, big hope I Cryptopy can grow and provide many benefits.",False
2,msg34512979,https://bitcointalk.org/index.php?topic=2234738.0,,1932,Announcements (Altcoins),2018-04-12 07:56:40,HelperAdvisorsLLP,Newbie,140,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,How your users will be rewarded for posting content? And who will check its quality?,False
3,msg34513046,https://bitcointalk.org/index.php?topic=2234738.0,msg34512979,1932,Announcements (Altcoins),2018-04-12 07:57:56,Alan Dref,Member,106,10,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,"   Nice one, i'd guess its AI",False
4,msg34700774,https://bitcointalk.org/index.php?topic=2234738.0,msg22614633,1932,Announcements (Altcoins),2018-04-14 17:45:19,Proture,Newbie,64,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,   What is the different between sphere or Bitreward,False
5,msg48930959,https://bitcointalk.org/index.php?topic=2234738.0,,1932,Announcements (Altcoins),2018-12-28 13:53:01,Vorobov Sergey,Newbie,28,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,"Hello admin, We added your project Kryptopy to our listing - https://topexperts.io/ico/kryptopy",False
6,msg22657108,https://bitcointalk.org/index.php?topic=2234738.0,msg22657049,1932,Announcements (Altcoins),2017-10-06 22:46:23,nicknailers,Newbie,56,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,   they will have more tokens on their account + each token will be worth more as the value of the network increase at the same time.,False
7,msg22657704,https://bitcointalk.org/index.php?topic=2234738.0,msg22616314,1932,Announcements (Altcoins),2017-10-06 23:10:48,johnnywoo2015,Hero Member,781,500,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,   I like the idea of having a such control over my own content and posts. But would't this hurt the simplicity of using it as a social network? Do you have some sample UI  to show how us the realization of having so many options under control?,False
8,msg22657899,https://bitcointalk.org/index.php?topic=2234738.0,,1932,Announcements (Altcoins),2017-10-06 23:18:32,nicknailers,Newbie,56,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,"https://www.kryptopy.com/wp-content/uploads/2017/09/21640723_1908102469438461_6813785088647019214_o.jpg  This is one example : the 3 little dots at the top of a post, if the post belongs to you, you will be able to chose who you want to share them with either like that or in batch. But I know what you mean by complexifying the social network side of it. I have a meeting with my lead developer and designer tommorow to see how to simplify it so it does not get in the way of a good user experience. At the pace they are going I should get something new by monday",False
9,msg22658071,https://bitcointalk.org/index.php?topic=2234738.0,,1932,Announcements (Altcoins),2017-10-06 23:25:47,nicknailers,Newbie,56,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,here is a higher resolution UX : https://ibb.co/kWHKAb thats the trader view which will be customizable,False
10,msg22707166,https://bitcointalk.org/index.php?topic=2234738.0,,1932,Announcements (Altcoins),2017-10-08 07:10:21,nicknailers,Newbie,56,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,"Hello everyone, we just posted a making of video of the platform on our facbook page. I don't think I can post it here.  here is the link https://www.facebook.com/kryptopy/  More to come this week.",False
11,msg22981655,https://bitcointalk.org/index.php?topic=2234738.0,,1932,Announcements (Altcoins),2017-10-14 01:15:52,nicknailers,Newbie,56,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,No more questions ? New white paper is also online give your thoughts,False
12,msg22981776,https://bitcointalk.org/index.php?topic=2234738.0,msg22981655,1932,Announcements (Altcoins),2017-10-14 01:23:10,scambuster_,Newbie,16,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,     Looking good! For how long have you guys been developing this ICO?,False
13,msg22981961,https://bitcointalk.org/index.php?topic=2234738.0,,1932,Announcements (Altcoins),2017-10-14 01:33:44,nicknailers,Newbie,56,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,"Elaborating the concept a couple months, actually coding it about 2 months ago we should release another video quite soon we are working on putting the nuts & bolts together. Public demo will be after pre-ico but I admit with all the time we spend developing, more efforts would need to be put toward marketing. No matter what this project will be done  Thanks for the good words   Nick",False
14,msg23246158,https://bitcointalk.org/index.php?topic=2234738.0,,1932,Announcements (Altcoins),2017-10-19 17:20:21,nicknailers,Newbie,56,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,Since there is only 10 days left to our pre ICO we did establish a small bounty program available only on Bitcointalk !  YOU CAN NOW USE THE FOLLOWING REFERAL CODE : BTT142  To give people you refer to us a total of 50% bonus (32.5% at time of purchase and 12.5% at the end of the pre ICO). This is only valid for the  last 10 days or until October 28th 2017.  IMPORTANT NOTE: Message me to get your personal code to get a 3% referal commission posted to your ethereum account.,False
15,msg23246369,https://bitcointalk.org/index.php?topic=2234738.0,msg22657049,1932,Announcements (Altcoins),2017-10-19 17:25:36,majestymage,Hero Member,980,503,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,  interesting point of view. probably like a pos. but lets see what they say,False
16,msg23246520,https://bitcointalk.org/index.php?topic=2234738.0,msg23246369,1932,Announcements (Altcoins),2017-10-19 17:29:32,nicknailers,Newbie,56,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,"   It is a mix of both.  1- the network value will increase with activities which will make the token worth more; 2- We reinject 98% of all profits that are made into the token. 3- Proof of stake will be implanted. We also plan to take advantage of the Ethereum proof of stake as we will hold a large quantity of ether and will return anything we get as proof of stake from it to the network as well.  The self-mining concept is for the activities on the network (1). 2 and 3 is more like a ""blockchain cooperative"" where profits are returned to its members.",False
17,msg23264391,https://bitcointalk.org/index.php?topic=2234738.0,msg23243756,1932,Announcements (Altcoins),2017-10-20 04:09:19,manjak87,Newbie,25,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,   Here is representative of CryptoCopy. We are not related at all and ideas are completely different. Kryptopy is social network platform and CryptoCopy is investing platform for copying successful investors. If there is any open question please let me know.  Our ANN thread https://bitcointalk.org/index.php?topic=2251942.0,False
18,msg23264668,https://bitcointalk.org/index.php?topic=2234738.0,msg23264391,1932,Announcements (Altcoins),2017-10-20 04:21:33,nicknailers,Newbie,56,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,"   Thank you for clarifying as our names are very similar I would really appreciate if you would specify on your posts like I will do on mine that our companies are very different and not related. As you can see it did lead some people to think either one of us were ""scammy"" which is not beneficial for neither of us. I deeply apologize for any misunderstanding in the matter. But as you know this industry is small and sometimes hecting to navigate with all the fake icos out there.  Wish you the best!Thank you for clarifying as our names are very similar I would really appreciate if you would specify on your posts like I will do on mine that our companies are very different and not related. As you can see it did lead some people to think either one of us were ""scammy"" which is not beneficial for neither of us. I deeply apologize for any misunderstanding in the matter. But as you know this industry is small and sometimes hecting to navigate with all the fake icos out there.  Wish you the best!",False
19,msg23264876,https://bitcointalk.org/index.php?topic=2234738.0,,1932,Announcements (Altcoins),2017-10-20 04:29:43,nicknailers,Newbie,56,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,ok this seem to be what I thought I did a search and all that came up were legit posts with kryptopy in it. The first one was made by cody mcbryan I will tell him to remove it to avoid confusion it was made way before the official ones.,False
20,msg23569036,https://bitcointalk.org/index.php?topic=2234738.0,,1932,Announcements (Altcoins),2017-10-26 12:52:24,nicknailers,Newbie,56,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,"Thanks to our new partnership with Adamant Finance Limited, we will officially welcome more than 100,000 users in the public beta of The Kryptopy Network!  Which means we did already surpass our objective of 10,000 users and are becoming one of the largest social network ecosystem of the new cryptocurrency era.  Yes, Kryptopy is already more than just a simple social network, it is a bridge to other cryptocurrency projects and an ecosystem. Some of our partnerships that have been made recently include : a decentralized cryptocurrency banking system and a decentralized cash back system where you will be able to spend your KPYs (Kryptopy’s currency) on your favourite brands. We are also looking to partner up with other projects to enrich the social reward-centric ecosystem that we are building.  To celebrate these good news, we decided to extend our pre-sale and lower the entry price from 0.4eth to 0.1eth to make it more affordable so everyone can take advantage of it.  That change will happen on October 28th 2017.  The new end date of the pre-sale will be November 18th 2017.  The ICO official date will be announced shortly after and will happen in the middle of January.  Thank you to everyone who did believe in us since the beginning!  To contribute in the Kryptopy’s pre-sale and get 32.5% bonus, you can visit https://www.kryptopy.com (note: before October 28th, the minimum is still 0.4eth).",False
21,msg23569137,https://bitcointalk.org/index.php?topic=2234738.0,,1932,Announcements (Altcoins),2017-10-26 12:54:44,AndreasHauser,Newbie,1,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,That's so amazing!!  Guys feel free to read my review on Kryptopy as well :-) https://steemit.com/ico/@andreashauser/ico-review-kryptopy-a-new-steemit-etoro-and-much-more-on-the-blockchain-ceo-talking-at-conference-with-opening-speech-from-nasa,False
22,msg23842628,https://bitcointalk.org/index.php?topic=2234738.0,,1932,Announcements (Altcoins),2017-10-31 22:08:23,nicknailers,Newbie,56,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,"New bitcointalk thread, with updated informations. Phase2 of pre-sale just started today.  https://bitcointalk.org/index.php?topic=2342703.msg23841877#msg23841877",False
23,msg23843377,https://bitcointalk.org/index.php?topic=2234738.0,,1932,Announcements (Altcoins),2017-10-31 22:31:10,Crillycoin,Newbie,3,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,New to Crypto currency any advice?,False
24,msg28641610,https://bitcointalk.org/index.php?topic=2234738.0,,1932,Announcements (Altcoins),2018-01-21 21:53:22,romaillex,Newbie,9,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,When start?,False
25,msg34503125,https://bitcointalk.org/index.php?topic=2234738.0,,1932,Announcements (Altcoins),2018-04-12 04:31:09,moskovskiy89,Newbie,112,0,,🌟🌟🚀[ANN][ICO]Kryptopy🌟🌟🚀Complete Cryptocurrency Social Network For Traders,"as i can i see,looks interesting idea,hope more update information will be in here,hope continue to run it well",False
