id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg44790626,https://bitcointalk.org/index.php?topic=4671792.0,msg44790239,1662,Announcements (Altcoins),2018-08-27 20:16:50,KnightRiderus,Sr. Member,630,250,,[ANN] [PRE-SALE] [AIRDROP] MapCoin | Driving the future of mapping technologies,"    i think it's still early to talk about this, even if large companies can not run such things. insurers simply will not cover the damage in the event that the algorithm fails. but the project right after development can be bought by a large company like uber or google.",False
2,msg44827061,https://bitcointalk.org/index.php?topic=4671792.0,,1662,Announcements (Altcoins),2018-08-28 13:58:10,kevork koja,Newbie,70,0,,[ANN] [PRE-SALE] [AIRDROP] MapCoin | Driving the future of mapping technologies, Iam Happy to have found this project. Expecting great things from this one. Iam looking forward to this project for a long time and and I founded it. I am sure this company will shows the best results and the partnership that is growing and rising to the top.Congratulations for this interesting project. hope it will achieve great heights and success.thank you guys.,False
3,msg44870109,https://bitcointalk.org/index.php?topic=4671792.0,,1662,Announcements (Altcoins),2018-08-29 15:17:19,kevork koja,Newbie,70,0,,[ANN] [PRE-SALE] [AIRDROP] MapCoin | Driving the future of mapping technologies,very well prepared and well planned project.and the team seems great..The possibilities are not every day given. all opportunities that we have not used will be gone. So join with this project and discover the world .good luck,False
4,msg44914692,https://bitcointalk.org/index.php?topic=4671792.0,,1662,Announcements (Altcoins),2018-08-30 11:03:53,mapcointoken,Copper Member,20,0,,[ANN] [PRE-SALE] [AIRDROP] MapCoin | Driving the future of mapping technologies,📣Introducing the first of our new advisors. Welcome Jeremy to the MapCoin team 👍https://medium.com/@Mapcointoken/jeremy-khoo-joins-mapcoin-cbbac507e88,False
5,msg45153781,https://bitcointalk.org/index.php?topic=4671792.0,,1662,Announcements (Altcoins),2018-09-03 21:21:05,kevork koja,Newbie,70,0,,[ANN] [PRE-SALE] [AIRDROP] MapCoin | Driving the future of mapping technologies,"fantastic work, guys! You would be successful! I like this it. an interesting project with specific goals, a good product and a worthy team that will certainly achieve its goals. I believe in this project.",False
6,msg45860494,https://bitcointalk.org/index.php?topic=4671792.0,,1662,Announcements (Altcoins),2018-09-18 08:20:23,Pasadoble,Jr. Member,336,7,,[ANN] [PRE-SALE] [AIRDROP] MapCoin | Driving the future of mapping technologies,"It would be great to see your project listed at www.icoguide.com a lot of people who is going to invest checks the rates there, I trust their reviews, so it would be great to hear about your project also, to make decision.",False
7,msg42596960,https://bitcointalk.org/index.php?topic=4671792.0,msg42290092,1662,Announcements (Altcoins),2018-07-21 12:42:36,cryptoroland,Full Member,350,100,,[ANN] [PRE-SALE] [AIRDROP] MapCoin | Driving the future of mapping technologies,  Very interesting) There's some video about how it's all going to happen? And how many people do you need for cooperation? I hope that the project will be successful and useful for people.,False
8,msg42719721,https://bitcointalk.org/index.php?topic=4671792.0,msg42579588,1662,Announcements (Altcoins),2018-07-23 09:22:07,mapcointoken,Copper Member,20,0,,[ANN] [PRE-SALE] [AIRDROP] MapCoin | Driving the future of mapping technologies,   Thank you!,False
9,msg42719760,https://bitcointalk.org/index.php?topic=4671792.0,msg42589772,1662,Announcements (Altcoins),2018-07-23 09:22:46,mapcointoken,Copper Member,20,0,,[ANN] [PRE-SALE] [AIRDROP] MapCoin | Driving the future of mapping technologies,"   Yes, we intend to collect data worldwide.",False
10,msg42719799,https://bitcointalk.org/index.php?topic=4671792.0,msg42596960,1662,Announcements (Altcoins),2018-07-23 09:23:49,mapcointoken,Copper Member,20,0,,[ANN] [PRE-SALE] [AIRDROP] MapCoin | Driving the future of mapping technologies,"   We are working on our video.  It depends on the size and complexity of City and country, but for HD Maps, for tier-one city like London, Paris, New York, Shenzhen, HK, we need at least 4000-5000 active users to make it, smaller cities may require fewer. The reason for that is: for example Shenzhen city, in Shenzhen city there are around 19,000 taxis and 16,000 buses that cover all the city roads, For MapCoin 1/4 of the bus/taxi drivers is enough.",False
11,msg42719824,https://bitcointalk.org/index.php?topic=4671792.0,msg42621432,1662,Announcements (Altcoins),2018-07-23 09:24:07,mapcointoken,Copper Member,20,0,,[ANN] [PRE-SALE] [AIRDROP] MapCoin | Driving the future of mapping technologies,   Thank you!,False
12,msg43481745,https://bitcointalk.org/index.php?topic=4671792.0,,1662,Announcements (Altcoins),2018-08-04 21:42:04,among,Full Member,350,100,,[ANN] [PRE-SALE] [AIRDROP] MapCoin | Driving the future of mapping technologies,"MapCoin’s vision is to utilise the blockchain to help drive the future of autonomous driving, location and mapping technologies from the creation of maps and location data using the power of our community. Best of all you get paid for sharing your data. Mapcoin drives the creation of maps and location data using the power of the blockchain.  https://mapcoin.io/",False
13,msg43613982,https://bitcointalk.org/index.php?topic=4671792.0,,1662,Announcements (Altcoins),2018-08-06 21:22:55,among,Full Member,350,100,,[ANN] [PRE-SALE] [AIRDROP] MapCoin | Driving the future of mapping technologies,MapCoin Token Bounty is now open 💎 The phase 1 bounty will run for 1 month: 6th August to 6th September 2018. During this time MapCoiners will have a number of ways to earn tokens.  Bounty0x they are partnering with Bounty0x to ensure the  campaign is run in an organised and transparent manner. In order to participate please create an account on Bounty0x which only takes 1 minute. Sign up as a Hunter here: https://beta.bounty0x.io/register Tokens will be distributed after the end of our public sale and released through the Bounty0x platform for transparency and accounting.  https://beta.bounty0x.io/hosts/MapCoin,False
14,msg43623249,https://bitcointalk.org/index.php?topic=4671792.0,,1662,Announcements (Altcoins),2018-08-07 03:44:51,DotaWeha,Newbie,23,0,,[ANN] [PRE-SALE] [AIRDROP] MapCoin | Driving the future of mapping technologies,http://mapcoin.io/airdrop -> mapcoin airdrop closed ! ,False
