id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg44783445,https://bitcointalk.org/index.php?topic=4553030.0,msg44779373,1147,Announcements (Altcoins),2018-08-27 17:22:29,DiziSquare,Newbie,385,0,,[ANN] [PRE-ICO] Local Token Exchange 📈 P2P Decentralized Exchange 🔥,"  Hey. Here's some info from website: ""Offering More cryptocurrencies than other exchanges. And early access to ICOs.""",False
2,msg44783822,https://bitcointalk.org/index.php?topic=4553030.0,,1147,Announcements (Altcoins),2018-08-27 17:30:57,manox.dave,Newbie,350,0,,[ANN] [PRE-ICO] Local Token Exchange 📈 P2P Decentralized Exchange 🔥,"Hi for everyone who are here)) Nice to see one more perspective project, I really impressed by it, what is your Soft and Hard cap?",False
3,msg44784334,https://bitcointalk.org/index.php?topic=4553030.0,msg44783822,1147,Announcements (Altcoins),2018-08-27 17:41:35,Sharlotta.Berg,Newbie,308,0,,[ANN] [PRE-ICO] Local Token Exchange 📈 P2P Decentralized Exchange 🔥,"  Hey Manox  €1,000,000 Softcap  €19,490,900 Hardcap",False
4,msg44784819,https://bitcointalk.org/index.php?topic=4553030.0,msg44784334,1147,Announcements (Altcoins),2018-08-27 17:52:26,AngelinaShulcz,Newbie,378,0,,[ANN] [PRE-ICO] Local Token Exchange 📈 P2P Decentralized Exchange 🔥,"   They have already raised 450.000 EUR , almost half of the soft cap  ",False
5,msg44789625,https://bitcointalk.org/index.php?topic=4553030.0,,1147,Announcements (Altcoins),2018-08-27 19:51:03,Petramaxindoshka,Newbie,336,0,,[ANN] [PRE-ICO] Local Token Exchange 📈 P2P Decentralized Exchange 🔥,"When did the ICO begin, what bonus now? Can I invest using a bank card?",False
6,msg44790953,https://bitcointalk.org/index.php?topic=4553030.0,msg44789625,1147,Announcements (Altcoins),2018-08-27 20:25:53,vkolotun,Newbie,364,0,,[ANN] [PRE-ICO] Local Token Exchange 📈 P2P Decentralized Exchange 🔥,"  Hi, Petra! Pre-ICO Sale: Stage 1 (30% Discount) July 30 – August 10, 2018 Stage 2 (25% Discount) August 11 - August 20, 2018 Stage 3 (20% Discount) August 21 - August 30, 2018  ICO Sale: Stage 1 (10% discount): August 31 – Sep. 5 Stage 2 (no discount): Sep. 6 – Sep. 10",False
7,msg44792034,https://bitcointalk.org/index.php?topic=4553030.0,msg44790953,1147,Announcements (Altcoins),2018-08-27 20:55:36,ukrainskaya-devaxa,Newbie,350,0,,[ANN] [PRE-ICO] Local Token Exchange 📈 P2P Decentralized Exchange 🔥,"   Wow, that is, the discount is almost over? We must hurry. Do you have applications for iOS and Android?",False
8,msg44792940,https://bitcointalk.org/index.php?topic=4553030.0,msg44792034,1147,Announcements (Altcoins),2018-08-27 21:25:34,TomHurst,Newbie,392,0,,[ANN] [PRE-ICO] Local Token Exchange 📈 P2P Decentralized Exchange 🔥,  It seems that the mobile app will be in Q2 2019. I found this in white paper,False
9,msg44794099,https://bitcointalk.org/index.php?topic=4553030.0,,1147,Announcements (Altcoins),2018-08-27 22:09:11,RichardCrowford1965,Newbie,308,0,,[ANN] [PRE-ICO] Local Token Exchange 📈 P2P Decentralized Exchange 🔥,Hey. Very interesting and potentially successful project. Do you have partners or potential large investors?,False
10,msg44794204,https://bitcointalk.org/index.php?topic=4553030.0,,1147,Announcements (Altcoins),2018-08-27 22:13:39,ifyousmell,Hero Member,686,500,,[ANN] [PRE-ICO] Local Token Exchange 📈 P2P Decentralized Exchange 🔥,"it would be great if you can promote the d-exchange to more people, it is a competitive space; also I need the detailed information about the bounty program",False
