id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg26029321,https://bitcointalk.org/index.php?topic=2110111.0,,3757,Announcements (Altcoins),2017-12-09 13:47:43,swob,Newbie,17,0,,[ANN][ICO] BREM - blockchain project in the sphere of real estate,"Dick, welcome to the BREM ICO chat! Do you have any questions?",False
2,msg26376937,https://bitcointalk.org/index.php?topic=2110111.0,msg25794481,3757,Announcements (Altcoins),2017-12-15 14:04:28,temple,Hero Member,640,500,,[ANN][ICO] BREM - blockchain project in the sphere of real estate,"   This project is not slow, it is dead. And I am sorry for you if you haven't realized that yet...",False
3,msg26639069,https://bitcointalk.org/index.php?topic=2110111.0,,3757,Announcements (Altcoins),2017-12-20 04:04:50,SektorPiii,Full Member,504,107,,[ANN][ICO] BREM - blockchain project in the sphere of real estate,It is obvious that the project really died .. It's sad  ,False
4,msg26698971,https://bitcointalk.org/index.php?topic=2110111.0,msg26639069,3757,Announcements (Altcoins),2017-12-21 03:15:50,bestpikka,Full Member,574,102,,[ANN][ICO] BREM - blockchain project in the sphere of real estate,"   wait, are there any development or not, maybe this new project in the process because the project that wants to have a nice project requires a long process.",False
5,msg27208422,https://bitcointalk.org/index.php?topic=2110111.0,,3757,Announcements (Altcoins),2017-12-30 13:55:40,Tramvay,Full Member,532,100,,[ANN][ICO] BREM - blockchain project in the sphere of real estate,And when the coins for the riots will be given or the project is hopelessly dead?,False
6,msg27601569,https://bitcointalk.org/index.php?topic=2110111.0,msg26698971,3757,Announcements (Altcoins),2018-01-06 16:55:57,temple,Hero Member,640,500,,[ANN][ICO] BREM - blockchain project in the sphere of real estate,   I guess you couldn't come up with worse nonsense just for the sake of making a post on this forum...,False
7,msg27751357,https://bitcointalk.org/index.php?topic=2110111.0,,3757,Announcements (Altcoins),2018-01-09 05:11:51,vip777,Member,71,10,,[ANN][ICO] BREM - blockchain project in the sphere of real estate,Here very quiet. Dev how are you doing? Has anyone received their tokens or the project is dead?,False
8,msg28748731,https://bitcointalk.org/index.php?topic=2110111.0,,3757,Announcements (Altcoins),2018-01-23 12:36:22,eneyardi,Sr. Member,294,251,,[ANN][ICO] BREM - blockchain project in the sphere of real estate,"Dear BREM Supporters! We would like to inform you, that we decided to change  terms of project  output on ICO  This decision was made based on several factors:  1.     High fluctuations  of  Bitcoin   2.     The degree of readiness of the Prototype of Portal  Currently the market dictates new requirements for the preparation of ICO projects,  it is also necessary to take into consideration the General situation on the cryptocurrency market, select qualitatively best time to start the project.  We want to prepare and launch the project  (The Platform), new marketing program and launch the Project on ICO with new  working platform that will confirm our serious intention to the investors.  Please be patient  and support our team and project. We are not digress of our plans and will justify expectations of our supporters.  The estimated start time of the marketing program is  February- March 2018.  Sincerely,    BREM Team",False
9,msg34259270,https://bitcointalk.org/index.php?topic=2110111.0,,3757,Announcements (Altcoins),2018-04-08 23:39:14,gogok,Full Member,378,100,,[ANN][ICO] BREM - blockchain project in the sphere of real estate,"Hi guys, I've been following these projects for a long time. I'm waiting for the start of the marketing program. But the month of March has already ended. Do you have any news, or can I remove this project from my radar?",False
10,msg46476911,https://bitcointalk.org/index.php?topic=2110111.0,,3757,Announcements (Altcoins),2018-10-03 19:56:45,eneyardi,Sr. Member,294,251,,[ANN][ICO] BREM - blockchain project in the sphere of real estate,"MVP for Project BREM: Instructions for use    Good news for those who have been following the development of BREM platform - an online service for the purchase and tokenization of real estate, based on blockchain: Hash Lab has developed an MVP for the project. Without exaggeration, Hash Lab developers can be called among the best in Russia, as they are the leading experts in the fields of blockchain and solidity, regularly winning major hackathons. Let's take a look at how BREM MVP works (both for real estate investors and developers). Let's start with the procedure for those who want to buy / invest in real estate, that is, for investors: 1) In order to start using the service, you need to install the browser based Metamask wallet (Google Chrome, Firefox or Opera), and then select the Rinkeby test network and log in 2) Then visit this link http://mvp.brem.top/ . . You get to the registration page, where you need to confirm the signature in your Metamask wallet. Then you go to the main page of the platform, which currently consists of two sections: Personal account and Marketplace. The existing projects for investment are placed in the Marketplace - in this section you can see the names and other parameters, like fees, for each of these projects 3) Next, you need to select a project (for example, a house in Austria or other available projects in any other country, since the project is international), click the ""Deposit ETH"" button and enter the amount of investment in a pop-up window that opens, and then confirm the transaction in Metamask wallet. The transaction and the deposit of tokens to your ether wallet will be displayed on the Ethereum network - ""Etherscan"". After that, you open the Marketplace window and see that the funds have been credited to the account, and as a percentage, the total investment displayed in the project has increased. Separately, it is worth noting that the investor has a refund function called Refund, which works if the project does not collect the required minimum investment threshold, in other words, Soft Cap. We now turn to the procedure for developers and / or contract creators: First of all, the BREM MVP project is a decentralized platform or interface for creating a MINI ICO inside the platform. Any developer can create a smart contract with specified parameters for investments and with the function of releasing tokens attached to the project, and start selling tokens that are a part of the project. Thus, the procedure is: 1As a contract creator, you enter the platform, where you are invited to authorize the ethereum address through Metamask, then go to the main page of the platform (for the time being, it is a common page for both buyers and project developers); 2To create a project, go to 'Marketplace' in the section ""Cabinet""; 3Then you get to the section where the projects you have already created are displayed, and you can add a new project using the ""ADD NEW"" button; 4Thus, you create a new project and enter its parameters, where: Name - enter a name for the project Description - enter the description of the project Thumbnail - attach a photo of the project Ending date - set the end date for project investment solicitation Map location - select the project location on the map Address - register the address of the project Token Name - enter the name of the token you are issuing for the project Soft Cap - set the minimum investment needed for the project, without which the project can not be implemented Rate - set the number of tokens per ETH, which the investor will receive Additional files - add supporting project documentation 5) After all these actions, using the ""Submit"" button, you confirm the creation of the project, and then confirm the transaction in Metamask - in the same way, by clicking on the ""Submit"" button. After the transaction, you can see your project on the Marketplace page. In addition, there is an auditor on the platform who has the right to release or block funds for the developer in accordance with the construction phase. In general, MVP turned out to be very clear and detailed, so with its help you can train yourself to invest in real estate or raise funds for construction right now. The main round of the sale of BREM tokens will start in the fourth quarter of this year - the BREM platform itself should be ready by April next year. ▶ ️ Project site: https://bremtoken.top/ ▶ ️ BREM platform: http://brem.top/ ▶ ️ MVP Project: http://mvp.brem.top/ ▶ ️ WHITEPAPER: https://bremtoken.top/assets/wp.pdf ▶ ️ MVP demo: https://youtu.be/d0ZGWkIY1j0",False
