id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg34817721,https://bitcointalk.org/index.php?topic=3069984.0,msg34817688,269,Marketplace,2018-04-16 08:04:14,Bathroom,Newbie,6,0,,777.BINGO: The World’s First Blockchain Pan Entertainment Platform,"  I don't even think you can get a number. It's a platform, it's supposed to hold as many games as needed.",False
2,msg34817759,https://bitcointalk.org/index.php?topic=3069984.0,,269,Marketplace,2018-04-16 08:05:01,Minium1,Newbie,10,0,,777.BINGO: The World’s First Blockchain Pan Entertainment Platform,"What is the revenue for global games at the moment, and what do Bingo plan to do in the next years to increase it ?",False
3,msg34817802,https://bitcointalk.org/index.php?topic=3069984.0,,269,Marketplace,2018-04-16 08:05:50,Cecils,Newbie,9,0,,777.BINGO: The World’s First Blockchain Pan Entertainment Platform,"is there a platform already, like a demo or is it on standby and waiting to be launched after the ico is finalised ?",False
4,msg34817959,https://bitcointalk.org/index.php?topic=3069984.0,,269,Marketplace,2018-04-16 08:08:25,Troybilt,Newbie,8,0,,777.BINGO: The World’s First Blockchain Pan Entertainment Platform,"What is their main goal, what is gonna satisfy them ? I am looking at the whitepaper, and i am seeing some crazy concepts like : They are looking to launch the in-game crypto payments and provide the integrated SDK gateways for developers on their platform. Is that gonna be a good idea ? Looking for some feedback.",False
5,msg34828211,https://bitcointalk.org/index.php?topic=3069984.0,msg34817759,269,Marketplace,2018-04-16 10:28:04,Djldemon,Newbie,7,0,,777.BINGO: The World’s First Blockchain Pan Entertainment Platform,"   Global game industry grossing revenue for 2017 reached close to $120 billion,with a year-on-year growth of more than 10%. That's a incredible amount of money overall. The game revenue gained from one major country has exceeded the global box office, tho.",False
6,msg34828231,https://bitcointalk.org/index.php?topic=3069984.0,msg34817721,269,Marketplace,2018-04-16 10:28:19,Bathroom,Newbie,6,0,,777.BINGO: The World’s First Blockchain Pan Entertainment Platform,"  Are you asking a technical question or merely a curiousity of yours ? If you ask about technicality,or if their servers can hold multiple games up and stable,they should probably answer to this question,i wanna know aswell.",False
7,msg34828241,https://bitcointalk.org/index.php?topic=3069984.0,msg34817802,269,Marketplace,2018-04-16 10:28:30,Thores,Newbie,7,0,,777.BINGO: The World’s First Blockchain Pan Entertainment Platform,"   I don't think they have a platform nor a demo. They are trying to launch the platform, called Qtum Heroes,but the user management sys is Bingo, within Qtum Heroes.",False
8,msg34836998,https://bitcointalk.org/index.php?topic=3069984.0,,269,Marketplace,2018-04-16 12:31:46,Ealaings,Newbie,80,0,,777.BINGO: The World’s First Blockchain Pan Entertainment Platform,How much time did Doom of Aliens needed to complete this idea/game ?,False
9,msg34837581,https://bitcointalk.org/index.php?topic=3069984.0,msg34836998,269,Marketplace,2018-04-16 12:39:30,Masul1974,Newbie,68,0,,777.BINGO: The World’s First Blockchain Pan Entertainment Platform,  What idea/game are you talking about ? Doom of Aliens have their own game which was developed some time ago.,False
10,msg34837618,https://bitcointalk.org/index.php?topic=3069984.0,msg34837581,269,Marketplace,2018-04-16 12:40:02,Pered1980,Newbie,66,0,,777.BINGO: The World’s First Blockchain Pan Entertainment Platform,"  You are clueless,mate. All i know right now is this : Doom of Aliens has been developed by Mobs Arts for around 2 or 3 years and they are solely the only people who've developed/created the game itself.",False
