id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg19712166,https://bitcointalk.org/index.php?topic=1955231.0,msg19711939,25236,Announcements (Altcoins),2017-06-22 14:28:56,aventus,Full Member,154,100,,[ANN] Aventus - Event Ticketing Antifraud Solution,"   Thanks so much .  All, check out the new ICO ANN here! https://bitcointalk.org/index.php?topic=1979867.0",False
2,msg19712817,https://bitcointalk.org/index.php?topic=1955231.0,msg19712166,25236,Announcements (Altcoins),2017-06-22 15:02:20,brokens,Sr. Member,728,251,,[ANN] Aventus - Event Ticketing Antifraud Solution,"  Yups, new ICO ANN thread, OP is always active and on to provide the latest updates on about this projects, All the people who participated here please look new development of this ICO. https://bitcointalk.org/index.php?topic=1979867.0  keep the spirit team AVENTUS. ",False
3,msg19714582,https://bitcointalk.org/index.php?topic=1955231.0,,25236,Announcements (Altcoins),2017-06-22 16:39:59,taufikfajar,Member,95,10,,[ANN] Aventus - Event Ticketing Antifraud Solution,The big advantage of this project I am very confident with aventur and I will see and help develop this project for progress. Keep the spirit of goodluck dev work,False
4,msg19718509,https://bitcointalk.org/index.php?topic=1955231.0,msg19615378,25236,Announcements (Altcoins),2017-06-22 21:04:29,riskthebiscuit,Sr. Member,448,251,,[ANN] Aventus - Event Ticketing Antifraud Solution,"   Yes this is most probable, but then its like hold off on having a strong opinion. Person says ""you do not need them"", well clearly you do not know what they are trying to do. Anyways I am sure this project will flourish and I look forward to being a part of it/around during the success. Goodluck dev and team!",False
5,msg19720848,https://bitcointalk.org/index.php?topic=1955231.0,,25236,Announcements (Altcoins),2017-06-23 00:13:09,arikassuja,Sr. Member,539,250,,[ANN] Aventus - Event Ticketing Antifraud Solution,I see you create a new thread what happens?,False
6,msg19733795,https://bitcointalk.org/index.php?topic=1955231.0,msg19720848,25236,Announcements (Altcoins),2017-06-23 16:32:46,aventus,Full Member,154,100,,[ANN] Aventus - Event Ticketing Antifraud Solution,"   Hi . Yes, we created this thread: https://bitcointalk.org/index.php?topic=1979867.0. The other thread has more information about the ICO and social bounty campaign. This thread can also be used, but that is now our main thread so please bump that one up with posts if you are part of the signature campaign!",False
7,msg19800098,https://bitcointalk.org/index.php?topic=1955231.0,msg19733795,25236,Announcements (Altcoins),2017-06-27 11:35:53,zahra4577,Hero Member,518,500,,[ANN] Aventus - Event Ticketing Antifraud Solution,"  To make it clear,signature participants are now required to make 2 compulsory posts in new thread and not this one.Am I right?",False
8,msg19805034,https://bitcointalk.org/index.php?topic=1955231.0,msg19800098,25236,Announcements (Altcoins),2017-06-27 16:35:41,aventus,Full Member,154,100,,[ANN] Aventus - Event Ticketing Antifraud Solution,"   2 posts per week, and yes in the new thread. Thanks!",False
9,msg19996630,https://bitcointalk.org/index.php?topic=1955231.0,,25236,Announcements (Altcoins),2017-07-07 16:12:11,PopcornKirby,Newbie,11,0,,[ANN] Aventus - Event Ticketing Antifraud Solution,"I have written a detailed analysis on Aventus, including my thoughts on contributing to the ICO for flipping as well as long-term investment. Feel free to check it out: https://crushcrypto.com/analysis-of-aventus-ico/",False
10,msg20004613,https://bitcointalk.org/index.php?topic=1955231.0,msg19714582,25236,Announcements (Altcoins),2017-07-08 04:05:06,4Twenty24-7,Newbie,10,0,,[ANN] Aventus - Event Ticketing Antifraud Solution,   Are you a real human or a bot....?,False
11,msg19680807,https://bitcointalk.org/index.php?topic=1955231.0,,25236,Announcements (Altcoins),2017-06-21 01:57:59,alexflow,Sr. Member,602,252,,[ANN] Aventus - Event Ticketing Antifraud Solution,  - you really think what rise for 5 days? :-),False
12,msg19684935,https://bitcointalk.org/index.php?topic=1955231.0,,25236,Announcements (Altcoins),2017-06-21 07:49:35,renes,Sr. Member,532,250,,[ANN] Aventus - Event Ticketing Antifraud Solution,Can we invest in this ico via shapeshift.io or 3rd party payment solutions like this? or just with ether wallet,False
13,msg19684992,https://bitcointalk.org/index.php?topic=1955231.0,msg19680807,25236,Announcements (Altcoins),2017-06-21 07:53:20,Angel Di,Sr. Member,588,251,,[ANN] Aventus - Event Ticketing Antifraud Solution,  Indeed there a positive attitude. Maybe rises coin for 5 days. But we must not forget that the summer has already started today. Activity in the market can fall sharply.,False
14,msg19686685,https://bitcointalk.org/index.php?topic=1955231.0,msg19684935,25236,Announcements (Altcoins),2017-06-21 09:42:37,aventus,Full Member,154,100,,[ANN] Aventus - Event Ticketing Antifraud Solution,   Hi there. Just Ether is what we will be going with.,False
15,msg19687118,https://bitcointalk.org/index.php?topic=1955231.0,msg19686685,25236,Announcements (Altcoins),2017-06-21 10:10:51,nelmari,Sr. Member,490,250,,[ANN] Aventus - Event Ticketing Antifraud Solution,"   So by Ether does that mean any ether wallet like the myetherwallet site? Was curious on this too, because a friend of mine asked if she could invest in this ICO.",False
16,msg19687705,https://bitcointalk.org/index.php?topic=1955231.0,,25236,Announcements (Altcoins),2017-06-21 10:50:25,mv1986,Hero Member,980,500,,[ANN] Aventus - Event Ticketing Antifraud Solution,"""Aventus will be raising a minimum of $6 million (24,490 ETH), with a target of $15 million (42,857 ETH).""  This is a statement from your ICO terms. How du the numbers provided relate to each other? 15 is 2.5 x 6. 42,857 is not 2.5 x 24,490. What am I missing in your calculations?",False
17,msg19688884,https://bitcointalk.org/index.php?topic=1955231.0,msg19687705,25236,Announcements (Altcoins),2017-06-21 12:00:01,aventus,Full Member,154,100,,[ANN] Aventus - Event Ticketing Antifraud Solution,"   Hi . We are targeting $15 million. That is not the hard cap. Since a maximum of half of the cap will be sold to strategic partners and clients in a presale at a discount, this is how the numbers add up. If you look further down at the statement about presale, you will see this information.",False
18,msg19689389,https://bitcointalk.org/index.php?topic=1955231.0,,25236,Announcements (Altcoins),2017-06-21 12:29:20,mv1986,Hero Member,980,500,,[ANN] Aventus - Event Ticketing Antifraud Solution,Thanks for the info.,False
19,msg19691603,https://bitcointalk.org/index.php?topic=1955231.0,,25236,Announcements (Altcoins),2017-06-21 14:22:02,SonyEricSon,Full Member,224,100,,[ANN] Aventus - Event Ticketing Antifraud Solution,I think the social bounty prize is too small for only 0.5%. You should separate bounty for bugs with social bounty.,False
20,msg19695463,https://bitcointalk.org/index.php?topic=1955231.0,msg19691603,25236,Announcements (Altcoins),2017-06-21 17:47:11,tanghere02,Sr. Member,518,250,,[ANN] Aventus - Event Ticketing Antifraud Solution,"   I was about to ask this one too, the prize of the bounty are actually pretty small even with the signature campaign. I hope the team will consider to put additional prize this will attract more people advertising the campaign.",False
21,msg19698506,https://bitcointalk.org/index.php?topic=1955231.0,,25236,Announcements (Altcoins),2017-06-21 21:05:21,SonyEricSon,Full Member,224,100,,[ANN] Aventus - Event Ticketing Antifraud Solution,"Should bounty the bug into the funding section of development, not boutny campaign. You should consider this dev",False
22,msg19698613,https://bitcointalk.org/index.php?topic=1955231.0,,25236,Announcements (Altcoins),2017-06-21 21:12:35,icerose,Newbie,47,0,,[ANN] Aventus - Event Ticketing Antifraud Solution,I like the idea of this because the current ticketing systems are a complete mess. Hopefully the execution of this idea runs smoothly.,False
23,msg19700015,https://bitcointalk.org/index.php?topic=1955231.0,msg19691603,25236,Announcements (Altcoins),2017-06-21 23:01:51,aventus,Full Member,154,100,,[ANN] Aventus - Event Ticketing Antifraud Solution,"   Fair enough. However, it means that for e.g. the Twitter campaign each user will receive around £100 for something like 50 retweets/likes. That's quite a lot for the task.  Either way, we will be adding more AVT to the social bounty. Stay tuned! Announcements coming soon .",False
24,msg19702145,https://bitcointalk.org/index.php?topic=1955231.0,,25236,Announcements (Altcoins),2017-06-22 02:20:24,Mihawk,Sr. Member,1022,279,,[ANN] Aventus - Event Ticketing Antifraud Solution,"Does this antifraud solution system encompass all possible systems? Or are there numerous exceptions? And if for trying to defraud your project, how would you be dealing with this problem?",False
25,msg19703091,https://bitcointalk.org/index.php?topic=1955231.0,,25236,Announcements (Altcoins),2017-06-22 04:01:17,yanlap,Hero Member,672,500,,[ANN] Aventus - Event Ticketing Antifraud Solution,This project idea is practical. Keep watch.,False
26,msg19703572,https://bitcointalk.org/index.php?topic=1955231.0,msg19688884,25236,Announcements (Altcoins),2017-06-22 04:53:05,evilgreed,Sr. Member,462,250,,[ANN] Aventus - Event Ticketing Antifraud Solution,"          Wow it just seems if the crowdsale will start maybe $15m is only the minimum though, I think it would reach more than that soft cap you are targeting, just being positive here, I can see potential in this project. Who know's one day it will just boost without notice. ",False
27,msg19703687,https://bitcointalk.org/index.php?topic=1955231.0,msg19703572,25236,Announcements (Altcoins),2017-06-22 05:06:36,aldrian09,Sr. Member,308,250,,[ANN] Aventus - Event Ticketing Antifraud Solution,   I think they can reach there $15m target or more let's just all be positive here and trust the team that they can make this project successful.,False
28,msg19709233,https://bitcointalk.org/index.php?topic=1955231.0,,25236,Announcements (Altcoins),2017-06-22 11:36:24,gomei,Hero Member,770,500,,[ANN] Aventus - Event Ticketing Antifraud Solution,"This an promising project since I think event organizers are aiming at under-price tickets to maximize fan attendance, this strategy should be changed.",False
29,msg19709493,https://bitcointalk.org/index.php?topic=1955231.0,msg19703687,25236,Announcements (Altcoins),2017-06-22 11:49:42,aventus,Full Member,154,100,,[ANN] Aventus - Event Ticketing Antifraud Solution,   Thanks so much guys.,False
30,msg19711939,https://bitcointalk.org/index.php?topic=1955231.0,msg19700015,25236,Announcements (Altcoins),2017-06-22 14:16:14,Makka,Sr. Member,577,253,,[ANN] Aventus - Event Ticketing Antifraud Solution,"   That is good to hear from you.  I am eagerly waiting for the next announcement, which is hopefully bringing some good mouth-watering news.  I sincerely believe that everything's fair and square nevertheless. That twitter campaign you mentioned, for example, is already paying more than enough considering that 50 retweets and likes are no-brainer tasks. My support sticks with you devs, till the end!",False
