id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg45360815,https://bitcointalk.org/index.php?topic=3511977.0,msg45158180,1992,Announcements (Altcoins),2018-09-08 01:43:51,LoveStory,Member,406,10,,[ANN] DACSEE - Decentralized Alternative Cabs Serving & Empowering Everyone,"  I hope that the team will immediately give new news on this project, and hopefully the good news will also be provided by the team for the participants, so that later the participants will also not feel doubt about this project.",False
2,msg45361700,https://bitcointalk.org/index.php?topic=3511977.0,msg45360815,1992,Announcements (Altcoins),2018-09-08 02:36:13,atsyazani,Newbie,154,0,,[ANN] DACSEE - Decentralized Alternative Cabs Serving & Empowering Everyone,"  Maybe all the teams were busy preparing the market for this project, because I see a lot of people say that the project is successfully completed the ico really well.",False
3,msg45366805,https://bitcointalk.org/index.php?topic=3511977.0,msg45361700,1992,Announcements (Altcoins),2018-09-08 06:18:47,filisia,Newbie,251,0,,[ANN] DACSEE - Decentralized Alternative Cabs Serving & Empowering Everyone,  is it true? we pray the best and leave it to the team involved hopefully all of them will run smoothly and achieve results in accordance with what is expected.,False
4,msg45387362,https://bitcointalk.org/index.php?topic=3511977.0,msg45360815,1992,Announcements (Altcoins),2018-09-08 14:51:45,iphone5s,Full Member,547,100,,[ANN] DACSEE - Decentralized Alternative Cabs Serving & Empowering Everyone,   It will be everyone's hope but I don't see the latest news from this project that they will give to us all. we can only wait until they provide the latest information.,False
5,msg45387897,https://bitcointalk.org/index.php?topic=3511977.0,,1992,Announcements (Altcoins),2018-09-08 15:04:09,Diemhb1994,Newbie,72,0,,[ANN] DACSEE - Decentralized Alternative Cabs Serving & Empowering Everyone,interesting hope investors start to glance at this project and supports it.,False
6,msg45387964,https://bitcointalk.org/index.php?topic=3511977.0,,1992,Announcements (Altcoins),2018-09-08 15:05:24,Glosathagy,Newbie,14,0,,[ANN] DACSEE - Decentralized Alternative Cabs Serving & Empowering Everyone,"Website is excellent, I agree, but today you need so much more than a website to succeed.Most important aspect will be adoption, getting merchants to use your tokens everywhere!!!",False
7,msg45532106,https://bitcointalk.org/index.php?topic=3511977.0,msg45387964,1992,Announcements (Altcoins),2018-09-11 12:11:32,9jaflick,Sr. Member,728,254,,[ANN] DACSEE - Decentralized Alternative Cabs Serving & Empowering Everyone,"  They got the merchants, if there's one unique thing the team is lacking, it probably be a good communication skills. They don't have it! They need to hire a professional that is good in communication, even when there's no news to share, he/she should be able to keep the community busy with latest gists",False
8,msg45745778,https://bitcointalk.org/index.php?topic=3511977.0,,1992,Announcements (Altcoins),2018-09-15 22:32:58,iphone5s,Full Member,547,100,,[ANN] DACSEE - Decentralized Alternative Cabs Serving & Empowering Everyone,I have received tokens from the bounty but the number of tokens that can not be displayed in the spreadsheet. Is that number correct? everyone doubted the thing or indeed there was a reduction in prizes.,False
9,msg45745884,https://bitcointalk.org/index.php?topic=3511977.0,,1992,Announcements (Altcoins),2018-09-15 22:37:10,Tehbotot,Newbie,71,0,,[ANN] DACSEE - Decentralized Alternative Cabs Serving & Empowering Everyone,"Projects with emphasis on service is a great idea and very well, I think it will be a huge project and continues to grow.",False
10,msg45963356,https://bitcointalk.org/index.php?topic=3511977.0,,1992,Announcements (Altcoins),2018-09-20 21:58:20,hirokazu,Sr. Member,672,251,,[ANN] DACSEE - Decentralized Alternative Cabs Serving & Empowering Everyone,"Dacsee price at stable condition right now, looks should be able to rise rapidly. It will be more good if dev have plan to list it on another exchange in the near future. At least an easy exchange to use like yobit,idex and cryptopia which didn't require more specific information. Many people complain about using liquid because of their limitations and their rules.",False
