id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg43359022,https://bitcointalk.org/index.php?topic=3627961.0,,1019,Announcements (Altcoins),2018-08-02 19:57:25,ibiznes,Copper Member,98,0,,Trimpo: Blockchain-based e-commerce ecosystem,They already have mvp and make partnership with many good company have great bright future of this project.,True
2,msg43396623,https://bitcointalk.org/index.php?topic=3627961.0,,1019,Announcements (Altcoins),2018-08-03 12:47:42,SmartBounty,Copper Member,196,0,,Trimpo: Blockchain-based e-commerce ecosystem,"In my opinion this is a very interesting project, that has a good team and advisors. Appears to have decent flow of new users every week.",True
3,msg43553675,https://bitcointalk.org/index.php?topic=3627961.0,,1019,Announcements (Altcoins),2018-08-05 21:47:27,chon83,Copper Member,98,0,,Trimpo: Blockchain-based e-commerce ecosystem,"Strong team with brand name commerce experience. 23,000 merchants is an impressive number.",True
4,msg43703209,https://bitcointalk.org/index.php?topic=3627961.0,,1019,Announcements (Altcoins),2018-08-08 11:15:49,Salesin,Newbie,98,0,,Trimpo: Blockchain-based e-commerce ecosystem,"This is a very good-looking project that has some of the key components that I like - a strong, well established team, a great centralisation vision within the decentralised ecosystem and a product that has been integrated & tested with a global leader in the industry.",True
5,msg43730975,https://bitcointalk.org/index.php?topic=3627961.0,,1019,Announcements (Altcoins),2018-08-08 19:58:18,chon0783,Copper Member,140,0,,Trimpo: Blockchain-based e-commerce ecosystem,"An innovative vision which is backed up by an experienced team. The idea itself is quite interesting and a great example of how blockchain can be used to eliminate the middle man, and make things more transparent.",True
6,msg43815787,https://bitcointalk.org/index.php?topic=3627961.0,,1019,Announcements (Altcoins),2018-08-10 08:53:53,fishervwb,Member,447,39,,Trimpo: Blockchain-based e-commerce ecosystem,"New rate plans https://trimpo.org/blog/new_rate_plans/  Previously all services provided by Trimpo were free of charge. We will have a free rate plan which will allow our users access to the whole functionality of the platform, but with a limited number of product listings. Please find descriptions of plan rates below:  Rate plan Welcome is free of charge, you can list up to 10 products. Rate plan Lite (5$ per month) allows to list from 10 up to 500 products. Plan Medium (20$ per month) allows you to list on sales channels up to 5000 products. And with Premium (40$ per month) the number of products that can be listed is unlimited.  Listings are counted together, so if for example, you are selling on two marketplaces and have plan Medium, if you list 350 products on one marketplace, you can only list 150 on another. All of the platform’s features are available no matter which rate plan you use.  Please visit our Pricing page for more details and terms of payment.  Presently with Trimpo merchants can list their products on eBay, Etsy, Amazon, and VK, create price lists for selling on comparison-shopping engines, and manage all the product data and orders from a single account. Integration with Wish.com will be available at the end of Q3 and will be adding other marketplaces.  Our primary objective remains the realization of as many opportunities as possible for our current and our future clients. We continue to invest our time and strength in Trimpo, and creating a service for our users, that is exceptional and highly demanded.",True
7,msg44119819,https://bitcointalk.org/index.php?topic=3627961.0,,1019,Announcements (Altcoins),2018-08-15 11:29:57,Namita,Newbie,173,0,,Trimpo: Blockchain-based e-commerce ecosystem,A very great and well detailed project and it has good concept. i can assurely that this project will diffinitely achieve the goals and will be a huge project and surely it will have its big success. great work team and good luck.,True
8,msg44824308,https://bitcointalk.org/index.php?topic=3627961.0,,1019,Announcements (Altcoins),2018-08-28 13:02:56,Olywen,Jr. Member,222,2,,Trimpo: Blockchain-based e-commerce ecosystem,Is there a campaign to hunt for bonuses in this project? How do new entrants?,True
9,msg44844224,https://bitcointalk.org/index.php?topic=3627961.0,,1019,Announcements (Altcoins),2018-08-28 19:57:00,lendircinta,Member,134,10,,Trimpo: Blockchain-based e-commerce ecosystem,Do you still need a Russian translation? I could help with this. Let me know if interested.,True
10,msg41027297,https://bitcointalk.org/index.php?topic=3627961.0,,1019,Announcements (Altcoins),2018-06-27 17:01:39,znaneswar,Newbie,47,0,,Trimpo: Blockchain-based e-commerce ecosystem,Working platform with suppliers merchants and customers at one place. Very interesting one.  All the best team,True
11,msg41082979,https://bitcointalk.org/index.php?topic=3627961.0,,1019,Announcements (Altcoins),2018-06-28 13:39:37,trimpo.io,Newbie,102,0,,Trimpo: Blockchain-based e-commerce ecosystem,"Worldwide e-commerce market will exceed $2 trillion in 2018  Did you know that global e-commerce market  shows extremely high growth rates and in 2018 will exceed $2.2 trillion?  More and more people make purchases on the internet every year. According to Nielsen, a company doing consumption goods market research, every year the number of people making purchases online grows by 16%.  Today e-commerce yearly volume is counted in trillions of US dollars. Among the countries spending online the most are the United States, China, Japan and Great Britain. The growing demand for e-commerce means more small and medium businesses need marketplaces to reach new markets and clients.  Trimpo platform is the best solution for any business aiming to successfully start selling its products on major marketplaces. More info on the official website https://trimpo.org. https://b.radikal.ru/b35/1806/77/f46639998423.jpg",True
12,msg41083024,https://bitcointalk.org/index.php?topic=3627961.0,msg41027297,1019,Announcements (Altcoins),2018-06-28 13:40:19,trimpo.io,Newbie,102,0,,Trimpo: Blockchain-based e-commerce ecosystem,  Thank you very much!,True
13,msg41152712,https://bitcointalk.org/index.php?topic=3627961.0,,1019,Announcements (Altcoins),2018-06-29 14:07:20,trimpo.io,Newbie,102,0,,Trimpo: Blockchain-based e-commerce ecosystem,"Despite the fact that over the recent years e-commerce industry has been showing exponential growth rates, it is rather difficult to begin selling products on the internet. As a rule, a merchant has to dedicate substantial amounts of time and money to market their new online stores and maintain its operation. It would be much more effective to divert these resources towards developing and expanding the business.  It is especially difficult for a small-batch manufacturer to gain a foothold on the international market as it requires investing considerable resources into the business on both the initial stage and further down the line to cover monthly upkeep expenses. One other difficulty lies in bureaucratic aspects and transactional expenses that businesses have to face when accepting international payments.  All of the aforementioned issues considered, not every small business today can afford all the expenses and risks tied to international trade and putting your products on new markets. To change this situation we have developed Trimpo. Thanks to our product every merchant will be able to easily and successfully start selling product on the biggest global marketplaces! For more information visit our website at https://trimpo.org. https://c.radikal.ru/c37/1806/58/0d3693a188d4.jpg",True
14,msg41216923,https://bitcointalk.org/index.php?topic=3627961.0,,1019,Announcements (Altcoins),2018-06-30 13:38:26,trimpo.io,Newbie,102,0,,Trimpo: Blockchain-based e-commerce ecosystem,"This is interesting! In 2017 95% of Americans have bought something online! 67% of consumers reported preference for shopping online instead of offline stores. 54% of clothing, shoes and accessories were purchased online through marketplaces. According to a number of marketing research reports, marketplace users have their own habits and preferences that differ from country to country as well as consumer groups. Besides, there are several factors that are essential to a consumer’s decision-making:  * price; * shipping price and speed; * special offers and sales.  On average, every online shopper spends about $1600 online a year. This allows popular e-commerce marketplaces reach market capitalization of over $650 billion and continue growing and strengthening their position on the international market. https://d.radikal.ru/d19/1806/9e/f8121ebc28a6.jpg",True
