id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg45453647,https://bitcointalk.org/index.php?topic=4476963.0,,1698,Announcements (Altcoins),2018-09-09 18:46:35,Behiri,Newbie,159,0,,[ANN][AIRDROP]UTILE NETWORK [UTL] [MVP] CRYPTO TRADING ECOSYSTEM,I participate in Utile community will progress move further,False
2,msg45904902,https://bitcointalk.org/index.php?topic=4476963.0,,1698,Announcements (Altcoins),2018-09-19 14:34:08,UtileNetwork,Copper Member,45,0,,[ANN][AIRDROP]UTILE NETWORK [UTL] [MVP] CRYPTO TRADING ECOSYSTEM,"Utile Network platform is almost ready. Here's a preview of the landing page.  Follow us to stay informed about the date of a launch, and receive an airdrop of UTL tokens prepared for that occasion.  https://twitter.com/UtileNetwork",False
3,msg46727624,https://bitcointalk.org/index.php?topic=4476963.0,,1698,Announcements (Altcoins),2018-10-10 15:45:52,CryptoLucy,Newbie,27,0,,[ANN][AIRDROP]UTILE NETWORK [UTL] [MVP] CRYPTO TRADING ECOSYSTEM,"I join airdrop, amazing project, very nice MVP !!!",False
4,msg47322377,https://bitcointalk.org/index.php?topic=4476963.0,msg45904902,1698,Announcements (Altcoins),2018-10-27 13:21:36,annazaitun87,Full Member,658,100,,[ANN][AIRDROP]UTILE NETWORK [UTL] [MVP] CRYPTO TRADING ECOSYSTEM,"     The extent to which the progress of this project is being developed, whether it is already selling tokens or still in stages",False
5,msg48044985,https://bitcointalk.org/index.php?topic=4476963.0,,1698,Announcements (Altcoins),2018-11-19 14:22:13,annazaitun87,Full Member,658,100,,[ANN][AIRDROP]UTILE NETWORK [UTL] [MVP] CRYPTO TRADING ECOSYSTEM,What is the calculation of profits according to the ranking and type of investment that will be carried out by this platform in developing the income value of investors,False
6,msg51592507,https://bitcointalk.org/index.php?topic=4476963.0,,1698,Announcements (Altcoins),2019-06-25 06:01:03,annazaitun87,Full Member,658,100,,[ANN][AIRDROP]UTILE NETWORK [UTL] [MVP] CRYPTO TRADING ECOSYSTEM,"Hello dev, has this project been abandoned by the team so that there is no information on its development, my question in the above post has never been answered, maybe you should lock this thread if the project is totally dead",False
7,msg43027927,https://bitcointalk.org/index.php?topic=4476963.0,,1698,Announcements (Altcoins),2018-07-28 13:39:19,UtileNetwork,Copper Member,45,0,,[ANN][AIRDROP]UTILE NETWORK [UTL] [MVP] CRYPTO TRADING ECOSYSTEM,I invite you to read the article on the Cryptocentral website about Utile Network  https://cryptocentral.io/utile-network%E2%80%8A-%E2%80%8Aplatform-developed-to-empower-influencers-and-investors-in-cryptocurrency-sector/,False
8,msg43059686,https://bitcointalk.org/index.php?topic=4476963.0,,1698,Announcements (Altcoins),2018-07-29 04:01:06,thedarknight789,Newbie,140,0,,[ANN][AIRDROP]UTILE NETWORK [UTL] [MVP] CRYPTO TRADING ECOSYSTEM,The platform provides unmatched tools for expertise and trade to maximize profits from asset trading. This is a great way to compensate for or fill the gaps.,False
9,msg43368128,https://bitcointalk.org/index.php?topic=4476963.0,,1698,Announcements (Altcoins),2018-08-03 01:00:34,MandraGade,Newbie,108,0,,[ANN][AIRDROP]UTILE NETWORK [UTL] [MVP] CRYPTO TRADING ECOSYSTEM,Utile Network combines analytical and operational tools for investors and influencers in the blockchain sector into an integrated digital workplace for the cryptocurrency community.,False
10,msg43432384,https://bitcointalk.org/index.php?topic=4476963.0,,1698,Announcements (Altcoins),2018-08-04 04:05:48,Neoscape,Copper Member,238,0,,[ANN][AIRDROP]UTILE NETWORK [UTL] [MVP] CRYPTO TRADING ECOSYSTEM,i confirm my translation in japanese,False
11,msg43586575,https://bitcointalk.org/index.php?topic=4476963.0,,1698,Announcements (Altcoins),2018-08-06 12:27:32,UtileNetwork,Copper Member,45,0,,[ANN][AIRDROP]UTILE NETWORK [UTL] [MVP] CRYPTO TRADING ECOSYSTEM,"Utile Network team is pleased to announce our newest advisory board member, Giovanni Casagrande.  https://medium.com/@utilenetworkofficial/giovanni-casagrande-joins-utile-network-advisory-board-44ac150ceda8",False
12,msg43616089,https://bitcointalk.org/index.php?topic=4476963.0,,1698,Announcements (Altcoins),2018-08-06 22:36:00,UtileNetwork,Copper Member,45,0,,[ANN][AIRDROP]UTILE NETWORK [UTL] [MVP] CRYPTO TRADING ECOSYSTEM,New advisory board member addition at Utile Network to improve smart contract security!  https://medium.com/@utilenetworkofficial/new-advisory-board-member-addition-at-utile-network-to-improve-smart-contract-security-d4be729f3837,False
13,msg43861558,https://bitcointalk.org/index.php?topic=4476963.0,,1698,Announcements (Altcoins),2018-08-11 04:52:55,HANTS,Copper Member,149,0,,[ANN][AIRDROP]UTILE NETWORK [UTL] [MVP] CRYPTO TRADING ECOSYSTEM,i confirm my translations in Korean'  thanks,False
14,msg44021598,https://bitcointalk.org/index.php?topic=4476963.0,,1698,Announcements (Altcoins),2018-08-13 16:03:01,UtileNetwork,Copper Member,45,0,,[ANN][AIRDROP]UTILE NETWORK [UTL] [MVP] CRYPTO TRADING ECOSYSTEM,"Dear Community,   Utile Network and @creditscom became strategic partners  You can read more about it here: https://twitter.com/UtileNetwork/status/1029034837359951872",False
