id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg23180403,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-18 10:51:54,YanaKaz,Newbie,56,0,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,Attention to the entire GoMineWorld community. The project is not a scam and is active. Some scam under decided to merge this idea at the request of competitors. Expect new news in the near future. We hope for support and for the fact that you are not being led to the deceit of these bastards.  Take part in ICO - http://gomineworld.com/crowdsale  Thank you.,False
2,msg23186807,https://bitcointalk.org/index.php?topic=2212612.0,msg23180403,6081,Announcements (Altcoins),2017-10-18 13:11:08,Awallon,Sr. Member,518,299,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,    SHUT UP AND LEAVE THIS FORUM SCAMMER! https://twitter.com/awallon555/status/920534789572132864,False
3,msg23187035,https://bitcointalk.org/index.php?topic=2212612.0,msg23186807,6081,Announcements (Altcoins),2017-10-18 13:16:17,al7878,Sr. Member,552,250,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,    good job Awallon,False
4,msg23220074,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-19 06:44:21,Andrey Smirnov,Sr. Member,266,250,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,It is a pity that time is wasted.,False
5,msg23280552,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-20 12:34:50,Oleg Krasnov,Member,114,10,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,Very strange that managers do not react. this is very bad,False
6,msg23401616,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-23 09:01:00,Mike Steelfinger,Newbie,3,0,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,"when I was young I dreamed about something like this run cross = get money, use legs for get rich ",False
7,msg23406990,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-23 11:12:46,YanaKaz,Newbie,56,0,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,"Tomorrow Poloniex according to unofficial data will create a merger with @GoMineWorld.  As it is insider information, investors will have a chance to buy tokens, until they grew by 246% according to experts from the authoritative agency Dow Jones.  ICO - http://gomineworld.com/crowdsale",False
8,msg23447048,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-24 07:16:16,Piston_82,Full Member,350,113,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,Any admin here? What happens with telegram channel?  Its disappear/blocked!! Please answer whats going on?!,False
9,msg23468400,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-24 15:26:05,prixod30,Full Member,161,100,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,"it's scam project, who told true , they block them ! so LOX",False
10,msg23503817,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-25 09:00:39,Beny9313,Member,93,10,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,"Glad that I didn't invest  Thanks for the investigation, Awallon",False
11,msg23541670,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-25 23:30:25,trollercoaster,Legendary,1050,1001,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,The logic of the project was great but the project has started to fade. I do not think anything will come out of here.,False
12,msg23552360,https://bitcointalk.org/index.php?topic=2212612.0,msg23541670,6081,Announcements (Altcoins),2017-10-26 06:29:05,Piston_82,Full Member,350,113,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,  It was necessary to guess that the distribution of the bracelet for the signature or the minimum contribution is too cool!,False
13,msg23565959,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-26 11:49:59,Sp1derWeb,Jr. Member,54,10,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,"It's just sad that a project that seem so legit at first will suddenly turned into a scam and stole away people hard earned money. Another lesson learnt the hard way . Still I have a little hope that the project will push through, very creative way to sell and get people into the amazing world of crypto.",False
14,msg23566068,https://bitcointalk.org/index.php?topic=2212612.0,msg22291656,6081,Announcements (Altcoins),2017-10-26 11:52:40,btvGainer,Legendary,854,1000,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,   Good catch mate.These guys calling other Icos scam while they are scamming others lol,False
15,msg23733955,https://bitcointalk.org/index.php?topic=2212612.0,msg23552360,6081,Announcements (Altcoins),2017-10-29 19:50:45,trollercoaster,Legendary,1050,1001,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,"   It has too be too cool. I would almost have been fooled by the advertising campaign, but later I opted for another project. We have to understand this: the logic of the project is not enough to start the project no matter how sensible it is.",False
16,msg23775785,https://bitcointalk.org/index.php?topic=2212612.0,msg23736954,6081,Announcements (Altcoins),2017-10-30 16:29:59,ankit10,Sr. Member,952,267,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,  Dont spam threads. Check your trust box.,False
17,msg22749514,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-09 07:43:19,blo8i,Hero Member,975,502,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,"This is interesting idea to earn token just by travel, I really like the concept! I hope all will be ok!)",False
18,msg22757047,https://bitcointalk.org/index.php?topic=2212612.0,msg22636315,6081,Announcements (Altcoins),2017-10-09 11:07:56,soliton,Full Member,448,100,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,    Then consider me as an investor. I will apply for iCO to have a test of this bracelet first. Also hope for a good profit from tokens when they hit the markets.,False
19,msg22773344,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-09 17:35:36,jeda2000,Full Member,392,101,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,GoMineWorld really excites me. It's a fun project that will spread among people in a short time. A good opportunity to get used to Blockchain,False
20,msg22840845,https://bitcointalk.org/index.php?topic=2212612.0,msg22501143,6081,Announcements (Altcoins),2017-10-11 06:18:44,vascrs11,Full Member,504,106,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,   I think these kind of projects can only introduce cryptocurrenciesto to public. Good luck,False
21,msg22875556,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-11 20:10:52,Sp1derWeb,Jr. Member,54,10,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,A crypto that has a real physical product! Looks very promising.,False
22,msg22894084,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-12 07:49:12,anu,Legendary,1218,1001,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,"It is a wonderfully thought-out innovative system. What I am wondering about as a person who has been practicing for over 2.5 years is if I can earn tokens while running on a treadmill also. And also, who provides the security of this system? It did not seem like a very difficult job to me to take 50 phones and walk 50 miles in 50 different locations.",False
23,msg22908609,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-12 13:30:53,YanaKaz,Newbie,56,0,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,Expect good news... https://twitter.com/GoMineWorld/status/918468366628802562,False
24,msg22908987,https://bitcointalk.org/index.php?topic=2212612.0,msg22908609,6081,Announcements (Altcoins),2017-10-12 13:39:45,prixod30,Full Member,161,100,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,"   as I thought, that soon there should be some kind of news. Good or bad. Really want to be good!",False
25,msg22956951,https://bitcointalk.org/index.php?topic=2212612.0,msg22908609,6081,Announcements (Altcoins),2017-10-13 12:50:36,Andrey Smirnov,Sr. Member,266,250,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,"  Really looking forward to good news, it is very necessary to people. then it will be even more investors.",False
26,msg23037678,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-15 11:05:24,Andrey Smirnov,Sr. Member,266,250,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,When expected good news? Looking forward to this.,False
27,msg23080144,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-16 10:08:53,YanaKaz,Newbie,56,0,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,Poloniex listing successfully passed! 🔥🔥🔥  Crowdsale Bonus - 5% Join to ICO GoMineWorld and get bracelet for mining as gift!  Take part in the ICO - http://gomineworld.com/crowdsale,False
28,msg23082956,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-16 11:21:43,uralcryptocoin,Sr. Member,910,282,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,"The project looks interesting. Do you plan to produce the bracelets for bikers? I don't like walk many time but I like to drive my bicycle (c). So it would be good ""Expansion of the range""",False
29,msg23097585,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-16 16:50:55,YanaKaz,Newbie,56,0,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,For especially incredulous   - https://twitter.com/GoMineWorld/status/919965985939099652  Crowdsale Bonus - 5% Join to ICO GoMineWorld and get bracelet for mining as gift!  Take part in the ICO - http://gomineworld.com/crowdsale,False
30,msg23098763,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-16 17:16:43,XCNP,Sr. Member,728,250,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,Passing the requirement to get on Poloniex is really big news. As the news will keep spreading more people will come to join the ICO. Even idea of the project in itself is very innovative and motive people for something healthy and good. It should see success to bring us those bracelets.,False
31,msg23121817,https://bitcointalk.org/index.php?topic=2212612.0,,6081,Announcements (Altcoins),2017-10-17 06:27:07,vascrs11,Full Member,504,106,,[ANN][ICO IS SCAM] GoMineWorld™ - you just go and SCAM,Poloniex will boost token price for sure.The project has good potential. Its unique and original,False
