id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg51105150,https://bitcointalk.org/index.php?topic=2473473.0,,20842,Announcements (Altcoins),2019-05-18 07:32:43,bitbollo,Legendary,1610,1073,,[ERISTICA] - P2P Challenge Platform | First ICO in FunTech ✔,"Hey Guys, find here thelast update about eristica:   ",False
2,msg51207233,https://bitcointalk.org/index.php?topic=2473473.0,,20842,Announcements (Altcoins),2019-05-25 08:00:31,bitbollo,Legendary,1610,1073,,[ERISTICA] - P2P Challenge Platform | First ICO in FunTech ✔,Follow ERISTICA on Twitter ! https://twitter.com/eristica  Here the last weekly update: https://blog.eristica.com/multiplayer-payments-charity-exciting-things-are-happening-eristica-ca481dccff99   ,False
3,msg51404887,https://bitcointalk.org/index.php?topic=2473473.0,,20842,Announcements (Altcoins),2019-06-09 10:35:59,bitbollo,Legendary,1610,1073,,[ERISTICA] - P2P Challenge Platform | First ICO in FunTech ✔,"2 updates in one post!  https://blog.eristica.com/paypal-rising-stars-new-store-products-eristica-product-update-a4b5924e7c2a   PAYPAL ACCEPTED! Buy your ERISTICA directly with PAYPAL!    Friday’s here and as always, we’re sharing the most recent updates on Eristica with our users and community. This is a live pulse of how we build the next-gen entertainment service based on one of the most popular content types of 21st Century — Challenges. https://blog.eristica.com/usd-payments-etherscan-tutorial-eristica-update-9f801f9196bd",False
4,msg51472893,https://bitcointalk.org/index.php?topic=2473473.0,,20842,Announcements (Altcoins),2019-06-15 06:00:26,bitbollo,Legendary,1610,1073,,[ERISTICA] - P2P Challenge Platform | First ICO in FunTech ✔,"Weekly Update from Eristica https://blog.eristica.com/how-to-a-b-test-new-vip-look-celebs-eristica-product-update-a0bb9038d26a  HOW TO A/B TEST, NEW VIP LOOK, CELEBS | Eristica Product Update     https://blog.eristica.com/how-to-a-b-test-new-vip-look-celebs-eristica-product-update-a0bb9038d26a",False
5,msg51556214,https://bitcointalk.org/index.php?topic=2473473.0,,20842,Announcements (Altcoins),2019-06-22 04:31:35,bitbollo,Legendary,1610,1073,,[ERISTICA] - P2P Challenge Platform | First ICO in FunTech ✔,"Weekly update from Eristica https://blog.eristica.com/withdraw-tab-bar-private-mode-eristica-product-update-a5e8e6cb0607  WITHDRAW, TAB BAR, PRIVATE MODE | Eristica Product Update   Paypal is coming! Enjoy! Withdraw directly to your personal wallet!   ",False
6,msg52441157,https://bitcointalk.org/index.php?topic=2473473.0,,20842,Announcements (Altcoins),2019-09-13 07:31:50,zendan,Newbie,39,0,,[ERISTICA] - P2P Challenge Platform | First ICO in FunTech ✔,Trading volume has gone up . Now ERT trade is Profitable .,False
7,msg44538056,https://bitcointalk.org/index.php?topic=2473473.0,,20842,Announcements (Altcoins),2018-08-23 05:21:28,thuananward9,Newbie,27,0,,[ERISTICA] - P2P Challenge Platform | First ICO in FunTech ✔,Lots of listed tokens have no where near an actual product.    In fact almost all of them dont.  That can't be the reason?...... .,False
8,msg44614966,https://bitcointalk.org/index.php?topic=2473473.0,,20842,Announcements (Altcoins),2018-08-24 16:14:30,NgocYenKaraok,Newbie,27,0,,[ERISTICA] - P2P Challenge Platform | First ICO in FunTech ✔,I could care less when the exchange comes... i dont care which exchange they get on.. I dont care what they did with the ETH from the ICO... none of that means anything,False
9,msg46196594,https://bitcointalk.org/index.php?topic=2473473.0,,20842,Announcements (Altcoins),2018-09-26 16:09:41,negomarkett,Newbie,72,0,,[ERISTICA] - P2P Challenge Platform | First ICO in FunTech ✔,"I want to move my coins from ""myetherwallet"" ah ""coinsuper"" but it will not let me .. ?? Is the network saturated?",False
10,msg46248114,https://bitcointalk.org/index.php?topic=2473473.0,msg46196594,20842,Announcements (Altcoins),2018-09-27 21:32:13,negomarkett,Newbie,72,0,,[ERISTICA] - P2P Challenge Platform | First ICO in FunTech ✔,   solved,False
11,msg47192132,https://bitcointalk.org/index.php?topic=2473473.0,,20842,Announcements (Altcoins),2018-10-23 15:24:58,Kryptokunkku89,Newbie,96,0,,[ERISTICA] - P2P Challenge Platform | First ICO in FunTech ✔,Get it to TradeOgre and Cryptopia. Cheap listings and massive volume for micro cap coins. You will get cheap PR from crypto twitter micro cap traders who love TradeOgre and Cryptopia gems. Daily volume is 500 usd atm and its embarrasing. Put some effort and money for new listings where pple really love to trade these super micros.,False
