id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg28424319,https://bitcointalk.org/index.php?topic=2169350.0,,2232,Announcements (Altcoins),2018-01-18 19:21:13,razvangake,Newbie,45,0,,[ANN][ICO]Eagle Token-EGL*01 until 21 oct 2017 - Team info added and Site ON/10%,How much trust do you have in this project guys?,True
2,msg31877224,https://bitcointalk.org/index.php?topic=2169350.0,,2232,Announcements (Altcoins),2018-03-08 20:53:47,belechau,Full Member,672,100,,[ANN][ICO]Eagle Token-EGL*01 until 21 oct 2017 - Team info added and Site ON/10%,"Exchanges: Please, vote in:  NEXT EXCHANGE   LESCOVEX Exchange   ALTCOIN.IO Exchange",True
3,msg31904097,https://bitcointalk.org/index.php?topic=2169350.0,,2232,Announcements (Altcoins),2018-03-09 09:03:31,vladivostokom,Newbie,112,0,,[ANN][ICO]Eagle Token-EGL*01 until 21 oct 2017 - Team info added and Site ON/10%,"nice token,hoping to be join it soon,ill keep my eye on to this ;)hope will be more success in future",True
4,msg31904579,https://bitcointalk.org/index.php?topic=2169350.0,,2232,Announcements (Altcoins),2018-03-09 09:12:21,creeptofarm,Newbie,42,0,,[ANN][ICO]Eagle Token-EGL*01 until 21 oct 2017 - Team info added and Site ON/10%,"Boy is this going to define the future, guys, exceptional work!",True
5,msg33927627,https://bitcointalk.org/index.php?topic=2169350.0,,2232,Announcements (Altcoins),2018-04-04 15:01:52,belechau,Full Member,672,100,,[ANN][ICO]Eagle Token-EGL*01 until 21 oct 2017 - Team info added and Site ON/10%,"Hello, thanks for the question, there are no funds raised in Ico, our project will be continued in the same way, with own resources.  please vote to list eagle in:  NEXT EXCHANGE https://nextexchange.featureupvote.com/suggestions/6147/please-list-eagle-drone-project-coin Lescovex https://lescovex.featureupvote.com/suggestions/6363/please-list-eagle-drone-project-coin altcoinexchange https://altcoinexchange.featureupvote.com/suggestions/6371/please-list-eagle-drone-project-coin dontoshi https://dontoshi.featureupvote.com/suggestions/7598/eagle-drone-project-coin CoinPulse https://request.coinpulse.io/suggestions/7599/eagle-drone-project-coin",True
6,msg34049235,https://bitcointalk.org/index.php?topic=2169350.0,,2232,Announcements (Altcoins),2018-04-06 06:35:49,jolinahermosa25,Newbie,112,0,,[ANN][ICO]Eagle Token-EGL*01 until 21 oct 2017 - Team info added and Site ON/10%," i reviewed this project for about an 3 hrs and it looks like a comprehensive one,hope to invest it even just a little soon",True
7,msg36245512,https://bitcointalk.org/index.php?topic=2169350.0,,2232,Announcements (Altcoins),2018-05-03 22:22:07,ANDREW 555,Jr. Member,182,7,,[ANN][ICO]Eagle Token-EGL*01 until 21 oct 2017 - Team info added and Site ON/10%,IronGeekChain Bounty Hunter (May 03) https://coindar.org/en/event/eaglecoin-eagle-irongeekchain-bounty-hunter-8542,True
8,msg36249734,https://bitcointalk.org/index.php?topic=2169350.0,,2232,Announcements (Altcoins),2018-05-03 23:50:46,Pegleku,Member,280,10,,[ANN][ICO]Eagle Token-EGL*01 until 21 oct 2017 - Team info added and Site ON/10%,This is a great idea and great project. I hope this project will be successful. Always keep up the great work!,True
9,msg36302442,https://bitcointalk.org/index.php?topic=2169350.0,,2232,Announcements (Altcoins),2018-05-04 14:38:12,Leeminhe,Newbie,193,0,,[ANN][ICO]Eagle Token-EGL*01 until 21 oct 2017 - Team info added and Site ON/10%,"Hello dev. Your team does not have any bonus programs and bounty programs . You have signature programs, airdrop, twitter, facebook, ... Bonus programs and bounty programs will make the community more aware of your coin. egretia",True
10,msg21740004,https://bitcointalk.org/index.php?topic=2169350.0,,2232,Announcements (Altcoins),2017-09-11 23:24:08,belechau,Full Member,672,100,,[ANN][ICO]Eagle Token-EGL*01 until 21 oct 2017 - Team info added and Site ON/10%,.,True
