id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg27941730,https://bitcointalk.org/index.php?topic=2338387.0,,5824,Announcements (Altcoins),2018-01-11 22:34:41,John BC,Newbie,32,0,,[ANN][EQL][ICO] ⚛️ Librium - THE HYBRID FREELANCE MARKETPLACE ⚛️,What is the legal status of the corporate entity behind the ICO?,False
2,msg28079228,https://bitcointalk.org/index.php?topic=2338387.0,,5824,Announcements (Altcoins),2018-01-13 22:34:07,Aegean Skipper,Full Member,378,126,,[ANN][EQL][ICO] ⚛️ Librium - THE HYBRID FREELANCE MARKETPLACE ⚛️,"Can someone from the team inform the community what is going on with the luck of this project? Further on that, people in the bounty section are continue to spend their time on promoting librium  they deserve some answers",False
3,msg28123500,https://bitcointalk.org/index.php?topic=2338387.0,,5824,Announcements (Altcoins),2018-01-14 16:00:11,vlom,Legendary,1442,1106,,[ANN][EQL][ICO] ⚛️ Librium - THE HYBRID FREELANCE MARKETPLACE ⚛️,"from telegram       As soon as we release the new updates to the project we will announce an opening date. We have the email list of everyone that signed-up and we will reach everyone through the provided contact! Meanwhile we have our technical paper on our website, it's worth taking a look",False
4,msg28292636,https://bitcointalk.org/index.php?topic=2338387.0,,5824,Announcements (Altcoins),2018-01-17 01:03:34,rahmatrf331,Member,266,11,,[ANN][EQL][ICO] ⚛️ Librium - THE HYBRID FREELANCE MARKETPLACE ⚛️,"hello everyone !  A really cool project with a solid team. a good marketing place and started in December 2017, generating up to 1 billion Librium EQL tokens. Real evidence of blockchain is an ambitious yet rewarding effort.  I join with project Librium-THE HYBRID FREELANCE MARKETPLACE and good luck !",False
5,msg28474698,https://bitcointalk.org/index.php?topic=2338387.0,msg27302848,5824,Announcements (Altcoins),2018-01-19 13:27:54,OzhogCoin,Member,322,10,,[ANN][EQL][ICO] ⚛️ Librium - THE HYBRID FREELANCE MARKETPLACE ⚛️,"  Something they were on vacation for a long time! It's time to work! Moreover, there are so many people around who are waiting for at least some news. I do not know what they think about",False
6,msg28474868,https://bitcointalk.org/index.php?topic=2338387.0,msg28079228,5824,Announcements (Altcoins),2018-01-19 13:30:12,OzhogCoin,Member,322,10,,[ANN][EQL][ICO] ⚛️ Librium - THE HYBRID FREELANCE MARKETPLACE ⚛️,"  On the bounty company, people have spent quite a lot of their time! And then spend it, because they do not know what to do and whether the project will continue to work",False
7,msg28519848,https://bitcointalk.org/index.php?topic=2338387.0,,5824,Announcements (Altcoins),2018-01-20 05:34:51,Tremt200,Full Member,392,100,,[ANN][EQL][ICO] ⚛️ Librium - THE HYBRID FREELANCE MARKETPLACE ⚛️,"I really liked your project, its concept and ways of implementation are very interesting and seem to me very promising! It is unfortunate that your bonus company is suspended, I will watch the project and wait for new news.",False
8,msg28520208,https://bitcointalk.org/index.php?topic=2338387.0,,5824,Announcements (Altcoins),2018-01-20 05:45:41,ioizisupport,Newbie,63,0,,[ANN][EQL][ICO] ⚛️ Librium - THE HYBRID FREELANCE MARKETPLACE ⚛️,"How to get bounty, please help me ",False
9,msg28703993,https://bitcointalk.org/index.php?topic=2338387.0,,5824,Announcements (Altcoins),2018-01-22 19:29:35,guydin,Full Member,476,101,,[ANN][EQL][ICO] ⚛️ Librium - THE HYBRID FREELANCE MARKETPLACE ⚛️,Did devs dicede when sales will start?,False
10,msg28758692,https://bitcointalk.org/index.php?topic=2338387.0,,5824,Announcements (Altcoins),2018-01-23 15:05:21,Mettius81,Sr. Member,491,250,,[ANN][EQL][ICO] ⚛️ Librium - THE HYBRID FREELANCE MARKETPLACE ⚛️,"Hi all, when i try to send my token to Etherdelta i read a error message that tell me ""Bad jump destination"". How i can send my tokens without error and problem?  Thanks",False
11,msg30295737,https://bitcointalk.org/index.php?topic=2338387.0,msg28758692,5824,Announcements (Altcoins),2018-02-14 18:56:24,rou13,Member,78,10,,[ANN][EQL][ICO] ⚛️ Librium - THE HYBRID FREELANCE MARKETPLACE ⚛️,"   Hi , try to let minim 250 EQL on your wallet and send the rest .",False
12,msg30303705,https://bitcointalk.org/index.php?topic=2338387.0,msg30295737,5824,Announcements (Altcoins),2018-02-14 21:37:12,vlom,Legendary,1442,1106,,[ANN][EQL][ICO] ⚛️ Librium - THE HYBRID FREELANCE MARKETPLACE ⚛️,   you receives tokens? bounty tokens? i did not get them.,False
