id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg31226465,https://bitcointalk.org/index.php?topic=3035642.0,,173,Announcements (Altcoins),2018-02-28 02:26:45,bjarkespades,Copper Member,11,0,,[ANN][ICO] Introducing Dopameme! AKA 9gagKILLER!,"https://dopameme.io/ Thanks for joining us! Let's disrupt the meme market together.     https://dopameme.io/ Thanks for joining us! Let's disrupt the meme market together.    Intro video: https://www.youtube.com/watch?v=8TBILC8hZ_I  Prototype video: https://www.youtube.com/watch?v=-9tS-noXZik  Telegram to get the latest news and whitelist info: https://t.me/dopameme  Discord to ask us Anything: https://discordapp.com/invite/ZCddqbT  Whitelist: (limited) https://dopameme.io/white-list/  Private pre-sale: https://dopameme.io/presale/  Twitter: https://twitter.com/Dopameme_io/    SOON WE WILL LAUNCH OUR MEME BOUNTY CAMPAING BE READY TO START CONTRIBUTING MEMES FOR EARLY TOKENS!  WE WILL MAKE THIS SIMPLE!  1% of our total token sale will be given away in bounties as follows: (Aprox 1,000,000 DMT’s  Aprox. 60,000 USD if we reach our total cap of 6,000,000 USD)  Since we are a meme sharing machine we will mainly bounty memes. Each successful upload will earn you DMTs and will be distributed proportionally to the total amount of memes created. (max 10 per day per account)  I.E. 100,000 memes get shared, therefore 1,000,000DMTs / 500,000memes = 20 DMT per meme   MORE ON THIS LATER. Stay tunned!  Other Bounties  Whitelist Registration airdrop        5 DMT Security threat report                  20000 DMT Website publication                      10000 DMT Twitter shoutout/retweet              10 DMT 200-1k followers / 20 DMT 1k+ followers / 50 DMT 1k+ followers  (Use hashtags #Dopameme #9gagKiller #ethereum $eth #cryptomeme) Telegram shoutout by Admin        100 DMT        (1k+ members min) Whitepaper translation                 10000 DMT     (Spanish, Russian, Chinese, German, Japanese and Korean)    Welcome to the fun side of Blockchain",False
2,msg31227253,https://bitcointalk.org/index.php?topic=3035642.0,,173,Announcements (Altcoins),2018-02-28 02:48:54,bitblaster,Member,111,11,,[ANN][ICO] Introducing Dopameme! AKA 9gagKILLER!, Is this similar to steem?,False
3,msg31228145,https://bitcointalk.org/index.php?topic=3035642.0,msg31227253,173,Announcements (Altcoins),2018-02-28 03:14:06,bjarkespades,Copper Member,11,0,,[ANN][ICO] Introducing Dopameme! AKA 9gagKILLER!,"   It is similar to steem, but there are a few improvemets and differences, we are using ethereum which will be awesome once the scalability issues are solved, integrations with 0x to exchange within the platform, link for oracles, aragon for governance and storj to store your image/gif onchain and be able to see its atributes, upvotes, timestamp, creator and so on... Steemit business plan doesnt make any sense, they have no adds so they are just basically getting money from nowhere and the inflation rate is HUGE! so we wanted to create a more sustainable model.  Also, Image/file ownership of files is a huge deal because we are focusing on having original content, so there will be an AI bot that filters any copied content and people as curators also verifiying stolen content, which will be rewarded by tokens.",False
4,msg31242546,https://bitcointalk.org/index.php?topic=3035642.0,msg31228145,173,Announcements (Altcoins),2018-02-28 08:34:46,sherenikaw,Member,422,10,,[ANN][ICO] Introducing Dopameme! AKA 9gagKILLER!,    how does the system work maximally? because many hackers will steal files to manipulate the file code. what the next filter applicator will you made dev?,False
5,msg31243234,https://bitcointalk.org/index.php?topic=3035642.0,,173,Announcements (Altcoins),2018-02-28 08:45:11,wendelllee,Sr. Member,644,250,,[ANN][ICO] Introducing Dopameme! AKA 9gagKILLER!,"Chinese translation recerved. Total cap ofUSD 6 ,000, 000 is easy for a good project. Good luck to the project.",False
6,msg31259025,https://bitcointalk.org/index.php?topic=3035642.0,msg31243234,173,Announcements (Altcoins),2018-02-28 12:54:36,bjarkespades,Copper Member,11,0,,[ANN][ICO] Introducing Dopameme! AKA 9gagKILLER!,   Chinese translation Locked for wendelllee,False
7,msg31262563,https://bitcointalk.org/index.php?topic=3035642.0,,173,Announcements (Altcoins),2018-02-28 13:44:22,pantherx12,Full Member,322,100,,[ANN][ICO] Introducing Dopameme! AKA 9gagKILLER!,when you will create bounty program? about bounty it's all information or you use another platform for this?,False
8,msg31274034,https://bitcointalk.org/index.php?topic=3035642.0,msg31262563,173,Announcements (Altcoins),2018-02-28 16:23:21,bjarkespades,Copper Member,11,0,,[ANN][ICO] Introducing Dopameme! AKA 9gagKILLER!,"   Bounty program will come next week, we do have a platform for that at our website, but we havent launch it yet",False
9,msg31530226,https://bitcointalk.org/index.php?topic=3035642.0,,173,Announcements (Altcoins),2018-03-04 06:29:48,krymson,Newbie,60,0,,[ANN][ICO] Introducing Dopameme! AKA 9gagKILLER!,"Great idea, its about time someone figured out how to monetize memes.  I've picked you guys as ICO of the Day for my review site ICOBriefing.com",False
10,msg31730894,https://bitcointalk.org/index.php?topic=3035642.0,msg31242546,173,Announcements (Altcoins),2018-03-06 19:49:56,bjarkespades,Copper Member,11,0,,[ANN][ICO] Introducing Dopameme! AKA 9gagKILLER!,"   Sorry I missed your question, are you referring to the image metadata? because if the image is modified oracles and curators can still report the image and the poster will be banned, also in order to start posting there will be some filters and possibly an integration with uport/civic making sure the poster is a real person.",False
11,msg32255584,https://bitcointalk.org/index.php?topic=3035642.0,,173,Announcements (Altcoins),2018-03-13 23:42:17,bjarkespades,Copper Member,11,0,,[ANN][ICO] Introducing Dopameme! AKA 9gagKILLER!,Whitelist is now open!  https://dopameme.io/white-list/,False
